additivity,backward_seconds,batch,bytes,calls,component,forward_loss_seconds,missing_status,new_forward,observed_prompt_pairs,seconds,value
AS_RECORDED_NOT_ADDITIONAL_ORACLES,,B004,,,work_cache_transfer_seconds,,,,,,0.1058422103524208
AS_RECORDED_NOT_ADDITIONAL_ORACLES,,B004,,,work_head_positions,,,,,,17650
AS_RECORDED_NOT_ADDITIONAL_ORACLES,,B004,,,work_oracle_calls,,,,,,25
AS_RECORDED_NOT_ADDITIONAL_ORACLES,,B004,,,work_prefix_forward_microbatches,,,,,,350
AS_RECORDED_NOT_ADDITIONAL_ORACLES,,B004,,,work_prefix_padded_tokens,,,,,,12074
AS_RECORDED_NOT_ADDITIONAL_ORACLES,,B004,,,work_prefix_seconds,,,,,,3.4353866996243596
AS_RECORDED_NOT_ADDITIONAL_ORACLES,,B004,,,work_prefix_valid_tokens,,,,,,10791
AS_RECORDED_NOT_ADDITIONAL_ORACLES,,B004,,,work_suffix_backward_microbatches,,,,,,8750
AS_RECORDED_NOT_ADDITIONAL_ORACLES,,B004,,,work_suffix_backward_seconds,,,,,,433.86405088286847
AS_RECORDED_NOT_ADDITIONAL_ORACLES,,B004,,,work_suffix_forward_loss_seconds,,,,,,470.8681459184736
AS_RECORDED_NOT_ADDITIONAL_ORACLES,,B004,,,work_suffix_forward_microbatches,,,,,,8750
AS_RECORDED_NOT_ADDITIONAL_ORACLES,,B004,,,work_suffix_padded_tokens,,,,,,301850
AS_RECORDED_NOT_ADDITIONAL_ORACLES,,B004,,,work_suffix_valid_tokens,,,,,,269775
AS_RECORDED_NOT_ADDITIONAL_ORACLES,,B004,,,work_teacher_head_positions,,,,,,100
AS_RECORDED_NOT_ADDITIONAL_ORACLES,,B004,,,work_teacher_suffix_head_seconds,,,,,,5.01519641187042
AS_RECORDED_NOT_ADDITIONAL_ORACLES,,B004,,,work_teacher_suffix_microbatches,,,,,,100
AS_RECORDED_NOT_ADDITIONAL_ORACLES,,B004,,,work_teacher_suffix_tokens,,,,,,2772
SUBCOMPONENT_DO_NOT_ADD_TO_PARENT_TOTAL,,B004,,,native_keys,,,,,18.4021071260795,
SUBCOMPONENT_DO_NOT_ADD_TO_PARENT_TOTAL,,B004,,,native_geometry,,,,,0.9701775265857577,
SUBCOMPONENT_DO_NOT_ADD_TO_PARENT_TOTAL,,B004,,,prefix_teacher_combined,,,,,8.5812461450696,
SUBCOMPONENT_DO_NOT_ADD_TO_PARENT_TOTAL,,B004,,,terminal_physical_parity,,,,,41.17998889181763,
SUBCOMPONENT_DO_NOT_ADD_TO_PARENT_TOTAL,,B004,,,explicit_actual_cost,,,,,5.374072489328682,
SUBCOMPONENT_DO_NOT_ADD_TO_PARENT_TOTAL,,B004,,,durable_state_prepare,,,,,8.153603194281459,
DERIVED_NONEXCLUSIVE_COMMIT_REMAINDER_NOT_PURE_IO,,B004,,,publication_hash_transfer_misc_remainder,,,,,11.904983112588525,
,,B004,1070164109,,pure_filesystem_IO,,NOT_SEPARATELY_TIMED_INCLUDED_IN_COMMIT,,,,
,17.325540404766798,B005,,1,oracle_initial,18.794062450528145,,,,36.301152693107724,
,259.96097495779395,B005,,15,oracle_accepted,281.9360478185117,,,,545.0980514641851,
,155.93322308640927,B005,,9,oracle_rejected,169.18883301969618,,,,326.83994537126273,
,,B005,,,evaluation_current,,,True,1300,41.326110259629786,
,,B005,,,evaluation_seen-full,,,True,6500,208.55137706082314,
OVERLAPPING_DO_NOT_SUM_COMPONENTS,,B005,,,flow_total_including_oracle,,,,,908.3528786040843,
OVERLAPPING_DO_NOT_SUM_COMPONENTS,,B005,,,preparation_total,,,,,28.164712194353342,
OVERLAPPING_DO_NOT_SUM_COMPONENTS,,B005,,,commit_total,,,,,66.04410223197192,
OVERLAPPING_DO_NOT_SUM_COMPONENTS,,B005,,,batch_total,,,,,1256.9864692799747,
AS_RECORDED_NOT_ADDITIONAL_ORACLES,,B005,,,work_cache_transfer_seconds,,,,,,0.10460424888879061
AS_RECORDED_NOT_ADDITIONAL_ORACLES,,B005,,,work_head_positions,,,,,,17650
AS_RECORDED_NOT_ADDITIONAL_ORACLES,,B005,,,work_oracle_calls,,,,,,25
AS_RECORDED_NOT_ADDITIONAL_ORACLES,,B005,,,work_prefix_forward_microbatches,,,,,,350
AS_RECORDED_NOT_ADDITIONAL_ORACLES,,B005,,,work_prefix_padded_tokens,,,,,,11994
AS_RECORDED_NOT_ADDITIONAL_ORACLES,,B005,,,work_prefix_seconds,,,,,,3.4377170000225306
AS_RECORDED_NOT_ADDITIONAL_ORACLES,,B005,,,work_prefix_valid_tokens,,,,,,10700
AS_RECORDED_NOT_ADDITIONAL_ORACLES,,B005,,,work_suffix_backward_microbatches,,,,,,8750
AS_RECORDED_NOT_ADDITIONAL_ORACLES,,B005,,,work_suffix_backward_seconds,,,,,,433.21973844897
AS_RECORDED_NOT_ADDITIONAL_ORACLES,,B005,,,work_suffix_forward_loss_seconds,,,,,,469.91894328873605
AS_RECORDED_NOT_ADDITIONAL_ORACLES,,B005,,,work_suffix_forward_microbatches,,,,,,8750
AS_RECORDED_NOT_ADDITIONAL_ORACLES,,B005,,,work_suffix_padded_tokens,,,,,,299850
AS_RECORDED_NOT_ADDITIONAL_ORACLES,,B005,,,work_suffix_valid_tokens,,,,,,267500
AS_RECORDED_NOT_ADDITIONAL_ORACLES,,B005,,,work_teacher_head_positions,,,,,,100
AS_RECORDED_NOT_ADDITIONAL_ORACLES,,B005,,,work_teacher_suffix_head_seconds,,,,,,5.017604306340218
AS_RECORDED_NOT_ADDITIONAL_ORACLES,,B005,,,work_teacher_suffix_microbatches,,,,,,100
AS_RECORDED_NOT_ADDITIONAL_ORACLES,,B005,,,work_teacher_suffix_tokens,,,,,,2802
SUBCOMPONENT_DO_NOT_ADD_TO_PARENT_TOTAL,,B005,,,native_keys,,,,,18.43639811128378,
SUBCOMPONENT_DO_NOT_ADD_TO_PARENT_TOTAL,,B005,,,native_geometry,,,,,0.9969046618789434,
SUBCOMPONENT_DO_NOT_ADD_TO_PARENT_TOTAL,,B005,,,prefix_teacher_combined,,,,,8.584994519129395,
SUBCOMPONENT_DO_NOT_ADD_TO_PARENT_TOTAL,,B005,,,terminal_physical_parity,,,,,41.05710991285741,
SUBCOMPONENT_DO_NOT_ADD_TO_PARENT_TOTAL,,B005,,,explicit_actual_cost,,,,,5.539490537717938,
SUBCOMPONENT_DO_NOT_ADD_TO_PARENT_TOTAL,,B005,,,durable_state_prepare,,,,,8.105464314110577,
DERIVED_NONEXCLUSIVE_COMMIT_REMAINDER_NOT_PURE_IO,,B005,,,publication_hash_transfer_misc_remainder,,,,,11.34203746728599,
,,B005,1070164121,,pure_filesystem_IO,,NOT_SEPARATELY_TIMED_INCLUDED_IN_COMMIT,,,,
,17.421600699424744,B006,,1,oracle_initial,18.932396044954658,,,,36.69212862569839,
,278.71658033225685,B006,,16,oracle_accepted,304.2881664875895,,,,586.7422399343923,
,139.26452950946987,B006,,8,oracle_rejected,151.97927543893456,,,,293.2013017395511,
,,B006,,,evaluation_current,,,True,1300,43.31871070899069,
OVERLAPPING_DO_NOT_SUM_COMPONENTS,,B006,,,flow_total_including_oracle,,,,,916.7523205848411,
OVERLAPPING_DO_NOT_SUM_COMPONENTS,,B006,,,preparation_total,,,,,28.22466574329883,
OVERLAPPING_DO_NOT_SUM_COMPONENTS,,B006,,,commit_total,,,,,66.73407495580614,
OVERLAPPING_DO_NOT_SUM_COMPONENTS,,B006,,,batch_total,,,,,1059.5548833794892,
AS_RECORDED_NOT_ADDITIONAL_ORACLES,,B006,,,work_cache_transfer_seconds,,,,,,0.10944749414920807
AS_RECORDED_NOT_ADDITIONAL_ORACLES,,B006,,,work_head_positions,,,,,,18100
AS_RECORDED_NOT_ADDITIONAL_ORACLES,,B006,,,work_oracle_calls,,,,,,25
AS_RECORDED_NOT_ADDITIONAL_ORACLES,,B006,,,work_prefix_forward_microbatches,,,,,,350
AS_RECORDED_NOT_ADDITIONAL_ORACLES,,B006,,,work_prefix_padded_tokens,,,,,,12198
AS_RECORDED_NOT_ADDITIONAL_ORACLES,,B006,,,work_prefix_seconds,,,,,,3.45806837733835
AS_RECORDED_NOT_ADDITIONAL_ORACLES,,B006,,,work_prefix_valid_tokens,,,,,,10915
AS_RECORDED_NOT_ADDITIONAL_ORACLES,,B006,,,work_suffix_backward_microbatches,,,,,,8750
AS_RECORDED_NOT_ADDITIONAL_ORACLES,,B006,,,work_suffix_backward_seconds,,,,,,435.40271054115146
AS_RECORDED_NOT_ADDITIONAL_ORACLES,,B006,,,work_suffix_forward_loss_seconds,,,,,,475.1998379714787
AS_RECORDED_NOT_ADDITIONAL_ORACLES,,B006,,,work_suffix_forward_microbatches,,,,,,8750
AS_RECORDED_NOT_ADDITIONAL_ORACLES,,B006,,,work_suffix_padded_tokens,,,,,,304950
AS_RECORDED_NOT_ADDITIONAL_ORACLES,,B006,,,work_suffix_valid_tokens,,,,,,272875
AS_RECORDED_NOT_ADDITIONAL_ORACLES,,B006,,,work_teacher_head_positions,,,,,,100
AS_RECORDED_NOT_ADDITIONAL_ORACLES,,B006,,,work_teacher_suffix_head_seconds,,,,,,5.037654970772564
AS_RECORDED_NOT_ADDITIONAL_ORACLES,,B006,,,work_teacher_suffix_microbatches,,,,,,100
AS_RECORDED_NOT_ADDITIONAL_ORACLES,,B006,,,work_teacher_suffix_tokens,,,,,,2810
SUBCOMPONENT_DO_NOT_ADD_TO_PARENT_TOTAL,,B006,,,native_keys,,,,,18.648793241009116,
SUBCOMPONENT_DO_NOT_ADD_TO_PARENT_TOTAL,,B006,,,native_geometry,,,,,0.8051459891721606,
SUBCOMPONENT_DO_NOT_ADD_TO_PARENT_TOTAL,,B006,,,prefix_teacher_combined,,,,,8.629317492246628,
SUBCOMPONENT_DO_NOT_ADD_TO_PARENT_TOTAL,,B006,,,terminal_physical_parity,,,,,41.51084755919874,
SUBCOMPONENT_DO_NOT_ADD_TO_PARENT_TOTAL,,B006,,,explicit_actual_cost,,,,,5.272875341586769,
SUBCOMPONENT_DO_NOT_ADD_TO_PARENT_TOTAL,,B006,,,durable_state_prepare,,,,,8.151322865858674,
DERIVED_NONEXCLUSIVE_COMMIT_REMAINDER_NOT_PURE_IO,,B006,,,publication_hash_transfer_misc_remainder,,,,,11.799029189161956,
,,B006,1070164098,,pure_filesystem_IO,,NOT_SEPARATELY_TIMED_INCLUDED_IN_COMMIT,,,,
,17.411197147332132,B007,,1,oracle_initial,18.985383613966405,,,,36.658638602122664,
,261.19672901928425,B007,,15,oracle_accepted,285.2421515993774,,,,549.7186547648162,
,156.78910075500607,B007,,9,oracle_rejected,171.12256183568388,,,,330.03750391770154,
,,B007,,,evaluation_current,,,True,1300,43.77763430029154,
OVERLAPPING_DO_NOT_SUM_COMPONENTS,,B007,,,flow_total_including_oracle,,,,,916.5342645915225,
OVERLAPPING_DO_NOT_SUM_COMPONENTS,,B007,,,preparation_total,,,,,28.24504366889596,
OVERLAPPING_DO_NOT_SUM_COMPONENTS,,B007,,,commit_total,,,,,66.79100978560746,
OVERLAPPING_DO_NOT_SUM_COMPONENTS,,B007,,,batch_total,,,,,1060.170857252553,
AS_RECORDED_NOT_ADDITIONAL_ORACLES,,B007,,,work_cache_transfer_seconds,,,,,,0.10972804948687553
AS_RECORDED_NOT_ADDITIONAL_ORACLES,,B007,,,work_head_positions,,,,,,17650
AS_RECORDED_NOT_ADDITIONAL_ORACLES,,B007,,,work_oracle_calls,,,,,,25
AS_RECORDED_NOT_ADDITIONAL_ORACLES,,B007,,,work_prefix_forward_microbatches,,,,,,350
AS_RECORDED_NOT_ADDITIONAL_ORACLES,,B007,,,work_prefix_padded_tokens,,,,,,12250
AS_RECORDED_NOT_ADDITIONAL_ORACLES,,B007,,,work_prefix_seconds,,,,,,3.4738976759836078
AS_RECORDED_NOT_ADDITIONAL_ORACLES,,B007,,,work_prefix_valid_tokens,,,,,,10971
AS_RECORDED_NOT_ADDITIONAL_ORACLES,,B007,,,work_suffix_backward_microbatches,,,,,,8750
AS_RECORDED_NOT_ADDITIONAL_ORACLES,,B007,,,work_suffix_backward_seconds,,,,,,435.39702692162246
AS_RECORDED_NOT_ADDITIONAL_ORACLES,,B007,,,work_suffix_forward_loss_seconds,,,,,,475.3500970490277
AS_RECORDED_NOT_ADDITIONAL_ORACLES,,B007,,,work_suffix_forward_microbatches,,,,,,8750
AS_RECORDED_NOT_ADDITIONAL_ORACLES,,B007,,,work_suffix_padded_tokens,,,,,,306250
AS_RECORDED_NOT_ADDITIONAL_ORACLES,,B007,,,work_suffix_valid_tokens,,,,,,274275
AS_RECORDED_NOT_ADDITIONAL_ORACLES,,B007,,,work_teacher_head_positions,,,,,,100
AS_RECORDED_NOT_ADDITIONAL_ORACLES,,B007,,,work_teacher_suffix_head_seconds,,,,,,5.0478903241455555
AS_RECORDED_NOT_ADDITIONAL_ORACLES,,B007,,,work_teacher_suffix_microbatches,,,,,,100
AS_RECORDED_NOT_ADDITIONAL_ORACLES,,B007,,,work_teacher_suffix_tokens,,,,,,2786
SUBCOMPONENT_DO_NOT_ADD_TO_PARENT_TOTAL,,B007,,,native_keys,,,,,18.645563170313835,
SUBCOMPONENT_DO_NOT_ADD_TO_PARENT_TOTAL,,B007,,,native_geometry,,,,,0.7967146188020706,
SUBCOMPONENT_DO_NOT_ADD_TO_PARENT_TOTAL,,B007,,,prefix_teacher_combined,,,,,8.657139256596565,
SUBCOMPONENT_DO_NOT_ADD_TO_PARENT_TOTAL,,B007,,,terminal_physical_parity,,,,,41.56918574683368,
SUBCOMPONENT_DO_NOT_ADD_TO_PARENT_TOTAL,,B007,,,explicit_actual_cost,,,,,5.397105710580945,
SUBCOMPONENT_DO_NOT_ADD_TO_PARENT_TOTAL,,B007,,,durable_state_prepare,,,,,7.998397359624505,
DERIVED_NONEXCLUSIVE_COMMIT_REMAINDER_NOT_PURE_IO,,B007,,,publication_hash_transfer_misc_remainder,,,,,11.826320968568325,
,,B007,1070164125,,pure_filesystem_IO,,NOT_SEPARATELY_TIMED_INCLUDED_IN_COMMIT,,,,
,17.41957247070968,B008,,1,oracle_initial,19.044183265417814,,,,36.76573644205928,
,261.2224431205541,B008,,15,oracle_accepted,286.3958419589326,,,,550.5534611791372,
,156.71038763504475,B008,,9,oracle_rejected,171.73776168935,,,,330.34183392766863,
,,B008,,,evaluation_current,,,True,1300,43.25158819742501,
OVERLAPPING_DO_NOT_SUM_COMPONENTS,,B008,,,flow_total_including_oracle,,,,,917.7800021478906,
OVERLAPPING_DO_NOT_SUM_COMPONENTS,,B008,,,preparation_total,,,,,28.650231522507966,
OVERLAPPING_DO_NOT_SUM_COMPONENTS,,B008,,,commit_total,,,,,66.8659075954929,
OVERLAPPING_DO_NOT_SUM_COMPONENTS,,B008,,,batch_total,,,,,1061.0901255458593,
AS_RECORDED_NOT_ADDITIONAL_ORACLES,,B008,,,work_cache_transfer_seconds,,,,,,0.10682849027216434
AS_RECORDED_NOT_ADDITIONAL_ORACLES,,B008,,,work_head_positions,,,,,,17800
AS_RECORDED_NOT_ADDITIONAL_ORACLES,,B008,,,work_oracle_calls,,,,,,25
AS_RECORDED_NOT_ADDITIONAL_ORACLES,,B008,,,work_prefix_forward_microbatches,,,,,,350
AS_RECORDED_NOT_ADDITIONAL_ORACLES,,B008,,,work_prefix_padded_tokens,,,,,,12242
AS_RECORDED_NOT_ADDITIONAL_ORACLES,,B008,,,work_prefix_seconds,,,,,,3.47536953818053
AS_RECORDED_NOT_ADDITIONAL_ORACLES,,B008,,,work_prefix_valid_tokens,,,,,,10917
AS_RECORDED_NOT_ADDITIONAL_ORACLES,,B008,,,work_suffix_backward_microbatches,,,,,,8750
AS_RECORDED_NOT_ADDITIONAL_ORACLES,,B008,,,work_suffix_backward_seconds,,,,,,435.3524032263085
