batch,population,metric,numerator,denominator,percent,request_denominator,ties,desired_strict_n,desired_strict_d,new_strict_n,true_strict_n,desired_token_correct,desired_token_d,all_prompt_strict_requests,new_nll_mean,new_nll_median,new_nll_p90,new_nll_p95,new_nll_p99,new_nll_min,new_nll_max,true_nll_mean,true_nll_median,true_nll_p90,true_nll_p95,true_nll_p99,true_nll_min,true_nll_max,desired_margin_mean,desired_margin_median,desired_margin_p90,desired_margin_p95,desired_margin_p99,desired_margin_min,desired_margin_max
4,CURRENT100,PS,167,200,83.5,100,0,116,200,116,9,118,202,41,2.4184274113495485,0.9014402329921722,7.697729921340942,10.377640247344964,12.546965827941893,0.0003333727945573628,13.141266822814941,7.3289404317364095,7.302408218383789,12.385295009613037,15.002125644683836,18.81573316574096,0.09896033257246017,20.54255485534668,4.910513020386861,5.466644826345146,10.961058854684232,14.170158105925653,18.787004187908018,-11.299436330795288,20.50960621982813
4,CURRENT100,NS,823,1000,82.3,100,0,222,1000,19,222,222,1000,2,9.78027631263435,9.746429443359375,14.555939769744873,16.208085918426512,20.377768611907957,0.15919913351535797,22.826431274414062,4.980590664961724,4.5600645542144775,10.440204143524172,11.971295881271361,14.706431226730345,0.0016686100279912353,18.336986541748047,4.799685647672624,4.578522205352783,11.391788399219513,13.039101815223693,16.74784705877304,-10.957441806793213,20.34907903894782
5,CURRENT100,RS,98,100,98.0,100,0,98,100,98,1,99,101,98,0.16230601946474052,0.015010025352239609,0.13128979876637514,0.25768790543079373,1.171134074926427,0.0007720588473603129,10.984024047851562,10.088265026509761,10.027010917663574,14.741996002197265,17.664856433868405,19.97792280197146,0.3088570535182953,24.81439781188965,9.925959007045021,10.015826454386115,14.730368448002263,17.664044677081982,19.97474683253679,-6.069362640380859,24.81246515235398
5,CURRENT100,PS,164,200,82.0,100,0,99,200,99,13,101,202,37,2.478704333498899,1.460659384727478,6.595661211013793,8.70898718833923,10.317352819442718,0.0005077026435174048,15.906085968017578,6.959222777187824,6.533605098724365,11.956448936462403,12.927167797088622,16.600643405914298,0.1435246467590332,19.474510192871094,4.480518443688925,4.677376789972186,10.2183269880712,11.705861013289537,15.687715746108426,-10.250187158584595,19.456437848508358
5,CURRENT100,NS,849,1000,84.9,100,0,275,1000,14,275,275,1000,1,9.57385478886217,9.329521179199219,14.399254894256593,15.751051712036132,18.565303573608396,0.0485154464840889,21.28701400756836,4.434043809820083,3.575345516204834,9.598894405364991,11.615518712997437,15.10277298927306,0.001821407931856811,18.206106185913086,5.139810979042085,5.386927291750908,10.960626220703126,12.870326096424833,15.457329150289297,-10.954506874084473,17.938939452171326
6,CURRENT100,RS,98,100,98.0,100,0,98,100,98,1,102,104,98,0.10931069679558277,0.021209281869232655,0.09672851860523246,0.30879162997007314,2.057408621311194,0.0004085659747943282,3.3186869621276855,10.612453626841306,10.43843698501587,15.596185398101808,16.42048759460449,19.834578323364266,0.23233740031719208,21.380395889282227,10.503142930045724,10.395803266204894,15.532065944280475,16.417998092807828,19.829421059107418,-3.0863495618104935,21.37897199485451
6,CURRENT100,PS,174,200,87.0,100,0,95,200,95,4,101,208,26,2.492228972692974,1.4895169734954834,6.576807641983032,7.50504503250122,10.52011756896972,0.0021402565762400627,11.448070526123047,8.060562752634286,7.984787702560425,12.847252559661865,13.820616292953492,16.29399116516113,0.4821554720401764,16.73374366760254,5.568333779941313,5.321933746337891,11.533171504735947,13.23976983744651,15.114226580560194,-4.548545688390732,16.603774731978774
6,CURRENT100,NS,811,1000,81.1,100,0,186,1000,12,186,206,1020,2,9.765987013883889,9.820330142974854,14.442400646209716,15.473521757125852,17.31549686431885,0.034379854798316956,20.56396484375,5.230140022444888,4.741546154022217,10.573095703125,11.82023239135742,14.061473064422607,0.0018274764297530055,16.580331802368164,4.5358469914390005,4.514304041862488,11.095773935317993,12.660296273231506,16.025143682807684,-11.78415022790432,16.894057659432292
7,CURRENT100,RS,99,100,99.0,100,0,98,100,98,0,99,101,98,0.09367832232732326,0.016399111598730087,0.0779732070863247,0.16922042444348287,2.2879028272628794,0.00025459862081333995,2.4987754821777344,9.99680035829544,9.781650066375732,15.376325607299808,16.686433696746825,19.979650726318376,1.4508028030395508,23.326641082763672,9.903122035968117,9.758104646578431,15.369970404566269,16.668108213040977,19.9618412115297,-1.0101232528686523,23.32579922361765
7,CURRENT100,PS,176,200,88.0,100,0,120,200,120,7,122,202,39,2.175734654130647,0.7324236631393433,6.446079874038696,9.117061185836791,10.766398639678952,0.0006104036583565176,12.063966751098633,7.143925126921386,6.79451584815979,11.912872600555419,13.67611141204834,16.423968448638917,0.02235160395503044,21.970232009887695,4.968190472790739,5.089287308976054,11.039547230210156,13.120461904257532,15.640870788008899,-9.213895723223686,21.964955447241664
7,CURRENT100,NS,851,1000,85.1,100,0,278,1000,28,278,288,1010,0,9.176991016943008,9.225067138671875,13.903989601135255,15.28499412536621,17.178121280670165,0.05944361165165901,19.561569213867188,4.114130152181723,3.247481942176819,9.195514678955078,10.918071651458739,14.452499465942383,0.003065412864089012,16.173486709594727,5.062860864761285,5.293193459510803,10.854116255044937,12.519840037822723,15.435860739946362,-12.493627786636353,19.086417496204376
8,CURRENT100,RS,100,100,100.0,100,0,99,100,99,0,101,102,99,0.04561274771986064,0.01269301027059555,0.0564240135252476,0.08984361030161372,0.5819980627298413,0.0008673481643199921,1.7108337879180908,10.490743126869202,10.223451137542725,15.920888805389405,17.8461501121521,20.909551753997803,2.18633770942688,21.2692813873291,10.44513037914934,10.20856693573296,15.913716435292736,17.838886641082354,20.90800508143031,0.47550392150878906,21.264901112765074
8,CURRENT100,PS,170,200,85.0,100,0,109,200,109,9,113,204,38,2.371816113613313,0.8730222284793854,6.869881343841552,9.798198890686034,12.973649578094479,0.0013185387942939997,17.009517669677734,7.391556704230607,7.508670091629028,12.022943592071533,13.386307144165036,16.633899574279784,0.015106439590454102,19.518054962158203,5.019740590617293,5.24870091676712,10.64464346487075,12.026675410859749,16.343238914099057,-13.408573865890503,19.515661721583456
8,CURRENT100,NS,838,1000,83.8,100,0,238,1000,24,238,238,1000,0,9.191841273355298,9.051210880279541,14.60236110687256,15.96921315193176,18.659134826660154,0.0019848900847136974,21.970428466796875,4.453678661976708,3.6149901151657104,9.977980899810792,11.528525829315186,13.9887926197052,0.0011398254428058863,17.53946876525879,4.7381626113785895,4.544486165046692,11.393106287717819,13.114771205186843,16.418874046206472,-11.574545566458255,19.80514144897461
9,CURRENT100,RS,100,100,100.0,100,0,100,100,100,0,100,100,100,0.048060506233014166,0.01629098691046238,0.07612907513976108,0.1331719577312469,0.5513512867689158,0.0005921755800954998,1.0333490371704102,10.340906491279602,9.454258441925049,15.449363803863525,16.842306709289552,21.27120986938477,2.3096234798431396,21.909839630126953,10.292845985046588,9.42922031832859,15.407750614173711,16.840079026296735,21.270570710007455,2.1079426407814026,21.9045490748249
9,CURRENT100,PS,173,200,86.5,100,0,119,200,119,7,119,200,38,1.9971280689392006,0.5928950011730194,6.0280180931091305,7.5331162214279175,9.256014156341552,0.0003325386205688119,11.152661323547363,7.733949280977249,7.419739007949829,12.996152877807617,14.46450638771057,17.998537921905513,0.12933194637298584,19.444454193115234,5.736821212038048,5.3399186516180634,12.7097744544968,13.997684428223867,17.736598988854087,-6.928157329559326,19.443845576490276
9,CURRENT100,NS,805,1000,80.5,100,0,236,1000,54,236,246,1010,0,8.65953211652767,8.783829689025879,13.927540588378907,15.129175662994383,18.149198799133302,0.0008844992844387889,19.870336532592773,4.575996576751699,3.9741601943969727,9.645461654663086,11.20211062431335,14.852601480484005,0.0017021704697981477,19.52944564819336,4.08353553977597,4.43205064535141,10.34311084151268,12.254752280563116,15.900608935803172,-16.181949129560962,19.6439621001482
10,CURRENT100,RS,99,100,99.0,100,0,98,100,98,1,99,101,98,0.11650425360756345,0.012226252816617489,0.0614624973386528,0.11320112198591217,1.8717647850513732,0.00019739109848160297,7.189407825469971,11.094161542654037,10.549187660217285,16.201550865173342,17.841239929199215,20.57211002349855,0.44825446605682373,22.953115463256836,10.977657289046475,10.501284685917199,16.195652746537235,17.833365067749398,20.56908088172758,-1.3697967529296875,22.952841796184657
10,CURRENT100,PS,170,200,85.0,100,0,112,200,112,6,114,202,40,2.528319257401163,1.017116129398346,7.605542564392089,9.502937984466552,11.390039739608753,0.0026419993955641985,17.21076202392578,7.853430420905352,7.742252826690674,12.716412162780761,13.811147451400743,19.265751819610593,0.1774749457836151,19.638254165649414,5.325111163504189,5.018465101718903,12.466200202703474,13.805298100528294,19.261831897785886,-8.78697919845581,19.631211936008185
10,CURRENT100,NS,831,1000,83.1,100,0,254,1000,29,254,254,1000,0,8.964684021236375,8.908396244049072,14.376463127136232,15.866672086715694,19.31962802886963,0.02893313579261303,22.1361026763916,4.484013347394299,3.857857823371887,9.595297527313232,11.468297481536863,14.319937543869015,0.004653695039451122,16.18349266052246,4.480670673842076,4.48637056350708,10.876484674215318,12.838549442589283,15.697637840509415,-11.916536392644048,19.70697045326233
11,CURRENT100,RS,100,100,100.0,100,0,99,100,99,0,100,101,99,0.07958541508196504,0.016062971204519272,0.05232397280633451,0.20790008455514852,1.4195479094982226,0.00017474555352237076,2.962763786315918,10.367347626686096,10.369134902954102,14.193984317779542,15.649525356292724,19.837673721313486,2.4680795669555664,21.34324836730957,10.28776221160413,10.16121864784509,14.156888758391142,15.641813885280861,19.837476857406298,2.3229540586471558,21.340861786389723
11,CURRENT100,PS,176,200,88.0,100,0,108,200,108,5,110,202,36,2.302946324975346,1.0642167925834656,6.649959421157837,7.4252326488494855,10.992697362899776,0.001050040009431541,12.375384330749512,7.165003404170275,6.935405254364014,11.595570468902588,12.559442806243895,14.786211709976193,0.2922223210334778,19.69940757751465,4.862057079194929,4.8694585263729095,10.466336627304551,11.832167378178564,14.626930392757053,-10.313762664794922,19.69263847125694
11,CURRENT100,NS,805,1000,80.5,100,0,241,1000,32,241,271,1030,0,8.63221839035023,8.64929723739624,13.393098068237306,14.518677139282227,17.488324489593506,0.011131566017866135,20.101741790771484,4.520835780801485,3.9594703912734985,9.575820350646973,11.2859797000885,13.4760227394104,0.001141849672421813,21.287755966186523,4.111382609548746,4.101728305220604,10.41792551279068,11.892044054716823,14.398759427703917,-14.321582707576454,19.85556876892224
12,CURRENT100,RS,100,100,100.0,100,0,100,100,100,0,104,104,100,0.06327142439607997,0.013353179674595594,0.12387114763259892,0.3211715817451476,0.7761301910877251,0.00020037073409184813,1.2248543500900269,11.075812363624573,10.910146713256836,16.3248556137085,18.526383972167967,20.484489326477064,3.0336108207702637,22.996828079223633,11.012540939228494,10.881069795228541,16.27483117775992,18.525558141910004,20.48229481387419,2.8125564754009247,22.99169992050156
12,CURRENT100,PS,176,200,88.0,100,0,117,200,117,3,125,208,41,2.0433835854771316,0.6082106232643127,6.014189434051511,7.774884462356566,12.167505207061758,0.0011926926672458649,16.6274471282959,7.704246404503937,7.0240137577056885,12.447199058532714,14.015536069869995,16.877058238983153,0.007431126665323973,21.139698028564453,5.660862819026806,5.836480110883713,11.876133538782597,13.264624015381559,15.983812025529325,-10.02065896987915,21.13626961177215
12,CURRENT100,NS,840,1000,84.0,100,0,211,1000,23,211,251,1040,0,9.143858396023512,8.819618225097656,14.37803783416748,16.12911043167114,19.05764989852905,0.03545840084552765,20.710969924926758,4.4505126979742196,4.134988307952881,9.02598934173584,10.667799472808836,13.584272956848144,0.0005940818227827549,16.224485397338867,4.693345698049292,4.505330324172974,11.322899103164673,13.018942900747058,16.77724547713995,-9.632711410522461,19.463522627949715
13,CURRENT100,RS,100,100,100.0,100,0,99,100,99,0,99,100,99,0.03856480708171148,0.018467379733920097,0.063931154459715,0.09175842069089403,0.21831646770239316,0.0008126770262606442,1.0693504810333252,10.074359493255615,9.341403007507324,15.456871986389162,16.296361064910887,17.784306411743167,4.022259712219238,18.244373321533203,10.035794686173904,9.328238273970783,15.450609940057621,16.28894839589484,17.780692172013225,3.9465016052126884,18.22043372131884
13,CURRENT100,PS,176,200,88.0,100,0,126,200,126,5,126,200,46,2.035886633589398,0.6043704748153687,6.455844736099243,7.770199584960937,11.648263292312608,0.002475176239386201,13.255918502807617,7.419490060843527,7.133767604827881,12.275784778594971,14.36799836158752,16.35972929000852,0.10088414698839188,20.794267654418945,5.383603427254129,5.244157373905182,11.730788978002964,13.281006662198319,16.35367420617256,-9.839832305908203,20.750415548682213
13,CURRENT100,NS,828,1000,82.8,100,0,208,1000,32,208,238,1030,0,9.064042340166866,8.961838722229004,14.632705211639404,16.15529441833496,19.055428829193115,0.007442012894898653,21.9605655670166,4.575754930837662,4.020596027374268,9.568156814575195,11.472563600540159,13.5967272567749,0.0005532164941541851,19.57561683654785,4.488287409329205,4.421376466751099,10.61323383972049,12.512988066143588,15.979518968462942,-14.336002456955612,20.60932532354491
14,CURRENT100,RS,100,100,100.0,100,0,100,100,100,0,100,100,100,0.05820465724740643,0.019827435724437237,0.07638835459947588,0.19266203269362422,0.9348042356967943,0.000417741306591779,1.2498663663864136,10.618122491836548,9.694431781768799,15.768226623535158,17.183775520324705,20.438884315490725,4.241652011871338,20.94282341003418,10.559917834589141,9.622106357477605,15.765903020929548,16.860638189176093,20.432761062723586,4.208396948873997,20.936557651963085
14,CURRENT100,PS,168,200,84.0,100,0,116,200,116,5,116,200,41,2.411733383614046,0.635405421257019,7.371664142608642,8.876569938659665,11.732228498458857,0.0006811682251282036,13.774809837341309,7.624261460453272,7.383599758148193,12.140335750579833,13.75389666557311,16.260584011077864,0.3201003968715668,18.719133377075195,5.2125280768392255,5.701239140704274,11.382942034461303,12.881164089962834,15.97496169436721,-11.221692740917206,18.315293073654175
14,CURRENT100,NS,797,1000,79.7,100,0,212,1000,37,212,222,1010,0,8.913762699456885,8.911503314971924,14.51778964996338,15.943032360076904,18.72715854644775,0.008039022795855999,24.64798927307129,4.778786109390901,4.060034990310669,10.156155300140382,11.778469610214234,14.729404945373533,0.002626899629831314,20.87620735168457,4.134976590065984,3.867546796798706,10.641663837432862,12.20306214764714,15.894371362179514,-12.523212884552777,21.746814727783203
15,CURRENT100,RS,99,100,99.0,100,0,98,100,98,0,100,102,98,0.12049851135023346,0.014748590998351574,0.06763028055429468,0.10622926130890846,2.880164144039176,8.332382276421413e-05,7.115494251251221,11.638781554698944,11.33880615234375,17.194478416442873,19.669155883789063,20.516580905914314,3.246025562286377,21.559507369995117,11.51828304334871,11.321504566818476,17.192879005952275,19.66543322643265,20.514533203614416,-3.8694686889648438,21.542831173166633
15,CURRENT100,PS,170,200,85.0,100,0,116,200,116,13,119,204,42,1.9891131440823664,0.6037066280841827,5.811277055740356,8.077702951431272,11.439747381210319,0.00167444150429219,17.17601203918457,8.046534803668036,8.046570777893066,13.529383945465087,15.785776329040523,18.75120998382568,0.018901588395237923,20.49464225769043,6.05742165958567,6.536951864138246,13.067033851053564,14.891483138501643,17.053916568756087,-11.411878822371364,20.3147212266922
15,CURRENT100,NS,800,1000,80.0,100,0,192,1000,41,192,202,1010,0,8.868568903486244,8.890416622161865,14.319761180877686,15.698919343948363,18.298248195648192,0.012270321138203144,20.574508666992188,4.592735850858735,4.136761665344238,9.244998836517334,10.640727186203003,13.034180393218993,0.003040217561647296,17.097639083862305,4.27583305262751,4.206476271152496,11.139760637283326,12.678047813475132,15.370317426621913,-10.033137384802103,20.549520133063197
16,CURRENT100,RS,100,100,100.0,100,0,100,100,100,0,100,100,100,0.025390947949199473,0.013197994325309992,0.053714356943964994,0.08173888325691223,0.15196789234876723,0.0004076126788277179,0.32550129294395447,10.92038586616516,10.754770278930664,16.90359783172608,18.599379444122313,25.559907398223878,3.12610125541687,25.90314483642578,10.894994918215962,10.711569184903055,16.89469865900465,18.588407764054136,25.526800646900668,3.0466270223259926,25.90094129811041
16,CURRENT100,PS,182,200,91.0,100,0,126,200,126,6,126,200,44,1.5883059205703467,0.4679817706346512,4.543980550765991,6.023491573333737,11.677896022796613,0.0001486429391661659,16.31692123413086,7.603972279429436,7.222165107727051,13.05314826965332,14.645017957687369,17.64358768463134,0.1034805029630661,21.556949615478516,6.0156663588590895,5.777384012937546,12.044515046849845,13.957841922342771,17.114170629046853,-7.06143856048584,21.510618343949318
16,CURRENT100,NS,754,1000,75.4,100,0,227,1000,49,227,237,1010,0,8.06674432838522,7.811171054840088,13.666913890838625,15.441173982620237,18.159361572265624,0.011834058910608292,23.416851043701172,4.617704198386986,3.853124260902405,9.597338199615479,11.479261398315428,14.692874374389648,0.0005797850899398327,18.66704750061035,3.449040129998233,3.240816354751587,10.071605968475343,11.666156417131424,14.99028657611459,-13.896676763892174,20.106528596952558
17,CURRENT100,RS,100,100,100.0,100,0,99,100,99,0,101,102,99,0.03675246730796061,0.013440022245049477,0.06133522912859921,0.09619537852704524,0.322064096033577,0.0002809368306770921,1.0648726224899292,10.35011090874672,10.11297607421875,15.618371105194095,16.825765323638915,19.830504055023212,1.8293849229812622,23.13164520263672,10.313358441438758,10.10129600763321,15.614452368614733,16.79844307973981,19.827325096973237,1.5148239433765411,23.130378333851695
17,CURRENT100,PS,181,200,90.5,100,0,133,200,133,9,136,204,50,1.6454607676927118,0.34641407430171967,4.978025197982788,7.49531021118164,9.652294225692739,0.0009311868925578892,11.493475914001465,7.669549595117569,7.684969663619995,11.638871097564698,13.372955465316766,16.76105234146115,0.06762850284576416,21.90016746520996,6.024088827424857,6.3997015580534935,11.401278695091605,12.343771275226011,16.755876335739128,-8.238968014717102,21.894478085450828
17,CURRENT100,NS,756,1000,75.6,100,0,213,1000,63,213,213,1000,1,8.333121894611978,8.550751209259033,13.727059555053712,14.853648710250852,17.693547592163082,0.002398473210632801,22.011281967163086,4.822925303731114,3.980844020843506,10.404873466491699,12.2481086730957,14.847700405120849,0.004980419762432575,19.111814498901367,3.5101965908808634,3.522253155708313,10.233742579817774,11.852523139119146,14.835051535815,-19.109416025690734,21.961296156048775
18,CURRENT100,RS,99,100,99.0,100,0,99,100,99,0,99,100,99,0.08140015327720902,0.015550922136753798,0.08083823919296267,0.11888777650892732,0.8104512095451529,0.0005407063290476799,4.192204475402832,10.404046468734741,10.156554698944092,16.18443489074707,17.612536811828612,18.78309665679932,2.137845039367676,19.638708114624023,10.322646315457533,10.1359005846316,16.17448507472873,17.606162803590998,18.771321767398625,-2.0543594360351562,19.636651367647573
18,CURRENT100,PS,180,200,90.0,100,0,129,200,129,4,129,200,48,1.7998502203228417,0.43264614045619965,5.551030921936035,7.216919231414792,10.387738952636711,0.0005509527400135994,11.324981689453125,7.741813047379256,7.588206052780151,12.177358722686765,13.911717987060543,16.361219596862792,0.455046683549881,18.132898330688477,5.941962827056414,6.119941737502813,11.139357694983481,13.49813761396799,16.300737612480297,-8.919018149375916,18.106648046523333
18,CURRENT100,NS,815,1000,81.5,100,0,233,1000,35,233,243,1010,0,8.672157476714812,8.797259330749512,13.948979949951172,15.363168764114375,17.727030372619627,0.005485956557095051,24.395814895629883,4.54307011237368,3.9479814767837524,9.418887138366701,10.958718681335446,14.3705193901062,0.006585443392395973,18.745967864990234,4.1290873643411325,3.941916823387146,10.428248873353006,12.72673880085349,15.53443212509155,-11.869193077087402,20.17199388705194
19,CURRENT100,RS,100,100,100.0,100,0,100,100,100,0,100,100,100,0.051837598091442484,0.013097858056426048,0.06446465514600304,0.13607298284769057,0.8006987053155928,6.913899414939806e-05,1.376859426498413,10.94841136932373,10.841632843017578,16.22401905059815,18.546831321716308,19.501925659179687,1.8929822444915771,19.551511764526367,10.896573771232289,10.746072233188897,16.22285760446758,18.543011547310744,19.496946471577978,0.5161228179931641,19.548462989972904
19,CURRENT100,PS,171,200,85.5,100,0,114,200,114,13,114,200,44,2.214432487730519,0.6471531093120575,6.66488971710205,9.112484264373775,11.738265390396112,0.0010030006524175406,13.541511535644531,7.421028022198007,7.280513763427734,12.722808074951171,13.518462753295891,15.331850605010958,0.03073570691049099,20.457664489746094,5.206595534467487,4.850028853863478,12.481995329260826,13.403589824959626,15.322747165977468,-13.51077582873404,18.35530640464276
19,CURRENT100,NS,798,1000,79.8,100,0,244,1000,41,244,244,1000,0,8.892828231362627,8.989784240722656,13.841186046600342,15.546215534210203,18.166587867736816,0.005917055532336235,20.629873275756836,4.477832053617458,3.6392691135406494,9.834360790252687,11.325555181503294,14.471782331466674,0.00043585337698459625,17.483821868896484,4.414996177745168,4.623634189367294,10.674226582050323,12.363845009915531,16.171464824229478,-11.779714345932007,20.626781360944733
20,CURRENT100,RS,100,100,100.0,100,0,99,100,99,0,99,100,99,0.05589130804786691,0.016117283143103123,0.07506664842367179,0.1444950327277183,0.23163320481778318,0.00031931069679558277,2.4144515991210938,10.997013039588929,10.676855564117432,16.569832420349123,17.681737709045407,20.04782341003418,4.53674840927124,20.197420120239258,10.941121731541061,10.572959922254086,16.512328185699882,17.671161746419966,20.0475031912938,4.016485214233398,20.197010005183984
20,CURRENT100,PS,185,200,92.5,100,0,118,200,118,4,118,200,39,1.8022962824643036,0.6661195456981659,5.908625555038451,7.285467362403856,10.131990423202513,0.00020632999076042324,13.478317260742188,7.843533028960228,7.443798065185547,12.294795894622803,13.569743442535398,21.656881256103514,0.31941187381744385,22.819255828857422,6.041236746495924,6.016244541853666,11.805656229844315,13.416455824300645,17.588879989929808,-7.465806365013123,22.81904949886666
20,CURRENT100,NS,799,1000,79.9,100,0,228,1000,53,228,248,1020,0,9.036053764682263,9.12196683883667,14.66756868362427,15.951225709915157,18.833778228759765,0.0051215640269219875,23.210290908813477,4.6966542507844276,3.974419355392456,9.852922725677491,11.564662265777585,14.150869588851924,0.0006926044588908553,18.445528030395508,4.339399513897836,4.364829838275909,11.181867527961732,12.82410957107785,16.39094459891319,-13.395104782655835,23.14552797563374
21,CURRENT100,RS,100,100,100.0,100,0,100,100,100,0,102,102,100,0.032292949630209476,0.01550364587455988,0.07663260996341709,0.10738493837416171,0.14566300466656873,0.00015090756642166525,0.5100584626197815,10.739117815494538,9.991323471069336,16.229655456542968,17.441168117523187,22.002177352905278,3.5135610103607178,23.155452728271484,10.706824865864327,9.98242264520377,16.227903757011518,17.426643362711175,21.971771984400554,3.460523698478937,23.155301820705063
21,CURRENT100,PS,166,200,83.0,100,0,119,200,119,11,123,204,42,2.163474880301219,0.6769316792488098,6.981096076965332,8.505320119857785,13.596253938674916,0.0006673493189737201,16.103212356567383,7.670518817119301,7.048722505569458,12.962212848663329,14.977454566955565,19.15311256408691,0.10453281551599503,19.633989334106445,5.507043936818081,5.57221131818369,12.114825711026787,14.229229912906877,18.781621592976148,-10.054277420043945,19.559156969189644
21,CURRENT100,NS,778,1000,77.8,100,0,219,1000,50,219,239,1020,0,8.70020346131362,8.773844718933105,14.212456417083741,16.280765056610107,19.01247634887695,0.008532614447176456,20.675735473632812,4.503142748028622,3.640772581100464,10.04868221282959,11.693795013427726,15.48929557800293,0.0010795724811032414,19.027137756347656,4.197060713284999,4.208082139492035,11.174045875668526,12.79952421188354,17.18304915368557,-13.780849650502205,20.2958787381649
