batch,layer,norm,relative_norm
26,model.layers.5.mlp.down_proj.weight,1.5014967746734966,0.01925563020023827
26,model.layers.6.mlp.down_proj.weight,1.8045976214013215,0.023154013471205326
26,model.layers.7.mlp.down_proj.weight,2.094927212402081,0.02650001675765837
26,model.layers.8.mlp.down_proj.weight,3.2946562770246293,0.04160808066760169
27,model.layers.4.mlp.down_proj.weight,1.2733725967369522,0.0163965239044063
27,model.layers.5.mlp.down_proj.weight,1.5000348470936178,0.01923460704046102
27,model.layers.6.mlp.down_proj.weight,1.8012193900272826,0.02310826180163748
27,model.layers.7.mlp.down_proj.weight,2.089706259714122,0.026431253290543202
27,model.layers.8.mlp.down_proj.weight,3.2699548805327425,0.0412810319818917
28,model.layers.4.mlp.down_proj.weight,1.281910975595756,0.016504302062786236
28,model.layers.5.mlp.down_proj.weight,1.5109508847169437,0.01937235576883349
28,model.layers.6.mlp.down_proj.weight,1.8163468142800685,0.023299733885654234
28,model.layers.7.mlp.down_proj.weight,2.101771768407356,0.026580631834831097
28,model.layers.8.mlp.down_proj.weight,3.2872714400918785,0.04148333346259541
29,model.layers.4.mlp.down_proj.weight,1.3035113567070098,0.016780212978545934
29,model.layers.5.mlp.down_proj.weight,1.5334880532523587,0.01965905563155733
29,model.layers.6.mlp.down_proj.weight,1.8350727823559274,0.023537284362894664
29,model.layers.7.mlp.down_proj.weight,2.1183920519143196,0.026788068763341284
29,model.layers.8.mlp.down_proj.weight,3.3026299419778593,0.04166108350374036
30,model.layers.4.mlp.down_proj.weight,1.288046493580933,0.016578924445810803
30,model.layers.5.mlp.down_proj.weight,1.5253903968590314,0.019552886828979415
30,model.layers.6.mlp.down_proj.weight,1.8202586889045973,0.023344539227730277
30,model.layers.7.mlp.down_proj.weight,2.107869150181339,0.026651775062945048
30,model.layers.8.mlp.down_proj.weight,3.30557694065825,0.041682197194443375
31,model.layers.4.mlp.down_proj.weight,1.3053804393959165,0.01679979172284352
31,model.layers.5.mlp.down_proj.weight,1.539180718472117,0.01972733771442818
31,model.layers.6.mlp.down_proj.weight,1.8452148967635977,0.02366217168758655
31,model.layers.7.mlp.down_proj.weight,2.1317265413042454,0.02695041820685
31,model.layers.8.mlp.down_proj.weight,3.3299432804080684,0.04197303673607511
32,model.layers.4.mlp.down_proj.weight,1.3197669361992936,0.016982649487483324
32,model.layers.5.mlp.down_proj.weight,1.5522397472237928,0.019892160473986672
32,model.layers.6.mlp.down_proj.weight,1.855771602395405,0.02379473692156655
32,model.layers.7.mlp.down_proj.weight,2.137376951291806,0.027018581047112373
32,model.layers.8.mlp.down_proj.weight,3.331121743144005,0.04197011729675232
33,model.layers.4.mlp.down_proj.weight,1.323961477844239,0.017034289666714778
33,model.layers.5.mlp.down_proj.weight,1.5520058011434534,0.01988665575291041
33,model.layers.6.mlp.down_proj.weight,1.8513518575828698,0.0237352968142103
33,model.layers.7.mlp.down_proj.weight,2.1363989734035895,0.027002867774941496
33,model.layers.8.mlp.down_proj.weight,3.351216290305796,0.042206166698247276
34,model.layers.4.mlp.down_proj.weight,1.3103694843229017,0.016857060237223245
34,model.layers.5.mlp.down_proj.weight,1.5441057383952599,0.019782987939210163
34,model.layers.6.mlp.down_proj.weight,1.846687669356328,0.023672602079020277
34,model.layers.7.mlp.down_proj.weight,2.1257009679992316,0.026864132641328062
34,model.layers.8.mlp.down_proj.weight,3.3180774904599146,0.041770486252202914
35,model.layers.4.mlp.down_proj.weight,1.3322860443765394,0.01713667381982909
35,model.layers.5.mlp.down_proj.weight,1.56388257880633,0.02003389588548986
35,model.layers.6.mlp.down_proj.weight,1.8642421764711503,0.023894709025619333
35,model.layers.7.mlp.down_proj.weight,2.1461541819664203,0.027119383750020203
35,model.layers.8.mlp.down_proj.weight,3.350289056703346,0.04215789338839835
36,model.layers.4.mlp.down_proj.weight,1.3424647730451622,0.017265234096121494
36,model.layers.5.mlp.down_proj.weight,1.5794848495856697,0.020231189977566233
36,model.layers.6.mlp.down_proj.weight,1.885634616000904,0.02416599315887605
