entry,arm,phase,ledger,name,value
Middle,R,arm_increment,seconds,curve_evaluation,125.478008357808
Middle,R,arm_increment,seconds,full_evaluation,147.72160147037357
Middle,R,arm_increment,seconds,generation,90.26554351113737
Middle,R,arm_increment,seconds,grouped_objective,317.3473701309413
Middle,EP,shared_entry_or_interarm_setup,counts,nominal_shadow_sweep_reused,1
Middle,EP,arm_increment,counts,actual_model_forward_invocations,7252
Middle,EP,arm_increment,counts,actual_model_forward_sequences,23120
Middle,EP,arm_increment,counts,actual_model_forward_tokens,321046
Middle,EP,arm_increment,counts,analytic_action_gradient,7
Middle,EP,arm_increment,counts,coefficient_gradient_pullback,28
Middle,EP,arm_increment,counts,edit_backward,2184
Middle,EP,arm_increment,counts,essence_backward,350
Middle,EP,arm_increment,counts,evaluation_candidate_sequences,14400
Middle,EP,arm_increment,counts,evaluation_input_tokens,156964
Middle,EP,arm_increment,counts,evaluation_materialization,5
Middle,EP,arm_increment,counts,evaluation_model_forwards,1812
Middle,EP,arm_increment,counts,evaluation_restore,5
Middle,EP,arm_increment,counts,generation_output_tokens,1920
Middle,EP,arm_increment,counts,generation_sequences,60
Middle,EP,arm_increment,counts,gradient_sweeps,7
Middle,EP,arm_increment,counts,nominal_shadow_sweeps,2
Middle,EP,arm_increment,counts,request_gradient_observer_bmm,2184
Middle,EP,arm_increment,counts,training_forward,3520
Middle,EP,arm_increment,counts,training_sequences,6800
Middle,EP,arm_increment,counts,training_tokens,104114
Middle,EP,arm_increment,seconds,curve_evaluation,125.48702049162239
Middle,EP,arm_increment,seconds,full_evaluation,147.5781274056062
Middle,EP,arm_increment,seconds,generation,90.26677072886378
Middle,EP,arm_increment,seconds,grouped_objective,358.6273807119578
Early,H,shared_entry_or_interarm_setup,counts,actual_model_forward_invocations,1054
Early,H,shared_entry_or_interarm_setup,counts,actual_model_forward_sequences,3704
Early,H,shared_entry_or_interarm_setup,counts,actual_model_forward_tokens,46334
Early,H,shared_entry_or_interarm_setup,counts,analytic_action_gradient,1
Early,H,shared_entry_or_interarm_setup,counts,coefficient_gradient_pullback,4
Early,H,shared_entry_or_interarm_setup,counts,edit_backward,312
Early,H,shared_entry_or_interarm_setup,counts,essence_backward,50
Early,H,shared_entry_or_interarm_setup,counts,evaluation_candidate_sequences,2200
Early,H,shared_entry_or_interarm_setup,counts,evaluation_input_tokens,24214
Early,H,shared_entry_or_interarm_setup,counts,evaluation_materialization,2
Early,H,shared_entry_or_interarm_setup,counts,evaluation_model_forwards,278
Early,H,shared_entry_or_interarm_setup,counts,evaluation_restore,2
Early,H,shared_entry_or_interarm_setup,counts,gradient_sweeps,1
Early,H,shared_entry_or_interarm_setup,counts,request_gradient_observer_bmm,312
Early,H,shared_entry_or_interarm_setup,counts,teacher_forward,50
Early,H,shared_entry_or_interarm_setup,counts,teacher_sequences,100
Early,H,shared_entry_or_interarm_setup,counts,teacher_tokens,692
Early,H,shared_entry_or_interarm_setup,counts,training_forward,725
Early,H,shared_entry_or_interarm_setup,counts,training_sequences,1402
Early,H,shared_entry_or_interarm_setup,counts,training_tokens,21406
Early,H,shared_entry_or_interarm_setup,seconds,actual_weight_gate,0.12451541051268578
Early,H,shared_entry_or_interarm_setup,seconds,curve_evaluation,41.93152408115566
Early,H,shared_entry_or_interarm_setup,seconds,essence_teacher,2.8496033120900393
Early,H,shared_entry_or_interarm_setup,seconds,geometry,6.727720201015472
Early,H,shared_entry_or_interarm_setup,seconds,grouped_objective,65.31559997517616
Early,H,shared_entry_or_interarm_setup,seconds,model_load,14.167320703156292
Early,H,arm_increment,counts,actual_model_forward_invocations,4708
Early,H,arm_increment,counts,actual_model_forward_sequences,20000
Early,H,arm_increment,counts,actual_model_forward_tokens,242020
Early,H,arm_increment,counts,analytic_action_gradient,7
Early,H,arm_increment,counts,coefficient_gradient_pullback,28
Early,H,arm_increment,counts,edit_backward,2184
Early,H,arm_increment,counts,essence_backward,350
Early,H,arm_increment,counts,evaluation_candidate_sequences,14400
Early,H,arm_increment,counts,evaluation_input_tokens,156484
Early,H,arm_increment,counts,evaluation_materialization,4
Early,H,arm_increment,counts,evaluation_model_forwards,1812
Early,H,arm_increment,counts,evaluation_restore,4
Early,H,arm_increment,counts,gradient_sweeps,7
Early,H,arm_increment,counts,request_gradient_observer_bmm,2184
Early,H,arm_increment,counts,training_forward,2896
Early,H,arm_increment,counts,training_sequences,5600
Early,H,arm_increment,counts,training_tokens,85536
Early,H,arm_increment,seconds,curve_evaluation,125.9806002350524
Early,H,arm_increment,seconds,full_evaluation,145.45080728270113
Early,H,arm_increment,seconds,grouped_objective,317.9102978464216
Early,R,arm_increment,counts,actual_model_forward_invocations,4708
Early,R,arm_increment,counts,actual_model_forward_sequences,20000
Early,R,arm_increment,counts,actual_model_forward_tokens,242020
Early,R,arm_increment,counts,analytic_action_gradient,7
Early,R,arm_increment,counts,coefficient_gradient_pullback,28
Early,R,arm_increment,counts,edit_backward,2184
Early,R,arm_increment,counts,essence_backward,350
Early,R,arm_increment,counts,evaluation_candidate_sequences,14400
Early,R,arm_increment,counts,evaluation_input_tokens,156484
Early,R,arm_increment,counts,evaluation_materialization,4
Early,R,arm_increment,counts,evaluation_model_forwards,1812
Early,R,arm_increment,counts,evaluation_restore,4
Early,R,arm_increment,counts,gradient_sweeps,7
Early,R,arm_increment,counts,request_gradient_observer_bmm,2184
Early,R,arm_increment,counts,training_forward,2896
Early,R,arm_increment,counts,training_sequences,5600
Early,R,arm_increment,counts,training_tokens,85536
Early,R,arm_increment,seconds,curve_evaluation,126.00267717149109
Early,R,arm_increment,seconds,full_evaluation,145.68984331469983
Early,R,arm_increment,seconds,grouped_objective,317.7982173282653
Early,EP,shared_entry_or_interarm_setup,counts,nominal_shadow_sweep_reused,1
Early,EP,arm_increment,counts,actual_model_forward_invocations,5332
Early,EP,arm_increment,counts,actual_model_forward_sequences,21200
Early,EP,arm_increment,counts,actual_model_forward_tokens,262020
Early,EP,arm_increment,counts,analytic_action_gradient,7
Early,EP,arm_increment,counts,coefficient_gradient_pullback,28
Early,EP,arm_increment,counts,edit_backward,2184
Early,EP,arm_increment,counts,essence_backward,350
Early,EP,arm_increment,counts,evaluation_candidate_sequences,14400
Early,EP,arm_increment,counts,evaluation_input_tokens,156484
Early,EP,arm_increment,counts,evaluation_materialization,4
Early,EP,arm_increment,counts,evaluation_model_forwards,1812
Early,EP,arm_increment,counts,evaluation_restore,4
Early,EP,arm_increment,counts,gradient_sweeps,7
Early,EP,arm_increment,counts,nominal_shadow_sweeps,2
Early,EP,arm_increment,counts,request_gradient_observer_bmm,2184
Early,EP,arm_increment,counts,training_forward,3520
Early,EP,arm_increment,counts,training_sequences,6800
Early,EP,arm_increment,counts,training_tokens,105536
Early,EP,arm_increment,seconds,curve_evaluation,126.03713246062398
Early,EP,arm_increment,seconds,full_evaluation,145.50196299981326
Early,EP,arm_increment,seconds,grouped_objective,359.61169607099146
Late,H,shared_entry_or_interarm_setup,counts,actual_model_forward_invocations,1054
Late,H,shared_entry_or_interarm_setup,counts,actual_model_forward_sequences,3704
Late,H,shared_entry_or_interarm_setup,counts,actual_model_forward_tokens,46548
Late,H,shared_entry_or_interarm_setup,counts,analytic_action_gradient,1
Late,H,shared_entry_or_interarm_setup,counts,coefficient_gradient_pullback,4
Late,H,shared_entry_or_interarm_setup,counts,edit_backward,312
Late,H,shared_entry_or_interarm_setup,counts,essence_backward,50
Late,H,shared_entry_or_interarm_setup,counts,evaluation_candidate_sequences,2200
Late,H,shared_entry_or_interarm_setup,counts,evaluation_input_tokens,24032
Late,H,shared_entry_or_interarm_setup,counts,evaluation_materialization,2
Late,H,shared_entry_or_interarm_setup,counts,evaluation_model_forwards,278
Late,H,shared_entry_or_interarm_setup,counts,evaluation_restore,2
Late,H,shared_entry_or_interarm_setup,counts,gradient_sweeps,1
Late,H,shared_entry_or_interarm_setup,counts,request_gradient_observer_bmm,312
Late,H,shared_entry_or_interarm_setup,counts,teacher_forward,50
Late,H,shared_entry_or_interarm_setup,counts,teacher_sequences,100
Late,H,shared_entry_or_interarm_setup,counts,teacher_tokens,738
Late,H,shared_entry_or_interarm_setup,counts,training_forward,725
Late,H,shared_entry_or_interarm_setup,counts,training_sequences,1402
Late,H,shared_entry_or_interarm_setup,counts,training_tokens,21760
Late,H,shared_entry_or_interarm_setup,seconds,actual_weight_gate,0.12301630713045597
Late,H,shared_entry_or_interarm_setup,seconds,curve_evaluation,42.569055245257914
Late,H,shared_entry_or_interarm_setup,seconds,essence_teacher,2.8592132218182087
Late,H,shared_entry_or_interarm_setup,seconds,geometry,6.76717799436301
Late,H,shared_entry_or_interarm_setup,seconds,grouped_objective,65.15668089594692
Late,H,shared_entry_or_interarm_setup,seconds,model_load,14.876734755933285
Late,H,arm_increment,counts,actual_model_forward_invocations,4708
Late,H,arm_increment,counts,actual_model_forward_sequences,20000
Late,H,arm_increment,counts,actual_model_forward_tokens,242140
Late,H,arm_increment,counts,analytic_action_gradient,7
Late,H,arm_increment,counts,coefficient_gradient_pullback,28
Late,H,arm_increment,counts,edit_backward,2184
Late,H,arm_increment,counts,essence_backward,350
Late,H,arm_increment,counts,evaluation_candidate_sequences,14400
Late,H,arm_increment,counts,evaluation_input_tokens,155172
Late,H,arm_increment,counts,evaluation_materialization,4
Late,H,arm_increment,counts,evaluation_model_forwards,1812
Late,H,arm_increment,counts,evaluation_restore,4
Late,H,arm_increment,counts,gradient_sweeps,7
Late,H,arm_increment,counts,request_gradient_observer_bmm,2184
Late,H,arm_increment,counts,training_forward,2896
Late,H,arm_increment,counts,training_sequences,5600
Late,H,arm_increment,counts,training_tokens,86968
Late,H,arm_increment,seconds,curve_evaluation,128.28634680993855
Late,H,arm_increment,seconds,full_evaluation,148.94118978455663
Late,H,arm_increment,seconds,grouped_objective,317.73974294867367
Late,R,arm_increment,counts,actual_model_forward_invocations,4708
Late,R,arm_increment,counts,actual_model_forward_sequences,20000
Late,R,arm_increment,counts,actual_model_forward_tokens,242140
Late,R,arm_increment,counts,analytic_action_gradient,7
Late,R,arm_increment,counts,coefficient_gradient_pullback,28
Late,R,arm_increment,counts,edit_backward,2184
Late,R,arm_increment,counts,essence_backward,350
Late,R,arm_increment,counts,evaluation_candidate_sequences,14400
Late,R,arm_increment,counts,evaluation_input_tokens,155172
Late,R,arm_increment,counts,evaluation_materialization,4
Late,R,arm_increment,counts,evaluation_model_forwards,1812
Late,R,arm_increment,counts,evaluation_restore,4
Late,R,arm_increment,counts,gradient_sweeps,7
Late,R,arm_increment,counts,request_gradient_observer_bmm,2184
Late,R,arm_increment,counts,training_forward,2896
Late,R,arm_increment,counts,training_sequences,5600
Late,R,arm_increment,counts,training_tokens,86968
Late,R,arm_increment,seconds,curve_evaluation,128.49553652387112
Late,R,arm_increment,seconds,full_evaluation,148.8495419798419
Late,R,arm_increment,seconds,grouped_objective,317.9728251192719
Late,EP,shared_entry_or_interarm_setup,counts,nominal_shadow_sweep_reused,1
Late,EP,arm_increment,counts,actual_model_forward_invocations,5332
Late,EP,arm_increment,counts,actual_model_forward_sequences,21200
Late,EP,arm_increment,counts,actual_model_forward_tokens,262406
Late,EP,arm_increment,counts,analytic_action_gradient,7
Late,EP,arm_increment,counts,coefficient_gradient_pullback,28
Late,EP,arm_increment,counts,edit_backward,2184
Late,EP,arm_increment,counts,essence_backward,350
Late,EP,arm_increment,counts,evaluation_candidate_sequences,14400
Late,EP,arm_increment,counts,evaluation_input_tokens,155172
Late,EP,arm_increment,counts,evaluation_materialization,4
Late,EP,arm_increment,counts,evaluation_model_forwards,1812
Late,EP,arm_increment,counts,evaluation_restore,4
Late,EP,arm_increment,counts,gradient_sweeps,7
Late,EP,arm_increment,counts,nominal_shadow_sweeps,2
Late,EP,arm_increment,counts,request_gradient_observer_bmm,2184
Late,EP,arm_increment,counts,training_forward,3520
Late,EP,arm_increment,counts,training_sequences,6800
Late,EP,arm_increment,counts,training_tokens,107234
Late,EP,arm_increment,seconds,curve_evaluation,128.35315243154764
Late,EP,arm_increment,seconds,full_evaluation,149.02746931184083
Late,EP,arm_increment,seconds,grouped_objective,359.87477689329535
Middle,EP-Free,shared_entry_or_interarm_setup,counts,actual_model_forward_invocations,52
Middle,EP-Free,shared_entry_or_interarm_setup,counts,actual_model_forward_sequences,104
Middle,EP-Free,shared_entry_or_interarm_setup,counts,actual_model_forward_tokens,715
Middle,EP-Free,shared_entry_or_interarm_setup,counts,evaluation_materialization,1
Middle,EP-Free,shared_entry_or_interarm_setup,counts,evaluation_restore,1
Middle,EP-Free,shared_entry_or_interarm_setup,counts,initial_gradient_sweep_reused,1
Middle,EP-Free,shared_entry_or_interarm_setup,counts,teacher_forward,50
Middle,EP-Free,shared_entry_or_interarm_setup,counts,teacher_sequences,100
Middle,EP-Free,shared_entry_or_interarm_setup,counts,teacher_tokens,693
Middle,EP-Free,shared_entry_or_interarm_setup,counts,training_forward,1
Middle,EP-Free,shared_entry_or_interarm_setup,counts,training_sequences,2
Middle,EP-Free,shared_entry_or_interarm_setup,counts,training_tokens,11
Middle,EP-Free,shared_entry_or_interarm_setup,seconds,actual_weight_gate,0.12070544809103012
Middle,EP-Free,shared_entry_or_interarm_setup,seconds,essence_teacher,2.8652371810749173
Middle,EP-Free,shared_entry_or_interarm_setup,seconds,geometry,6.618660750798881
Middle,EP-Free,shared_entry_or_interarm_setup,seconds,model_load,15.33643037918955
Middle,EP-Free,arm_increment,counts,actual_model_forward_invocations,4708
Middle,EP-Free,arm_increment,counts,actual_model_forward_sequences,20000
Middle,EP-Free,arm_increment,counts,actual_model_forward_tokens,241364
Middle,EP-Free,arm_increment,counts,analytic_action_gradient,7
Middle,EP-Free,arm_increment,counts,coefficient_gradient_pullback,28
Middle,EP-Free,arm_increment,counts,edit_backward,2184
Middle,EP-Free,arm_increment,counts,essence_backward,350
Middle,EP-Free,arm_increment,counts,evaluation_candidate_sequences,14400
Middle,EP-Free,arm_increment,counts,evaluation_input_tokens,156964
Middle,EP-Free,arm_increment,counts,evaluation_materialization,4
Middle,EP-Free,arm_increment,counts,evaluation_model_forwards,1812
Middle,EP-Free,arm_increment,counts,evaluation_restore,4
Middle,EP-Free,arm_increment,counts,gradient_sweeps,7
Middle,EP-Free,arm_increment,counts,request_gradient_observer_bmm,2184
Middle,EP-Free,arm_increment,counts,training_forward,2896
Middle,EP-Free,arm_increment,counts,training_sequences,5600
Middle,EP-Free,arm_increment,counts,training_tokens,84400
Middle,EP-Free,arm_increment,seconds,curve_evaluation,124.87220733426511
Middle,EP-Free,arm_increment,seconds,full_evaluation,147.5737926447764
Middle,EP-Free,arm_increment,seconds,grouped_objective,317.04133631754667
Middle,EP-J4,arm_increment,counts,actual_model_forward_invocations,4708
Middle,EP-J4,arm_increment,counts,actual_model_forward_sequences,20000
Middle,EP-J4,arm_increment,counts,actual_model_forward_tokens,241364
Middle,EP-J4,arm_increment,counts,analytic_action_gradient,7
Middle,EP-J4,arm_increment,counts,coefficient_gradient_pullback,28
Middle,EP-J4,arm_increment,counts,edit_backward,2184
Middle,EP-J4,arm_increment,counts,essence_backward,350
Middle,EP-J4,arm_increment,counts,evaluation_candidate_sequences,14400
Middle,EP-J4,arm_increment,counts,evaluation_input_tokens,156964
Middle,EP-J4,arm_increment,counts,evaluation_materialization,4
Middle,EP-J4,arm_increment,counts,evaluation_model_forwards,1812
Middle,EP-J4,arm_increment,counts,evaluation_restore,4
Middle,EP-J4,arm_increment,counts,gradient_sweeps,7
Middle,EP-J4,arm_increment,counts,request_gradient_observer_bmm,2184
Middle,EP-J4,arm_increment,counts,training_forward,2896
Middle,EP-J4,arm_increment,counts,training_sequences,5600
Middle,EP-J4,arm_increment,counts,training_tokens,84400
Middle,EP-J4,arm_increment,seconds,curve_evaluation,125.75242525711656
Middle,EP-J4,arm_increment,seconds,full_evaluation,147.50762792024761
Middle,EP-J4,arm_increment,seconds,grouped_objective,317.049599615857
Middle,EP-N16,arm_increment,counts,actual_model_forward_invocations,7604
Middle,EP-N16,arm_increment,counts,actual_model_forward_sequences,25600
Middle,EP-N16,arm_increment,counts,actual_model_forward_tokens,325764
Middle,EP-N16,arm_increment,counts,analytic_action_gradient,15
Middle,EP-N16,arm_increment,counts,coefficient_gradient_pullback,60
Middle,EP-N16,arm_increment,counts,edit_backward,4680
Middle,EP-N16,arm_increment,counts,essence_backward,750
Middle,EP-N16,arm_increment,counts,evaluation_candidate_sequences,14400
Middle,EP-N16,arm_increment,counts,evaluation_input_tokens,156964
Middle,EP-N16,arm_increment,counts,evaluation_materialization,4
Middle,EP-N16,arm_increment,counts,evaluation_model_forwards,1812
Middle,EP-N16,arm_increment,counts,evaluation_restore,4
Middle,EP-N16,arm_increment,counts,gradient_sweeps,15
Middle,EP-N16,arm_increment,counts,request_gradient_observer_bmm,4680
Middle,EP-N16,arm_increment,counts,training_forward,5792
Middle,EP-N16,arm_increment,counts,training_sequences,11200
Middle,EP-N16,arm_increment,counts,training_tokens,168800
Middle,EP-N16,arm_increment,seconds,curve_evaluation,125.58629795629531
Middle,EP-N16,arm_increment,seconds,full_evaluation,147.11315255239606
Middle,EP-N16,arm_increment,seconds,grouped_objective,652.2730041518807
