policy,path,bytes,sha256,coverage,json_type
FROZEN2,/data/janghj/ODE-edit/local/refit4-write-refresh-seq1000/20260914-v1/attempt-r2/output/cell-0/INITIAL_VALID.json,926,a92924c8ca2827d2f68a1d19bbbfcaa6e66f8c7fd974c3fdfa3bbeb86079da0c,FULL_SHA_SIZE_SMALL_UNREFERENCED_JSON,dict
FROZEN2,/data/janghj/ODE-edit/local/refit4-write-refresh-seq1000/20260914-v1/attempt-r2/output/cell-0/entry.json,3069,3c220389f4d45573762fada26bc698cc79df5014dab9d27df839837c9db6f706,FULL_SHA_SIZE_SMALL_UNREFERENCED_JSON,dict
FROZEN2,/data/janghj/ODE-edit/local/refit4-write-refresh-seq1000/20260914-v1/attempt-r2/output/cell-0/process-restore.json,159,9f98ddaa34312a1716dc63420a99a803d79fc53b58acbd18c5f1ed39ade58019,FULL_SHA_SIZE_SMALL_UNREFERENCED_JSON,dict
I2,/data/janghj/ODE-edit/local/refit4-write-refresh-seq1000/20260914-v1/attempt-r2/output/cell-1/B051/entry.json,2279,e6ca7b1b75250fd526a56c96ba3f0f18ab50f16ae020a9b2c96527f5799a5f11,FULL_SHA_SIZE_SMALL_UNREFERENCED_JSON,dict
I2,/data/janghj/ODE-edit/local/refit4-write-refresh-seq1000/20260914-v1/attempt-r2/output/cell-1/B052/entry.json,2277,9263c5145f5b197c78a8bab815977b72217280320d995296d63e86e675a76097,FULL_SHA_SIZE_SMALL_UNREFERENCED_JSON,dict
I2,/data/janghj/ODE-edit/local/refit4-write-refresh-seq1000/20260914-v1/attempt-r2/output/cell-1/B053/entry.json,2270,835075b01dd515d706f48dca1d41e6da1ed6f91592e7b8726f84557ffb6eea25,FULL_SHA_SIZE_SMALL_UNREFERENCED_JSON,dict
I2,/data/janghj/ODE-edit/local/refit4-write-refresh-seq1000/20260914-v1/attempt-r2/output/cell-1/B054/entry.json,2271,12a8305fe7f52f5c506ca362520220f045908108ef84c6289ebf87cdb73c0e77,FULL_SHA_SIZE_SMALL_UNREFERENCED_JSON,dict
I2,/data/janghj/ODE-edit/local/refit4-write-refresh-seq1000/20260914-v1/attempt-r2/output/cell-1/B055/entry.json,2267,c016440cf4dcaa89c76e8b8074c3e2355c37b7cd514eebb203d826ff7cfab541,FULL_SHA_SIZE_SMALL_UNREFERENCED_JSON,dict
I2,/data/janghj/ODE-edit/local/refit4-write-refresh-seq1000/20260914-v1/attempt-r2/output/cell-1/B056/entry.json,2278,b3c91880630ae756d56dbefdba6353dead8b629c42565bd220ac9e117607566d,FULL_SHA_SIZE_SMALL_UNREFERENCED_JSON,dict
I2,/data/janghj/ODE-edit/local/refit4-write-refresh-seq1000/20260914-v1/attempt-r2/output/cell-1/B057/entry.json,2279,3a1fe66f2f92474268c1bbf0842894c7e1ce084f478238e01d2e66d23aefbf4e,FULL_SHA_SIZE_SMALL_UNREFERENCED_JSON,dict
I2,/data/janghj/ODE-edit/local/refit4-write-refresh-seq1000/20260914-v1/attempt-r2/output/cell-1/B058/entry.json,2275,42ce76ee225ef677cbe136b88bebe15640c6c870a5ec64daf9a95e7ee4b59ff8,FULL_SHA_SIZE_SMALL_UNREFERENCED_JSON,dict
I2,/data/janghj/ODE-edit/local/refit4-write-refresh-seq1000/20260914-v1/attempt-r2/output/cell-1/B059/entry.json,2278,02c3994655f9de35fe4ca10b149de254f4226a678146bd7e910c79551ba2d24a,FULL_SHA_SIZE_SMALL_UNREFERENCED_JSON,dict
I2,/data/janghj/ODE-edit/local/refit4-write-refresh-seq1000/20260914-v1/attempt-r2/output/cell-1/B060/entry.json,2275,4743833ceab79fadbba1757cfa973ea1165875bbd71c00bdd4334407b9a10012,FULL_SHA_SIZE_SMALL_UNREFERENCED_JSON,dict
I2,/data/janghj/ODE-edit/local/refit4-write-refresh-seq1000/20260914-v1/attempt-r2/output/cell-1/INITIAL_VALID.json,921,4ca8195a662fc8a4cca30eac2ffa99f7d10ad4c5201a6a21508a513141b27720,FULL_SHA_SIZE_SMALL_UNREFERENCED_JSON,dict
I2,/data/janghj/ODE-edit/local/refit4-write-refresh-seq1000/20260914-v1/attempt-r2/output/cell-1/entry.json,3066,015786cd533416f4147946b7bbb5515f96dbfad0dcdf326c75a74006b45e2626,FULL_SHA_SIZE_SMALL_UNREFERENCED_JSON,dict
I2,/data/janghj/ODE-edit/local/refit4-write-refresh-seq1000/20260914-v1/attempt-r2/output/cell-1/process-restore.json,159,9f98ddaa34312a1716dc63420a99a803d79fc53b58acbd18c5f1ed39ade58019,FULL_SHA_SIZE_SMALL_UNREFERENCED_JSON,dict
FROZEN4,/data/janghj/ODE-edit/local/refit4-write-refresh-seq1000/20260914-v1/attempt-r2/output/cell-2/B051/entry.json,2284,15e255c5be01ddf31bb19d10d5c56d9f79868aa1e85053f2d1262ce2c88ce35d,FULL_SHA_SIZE_SMALL_UNREFERENCED_JSON,dict
FROZEN4,/data/janghj/ODE-edit/local/refit4-write-refresh-seq1000/20260914-v1/attempt-r2/output/cell-2/B052/entry.json,2282,f1d17ba9fd2877d3afa9552b4e92615915c95fee5878d9001d94b3ba90467ccb,FULL_SHA_SIZE_SMALL_UNREFERENCED_JSON,dict
FROZEN4,/data/janghj/ODE-edit/local/refit4-write-refresh-seq1000/20260914-v1/attempt-r2/output/cell-2/B053/entry.json,2275,d0960305987c8ce62314f535d1c79c204a3dfe286948c233661676eeaee3c33f,FULL_SHA_SIZE_SMALL_UNREFERENCED_JSON,dict
FROZEN4,/data/janghj/ODE-edit/local/refit4-write-refresh-seq1000/20260914-v1/attempt-r2/output/cell-2/B054/entry.json,2276,2eb49f88027208e7e99c6e48dd167dbd18a03d0ffb7d074971694e44abc4481c,FULL_SHA_SIZE_SMALL_UNREFERENCED_JSON,dict
FROZEN4,/data/janghj/ODE-edit/local/refit4-write-refresh-seq1000/20260914-v1/attempt-r2/output/cell-2/B055/entry.json,2272,0959e3759c540695f829d5009999d1b97f51ea46d69d2b02f81045b62d078bb6,FULL_SHA_SIZE_SMALL_UNREFERENCED_JSON,dict
FROZEN4,/data/janghj/ODE-edit/local/refit4-write-refresh-seq1000/20260914-v1/attempt-r2/output/cell-2/B056/entry.json,2283,2136ab72bc14357dced7d8f57db232bb3b9f330382deb6a27bdce90571222782,FULL_SHA_SIZE_SMALL_UNREFERENCED_JSON,dict
FROZEN4,/data/janghj/ODE-edit/local/refit4-write-refresh-seq1000/20260914-v1/attempt-r2/output/cell-2/B057/entry.json,2284,6be31460de7a689180f7f7d835a81284db875efac3bd2ff0de8ea7dd42d4b7dc,FULL_SHA_SIZE_SMALL_UNREFERENCED_JSON,dict
FROZEN4,/data/janghj/ODE-edit/local/refit4-write-refresh-seq1000/20260914-v1/attempt-r2/output/cell-2/B058/entry.json,2280,627371876bce971749b3264c934238361cceeecc9dfb3e222a51489d1c50c060,FULL_SHA_SIZE_SMALL_UNREFERENCED_JSON,dict
FROZEN4,/data/janghj/ODE-edit/local/refit4-write-refresh-seq1000/20260914-v1/attempt-r2/output/cell-2/B059/entry.json,2283,0f8b2ee36f09de189e823078ef1b029d4f59ee0761a5a992d29fb58418c8ffe6,FULL_SHA_SIZE_SMALL_UNREFERENCED_JSON,dict
FROZEN4,/data/janghj/ODE-edit/local/refit4-write-refresh-seq1000/20260914-v1/attempt-r2/output/cell-2/B060/entry.json,2280,abc95b680ebc6944e7a0e81ee002f790cdcd112d0f9e4b5e1ee638ef1df2781c,FULL_SHA_SIZE_SMALL_UNREFERENCED_JSON,dict
FROZEN4,/data/janghj/ODE-edit/local/refit4-write-refresh-seq1000/20260914-v1/attempt-r2/output/cell-2/INITIAL_VALID.json,926,c29e1517196117058d45ae7fd68fa5eaeaa1dcdd8972ff2f02abfb1fd50936dc,FULL_SHA_SIZE_SMALL_UNREFERENCED_JSON,dict
FROZEN4,/data/janghj/ODE-edit/local/refit4-write-refresh-seq1000/20260914-v1/attempt-r2/output/cell-2/entry.json,3111,9dda77d79ae7a91df5f866ae3a8ed302f8c91f19664ce94cf545e080941efb97,FULL_SHA_SIZE_SMALL_UNREFERENCED_JSON,dict
FROZEN4,/data/janghj/ODE-edit/local/refit4-write-refresh-seq1000/20260914-v1/attempt-r2/output/cell-2/process-restore.json,159,9f98ddaa34312a1716dc63420a99a803d79fc53b58acbd18c5f1ed39ade58019,FULL_SHA_SIZE_SMALL_UNREFERENCED_JSON,dict
I4,/data/janghj/ODE-edit/local/refit4-write-refresh-seq1000/20260914-v1/attempt-r2/output/cell-3/B051/entry.json,2279,04ce1f1e8dd744ca4d75a6239809d2778f66bb01cd91dad326353b31f397162a,FULL_SHA_SIZE_SMALL_UNREFERENCED_JSON,dict
I4,/data/janghj/ODE-edit/local/refit4-write-refresh-seq1000/20260914-v1/attempt-r2/output/cell-3/B052/entry.json,2277,d6ebe239bdacd0e14eab08adfbdf9732bcd49d04908c498a92d8b5a0075b0fe7,FULL_SHA_SIZE_SMALL_UNREFERENCED_JSON,dict
I4,/data/janghj/ODE-edit/local/refit4-write-refresh-seq1000/20260914-v1/attempt-r2/output/cell-3/B053/entry.json,2270,f0e2723953a539c381d8c678457ef217f20fcbb83068142366a1862b26a865a2,FULL_SHA_SIZE_SMALL_UNREFERENCED_JSON,dict
I4,/data/janghj/ODE-edit/local/refit4-write-refresh-seq1000/20260914-v1/attempt-r2/output/cell-3/B054/entry.json,2271,df196b3ee314ef5c2f8753a856bc76d5627aaef25d4feb13dd925a6f4d8bf4ea,FULL_SHA_SIZE_SMALL_UNREFERENCED_JSON,dict
I4,/data/janghj/ODE-edit/local/refit4-write-refresh-seq1000/20260914-v1/attempt-r2/output/cell-3/B055/entry.json,2267,b51aef8173a8472e21ef703b51e8320ae511e2dc9b4c4da98d9c342eab525455,FULL_SHA_SIZE_SMALL_UNREFERENCED_JSON,dict
I4,/data/janghj/ODE-edit/local/refit4-write-refresh-seq1000/20260914-v1/attempt-r2/output/cell-3/B056/entry.json,2278,6ac08cfd65f2b04cc592b5c70004393d3b6ad6a1ffdf0d7fe4b8e87afa95908e,FULL_SHA_SIZE_SMALL_UNREFERENCED_JSON,dict
I4,/data/janghj/ODE-edit/local/refit4-write-refresh-seq1000/20260914-v1/attempt-r2/output/cell-3/B057/entry.json,2279,abe5fd1e1dc76f69ed0f6196d902c75c832dd8f08205ca55e54ff10bedf7cf6c,FULL_SHA_SIZE_SMALL_UNREFERENCED_JSON,dict
I4,/data/janghj/ODE-edit/local/refit4-write-refresh-seq1000/20260914-v1/attempt-r2/output/cell-3/B058/entry.json,2275,11724845be8e349f1ef3a9c53b96d42fcac9d66dfee1eeae8d33fa5beb04b4e0,FULL_SHA_SIZE_SMALL_UNREFERENCED_JSON,dict
I4,/data/janghj/ODE-edit/local/refit4-write-refresh-seq1000/20260914-v1/attempt-r2/output/cell-3/B059/entry.json,2278,d98a3b134d77a2b5b16c2ba979300189f59b91af34bf1a0e2dfb12de1d477838,FULL_SHA_SIZE_SMALL_UNREFERENCED_JSON,dict
I4,/data/janghj/ODE-edit/local/refit4-write-refresh-seq1000/20260914-v1/attempt-r2/output/cell-3/B060/entry.json,2275,d211b82a17e408dd607d960effdaeaf86c4223f96123b7e81e50c53f15cf961c,FULL_SHA_SIZE_SMALL_UNREFERENCED_JSON,dict
I4,/data/janghj/ODE-edit/local/refit4-write-refresh-seq1000/20260914-v1/attempt-r2/output/cell-3/INITIAL_VALID.json,921,0c50f8d51c6d0d143b73493d950d7fab1ec14216efda3d3691ab6d744aff5947,FULL_SHA_SIZE_SMALL_UNREFERENCED_JSON,dict
I4,/data/janghj/ODE-edit/local/refit4-write-refresh-seq1000/20260914-v1/attempt-r2/output/cell-3/entry.json,3106,d3f8dee8c6faf5c4e33492ef22082d58754ef13dc030f7a13adcb1cdee370085,FULL_SHA_SIZE_SMALL_UNREFERENCED_JSON,dict
I4,/data/janghj/ODE-edit/local/refit4-write-refresh-seq1000/20260914-v1/attempt-r2/output/cell-3/process-restore.json,159,9f98ddaa34312a1716dc63420a99a803d79fc53b58acbd18c5f1ed39ade58019,FULL_SHA_SIZE_SMALL_UNREFERENCED_JSON,dict
