policy,batch,population,metric,group,field,unit,n,mean,median,q25,q75,iqr,p90,p95,p99,min,max
N4,51,current,PS,ALL,desired_margin,PROMPT,200,9.379506608886878,9.451734725385904,6.067334802821279,12.505641185678542,6.438306382857263,15.077803825121373,16.271347151789815,20.40563624324509,-4.696284294128418,22.587824477814138
N4,51,current,PS,ALL,desired_margin,REQUEST_CLUSTER_MEAN,100,9.379506608886878,9.687478847801685,6.414365150034428,11.759316363953985,5.344951213919558,15.224852822953839,16.240452912764155,17.921522305649727,-1.3400096893310547,21.844854903407395
N4,51,current,NS,ALL,new_nll,PROMPT,1000,8.478977541178464,8.530216693878174,5.59169864654541,11.475743532180786,5.884044885635376,13.88793649673462,15.334273815155026,17.44063642501831,0.018377743661403656,21.45707130432129
N4,51,current,NS,ALL,new_nll,REQUEST_CLUSTER_MEAN,100,8.478977541178464,9.023168241977693,6.183482635952532,10.8314390540123,4.647956418059768,12.386615142822267,13.115929245948792,15.477689499855044,1.7657777160406112,15.995222759246825
N4,51,current,NS,ALL,true_nll,PROMPT,1000,5.960385535078124,5.453323602676392,3.2015156745910645,8.327372074127197,5.125856399536133,10.82564926147461,12.417059278488159,15.7279812335968,0.014199178665876389,21.415830612182617
N4,51,current,NS,ALL,true_nll,REQUEST_CLUSTER_MEAN,100,5.960385535078124,5.813966585695743,3.768217547237873,7.440528899431229,3.6723113521933555,9.166023285388947,10.138315749168395,11.98042941665651,1.9134380439296366,14.913577461242676
N4,51,current,NS,ALL,desired_margin,PROMPT,1000,2.5185920061003415,2.7384570837020874,-0.6544275283813477,5.992511123418808,6.646938651800156,8.75967152118683,10.200558774173258,14.002574082612991,-13.430453814566135,17.050587236881256
N4,51,current,NS,ALL,desired_margin,REQUEST_CLUSTER_MEAN,100,2.518592006100342,2.9179289020597934,0.2853608146309853,5.026659959554673,4.741299144923687,7.360266648232944,8.77546476662159,9.600687800586224,-7.44933811724186,9.929013288021087
N4,51,historical,RS,ALL,new_nll,PROMPT,128,0.2323517794548593,0.002506151795387268,0.0009639679919928312,0.0081733965780586,0.007209428586065769,0.10876782163977605,0.5210265547037116,6.579598098993327,8.40390202938579e-05,13.910602569580078
N4,51,historical,RS,ALL,new_nll,REQUEST_CLUSTER_MEAN,128,0.2323517794548593,0.002506151795387268,0.0009639679919928312,0.0081733965780586,0.007209428586065769,0.10876782163977605,0.5210265547037116,6.579598098993327,8.40390202938579e-05,13.910602569580078
N4,51,historical,RS,ALL,true_nll,PROMPT,128,12.81493541970849,12.253590106964111,9.98072600364685,15.564793348312378,5.584067344665527,17.578415870666504,18.629217243194578,22.229232692718508,4.233462333679199,23.541820526123047
N4,51,historical,RS,ALL,true_nll,REQUEST_CLUSTER_MEAN,128,12.81493541970849,12.253590106964111,9.98072600364685,15.564793348312378,5.584067344665527,17.578415870666504,18.629217243194578,22.229232692718508,4.233462333679199,23.541820526123047
N4,51,historical,RS,ALL,desired_margin,PROMPT,128,12.582583640253631,12.223286935826764,9.774986752308905,15.420320574310608,5.645333822001703,17.577318693487904,18.627929957292505,22.22846978510919,2.796626091003418,23.53831239696592
N4,51,historical,RS,ALL,desired_margin,REQUEST_CLUSTER_MEAN,128,12.582583640253631,12.223286935826764,9.774986752308905,15.420320574310608,5.645333822001703,17.577318693487904,18.627929957292505,22.22846978510919,2.796626091003418,23.53831239696592
N4,51,historical,RS,ACTIVE_TARGET,new_nll,PROMPT,124,0.10130754183521803,0.0023250349331647158,0.0009305318526457995,0.00700807967223227,0.006077547819586471,0.021513481996953496,0.22689336687326414,0.9611491137742986,8.40390202938579e-05,8.304216384887695
N4,51,historical,RS,ACTIVE_TARGET,new_nll,REQUEST_CLUSTER_MEAN,124,0.10130754183521803,0.0023250349331647158,0.0009305318526457995,0.00700807967223227,0.006077547819586471,0.021513481996953496,0.22689336687326414,0.9611491137742986,8.40390202938579e-05,8.304216384887695
N4,51,historical,RS,ACTIVE_TARGET,true_nll,PROMPT,124,12.915171811657567,12.282243728637695,10.035894393920898,15.564793348312378,5.5288989543914795,17.581486701965332,18.69592752456665,22.23611555099487,5.19934606552124,23.541820526123047
N4,51,historical,RS,ACTIVE_TARGET,true_nll,REQUEST_CLUSTER_MEAN,124,12.915171811657567,12.282243728637695,10.035894393920898,15.564793348312378,5.5288989543914795,17.581486701965332,18.69592752456665,22.23611555099487,5.19934606552124,23.541820526123047
N4,51,historical,RS,ACTIVE_TARGET,desired_margin,PROMPT,124,12.81386426982235,12.267616415396333,9.974741797690513,15.562294764327817,5.587552966637304,17.58084832064342,18.69500102329766,22.235320761462354,2.796626091003418,23.53831239696592
N4,51,historical,RS,ACTIVE_TARGET,desired_margin,REQUEST_CLUSTER_MEAN,124,12.81386426982235,12.267616415396333,9.974741797690513,15.562294764327817,5.587552966637304,17.58084832064342,18.69500102329766,22.235320761462354,2.796626091003418,23.53831239696592
