policy,batch,population,metric,group,prompt_denominator,request_denominator,numerator,rate,ties,request_all_success_numerator,order_sha256,bit_order_sha256,new_strict_numerator,new_strict_rate,new_request_all_strict_numerator,new_request_all_strict_rate,new_token_correct,new_token_denominator,new_token_accuracy,true_strict_numerator,true_strict_rate,true_request_all_strict_numerator,true_request_all_strict_rate,true_token_correct,true_token_denominator,true_token_accuracy,two_P_request_strict_n,two_P_request_strict_d
I2,60,entry_old,RS,ALL,5000,5000,4981,0.9962,0,4981,cd841b6e61bf9ac05a532be0efce66ec0f65516590256c3253e2ef1938fc3d9a,13169db12baea82dff9acac3c45a1db38877b95ec275f19eb76e35da3c27a5db,4861,0.9722,4861,0.9722,4930,5069,0.9725784178338923,5,0.001,5,0.001,53,5056,0.010482594936708861,,
I2,60,entry_old,RS,ACTIVE_TARGET,4910,4910,4900,0.9979633401221996,0,4900,a33a9ad2716e4ded088e5fc88940747459f82f064d9213d6b05e0fe481f73812,d4a091b845aea18f3183b6981ff0838c6d4340a9bdbe781b91c90e563830c4d4,4830,0.9837067209775967,4830,0.9837067209775967,4898,4978,0.9839292888710326,3,0.0006109979633401223,3,0.0006109979633401223,50,4965,0.010070493454179255,,
I2,60,entry_old,RS,SUPERSEDED,90,90,81,0.9,0,81,5ccd65a9e45ddb4cafad1ea92322d13bb2ca5a0bff825223c6ebacf8564f9b21,d760321117db6de61292fff91acf93ea7535dde08647e68d127042ddef03f728,31,0.34444444444444444,31,0.34444444444444444,32,91,0.3516483516483517,2,0.022222222222222223,2,0.022222222222222223,3,91,0.03296703296703297,,
I2,60,entry_old,RS,UNKNOWN_RELATION,0,0,0,,0,0,4f53cda18c2baa0c0354bb5f9a3ecbe5ed12ab4d8e11ba873c2f11161202b945,4f53cda18c2baa0c0354bb5f9a3ecbe5ed12ab4d8e11ba873c2f11161202b945,0,,0,,0,0,,0,,0,,0,0,,,
I2,60,entry_old,PS,ALL,10000,5000,9652,0.9652,0,4719,1af2f62c84d42f8c2ea43a6f1d38fc060f608cc2ca45f73cd8c1f6fad5b47e9a,843646d53def1d5ab41c32c0df91a65c9314efb1bd1b21d4d9a4e39b991c6fd9,6827,0.6827,2656,0.5312,6962,10138,0.6867232195699349,59,0.0059,8,0.0016,158,10112,0.015625,2656,5000
I2,60,entry_old,PS,ACTIVE_TARGET,9820,4910,9520,0.9694501018329938,0,4665,41e9b63ba1d3658a48b9c164df0da2c3ecabc92b202d9d322bfbbc05e2c5f241,b3dbc7bed010f33bd13c7cb9c86926789e0ce4a7228cedee307240e3f57ad274,6814,0.6938900203665987,2654,0.5405295315682281,6947,9956,0.6977701888308557,54,0.0054989816700610995,6,0.0012219959266802445,151,9930,0.015206445115810674,2654,4910
I2,60,entry_old,PS,SUPERSEDED,180,90,132,0.7333333333333333,0,54,011d00a5ba43b85b756c5e998ae0f17aaa4d2080f302da6427148d9f32253f76,33957c9b66a8d75bd8f74a682c9112a1c36c5ea3df2b131eab31a15225e1caa9,13,0.07222222222222222,2,0.022222222222222223,15,182,0.08241758241758242,5,0.027777777777777776,2,0.022222222222222223,7,182,0.038461538461538464,2,90
I2,60,entry_old,PS,UNKNOWN_RELATION,0,0,0,,0,0,4f53cda18c2baa0c0354bb5f9a3ecbe5ed12ab4d8e11ba873c2f11161202b945,4f53cda18c2baa0c0354bb5f9a3ecbe5ed12ab4d8e11ba873c2f11161202b945,0,,0,,0,0,,0,,0,,0,0,,0,0
I2,60,entry_old,NS,ALL,50000,5000,34509,0.69018,0,1212,03cf69604597a6686e678e3d28f20e8afa0c40922c75d0f3cefa9c8fc7e324e9,9c2e94b2126b0bc79f4aa0d2e9680f8e1139d95da771a0c3af10d3e7fa5f6041,2287,0.04574,0,0.0,2913,50690,0.05746695600710199,5033,0.10066,0,0.0,5542,50560,0.1096123417721519,,
I2,60,entry_old,NS,ACTIVE_TARGET,49100,4910,33933,0.6910997963340122,0,1197,96ba3e9c79ce6f4584ff340f67671de57355bfed301ce3d112054f6bb435bc72,5ad52b7c8f5fd58668e35c21b90b167b2c793284ef8d6b2762e35966cae358a2,2269,0.046211812627291245,0,0.0,2885,49780,0.05795500200883889,4984,0.1015071283095723,0,0.0,5483,49650,0.11043303121852971,,
I2,60,entry_old,NS,SUPERSEDED,900,90,576,0.64,0,15,e8a649115458b5939177521ca58ab4eb4b46761bdef16b2d527a38c4d68bfe61,9b6b52025a336b2a0ec6a67b1d3fde8d89ede1cc78be2b73b49dbd5a653a221b,18,0.02,0,0.0,28,910,0.03076923076923077,49,0.05444444444444444,0,0.0,59,910,0.06483516483516484,,
I2,60,entry_old,NS,UNKNOWN_RELATION,0,0,0,,0,0,4f53cda18c2baa0c0354bb5f9a3ecbe5ed12ab4d8e11ba873c2f11161202b945,4f53cda18c2baa0c0354bb5f9a3ecbe5ed12ab4d8e11ba873c2f11161202b945,0,,0,,0,0,,0,,0,,0,0,,,
I2,60,first_suffix500,RS,ALL,500,500,500,1.0,0,500,cd51ffcc82e26a0ea707888f7a025fe3a874c189e773a3e8cb4a59ee03191b4a,6e91db249630ec95c8b12fdd530d25176be43c530efa9f3741816906704f2b85,497,0.994,497,0.994,504,507,0.9940828402366864,0,0.0,0,0.0,5,506,0.009881422924901186,,
I2,60,first_suffix500,PS,ALL,1000,500,979,0.979,0,482,1fa60daba09234d0046a195f933eb30fbe00efb6f5cce0b08eb081ab593377bb,87aa049312e55c0568cbddb4b94f3d1fc9393c6326d77288fe83f11d3e560bff,729,0.729,292,0.584,743,1014,0.7327416173570019,1,0.001,0,0.0,12,1012,0.011857707509881422,292,500
I2,60,first_suffix500,NS,ALL,5000,500,3576,0.7152,0,139,3888cf778c56fc9e67dbb8321aff30a83076c58fd78e90e9d007d7e043109456,fb1b621bb82b6c2a3086a99be4368454563cbdf23a3af394744612331613e91e,227,0.0454,0,0.0,297,5070,0.058579881656804736,545,0.109,0,0.0,605,5060,0.11956521739130435,,
FROZEN4,60,current,RS,ALL,100,100,100,1.0,0,100,4bbefbfca48174e9b05c32077efdc9b2d4cf4fc8d0d3427fddde13f4a9de57e4,42ff857bdcba0f1327e6a16facd8bbb79664d4d3d5cfe725c9c6be1a207e4938,100,1.0,100,1.0,100,100,1.0,0,0.0,0,0.0,0,101,0.0,,
FROZEN4,60,current,PS,ALL,200,100,198,0.99,0,98,841dd06b98c1b48d7ef0af7a2ae7d14515ec2128551748c7122856e635e71dae,6be149f634adc2e7524a72e7fc56f9c8bd25bd1fb6d2e517db812a54e7f86229,158,0.79,68,0.68,158,200,0.79,0,0.0,0,0.0,0,202,0.0,68,100
FROZEN4,60,current,NS,ALL,1000,100,720,0.72,0,28,2fa78466e1ecb466a066aec3ad38039f88bc7e09c80b645e29c6c8b8dfd6de99,06100e93c4c9c220e91b431aa78fcea1f2f953c9c90ec244c8dc136ef6ae0627,52,0.052,0,0.0,52,1000,0.052,107,0.107,0,0.0,114,1010,0.11287128712871287,,
