policy,cohort_batch,metric,prompt_denominator,request_denominator,numerator,rate,ties,request_all_success_numerator,order_sha256,bit_order_sha256,new_strict_numerator,new_strict_rate,new_request_all_strict_numerator,new_request_all_strict_rate,new_token_correct,new_token_denominator,new_token_accuracy,true_strict_numerator,true_strict_rate,true_request_all_strict_numerator,true_request_all_strict_rate,true_token_correct,true_token_denominator,true_token_accuracy
N4,41,RS,100,100,100,1.0,0,100,17341689c0ba44c9b00d6a90fcc4d315801e1ff8f651a7dd009ba0657e2fc7fc,c92d46dfcaa98b4c44f35e77947a917f0e1c38c064c4ed3d74f541bb03eee7f1,98,0.98,98,0.98,100,102,0.9803921568627451,0,0.0,0,0.0,0,100,0.0
N4,42,RS,100,100,100,1.0,0,100,c9e61b635dcff282615070574200bda36369805ea38dae9845c6df33fae969da,13a4e473e280a5f54ae4a2e0060156e087905249309acb0f601e0310557ee4bf,99,0.99,99,0.99,100,101,0.9900990099009901,0,0.0,0,0.0,0,101,0.0
N4,43,RS,100,100,100,1.0,0,100,d24c9a9ca685cb548692089416e924973b8af1f709b5ac5e16b32035b13cc188,4ce01a253dcb753421f2f64e2b228cb30fb085f46f19050d765958752b3d2276,99,0.99,99,0.99,101,102,0.9901960784313726,0,0.0,0,0.0,0,100,0.0
N4,44,RS,100,100,100,1.0,0,100,4067b02c199c5f95498f7a72fbc24e2e21d68e95934a47ca8fee4d61f0844ce3,4b5d19e51f0f3e78b2745d8bebced80f650b4274c4fab4bdc7eeffb02c86d35c,99,0.99,99,0.99,101,102,0.9901960784313726,0,0.0,0,0.0,2,102,0.0196078431372549
N4,45,RS,100,100,99,0.99,0,99,6b9c83d0c14f7812ae666a85890f4ca8fe8034fc948802faa24cd9b6ab669877,1b73f06a4142dff1ba865ca7821c33e27639af9dcd0653990e88fa14e817842b,98,0.98,98,0.98,99,101,0.9801980198019802,1,0.01,1,0.01,2,101,0.019801980198019802
N4,46,RS,100,100,100,1.0,0,100,c606fc8424910c45be689d831d63b9ed6048c4d8bc3399cc4c13727c50ed00e4,8aae5f4043ed6fbf67d0c274b3326db6d473bf0302ba4b5d559aaae63c2a5261,99,0.99,99,0.99,100,101,0.9900990099009901,0,0.0,0,0.0,1,101,0.009900990099009901
N4,47,RS,100,100,100,1.0,0,100,f3552da44cf0c128b67169525209768424e3eadf6b6e99b7f9639990ba7cfd77,9373647d3e8c362c1afd7b374f268451a841d3d8665f5962f8ff2d6adac4f05a,98,0.98,98,0.98,99,101,0.9801980198019802,0,0.0,0,0.0,1,102,0.00980392156862745
N4,48,RS,100,100,100,1.0,0,100,39377d8b0561b346a1fee90dc09b13eacb8fe7fb04b37f69fcef14fdc4a81e7c,ea3da4a83c6c327ac2cfabe046a8435698ba8ff80ddf8a2b4cf262535475398b,99,0.99,99,0.99,101,102,0.9901960784313726,0,0.0,0,0.0,1,101,0.009900990099009901
N4,49,RS,100,100,100,1.0,0,100,2b4b71d32a887a5b5a5f3030dec19fb45379bc01d3a0ca6a2f0789c2176f16a4,90a3cceeb8cb2346578d681e45e9bd0e4a665072c80363ca60e9daa4dfad5286,100,1.0,100,1.0,100,100,1.0,0,0.0,0,0.0,0,100,0.0
N4,50,RS,100,100,100,1.0,0,100,f26a356538e40c53990b280351ca4d2fd8312ebf4970e81ad401bc206bab89ab,a804ee10389958b2ae4fd425afdbaf7f0a66cda092b2878197f2ea1e29283f1a,100,1.0,100,1.0,104,104,1.0,0,0.0,0,0.0,1,101,0.009900990099009901
N4,51,RS,100,100,100,1.0,0,100,037ac4c321813f6b1a964a42b9567a98c85645bd6a744769d43309f24dcc173a,f25c4b7fc99e44cae74e94023459c9d894a593121838ee26bb6afc7677bded7a,99,0.99,99,0.99,100,101,0.9900990099009901,0,0.0,0,0.0,3,103,0.02912621359223301
N4,52,RS,100,100,100,1.0,0,100,9ce14fa299ca8dcee036469556c46b98b8058b19a957abba146d23cab698a66d,903db6e08ea7635d3148674c9c9d994d8abec61200636dd219b1fd97a1a0b7f2,100,1.0,100,1.0,102,102,1.0,0,0.0,0,0.0,2,102,0.0196078431372549
N4,53,RS,100,100,100,1.0,0,100,7f26d60f9749d58c9df819bebcead3a696752da99a6280a5167af62ca9c29732,33c722daf0ae7f527ad3b83ebdd89187a6b1927c6399a9f75070ebb1be3a693c,99,0.99,99,0.99,101,102,0.9901960784313726,0,0.0,0,0.0,0,100,0.0
