policy,batch,tensor,raw_sha256,state_sha256,dtype,shape,source
I2,60,M4,10af59dbd1e84ab3f73a6448d26e19a7e19b0008bd4bc5cab40c7dcff7ae8dc6,6b86b57fb7a57cbdd37728da53d336f24639da5ad8c78e9e62dff442fd6129af,torch.float32,"[1, 14336, 14336]",CPU_CHECKPOINT_SELECTED_TENSOR
FROZEN4,51,W4,e11dd9951df65dad3da81f0bcca90e57e53166a16903614fcff9bec093ff62f7,d19c14e8c80247783bc140e2be6275735f01308bf1a319f16ec5affbe89fd603,torch.float32,"[4096, 14336]",CPU_CHECKPOINT_SELECTED_TENSOR
FROZEN4,51,M4,902fed612a4b2e2e2b8b9edabdbaef9d8e45edf9d748bcae3a35e91eafe94c05,0a4cd42cf4a40adcec21d339279249a9cbce18431eaf155523421369274cb788,torch.float32,"[1, 14336, 14336]",CPU_CHECKPOINT_SELECTED_TENSOR
FROZEN4,55,W4,bf2b5e6040c1f2f6a73045808652017a7c5a2dfd20d4972d4ce2920cea4e15c6,a024ea3968158032a31853e9750dcaa2ba887f5d750acfa2183b93ead9df4035,torch.float32,"[4096, 14336]",CPU_CHECKPOINT_SELECTED_TENSOR
FROZEN4,55,M4,49f7f8f93d98a9206d0cafabbd33e4f2039b5efa5828eb4755591ac4670bfae6,51b2e58922586df1aac1728b4e8152cd1e9a03a50d4086990ed057a1b21a1ea5,torch.float32,"[1, 14336, 14336]",CPU_CHECKPOINT_SELECTED_TENSOR
FROZEN4,60,W4,435969aef8f729fe85c988dc1662862abc4eee02ec41d0d2fdd413a1626546a8,3e7e9f0b67a0a241360e6e22c56d5a6451b411e4493a20bf87f032b7c9177767,torch.float32,"[4096, 14336]",CPU_CHECKPOINT_SELECTED_TENSOR
FROZEN4,60,M4,10af59dbd1e84ab3f73a6448d26e19a7e19b0008bd4bc5cab40c7dcff7ae8dc6,6b86b57fb7a57cbdd37728da53d336f24639da5ad8c78e9e62dff442fd6129af,torch.float32,"[1, 14336, 14336]",CPU_CHECKPOINT_SELECTED_TENSOR
I4,51,W4,fdfb9aaeb2f4f3cab2c22642fe253a3be4fc40ca9522d8b0adf5e5b582684db0,293cd1d97c64a91a9b0ec570b75b7603e967ca33b7e78a88cd5b3f17e5441086,torch.float32,"[4096, 14336]",CPU_CHECKPOINT_SELECTED_TENSOR
I4,51,M4,902fed612a4b2e2e2b8b9edabdbaef9d8e45edf9d748bcae3a35e91eafe94c05,0a4cd42cf4a40adcec21d339279249a9cbce18431eaf155523421369274cb788,torch.float32,"[1, 14336, 14336]",CPU_CHECKPOINT_SELECTED_TENSOR
I4,55,W4,b08ff946aaf276fa1d9170e341a4f34d889d181566974dadb163944495e4deff,2094518ca9c387f4ac89f790bfd9c88d167ef36355ba7991d1535375c53321c7,torch.float32,"[4096, 14336]",CPU_CHECKPOINT_SELECTED_TENSOR
I4,55,M4,49f7f8f93d98a9206d0cafabbd33e4f2039b5efa5828eb4755591ac4670bfae6,51b2e58922586df1aac1728b4e8152cd1e9a03a50d4086990ed057a1b21a1ea5,torch.float32,"[1, 14336, 14336]",CPU_CHECKPOINT_SELECTED_TENSOR
I4,60,W4,e6b8447ac3285d9913d6293a7050b716f8b7c4bd48e5ea06b07d1256a887af57,f6a8235dfe5c2d211a2e40d2fe2b0b4a7b3b89d4792cd3c521150597899d5979,torch.float32,"[4096, 14336]",CPU_CHECKPOINT_SELECTED_TENSOR
I4,60,M4,10af59dbd1e84ab3f73a6448d26e19a7e19b0008bd4bc5cab40c7dcff7ae8dc6,6b86b57fb7a57cbdd37728da53d336f24639da5ad8c78e9e62dff442fd6129af,torch.float32,"[1, 14336, 14336]",CPU_CHECKPOINT_SELECTED_TENSOR
