before,after,population,group,metric,d,delta,delta_pp,lost,gained,strict_delta,desired_NLL_mean,desired_NLL_p95,desired_NLL_p99,competing_NLL_mean
FROZEN4,I4,entry_old,ACTIVE_TARGET,PS,9820,-1,-0.010183299389002037,25,24,-9,0.002600718074343922,0.347902098298072,0.7733676624298093,-0.01563230983708092
FROZEN4,I4,entry_old,SUPERSEDED,PS,180,3,1.6666666666666667,2,5,-2,0.04089205405778355,0.76119430065155,1.4089674758911155,-0.019277681074001723
FROZEN4,I4,entry_old,UNKNOWN_RELATION,PS,0,0,,0,0,0,,,,
FROZEN4,I4,entry_old,ALL,NS,50000,42,0.084,727,769,15,-0.007314597373588476,0.6913759469985954,1.2476867151260396,-0.009708847472205597
FROZEN4,I4,entry_old,ACTIVE_TARGET,NS,49100,40,0.0814663951120163,715,755,13,-0.008510451461733822,0.6905619859695431,1.239508743286135,-0.010244205768968008
FROZEN4,I4,entry_old,SUPERSEDED,NS,900,2,0.2222222222222222,12,14,2,0.05792588676856313,0.8043428421020508,1.3968694496154785,0.019497921828943717
FROZEN4,I4,entry_old,UNKNOWN_RELATION,NS,0,0,,0,0,0,,,,
FROZEN4,I4,fullseen,ALL,RS,6000,-2,-0.03333333333333333,3,1,-4,0.003425772083911397,0.014628867246210632,0.22883974194526688,-0.05081949348251025
FROZEN4,I4,fullseen,ACTIVE_TARGET,RS,5904,-1,-0.016937669376693765,2,1,-5,0.0032132420199951933,0.011368470825254889,0.15650004863739073,-0.05254890731861436
FROZEN4,I4,fullseen,SUPERSEDED,RS,96,-1,-1.0416666666666667,1,0,1,0.016496371014757944,0.7951352596282959,1.19825768470764,0.05553945743789276
FROZEN4,I4,fullseen,UNKNOWN_RELATION,RS,0,0,,0,0,0,,,,
FROZEN4,I4,fullseen,ALL,PS,12000,-1,-0.008333333333333333,34,33,-9,-0.00014580260911316146,0.40108689069747877,0.9962893486022951,-0.016419105201571558
FROZEN4,I4,fullseen,ACTIVE_TARGET,PS,11808,-4,-0.03387533875338753,32,28,-7,-0.0010324463755430494,0.3863068789243695,0.9777978789806382,-0.016638691318448542
FROZEN4,I4,fullseen,SUPERSEDED,PS,192,3,1.5625,2,5,-2,0.05438278902632495,0.8219432115554806,1.6641662311553969,-0.0029145590136370934
FROZEN4,I4,fullseen,UNKNOWN_RELATION,PS,0,0,,0,0,0,,,,
FROZEN4,I4,fullseen,ALL,NS,60000,42,0.07,867,909,11,-0.007855514875859565,0.6935866117477417,1.2368481349945084,-0.009195143099553691
FROZEN4,I4,fullseen,ACTIVE_TARGET,NS,59040,39,0.06605691056910569,854,893,9,-0.00873639082963904,0.6914479732513422,1.2360563278198242,-0.009647750437941211
FROZEN4,I4,fullseen,SUPERSEDED,NS,960,3,0.3125,13,16,2,0.04631835628157811,0.7819066047668456,1.3647612571716292,0.018640208211278757
FROZEN4,I4,fullseen,UNKNOWN_RELATION,NS,0,0,,0,0,0,,,,
I2,I4,suffix,ALL,RS,1000,-1,-0.1,1,0,1,-0.00031134777112856683,0.001178918458754195,0.005587305364315379,0.2573628879785538
I2,I4,suffix,ACTIVE_TARGET,RS,994,0,0.0,0,0,1,-0.0029026530561219567,0.0011063082682085212,0.00463936163578182,0.25752378565444795
I2,I4,suffix,SUPERSEDED,RS,6,-1,-16.666666666666668,1,0,0,0.428981561109443,2.5292134433984756,3.126955512166024,0.23070750633875528
I2,I4,suffix,UNKNOWN_RELATION,RS,0,0,,0,0,0,,,,
I2,I4,suffix,ALL,PS,2000,5,0.25,7,12,33,-0.038265289497066986,0.7582576833665368,2.112929302901029,0.09171838445216417
I2,I4,suffix,ACTIVE_TARGET,PS,1988,6,0.30181086519114686,6,12,33,-0.04498164587786165,0.7253577470779388,2.0085770797729454,0.0930091676337858
