current_count,current_strict,current_success,endpoint,kind,original_count,original_success,status
0,0,0,BASE_MEMIT_W090,R,0,0,NOT_RECEIVED
0,0,0,BASE_MEMIT_W090,P,0,0,NOT_RECEIVED
95,5,52,BASE_MEMIT_W100,R,95,52,ACTIVE
190,6,98,BASE_MEMIT_W100,P,190,98,ACTIVE
5,1,4,BASE_MEMIT_W100,R,5,2,SUPERSEDED
10,2,7,BASE_MEMIT_W100,P,10,3,SUPERSEDED
0,0,0,BASE_MEMIT_W100,R,0,0,NOT_RECEIVED
0,0,0,BASE_MEMIT_W100,P,0,0,NOT_RECEIVED
0,0,0,W0,R,0,0,ACTIVE
0,0,0,W0,P,0,0,ACTIVE
0,0,0,W0,R,0,0,SUPERSEDED
0,0,0,W0,P,0,0,SUPERSEDED
0,0,0,W0,R,100,5,NOT_RECEIVED
0,0,0,W0,P,200,20,NOT_RECEIVED
