action_mean,cross_mean,pair,panel,relative_max,residual_max,rows,source_runtime_key_equal,tensor_reconstruction,zero_action_rows
0.31790673114060397,0.31790670760634987,BASE_MEMIT_s001_t005,BaseEval256,1.5152153939677965e-06,1.6844566358181612e-05,512,True,NOT_AVAILABLE,0
0.32645592563790593,0.32645591884153535,BASE_MEMIT_s001_t005,GeneralEval128,1.9364529951102315e-06,6.235196787385658e-05,128,True,NOT_AVAILABLE,0
0.4087252203190057,0.40872515807517323,BASE_MEMIT_s001_t005,H_active_variants,1.7830505298058218e-06,2.7078038894447373e-05,66,True,NOT_AVAILABLE,0
0.42336723498709766,0.4233672535556861,BASE_MEMIT_s001_t005,H_diag_B1_R100_P200,1.8906262084560895e-06,3.708480752451406e-05,600,True,NOT_AVAILABLE,0
0.32166679764268735,0.32166679785147456,BASE_MEMIT_s001_t005,N_diag1000,1.5787229141376455e-06,1.9275393034827236e-05,2000,True,NOT_AVAILABLE,0
0.7528491275436873,0.7528491066131431,BASE_MEMIT_s001_t100,BaseEval256,5.014867859337107e-07,0.0001773836331300142,512,True,NOT_AVAILABLE,0
2.4532962832409995,2.4532963261731537,BASE_MEMIT_s001_t100,GeneralEval128,5.494828544192305e-07,0.0009693703504111135,128,True,NOT_AVAILABLE,0
1.5386060574085871,1.53860567088522,BASE_MEMIT_s001_t100,H_active_variants,5.839693575925089e-07,0.00037342931215069385,66,True,NOT_AVAILABLE,0
1.8105115837074557,1.810511613097711,BASE_MEMIT_s001_t100,H_diag_B1_R100_P200,6.276702281650581e-07,0.0004229327975314898,600,True,NOT_AVAILABLE,0
0.7702770779900334,0.7702771230385494,BASE_MEMIT_s001_t100,N_diag1000,5.282591738787372e-07,0.0002034866384906032,2000,True,NOT_AVAILABLE,0
2.2733944788795433,2.2733944894443026,BASE_ALPHAEDIT_s010_t050,BaseEval256,1.2027116122949218e-06,2.0257114012643316e-05,512,True,NOT_AVAILABLE,0
4.54847731454986,4.548477303138336,BASE_ALPHAEDIT_s010_t050,GeneralEval128,1.886182024900129e-06,7.28215506335685e-05,128,True,NOT_AVAILABLE,0
2.9438791585270727,2.943879092408139,BASE_ALPHAEDIT_s010_t050,H_active_variants,1.6043766340413189e-06,3.159560003056727e-05,66,True,NOT_AVAILABLE,0
2.833626055765563,2.8336260612638893,BASE_ALPHAEDIT_s010_t050,H_diag_B1_R100_P200,1.7433976429895994e-06,4.2782124222424554e-05,600,True,NOT_AVAILABLE,0
2.3424089072437426,2.342408894732925,BASE_ALPHAEDIT_s010_t050,N_diag1000,1.340744753216483e-06,2.2126903099361764e-05,2000,True,NOT_AVAILABLE,0
9.450032109784964,9.45003208156059,BASE_ALPHAEDIT_s050_t090,BaseEval256,1.0350077616851367e-06,3.0472883536759918e-05,512,True,NOT_AVAILABLE,0
31.623926562437987,31.623926631291543,BASE_ALPHAEDIT_s050_t090,GeneralEval128,1.1690852997061389e-06,0.00011000383952991355,128,True,NOT_AVAILABLE,0
11.744491990034255,11.744492039046719,BASE_ALPHAEDIT_s050_t090,H_active_variants,9.213549108963002e-07,4.545653964960968e-05,66,True,NOT_AVAILABLE,0
11.687659413392982,11.687659362550857,BASE_ALPHAEDIT_s050_t090,H_diag_B1_R100_P200,1.1595801616505558e-06,5.992969446807756e-05,600,True,NOT_AVAILABLE,0
9.596339773243523,9.596339751770218,BASE_ALPHAEDIT_s050_t090,N_diag1000,1.0153431122397283e-06,3.1348150165081255e-05,2000,True,NOT_AVAILABLE,0
1.43203396958458,1.432033936519296,BASE_MEMIT_s005_t010,BaseEval256,1.3260444380194353e-06,1.7693739991409482e-05,512,True,NOT_AVAILABLE,0
1.4612267361878974,1.461226761674748,BASE_MEMIT_s005_t010,GeneralEval128,1.9374010619331366e-06,6.461053969183862e-05,128,True,NOT_AVAILABLE,0
1.4019517168814073,1.4019518112606681,BASE_MEMIT_s005_t010,H_active_variants,1.656116802302432e-06,2.879465860128496e-05,66,True,NOT_AVAILABLE,0
1.596794696245673,1.5967946252015786,BASE_MEMIT_s005_t010,H_diag_B1_R100_P200,1.767893986150996e-06,3.8287680756861324e-05,600,True,NOT_AVAILABLE,0
1.4326511867326244,1.4326511711623313,BASE_MEMIT_s005_t010,N_diag1000,1.4583183735568332e-06,2.0180098807119943e-05,2000,True,NOT_AVAILABLE,0
11.021704620596813,11.021704739688538,BASE_MEMIT_s010_t020,BaseEval256,4.923844124570286e-07,5.952013907584906e-05,512,True,NOT_AVAILABLE,0
37.58978487170745,37.58978508362427,BASE_MEMIT_s010_t020,GeneralEval128,6.117149082866785e-07,0.00023630456487033763,128,True,NOT_AVAILABLE,0
13.168744068820526,13.168743506938846,BASE_MEMIT_s010_t020,H_active_variants,5.965621207794333e-07,9.786635757836879e-05,66,True,NOT_AVAILABLE,0
14.626317302368928,14.626317316581366,BASE_MEMIT_s010_t020,H_diag_B1_R100_P200,6.377302623387051e-07,0.00010828811296207092,600,True,NOT_AVAILABLE,0
11.427922633144558,11.42792260647249,BASE_MEMIT_s010_t020,N_diag1000,5.305581671011112e-07,6.0757550894105305e-05,2000,True,NOT_AVAILABLE,0
