method,surface,prompt,target,count,mean,median,p90_nearest_rank,max
OFFICIAL-MEMIT,accepted_z,rewrite,true,,14.776315965175629,14.372349262237549,20.241044998168945,27.45424461364746
OFFICIAL-MEMIT,accepted_z,rephrase,new,,0.7717991034221341,0.0817473437928129,2.6468722596764565,12.733782768249512
OFFICIAL-MEMIT,accepted_z,rephrase,true,,11.586471787825227,11.335656642913818,16.863792419433594,24.677602767944336
OFFICIAL-MEMIT,accepted_z,rate,Eff,1000,1.0,,,
OFFICIAL-MEMIT,accepted_z,rate,Gen,2000,0.99,,,
OFFICIAL-MEMIT,accepted_z,rate,Gen_strict,1000,0.981,,,
OFFICIAL-MEMIT,accepted_z,rate,Loc,,,,,
OFFICIAL-MEMIT,accepted_z,rate,Rephrase_accuracy,2000,0.813,,,
OFFICIAL-MEMIT,accepted_z,rate,Rephrase_strict_accuracy,1000,0.689,,,
OFFICIAL-MEMIT,accepted_z,rate,Rewrite_accuracy,1000,1.0,,,
OFFICIAL-MEMIT,final_W,rewrite,new,,,,,
OFFICIAL-MEMIT,final_W,rewrite,true,,,,,
OFFICIAL-MEMIT,final_W,rephrase,new,,,,,
OFFICIAL-MEMIT,final_W,rephrase,true,,,,,
OFFICIAL-MEMIT,final_W,rate,Eff,1000,0.954,,,
OFFICIAL-MEMIT,final_W,rate,Gen,2000,0.9035,,,
OFFICIAL-MEMIT,final_W,rate,Gen_strict,1000,0.861,,,
OFFICIAL-MEMIT,final_W,rate,Loc,10000,0.7239,,,
OFFICIAL-MEMIT,final_W,rate,Rephrase_accuracy,2000,0.647,,,
OFFICIAL-MEMIT,final_W,rate,Rewrite_accuracy,1000,0.84,,,
P1R54-FZ-SEQUENTIAL,accepted_z,rewrite,new,1000,0.008817008990365138,0.0006174922455102205,0.004827629309147596,2.775531768798828
P1R54-FZ-SEQUENTIAL,accepted_z,rewrite,true,1000,14.519902227401733,14.051020622253418,19.6837158203125,28.37030601501465
P1R54-FZ-SEQUENTIAL,accepted_z,rephrase,new,2000,1.2650328017407673,0.06551201641559601,4.6607537269592285,21.40110969543457
P1R54-FZ-SEQUENTIAL,accepted_z,rephrase,true,2000,10.604269796693115,10.390417098999023,16.28145980834961,27.655797958374023
P1R54-FZ-SEQUENTIAL,accepted_z,rate,Eff,1000,1.0,,,
P1R54-FZ-SEQUENTIAL,accepted_z,rate,Gen,2000,0.9665,,,
P1R54-FZ-SEQUENTIAL,accepted_z,rate,Gen_strict,1000,0.941,,,
P1R54-FZ-SEQUENTIAL,accepted_z,rate,Loc,10000,0.8637,,,
P1R54-FZ-SEQUENTIAL,accepted_z,rate,Rephrase_accuracy,2000,0.7355,,,
P1R54-FZ-SEQUENTIAL,accepted_z,rate,Rephrase_strict_accuracy,1000,0.591,,,
P1R54-FZ-SEQUENTIAL,accepted_z,rate,Rewrite_accuracy,1000,0.998,,,
P1R54-FZ-SEQUENTIAL,final_W,rewrite,new,,,,,
P1R54-FZ-SEQUENTIAL,final_W,rewrite,true,,,,,
P1R54-FZ-SEQUENTIAL,final_W,rephrase,new,,,,,
P1R54-FZ-SEQUENTIAL,final_W,rephrase,true,,,,,
P1R54-FZ-SEQUENTIAL,final_W,rate,Eff,1000,1.0,,,
P1R54-FZ-SEQUENTIAL,final_W,rate,Gen,2000,0.8495,,,
P1R54-FZ-SEQUENTIAL,final_W,rate,Gen_strict,1000,0.756,,,
P1R54-FZ-SEQUENTIAL,final_W,rate,Loc,10000,0.8453,,,
P1R54-FZ-SEQUENTIAL,final_W,rate,Rephrase_accuracy,2000,0.5805,,,
P1R54-FZ-SEQUENTIAL,final_W,rate,Rephrase_strict_accuracy,1000,0.41,,,
P1R54-FZ-SEQUENTIAL,final_W,rate,Rewrite_accuracy,1000,0.997,,,
