batch,arm,scope,request_denominator,preference_joint,TF_strict_joint,preference_success_ids,strict_success_ids
1,EN_NUM,first100,100,96,44,"[16186, 3743, 1481, 18140, 5506, 14521, 14349, 16334, 6882, 6620, 5979, 3620, 2115, 15503, 403, 2879, 4592, 3098, 6827, 3557, 983, 10695, 19830, 9198, 19033, 3664, 17078, 17394, 20878, 9983, 6907, 6516, 19189, 9724, 18132, 18300, 21629, 20095, 13443, 7665, 16343, 7446, 1399, 11858, 6326, 15825, 378, 4737, 10106, 11321, 8764, 21830, 4949, 1888, 13021, 6451, 55, 16855, 21482, 16417, 6540, 3935, 15909, 11954, 21163, 20328, 5624, 16762, 9485, 13529, 8319, 10914, 13874, 9482, 2809, 7367, 13152, 5827, 6670, 5795, 17519, 7348, 3913, 20112, 12141, 2888, 6808, 2168, 13717, 18642, 14566, 15102, 19911, 21764, 11172, 8631]","[3743, 5506, 16334, 6882, 5979, 403, 2879, 4592, 19033, 3664, 17078, 17394, 20878, 6516, 19189, 9724, 18132, 20095, 7446, 6326, 378, 10106, 8764, 21830, 4949, 1888, 13021, 16855, 21482, 16417, 6540, 21163, 5624, 8319, 10914, 13152, 3913, 2888, 13717, 18642, 15102, 19911, 21764, 11172]"
1,EN_NUM,active_past,0,0,0,[],[]
1,EN_ADAPT,all_seen,100,96,44,"[16186, 3743, 1481, 18140, 5506, 14521, 14349, 16334, 6882, 6620, 5979, 3620, 2115, 15503, 403, 2879, 4592, 3098, 6827, 3557, 983, 10695, 19830, 9198, 19033, 3664, 17078, 17394, 20878, 9983, 6907, 6516, 19189, 9724, 18132, 18300, 21629, 20095, 13443, 7665, 16343, 7446, 1399, 11858, 6326, 15825, 378, 4737, 10106, 11321, 8764, 21830, 4949, 1888, 13021, 6451, 55, 16855, 21482, 16417, 6540, 3935, 15909, 11954, 21163, 20328, 5624, 16762, 9485, 13529, 8319, 10914, 13874, 9482, 2809, 7367, 13152, 5827, 6670, 5795, 17519, 7348, 3913, 20112, 12141, 2888, 6808, 2168, 13717, 18642, 14566, 15102, 19911, 21764, 11172, 8631]","[3743, 5506, 16334, 6882, 5979, 403, 2879, 4592, 19033, 3664, 17078, 17394, 20878, 6516, 19189, 9724, 18132, 20095, 7446, 6326, 378, 10106, 8764, 21830, 4949, 1888, 13021, 16855, 21482, 16417, 6540, 21163, 5624, 8319, 10914, 13152, 3913, 2888, 13717, 18642, 15102, 19911, 21764, 11172]"
1,EN_ADAPT,current,100,96,44,"[16186, 3743, 1481, 18140, 5506, 14521, 14349, 16334, 6882, 6620, 5979, 3620, 2115, 15503, 403, 2879, 4592, 3098, 6827, 3557, 983, 10695, 19830, 9198, 19033, 3664, 17078, 17394, 20878, 9983, 6907, 6516, 19189, 9724, 18132, 18300, 21629, 20095, 13443, 7665, 16343, 7446, 1399, 11858, 6326, 15825, 378, 4737, 10106, 11321, 8764, 21830, 4949, 1888, 13021, 6451, 55, 16855, 21482, 16417, 6540, 3935, 15909, 11954, 21163, 20328, 5624, 16762, 9485, 13529, 8319, 10914, 13874, 9482, 2809, 7367, 13152, 5827, 6670, 5795, 17519, 7348, 3913, 20112, 12141, 2888, 6808, 2168, 13717, 18642, 14566, 15102, 19911, 21764, 11172, 8631]","[3743, 5506, 16334, 6882, 5979, 403, 2879, 4592, 19033, 3664, 17078, 17394, 20878, 6516, 19189, 9724, 18132, 20095, 7446, 6326, 378, 10106, 8764, 21830, 4949, 1888, 13021, 16855, 21482, 16417, 6540, 21163, 5624, 8319, 10914, 13152, 3913, 2888, 13717, 18642, 15102, 19911, 21764, 11172]"
1,EN_ADAPT,first100,100,96,44,"[16186, 3743, 1481, 18140, 5506, 14521, 14349, 16334, 6882, 6620, 5979, 3620, 2115, 15503, 403, 2879, 4592, 3098, 6827, 3557, 983, 10695, 19830, 9198, 19033, 3664, 17078, 17394, 20878, 9983, 6907, 6516, 19189, 9724, 18132, 18300, 21629, 20095, 13443, 7665, 16343, 7446, 1399, 11858, 6326, 15825, 378, 4737, 10106, 11321, 8764, 21830, 4949, 1888, 13021, 6451, 55, 16855, 21482, 16417, 6540, 3935, 15909, 11954, 21163, 20328, 5624, 16762, 9485, 13529, 8319, 10914, 13874, 9482, 2809, 7367, 13152, 5827, 6670, 5795, 17519, 7348, 3913, 20112, 12141, 2888, 6808, 2168, 13717, 18642, 14566, 15102, 19911, 21764, 11172, 8631]","[3743, 5506, 16334, 6882, 5979, 403, 2879, 4592, 19033, 3664, 17078, 17394, 20878, 6516, 19189, 9724, 18132, 20095, 7446, 6326, 378, 10106, 8764, 21830, 4949, 1888, 13021, 16855, 21482, 16417, 6540, 21163, 5624, 8319, 10914, 13152, 3913, 2888, 13717, 18642, 15102, 19911, 21764, 11172]"
1,EN_ADAPT,active_past,0,0,0,[],[]
2,N4,all_seen,200,180,95,"[16186, 3743, 1481, 18140, 5506, 14521, 16334, 6882, 6620, 5979, 3620, 2115, 15503, 403, 2879, 4592, 3098, 6827, 3557, 983, 10695, 19830, 9198, 19033, 3664, 17078, 17394, 20878, 9983, 6907, 6516, 19189, 9724, 18132, 18300, 21629, 20095, 13443, 7665, 16343, 7446, 1399, 11858, 6326, 15825, 378, 4737, 10106, 11321, 8764, 21830, 4949, 1888, 13021, 6451, 55, 16855, 21482, 16417, 6540, 3935, 15909, 11954, 21163, 20328, 5624, 16762, 9485, 13529, 8319, 10914, 13874, 9482, 2809, 7367, 13152, 5827, 6670, 5795, 17519, 7348, 3913, 20112, 12141, 2888, 6808, 2168, 13717, 18642, 14566, 15102, 19911, 21764, 11172, 8631, 21708, 21793, 6043, 14093, 1088, 1594, 20960, 14130, 2519, 4774, 4618, 8546, 17186, 21262, 15630, 21746, 5596, 2737, 7448, 18404, 9264, 380, 15485, 964, 1329, 19306, 12847, 13772, 8792, 3495, 10900, 1166, 20097, 4386, 9056, 8837, 12859, 18561, 17254, 12028, 20490, 15642, 19337, 4296, 5393, 6869, 7146, 9152, 19780, 8163, 15423, 3401, 17246, 527, 8342, 7591, 2546, 5044, 3725, 16556, 17894, 6878, 20715, 12179, 4734, 17429, 138, 14572, 20675, 10691, 14950, 17603, 10500, 10020, 4377, 1720, 9182, 10779, 9097, 10944, 1472, 9484, 10781, 8181, 15383]","[3743, 5506, 16334, 6882, 2115, 403, 2879, 4592, 19033, 3664, 17394, 20878, 6516, 19189, 9724, 18132, 20095, 7446, 6326, 378, 10106, 8764, 4949, 1888, 13021, 16855, 21482, 16417, 6540, 21163, 5624, 8319, 10914, 2809, 13152, 3913, 2888, 13717, 18642, 15102, 19911, 21764, 11172, 21708, 6043, 14093, 14130, 8546, 15630, 5596, 7448, 18404, 964, 19306, 12847, 13772, 8792, 10900, 1166, 20097, 4386, 8837, 17254, 12028, 15642, 19337, 5393, 6869, 7146, 19780, 8163, 3401, 527, 8342, 7591, 2546, 3725, 16556, 6878, 20715, 4734, 17429, 138, 20675, 10691, 14950, 17603, 10500, 10020, 1720, 9182, 10944, 9484, 8181, 15383]"
2,N4,current,100,85,52,"[21708, 21793, 6043, 14093, 1088, 1594, 20960, 14130, 2519, 4774, 4618, 8546, 17186, 21262, 15630, 21746, 5596, 2737, 7448, 18404, 9264, 380, 15485, 964, 1329, 19306, 12847, 13772, 8792, 3495, 10900, 1166, 20097, 4386, 9056, 8837, 12859, 18561, 17254, 12028, 20490, 15642, 19337, 4296, 5393, 6869, 7146, 9152, 19780, 8163, 15423, 3401, 17246, 527, 8342, 7591, 2546, 5044, 3725, 16556, 17894, 6878, 20715, 12179, 4734, 17429, 138, 14572, 20675, 10691, 14950, 17603, 10500, 10020, 4377, 1720, 9182, 10779, 9097, 10944, 1472, 9484, 10781, 8181, 15383]","[21708, 6043, 14093, 14130, 8546, 15630, 5596, 7448, 18404, 964, 19306, 12847, 13772, 8792, 10900, 1166, 20097, 4386, 8837, 17254, 12028, 15642, 19337, 5393, 6869, 7146, 19780, 8163, 3401, 527, 8342, 7591, 2546, 3725, 16556, 6878, 20715, 4734, 17429, 138, 20675, 10691, 14950, 17603, 10500, 10020, 1720, 9182, 10944, 9484, 8181, 15383]"
2,N4,first100,100,95,43,"[16186, 3743, 1481, 18140, 5506, 14521, 16334, 6882, 6620, 5979, 3620, 2115, 15503, 403, 2879, 4592, 3098, 6827, 3557, 983, 10695, 19830, 9198, 19033, 3664, 17078, 17394, 20878, 9983, 6907, 6516, 19189, 9724, 18132, 18300, 21629, 20095, 13443, 7665, 16343, 7446, 1399, 11858, 6326, 15825, 378, 4737, 10106, 11321, 8764, 21830, 4949, 1888, 13021, 6451, 55, 16855, 21482, 16417, 6540, 3935, 15909, 11954, 21163, 20328, 5624, 16762, 9485, 13529, 8319, 10914, 13874, 9482, 2809, 7367, 13152, 5827, 6670, 5795, 17519, 7348, 3913, 20112, 12141, 2888, 6808, 2168, 13717, 18642, 14566, 15102, 19911, 21764, 11172, 8631]","[3743, 5506, 16334, 6882, 2115, 403, 2879, 4592, 19033, 3664, 17394, 20878, 6516, 19189, 9724, 18132, 20095, 7446, 6326, 378, 10106, 8764, 4949, 1888, 13021, 16855, 21482, 16417, 6540, 21163, 5624, 8319, 10914, 2809, 13152, 3913, 2888, 13717, 18642, 15102, 19911, 21764, 11172]"
2,N4,active_past,100,95,43,"[16186, 3743, 1481, 18140, 5506, 14521, 16334, 6882, 6620, 5979, 3620, 2115, 15503, 403, 2879, 4592, 3098, 6827, 3557, 983, 10695, 19830, 9198, 19033, 3664, 17078, 17394, 20878, 9983, 6907, 6516, 19189, 9724, 18132, 18300, 21629, 20095, 13443, 7665, 16343, 7446, 1399, 11858, 6326, 15825, 378, 4737, 10106, 11321, 8764, 21830, 4949, 1888, 13021, 6451, 55, 16855, 21482, 16417, 6540, 3935, 15909, 11954, 21163, 20328, 5624, 16762, 9485, 13529, 8319, 10914, 13874, 9482, 2809, 7367, 13152, 5827, 6670, 5795, 17519, 7348, 3913, 20112, 12141, 2888, 6808, 2168, 13717, 18642, 14566, 15102, 19911, 21764, 11172, 8631]","[3743, 5506, 16334, 6882, 2115, 403, 2879, 4592, 19033, 3664, 17394, 20878, 6516, 19189, 9724, 18132, 20095, 7446, 6326, 378, 10106, 8764, 4949, 1888, 13021, 16855, 21482, 16417, 6540, 21163, 5624, 8319, 10914, 2809, 13152, 3913, 2888, 13717, 18642, 15102, 19911, 21764, 11172]"
2,EN_EXACT,all_seen,200,179,94,"[16186, 3743, 1481, 18140, 5506, 14521, 16334, 6882, 6620, 5979, 3620, 2115, 15503, 403, 2879, 4592, 3098, 6827, 3557, 983, 10695, 19830, 9198, 19033, 3664, 17078, 17394, 20878, 9983, 6907, 6516, 19189, 9724, 18132, 18300, 21629, 20095, 13443, 7665, 16343, 7446, 1399, 11858, 6326, 15825, 378, 4737, 10106, 11321, 8764, 21830, 4949, 1888, 13021, 6451, 55, 16855, 21482, 16417, 6540, 3935, 15909, 11954, 21163, 20328, 5624, 16762, 9485, 13529, 8319, 10914, 13874, 9482, 2809, 7367, 13152, 5827, 6670, 5795, 17519, 7348, 3913, 20112, 12141, 2888, 6808, 2168, 13717, 18642, 14566, 15102, 19911, 21764, 11172, 8631, 21708, 21793, 6043, 14093, 1088, 1594, 20960, 14130, 2519, 4774, 4618, 8546, 17186, 21262, 15630, 21746, 5596, 2737, 7448, 18404, 9264, 380, 15485, 964, 1329, 19306, 12847, 13772, 8792, 3495, 10900, 1166, 20097, 4386, 9056, 8837, 12859, 18561, 17254, 12028, 20490, 15642, 19337, 4296, 5393, 6869, 7146, 9152, 19780, 8163, 15423, 3401, 17246, 527, 8342, 7591, 2546, 5044, 3725, 16556, 17894, 6878, 20715, 12179, 4734, 17429, 138, 14572, 20675, 10691, 14950, 17603, 10500, 10020, 4377, 1720, 9182, 10779, 9097, 10944, 1472, 9484, 8181, 15383]","[3743, 5506, 16334, 6882, 2115, 403, 2879, 4592, 19033, 3664, 17394, 20878, 6516, 19189, 9724, 18132, 20095, 7446, 6326, 378, 10106, 8764, 4949, 1888, 13021, 16855, 21482, 16417, 6540, 21163, 5624, 8319, 10914, 2809, 13152, 3913, 2888, 13717, 18642, 15102, 19911, 21764, 11172, 21708, 6043, 14093, 14130, 8546, 15630, 5596, 7448, 18404, 964, 19306, 12847, 13772, 8792, 10900, 1166, 20097, 4386, 8837, 17254, 12028, 19337, 5393, 6869, 7146, 19780, 8163, 3401, 527, 8342, 7591, 2546, 3725, 16556, 6878, 20715, 4734, 17429, 138, 20675, 10691, 14950, 17603, 10500, 10020, 1720, 9182, 10944, 9484, 8181, 15383]"
2,EN_EXACT,current,100,84,51,"[21708, 21793, 6043, 14093, 1088, 1594, 20960, 14130, 2519, 4774, 4618, 8546, 17186, 21262, 15630, 21746, 5596, 2737, 7448, 18404, 9264, 380, 15485, 964, 1329, 19306, 12847, 13772, 8792, 3495, 10900, 1166, 20097, 4386, 9056, 8837, 12859, 18561, 17254, 12028, 20490, 15642, 19337, 4296, 5393, 6869, 7146, 9152, 19780, 8163, 15423, 3401, 17246, 527, 8342, 7591, 2546, 5044, 3725, 16556, 17894, 6878, 20715, 12179, 4734, 17429, 138, 14572, 20675, 10691, 14950, 17603, 10500, 10020, 4377, 1720, 9182, 10779, 9097, 10944, 1472, 9484, 8181, 15383]","[21708, 6043, 14093, 14130, 8546, 15630, 5596, 7448, 18404, 964, 19306, 12847, 13772, 8792, 10900, 1166, 20097, 4386, 8837, 17254, 12028, 19337, 5393, 6869, 7146, 19780, 8163, 3401, 527, 8342, 7591, 2546, 3725, 16556, 6878, 20715, 4734, 17429, 138, 20675, 10691, 14950, 17603, 10500, 10020, 1720, 9182, 10944, 9484, 8181, 15383]"
2,EN_EXACT,first100,100,95,43,"[16186, 3743, 1481, 18140, 5506, 14521, 16334, 6882, 6620, 5979, 3620, 2115, 15503, 403, 2879, 4592, 3098, 6827, 3557, 983, 10695, 19830, 9198, 19033, 3664, 17078, 17394, 20878, 9983, 6907, 6516, 19189, 9724, 18132, 18300, 21629, 20095, 13443, 7665, 16343, 7446, 1399, 11858, 6326, 15825, 378, 4737, 10106, 11321, 8764, 21830, 4949, 1888, 13021, 6451, 55, 16855, 21482, 16417, 6540, 3935, 15909, 11954, 21163, 20328, 5624, 16762, 9485, 13529, 8319, 10914, 13874, 9482, 2809, 7367, 13152, 5827, 6670, 5795, 17519, 7348, 3913, 20112, 12141, 2888, 6808, 2168, 13717, 18642, 14566, 15102, 19911, 21764, 11172, 8631]","[3743, 5506, 16334, 6882, 2115, 403, 2879, 4592, 19033, 3664, 17394, 20878, 6516, 19189, 9724, 18132, 20095, 7446, 6326, 378, 10106, 8764, 4949, 1888, 13021, 16855, 21482, 16417, 6540, 21163, 5624, 8319, 10914, 2809, 13152, 3913, 2888, 13717, 18642, 15102, 19911, 21764, 11172]"
2,EN_EXACT,active_past,100,95,43,"[16186, 3743, 1481, 18140, 5506, 14521, 16334, 6882, 6620, 5979, 3620, 2115, 15503, 403, 2879, 4592, 3098, 6827, 3557, 983, 10695, 19830, 9198, 19033, 3664, 17078, 17394, 20878, 9983, 6907, 6516, 19189, 9724, 18132, 18300, 21629, 20095, 13443, 7665, 16343, 7446, 1399, 11858, 6326, 15825, 378, 4737, 10106, 11321, 8764, 21830, 4949, 1888, 13021, 6451, 55, 16855, 21482, 16417, 6540, 3935, 15909, 11954, 21163, 20328, 5624, 16762, 9485, 13529, 8319, 10914, 13874, 9482, 2809, 7367, 13152, 5827, 6670, 5795, 17519, 7348, 3913, 20112, 12141, 2888, 6808, 2168, 13717, 18642, 14566, 15102, 19911, 21764, 11172, 8631]","[3743, 5506, 16334, 6882, 2115, 403, 2879, 4592, 19033, 3664, 17394, 20878, 6516, 19189, 9724, 18132, 20095, 7446, 6326, 378, 10106, 8764, 4949, 1888, 13021, 16855, 21482, 16417, 6540, 21163, 5624, 8319, 10914, 2809, 13152, 3913, 2888, 13717, 18642, 15102, 19911, 21764, 11172]"
2,EN_ADAPT,all_seen,200,181,96,"[16186, 3743, 1481, 18140, 5506, 14521, 16334, 6882, 6620, 5979, 3620, 2115, 15503, 403, 2879, 4592, 3098, 6827, 3557, 983, 10695, 19830, 9198, 19033, 3664, 17078, 17394, 20878, 9983, 6907, 6516, 19189, 9724, 18132, 18300, 21629, 20095, 13443, 7665, 16343, 7446, 1399, 11858, 6326, 15825, 378, 4737, 10106, 11321, 8764, 21830, 4949, 1888, 13021, 6451, 55, 16855, 21482, 16417, 6540, 3935, 15909, 11954, 21163, 20328, 5624, 16762, 9485, 13529, 8319, 10914, 13874, 9482, 2809, 7367, 13152, 5827, 6670, 5795, 17519, 7348, 3913, 20112, 12141, 2888, 6808, 2168, 13717, 18642, 14566, 15102, 19911, 21764, 11172, 8631, 21708, 21793, 6043, 14093, 1088, 1594, 20960, 14130, 2519, 4774, 4618, 8546, 17186, 21262, 15630, 21746, 5596, 2737, 7448, 18404, 9264, 380, 15485, 964, 1329, 19306, 12847, 13772, 8792, 3495, 10900, 1166, 20097, 4386, 9056, 8837, 12859, 18561, 17254, 12028, 20490, 15642, 19337, 4296, 5393, 6869, 7146, 9152, 19780, 8163, 15423, 3401, 17246, 527, 8342, 7591, 2546, 5044, 3725, 16556, 17894, 6878, 20715, 12179, 4734, 17429, 138, 14572, 20675, 10691, 14950, 17603, 10500, 10020, 4377, 1720, 9182, 10779, 9097, 10944, 1472, 9484, 10781, 21306, 8181, 15383]","[3743, 5506, 16334, 6882, 2115, 403, 2879, 4592, 19033, 3664, 17394, 20878, 6516, 19189, 9724, 18132, 20095, 7446, 6326, 378, 10106, 8764, 4949, 1888, 13021, 16855, 21482, 16417, 6540, 21163, 5624, 8319, 10914, 2809, 13152, 3913, 2888, 13717, 18642, 15102, 19911, 21764, 11172, 21708, 6043, 14093, 14130, 8546, 15630, 5596, 7448, 18404, 964, 19306, 12847, 13772, 8792, 10900, 1166, 20097, 4386, 8837, 17254, 12028, 15642, 19337, 5393, 6869, 7146, 19780, 8163, 3401, 527, 8342, 7591, 2546, 3725, 16556, 6878, 20715, 4734, 17429, 138, 20675, 10691, 14950, 17603, 10500, 10020, 1720, 9182, 10944, 9484, 21306, 8181, 15383]"
