arm,K,endpoint,prompt,target,count,mean,median,p90,max,min
c0,3,pre_writer_W,rephrase,new,2000,6.088152948655188,5.724132061004639,10.745564460754395,20.884313583374023,0.08707762509584427
c0,3,pre_writer_W,rephrase,true,2000,5.373155073528178,4.981058597564697,9.866178512573242,21.052507400512695,0.009445147588849068
c0,3,pre_writer_W,rewrite,new,1000,4.412196414195001,3.9938933849334717,8.012980461120605,15.503223419189453,0.10130812972784042
c0,3,pre_writer_W,rewrite,true,1000,5.139695748582482,4.764269590377808,9.039345741271973,14.10499382019043,0.09813882410526276
c0,4,accepted_z,rephrase,new,2000,2.0795524678465442,1.0681953430175781,5.682126522064209,17.874435424804688,0.0006411403883248568
c0,4,accepted_z,rephrase,true,2000,8.190587081935258,8.078023433685303,12.592947959899902,18.9710693359375,0.008189313113689423
c0,4,accepted_z,rewrite,new,1000,0.5906983095281757,0.2683679908514023,1.3124854564666748,9.6785249710083,0.00028868322260677814
c0,4,accepted_z,rewrite,true,1000,8.615851589679718,8.246254444122314,13.283711433410645,21.18840789794922,1.1043071746826172
c0,4,post_writer_W,rephrase,new,2000,2.6479298025860625,1.6005207300186157,6.607327938079834,18.182870864868164,0.0009067714563570917
c0,4,post_writer_W,rephrase,true,2000,7.253824461757206,7.015439510345459,11.88266658782959,21.016063690185547,0.007899472489953041
c0,4,post_writer_W,rewrite,new,1000,0.5953971489114338,0.25922858715057373,1.290505290031433,9.563234329223633,0.00047505536349490285
c0,4,post_writer_W,rewrite,true,1000,8.591351784825324,8.255261898040771,13.323688507080078,21.208459854125977,1.0578758716583252
c0,4,pre_writer_W,rephrase,new,2000,3.550102750009275,2.774983763694763,7.821352005004883,18.28112030029297,0.0017200212460011244
c0,4,pre_writer_W,rephrase,true,2000,6.664760201353114,6.474709987640381,11.134020805358887,21.002464294433594,0.012461184523999691
c0,4,pre_writer_W,rewrite,new,1000,1.6312718396557029,1.115196168422699,3.865400791168213,11.977364540100098,0.002422614488750696
c0,4,pre_writer_W,rewrite,true,1000,7.250846623241902,6.907124280929565,11.681530952453613,18.456287384033203,0.581646740436554
c0,5,accepted_z,rephrase,new,2000,1.6897284650587243,0.5884619355201721,5.248726844787598,17.276029586791992,0.0006302992696873844
c0,5,accepted_z,rephrase,true,2000,8.766094875190873,8.62156343460083,13.278392791748047,20.73946189880371,0.013350614346563816
c0,5,accepted_z,rewrite,new,1000,0.22831333699167589,0.08202764019370079,0.37672778964042664,6.454116344451904,0.0003432638186495751
c0,5,accepted_z,rewrite,true,1000,9.7605982837677,9.439691066741943,14.496623039245605,23.007770538330078,1.498380184173584
c0,5,post_writer_W,rephrase,new,2000,2.3102313820228155,1.1721793413162231,6.276434421539307,18.143224716186523,0.0008431693422608078
c0,5,post_writer_W,rephrase,true,2000,7.672663480225485,7.411508083343506,12.369935989379883,20.986740112304688,0.010283107869327068
c0,5,post_writer_W,rewrite,new,1000,0.23216447346468339,0.0810500867664814,0.37436404824256897,6.632987976074219,0.00033682872890494764
c0,5,post_writer_W,rewrite,true,1000,9.747465537548065,9.418039321899414,14.4550142288208,23.00724983215332,0.8424568176269531
c0,5,pre_writer_W,rephrase,new,2000,2.6479298025860625,1.6005207300186157,6.607327938079834,18.182870864868164,0.0009067714563570917
c0,5,pre_writer_W,rephrase,true,2000,7.253824461757206,7.015439510345459,11.88266658782959,21.016063690185547,0.007899472489953041
c0,5,pre_writer_W,rewrite,new,1000,0.5953971489114338,0.25922858715057373,1.290505290031433,9.563234329223633,0.00047505536349490285
c0,5,pre_writer_W,rewrite,true,1000,8.591351784825324,8.255261898040771,13.323688507080078,21.208459854125977,1.0578758716583252
c0,6,accepted_z,rephrase,new,2000,1.541902529499319,0.3957822620868683,4.9893693923950195,17.123857498168945,0.0007911174325272441
c0,6,accepted_z,rephrase,true,2000,9.201780896447598,9.078298091888428,13.807511329650879,21.684717178344727,0.01274193823337555
c0,6,accepted_z,rewrite,new,1000,0.12199035161765641,0.041215553879737854,0.1504061222076416,6.32177734375,0.00014029949670657516
c0,6,accepted_z,rewrite,true,1000,10.588150121092797,10.10395336151123,15.363795280456543,23.07231903076172,1.8569656610488892
c0,6,post_writer_W,rephrase,new,2000,2.1411697698325445,0.9428782761096954,6.050248146057129,18.111440658569336,0.0008606782066635787
c0,6,post_writer_W,rephrase,true,2000,7.971463965237141,7.742374420166016,12.724776268005371,20.976322174072266,0.010290540754795074
c0,6,post_writer_W,rewrite,new,1000,0.1252996225667448,0.04009934514760971,0.14711563289165497,6.247620105743408,0.00012432756193447858
c0,6,post_writer_W,rewrite,true,1000,10.590549970507622,10.097741603851318,15.374364852905273,23.06682014465332,1.8591572046279907
c0,6,pre_writer_W,rephrase,new,2000,2.3102313820228155,1.1721793413162231,6.276434421539307,18.143224716186523,0.0008431693422608078
c0,6,pre_writer_W,rephrase,true,2000,7.672663480225485,7.411508083343506,12.369935989379883,20.986740112304688,0.010283107869327068
c0,6,pre_writer_W,rewrite,new,1000,0.23216447346468339,0.0810500867664814,0.37436404824256897,6.632987976074219,0.00033682872890494764
c0,6,pre_writer_W,rewrite,true,1000,9.747465537548065,9.418039321899414,14.4550142288208,23.00724983215332,0.8424568176269531
c0,7,accepted_z,rephrase,new,2000,1.449742220945045,0.31063997745513916,4.858014106750488,17.002185821533203,0.0006883158930577338
c0,7,accepted_z,rephrase,true,2000,9.443208044684958,9.317899227142334,14.082694053649902,21.736040115356445,0.012357338331639767
c0,7,accepted_z,rewrite,new,1000,0.07612762282204494,0.027433433569967747,0.08685163408517838,6.252128601074219,0.00011514954530866817
c0,7,accepted_z,rewrite,true,1000,11.065053595423699,10.69968557357788,15.794061660766602,23.378376007080078,1.8590728044509888
c0,7,post_writer_W,rephrase,new,2000,2.0590019871451952,0.8335145711898804,5.989341735839844,18.085369110107422,0.0008174415561370552
c0,7,post_writer_W,rephrase,true,2000,8.127635522100142,7.92476224899292,12.867388725280762,20.964862823486328,0.010182103142142296
c0,7,post_writer_W,rewrite,new,1000,0.07661485504957818,0.027222322300076485,0.08585679531097412,6.207642078399658,0.00011574551899684593
c0,7,post_writer_W,rewrite,true,1000,11.062594959378243,10.700371265411377,15.791627883911133,23.378511428833008,1.8574422597885132
c0,7,pre_writer_W,rephrase,new,2000,2.1411697698325445,0.9428782761096954,6.050248146057129,18.111440658569336,0.0008606782066635787
c0,7,pre_writer_W,rephrase,true,2000,7.971463965237141,7.742374420166016,12.724776268005371,20.976322174072266,0.010290540754795074
c0,7,pre_writer_W,rewrite,new,1000,0.1252996225667448,0.04009934514760971,0.14711563289165497,6.247620105743408,0.00012432756193447858
c0,7,pre_writer_W,rewrite,true,1000,10.590549970507622,10.097741603851318,15.374364852905273,23.06682014465332,1.8591572046279907
c0,8,accepted_z,rephrase,new,2000,1.4042580567303231,0.2585049718618393,4.834848880767822,16.93473243713379,0.0006121906917542219
c0,8,accepted_z,rephrase,true,2000,9.636717833294068,9.528068542480469,14.320369720458984,21.7899169921875,0.012028303928673267
c0,8,accepted_z,rewrite,new,1000,0.06343625575877376,0.019333374686539173,0.05872691795229912,6.205128192901611,9.917721035890281e-05
c0,8,accepted_z,rewrite,true,1000,11.448225177049636,11.05582046508789,16.2640323638916,23.516597747802734,1.8576011657714844
c0,8,post_writer_W,rephrase,new,2000,2.0115128535015394,0.74223792552948,5.9968671798706055,18.065040588378906,0.000764792668633163
c0,8,post_writer_W,rephrase,true,2000,8.265192351537756,8.085827350616455,13.036169052124023,22.34228515625,0.010040609166026115
c0,8,post_writer_W,rewrite,new,1000,0.062328499541974454,0.01927724853157997,0.05817663297057152,6.1830854415893555,0.00010024998482549563
c0,8,post_writer_W,rewrite,true,1000,11.44883910894394,11.029642581939697,16.274206161499023,23.5142822265625,1.8546547889709473
c0,8,pre_writer_W,rephrase,new,2000,2.0590019871451952,0.8335145711898804,5.989341735839844,18.085369110107422,0.0008174415561370552
c0,8,pre_writer_W,rephrase,true,2000,8.127635522100142,7.92476224899292,12.867388725280762,20.964862823486328,0.010182103142142296
c0,8,pre_writer_W,rewrite,new,1000,0.07661485504957818,0.027222322300076485,0.08585679531097412,6.207642078399658,0.00011574551899684593
c0,8,pre_writer_W,rewrite,true,1000,11.062594959378243,10.700371265411377,15.791627883911133,23.378511428833008,1.8574422597885132
c1,1,accepted_z,rephrase,new,2000,8.340176153182984,8.282674312591553,12.6402587890625,19.402048110961914,0.4094327688217163
c1,1,accepted_z,rephrase,true,2000,4.833762133724522,4.399921417236328,9.597164154052734,20.990493774414062,0.00756754819303751
c1,1,accepted_z,rewrite,new,1000,8.272890848815441,8.091931343078613,12.979267120361328,21.407352447509766,0.2977759838104248
c1,1,accepted_z,rewrite,true,1000,4.595359234155389,4.153849363327026,8.846124649047852,15.432395935058594,0.002583620371297002
c1,1,post_writer_W,rephrase,new,2000,8.407440055370332,8.313111305236816,12.532187461853027,19.910484313964844,0.5116691589355469
c1,1,post_writer_W,rephrase,true,2000,4.9289675499694425,4.44572377204895,9.573266983032227,20.82281494140625,0.012216858565807343
c1,1,post_writer_W,rewrite,new,1000,7.8602980633974076,7.704504013061523,12.131521224975586,18.93208122253418,0.34218260645866394
c1,1,post_writer_W,rewrite,true,1000,4.582520462518791,4.177403688430786,8.798629760742188,14.666667938232422,0.0030822886619716883
c1,1,pre_writer_W,rephrase,new,2000,10.081088499486446,10.005894660949707,14.581029891967773,20.91835594177246,0.9623037576675415
c1,1,pre_writer_W,rephrase,true,2000,4.70003036399465,4.326975345611572,9.530658721923828,20.848831176757812,0.0035147815942764282
c1,1,pre_writer_W,rewrite,new,1000,11.040823616683483,10.93730354309082,16.200504302978516,22.937421798706055,0.7286462187767029
