batch,RS_rate,PS_rate,NS_rate,q_after_mean,q_worsened,distance_from_own_immediate_activation_mean,batch_net_actual_frobenius,W0_net_actual_frobenius,batch_squared_share,cell,arm
7,0.99428571428571444,0.97714285714285698,0.74757142857142855,0.29809381605106688,85.285714285714292,30.986401850547129,69.819332084126913,198.34639967974681,0.0733159125853977,QM,O
8,0.99375000000000002,0.98187500000000005,0.73612500000000003,0.34440831080234452,87.5,36.015951076106212,67.45611317586274,209.99265052685479,0.090066478147770093,QM,O
9,0.99222222222222223,0.97111111111111115,0.68988888888888877,0.42303079867992172,88.777777777777771,44.196537862910908,69.0559241461998,222.5609452005352,0.093446611439978206,QM,O
10,0.97499999999999998,0.95499999999999996,0.68530000000000002,0.49831746319232784,89.799999999999997,51.866091107646341,62.45538488645191,232.10414955132728,0.092710093739200805,QM,O
1,1,0.94499999999999995,0.83299999999999985,0.25097754585210591,0,0,51.134450500645237,51.134450500645237,0.25294820881230567,QM,QCL
2,0.995,0.97250000000000003,0.82850000000000001,0.26255969826925518,50,6.4092372195432263,57.76416778137402,77.358019818935361,0.20751239967234919,QM,QCL
3,0.99333333333333318,0.97333333333333316,0.81100000000000005,0.28263268917882528,66.666666666666671,11.455940362415008,55.265436538704378,95.426185667487019,0.2267529715839896,QM,QCL
4,0.995,0.97499999999999998,0.79500000000000004,0.29689435099823125,74.75,14.730380299333753,52.027319719237241,108.52475337781701,0.22219104215107,QM,QCL
5,0.99199999999999999,0.97599999999999998,0.78539999999999988,0.31483207114682632,79.799999999999997,18.032834748016743,48.380267625681398,119.19438959112098,0.23412187222828371,QM,QCL
6,0.99333333333333318,0.97416666666666663,0.75183333333333335,38.978646484498725,83,22.087271203766836,54.633842486699997,130.84960179690668,0.2150904495449073,QM,QCL
7,0.99285714285714277,0.97928571428571443,0.74685714285714278,148.04860415027724,85.142857142857139,24.746553866582733,46.386000539417935,138.74666889841902,0.25882301886580622,QM,QCL
8,0.995,0.98187500000000005,0.73012500000000002,179.83469159065351,87.25,27.190665636328184,46.638282964252127,146.76000038573562,0.2424767288395111,QM,QCL
9,0.99444444444444435,0.98222222222222222,0.7075555555555556,168.86782808929397,88.444444444444443,30.64309157104238,45.579061431321811,154.23608388901241,0.2538718105025099,QM,QCL
10,0.995,0.97999999999999998,0.70140000000000002,160.61902287837444,89.299999999999997,33.602412130451846,41.146291092156943,160.22888563137278,0.26812761534206841,QM,QCL
1,1,0.94499999999999995,0.81499999999999995,0.063532080194944607,0,0,134.5008709913613,134.5008709913613,0.0077261474657435002,QM,NQFIX
2,1,0.96499999999999997,0.8125,0.11605084005374175,50,9.9804003377154444,150.09982806643777,201.62025350913001,0.0055977115479094999,QM,NQFIX
3,0.99333333333333318,0.97666666666666657,0.77900000000000003,0.18388063839819938,66.666666666666671,19.068125626302322,155.07815948010503,254.07306478840519,0.0070348435137530998,QM,NQFIX
4,0.995,0.97999999999999998,0.76000000000000001,0.21864935184863221,75,23.968716816326022,142.93663552084786,290.93216845999331,0.0060764701412702,QM,NQFIX
5,0.99199999999999999,0.97999999999999998,0.74819999999999987,0.25666018154954862,80,28.845890437590299,134.35162217578707,321.31442077821623,0.0058775734323641997,QM,NQFIX
6,0.98999999999999999,0.96833333333333316,0.69816666666666671,0.32241305416292415,83.166666666666671,36.477046750868347,169.235435105817,364.63575113295929,0.0057303936484078997,QM,NQFIX
7,0.98428571428571443,0.94785714285714284,0.67771428571428571,0.39560157067442298,85.571428571428569,44.455042295355931,140.37939024385213,389.89963842665134,0.0060170409529619997,QM,NQFIX
8,0.94499999999999995,0.90249999999999997,0.666875,0.51992973332262116,87.375,58.271879652704826,163.43062376475885,424.70041120105031,0.0073400995819360004,QM,NQFIX
9,0.88666666666666671,0.83333333333333326,0.63766666666666671,0.65586096330347088,88.333333333333329,74.039795785842045,209.34321157027185,473.11956048343922,0.0069428726020874,QM,NQFIX
10,0.84799999999999986,0.73699999999999988,0.63219999999999987,0.81243469834267634,89.099999999999994,93.468640880425752,171.75838414020737,502.77863775681601,0.0048370200481429003,QM,NQFIX
1,1,0.94999999999999996,0.82099999999999995,0.1354414203344077,0,0,53.146425968576807,53.146425968576807,0.13055191891828871,QM,ORBFH
2,0.995,0.97250000000000003,0.81499999999999995,0.15692234782783049,50,7.0733299111801262,55.750227859837466,77.28582672867006,0.11731544495522581,QM,ORBFH
3,0.99333333333333318,0.96999999999999997,0.78733333333333333,0.19150412150031304,66.666666666666671,13.254193475123737,59.265705435154665,97.716513777616797,0.1085582677957186,QM,ORBFH
4,0.995,0.97875000000000001,0.77224999999999988,0.21357690887132377,74.75,17.202422143304137,55.36991392942771,112.51175736155837,0.1010614578408103,QM,ORBFH
5,0.98999999999999999,0.97799999999999998,0.76060000000000005,0.2384343513007198,79.799999999999997,20.663552395678778,49.810960248729941,123.59038197817236,0.1046534934863733,QM,ORBFH
6,0.99166666666666681,0.97833333333333317,0.71783333333333332,0.27286599761573582,83.166666666666671,25.048477053081488,58.635126485054414,136.44760849901323,0.089268901990501706,QM,ORBFH
7,0.99142857142857144,0.97357142857142842,0.7072857142857143,0.30495278255219466,85.571428571428569,28.498796238194444,45.607996433908767,144.55575533382955,0.1229978788998454,QM,ORBFH
8,0.99375000000000002,0.97875000000000001,0.69787500000000002,0.34144389412804305,87.25,32.369698736077559,45.690221032340922,152.28223233193441,0.13095327068166801,QM,ORBFH
9,0.99555555555555564,0.97777777777777763,0.65866666666666662,0.38883824843187081,88.888888888888886,37.180998666875368,48.968915704289245,160.61569602357963,0.1204857054805081,QM,ORBFH
10,0.98999999999999999,0.96950000000000003,0.65049999999999986,0.433684981454176,90,41.612500713895223,40.708893041774218,166.37214007693234,0.1164498106007236,QM,ORBFH
1,0.98999999999999999,0.94999999999999996,0.81799999999999995,0.1932648002031265,0,0,45.853833104202408,45.853833104202408,0.29704251507012169,QM,JAC
2,0.995,0.97250000000000003,0.80800000000000005,0.21066544701181733,50,7.4425734346480104,48.331562564515615,66.759196650877485,0.27434775463944272,QM,JAC
3,0.99333333333333318,0.97499999999999998,0.76733333333333331,0.23735149480076334,66.666666666666671,13.289272774714137,47.471704987115935,82.0571616822983,0.2702366098805522,QM,JAC
4,0.995,0.98124999999999996,0.75875000000000004,0.2555894758886606,74.75,17.132280136215698,45.976318587048127,94.063143407373587,0.2508979709364883,QM,JAC
5,0.99199999999999999,0.97999999999999998,0.73480000000000001,0.2790652871041579,79.400000000000006,20.847039020120086,42.520449346566778,103.4704292599714,0.2738377361181315,QM,JAC
6,0.99333333333333318,0.98083333333333322,0.69166666666666665,0.31686850874645028,83,25.97336028807085,47.153987286978257,113.65636591406628,0.24146256438616581,QM,JAC
7,0.99428571428571444,0.98214285714285721,0.67914285714285705,0.34364577908270177,85.571428571428569,28.896735048499913,38.643955656610757,120.21670228684287,0.29147849363797201,QM,JAC
8,0.995,0.98562499999999997,0.65612499999999985,0.37737413214282878,87.5,32.551866226194576,39.839557591395526,126.88271158259926,0.28509089691965789,QM,JAC
9,0.99555555555555564,0.98111111111111116,0.62922222222222224,0.40814710663139997,88.777777777777771,35.687848174767765,37.56745739107933,132.54871394036607,0.28204948150892212,QM,JAC
10,0.996,0.97150000000000003,0.61929999999999985,0.45176735466441453,89.799999999999997,39.879682932418874,36.444407816798098,137.80291464946049,0.27470228123330132,QM,JAC
1,1,0.95499999999999996,0.81699999999999995,0.0064343284621213997,0,0,47.797088700335998,47.797088700335998,0.15540842599037519,QA,O
2,1,0.96999999999999997,0.82399999999999995,0.015945824732337299,50,1.4125649769569923,46.951577368705046,67.001711007355127,0.16441268984870319,QA,O
3,0.99666666666666681,0.97166666666666657,0.79500000000000004,0.0452460500523491,67,4.1753414373270656,75.676670764072782,101.07691764699248,0.12871702626794121,QA,O
4,0.995,0.98124999999999996,0.77725,0.045352670294385673,75,4.4888020342940429,48.90626618920632,112.32407339694517,0.14785436459720031,QA,O
5,0.996,0.98199999999999998,0.76839999999999986,0.047335292185262202,79.599999999999994,4.8250469367217166,47.766001980165861,122.0517001501936,0.15796751882836521,QA,O
6,0.99833333333333318,0.98250000000000004,0.74033333333333318,0.054298787621086815,82.5,5.5927840508926705,51.879163432845694,132.56031277808819,0.1786874439653372,QA,O
7,0.9257142857142856,0.9285714285714286,0.62471428571428556,0.30491151629748098,85.714285714285708,36.856666823759589,351.52531326593947,376.09335443322561,0.0035173293914686002,QA,O
8,0.875,0.85124999999999995,0.58225000000000005,0.30203013850974181,87,36.516170508573545,70.750339195819862,384.24941799143181,0.17945498793717379,QA,O
9,0.83777777777777773,0.82611111111111113,0.55755555555555547,0.29872485030647583,87.777777777777771,36.326893194019448,102.42906586211024,399.31121473769417,0.17998272651625191,QA,O
10,0.82199999999999995,0.78800000000000003,0.56779999999999986,0.28951451730113809,84.700000000000003,35.788169870698312,74.319378490411424,405.35637473683431,0.15020994632183771,QA,O
1,1,0.95499999999999996,0.82299999999999995,0.1436379178407621,0,0,41.901211673007793,41.901211673007793,0.50136323008080463,QA,QCL
2,1,0.96499999999999997,0.83199999999999985,0.1442443891607143,38.5,1.0410815930619204,41.571187238884939,59.024016378796325,0.52541845620375072,QA,QCL
3,0.99666666666666681,0.96833333333333316,0.81066666666666665,0.14480572236870673,57.666666666666664,2.3762466470224073,48.77397711055545,76.567729537462455,0.42423604708289309,QA,QCL
4,0.99750000000000005,0.97124999999999995,0.80274999999999985,0.14521914380529893,61.75,2.6969057413165176,40.889600180598265,86.803388115991822,0.49572730981805968,QA,QCL
