cell,arm,batch,RS_cumulative_minus_online_pp,PS_cumulative_minus_online_pp,PS_strict_cumulative_minus_online_pp,NS_cumulative_minus_online_pp
LM,ORBFH,8,-0.87500000000000355,0.87500000000000355,1.1249999999999982,-7.1624999999999943
LM,ORBFH,9,-0.77777777777777724,0.77777777777777724,1.0000000000000009,-6.3666666666666654
LM,ORBFH,10,-1.4000000000000012,0.20000000000000018,0.50000000000000044,-7.020000000000004
LM,JAC,1,0,0,0,0
LM,JAC,2,0,1.749999999999996,1.0000000000000009,-0.15000000000000568
LM,JAC,3,-0.33333333333334103,1.8333333333333424,2.3333333333333317,-1.2000000000000011
LM,JAC,4,0.25000000000000577,3.125,2.9999999999999916,-2.3499999999999965
LM,JAC,5,-0.20000000000000018,2.200000000000002,2.7999999999999914,-3.4200000000000008
LM,JAC,6,-0.16666666666665941,1.8333333333333313,2.3333333333333317,-2.849999999999997
LM,JAC,7,0.42857142857143371,1.9999999999999907,2.2857142857142909,-3.8285714285714256
LM,JAC,8,0.12499999999999734,1.6249999999999987,1.8750000000000044,-4.9749999999999961
LM,JAC,9,0.44444444444444731,1.8333333333333313,1.4444444444444482,-6.8888888888888893
LM,JAC,10,0,0.25000000000000577,-0.30000000000000027,-8.2299999999999933
LA,O,1,0,0,0,0
LA,O,2,0,0,-0.50000000000000044,-0.50000000000000044
LA,O,3,0,0,0.33333333333332993,-1.2999999999999901
LA,O,4,0,0.24999999999999467,0,-1.2749999999999928
LA,O,5,-0.20000000000000018,0.39999999999998925,0.60000000000000053,-1.7000000000000015
LA,O,6,-0.16666666666667052,-0.50000000000000044,-0.83333333333333037,-2.8833333333333377
LA,O,7,-0.14285714285714457,-0.2142857142857113,-0.85714285714285632,-3.3714285714285697
LA,O,8,-0.12499999999999734,-0.06250000000000977,-0.75000000000000622,-3.400000000000003
LA,O,9,-0.11111111111110628,-0.16666666666667052,-0.77777777777777724,-3.5666666666666624
LA,O,10,-0.20000000000000018,-0.50000000000000044,-1.0000000000000009,-3.9900000000000047
LA,QCL,1,0,0,0,0
LA,QCL,2,-0.50000000000000044,0.50000000000000044,0,-0.34999999999999476
LA,QCL,3,-0.66666666666667096,1.3333333333333308,1.6666666666666718,-1.433333333333342
LA,QCL,4,-0.50000000000000044,1.3749999999999929,1.5000000000000013,-1.9500000000000073
LA,QCL,5,-0.40000000000000036,0.20000000000000018,-0.20000000000000018,-2.5800000000000045
LA,QCL,6,-0.33333333333332993,0,-0.33333333333332993,-3.0666666666666731
LA,QCL,7,-0.42857142857143371,-0.14285714285713347,-0.71428571428571175,-3.7428571428571478
LA,QCL,8,-0.24999999999999467,-0.187499999999996,-0.87499999999999245,-4.2750000000000066
LA,QCL,9,-0.33333333333332993,-0.16666666666665941,-0.44444444444444731,-4.37777777777778
LA,QCL,10,-0.30000000000000027,-0.40000000000000036,-1.0000000000000009,-4.3899999999999935
LA,NQFIX,1,0,0,0,0
LA,NQFIX,2,0,-0.25000000000000577,-0.50000000000000044,-0.9000000000000008
LA,NQFIX,3,0,0,0,-1.8000000000000016
LA,NQFIX,4,0,-0.50000000000000044,-0.99999999999998979,-2.7750000000000052
LA,NQFIX,5,-0.40000000000000036,-0.9000000000000008,-1.7999999999999905,-3.4399999999999986
LA,NQFIX,6,-0.50000000000000044,-0.83333333333333037,-1.1666666666666603,-5.5166666666666586
LA,NQFIX,7,-0.42857142857143371,-0.92857142857142305,-1.28571428571429,-5.0714285714285712
