cell_id,phase,arm,order_id,episode_id,start_state,reset_each_batch,batches,batch_size,ordinal_start,ordinal_end,native_fit_batches,native_target_calls_cap,native_adam_cap,extra_z_calls,correction_controllers,gradient_sweeps_cap,neural_gradient_sweeps_cap,trial_sweeps_cap,history_appends,role,required_gate
M-O0-b005-CA,M,CA,O0,b005,W0_shared_native,true,1,100,400,500,0,0,0,0,1,1,1,8,0,science,T_PASS
M-O0-b005-KL-P,M,KL-P,O0,b005,W0_shared_native,true,1,100,400,500,0,0,0,0,1,1,1,8,0,science,T_PASS
M-O0-b005-EN-S,M,EN-S,O0,b005,W0_shared_native,true,1,100,400,500,0,0,0,0,1,1,1,8,0,science,T_PASS
M-O0-b005-EN-F,M,EN-F,O0,b005,W0_shared_native,true,1,100,400,500,0,0,0,0,1,1,1,8,0,science,T_PASS
M-O0-b005-EN-COV,M,EN-COV,O0,b005,W0_shared_native,true,1,100,400,500,0,0,0,0,1,1,0,8,0,science,T_PASS
M-O0-b005-EN-F4,M,EN-F4,O0,b005,W0_shared_native,true,1,100,400,500,0,0,0,0,1,4,4,24,0,science,T_PASS
M-O0-b005-CA-EXACT,M,CA-EXACT,O0,b005,W0_shared_native,true,1,100,400,500,0,0,0,0,0,0,0,0,0,geometry_or_paired_random_diagnostic,T_PASS
M-O0-b005-RAND+,M,RAND+,O0,b005,W0_shared_native,true,1,100,400,500,0,0,0,0,0,0,0,0,0,geometry_or_paired_random_diagnostic,T_PASS
M-O0-b005-RAND-,M,RAND-,O0,b005,W0_shared_native,true,1,100,400,500,0,0,0,0,0,0,0,0,0,geometry_or_paired_random_diagnostic,T_PASS
M-O0-b006-N4,M,N4,O0,b006,W0_shared_native,true,1,100,500,600,1,100,2400,0,0,0,0,0,0,science,T_PASS
M-O0-b006-SCALE,M,SCALE,O0,b006,W0_shared_native,true,1,100,500,600,0,0,0,0,1,1,1,8,0,science,T_PASS
M-O0-b006-CA,M,CA,O0,b006,W0_shared_native,true,1,100,500,600,0,0,0,0,1,1,1,8,0,science,T_PASS
M-O0-b006-KL-P,M,KL-P,O0,b006,W0_shared_native,true,1,100,500,600,0,0,0,0,1,1,1,8,0,science,T_PASS
M-O0-b006-EN-S,M,EN-S,O0,b006,W0_shared_native,true,1,100,500,600,0,0,0,0,1,1,1,8,0,science,T_PASS
M-O0-b006-EN-F,M,EN-F,O0,b006,W0_shared_native,true,1,100,500,600,0,0,0,0,1,1,1,8,0,science,T_PASS
M-O0-b006-EN-COV,M,EN-COV,O0,b006,W0_shared_native,true,1,100,500,600,0,0,0,0,1,1,0,8,0,science,T_PASS
M-O0-b006-EN-F4,M,EN-F4,O0,b006,W0_shared_native,true,1,100,500,600,0,0,0,0,1,4,4,24,0,science,T_PASS
M-O0-b006-CA-EXACT,M,CA-EXACT,O0,b006,W0_shared_native,true,1,100,500,600,0,0,0,0,0,0,0,0,0,geometry_or_paired_random_diagnostic,T_PASS
M-O0-b006-RAND+,M,RAND+,O0,b006,W0_shared_native,true,1,100,500,600,0,0,0,0,0,0,0,0,0,geometry_or_paired_random_diagnostic,T_PASS
M-O0-b006-RAND-,M,RAND-,O0,b006,W0_shared_native,true,1,100,500,600,0,0,0,0,0,0,0,0,0,geometry_or_paired_random_diagnostic,T_PASS
M-O0-b007-N4,M,N4,O0,b007,W0_shared_native,true,1,100,600,700,1,100,2400,0,0,0,0,0,0,science,T_PASS
M-O0-b007-SCALE,M,SCALE,O0,b007,W0_shared_native,true,1,100,600,700,0,0,0,0,1,1,1,8,0,science,T_PASS
M-O0-b007-CA,M,CA,O0,b007,W0_shared_native,true,1,100,600,700,0,0,0,0,1,1,1,8,0,science,T_PASS
M-O0-b007-KL-P,M,KL-P,O0,b007,W0_shared_native,true,1,100,600,700,0,0,0,0,1,1,1,8,0,science,T_PASS
M-O0-b007-EN-S,M,EN-S,O0,b007,W0_shared_native,true,1,100,600,700,0,0,0,0,1,1,1,8,0,science,T_PASS
M-O0-b007-EN-F,M,EN-F,O0,b007,W0_shared_native,true,1,100,600,700,0,0,0,0,1,1,1,8,0,science,T_PASS
M-O0-b007-EN-COV,M,EN-COV,O0,b007,W0_shared_native,true,1,100,600,700,0,0,0,0,1,1,0,8,0,science,T_PASS
M-O0-b007-EN-F4,M,EN-F4,O0,b007,W0_shared_native,true,1,100,600,700,0,0,0,0,1,4,4,24,0,science,T_PASS
M-O0-b007-CA-EXACT,M,CA-EXACT,O0,b007,W0_shared_native,true,1,100,600,700,0,0,0,0,0,0,0,0,0,geometry_or_paired_random_diagnostic,T_PASS
M-O0-b007-RAND+,M,RAND+,O0,b007,W0_shared_native,true,1,100,600,700,0,0,0,0,0,0,0,0,0,geometry_or_paired_random_diagnostic,T_PASS
M-O0-b007-RAND-,M,RAND-,O0,b007,W0_shared_native,true,1,100,600,700,0,0,0,0,0,0,0,0,0,geometry_or_paired_random_diagnostic,T_PASS
M-O0-b008-N4,M,N4,O0,b008,W0_shared_native,true,1,100,700,800,1,100,2400,0,0,0,0,0,0,science,T_PASS
M-O0-b008-SCALE,M,SCALE,O0,b008,W0_shared_native,true,1,100,700,800,0,0,0,0,1,1,1,8,0,science,T_PASS
M-O0-b008-CA,M,CA,O0,b008,W0_shared_native,true,1,100,700,800,0,0,0,0,1,1,1,8,0,science,T_PASS
M-O0-b008-KL-P,M,KL-P,O0,b008,W0_shared_native,true,1,100,700,800,0,0,0,0,1,1,1,8,0,science,T_PASS
M-O0-b008-EN-S,M,EN-S,O0,b008,W0_shared_native,true,1,100,700,800,0,0,0,0,1,1,1,8,0,science,T_PASS
M-O0-b008-EN-F,M,EN-F,O0,b008,W0_shared_native,true,1,100,700,800,0,0,0,0,1,1,1,8,0,science,T_PASS
M-O0-b008-EN-COV,M,EN-COV,O0,b008,W0_shared_native,true,1,100,700,800,0,0,0,0,1,1,0,8,0,science,T_PASS
M-O0-b008-EN-F4,M,EN-F4,O0,b008,W0_shared_native,true,1,100,700,800,0,0,0,0,1,4,4,24,0,science,T_PASS
M-O0-b008-CA-EXACT,M,CA-EXACT,O0,b008,W0_shared_native,true,1,100,700,800,0,0,0,0,0,0,0,0,0,geometry_or_paired_random_diagnostic,T_PASS
M-O0-b008-RAND+,M,RAND+,O0,b008,W0_shared_native,true,1,100,700,800,0,0,0,0,0,0,0,0,0,geometry_or_paired_random_diagnostic,T_PASS
M-O0-b008-RAND-,M,RAND-,O0,b008,W0_shared_native,true,1,100,700,800,0,0,0,0,0,0,0,0,0,geometry_or_paired_random_diagnostic,T_PASS
M-O0-b009-N4,M,N4,O0,b009,W0_shared_native,true,1,100,800,900,1,100,2400,0,0,0,0,0,0,science,T_PASS
M-O0-b009-SCALE,M,SCALE,O0,b009,W0_shared_native,true,1,100,800,900,0,0,0,0,1,1,1,8,0,science,T_PASS
M-O0-b009-CA,M,CA,O0,b009,W0_shared_native,true,1,100,800,900,0,0,0,0,1,1,1,8,0,science,T_PASS
M-O0-b009-KL-P,M,KL-P,O0,b009,W0_shared_native,true,1,100,800,900,0,0,0,0,1,1,1,8,0,science,T_PASS
M-O0-b009-EN-S,M,EN-S,O0,b009,W0_shared_native,true,1,100,800,900,0,0,0,0,1,1,1,8,0,science,T_PASS
M-O0-b009-EN-F,M,EN-F,O0,b009,W0_shared_native,true,1,100,800,900,0,0,0,0,1,1,1,8,0,science,T_PASS
M-O0-b009-EN-COV,M,EN-COV,O0,b009,W0_shared_native,true,1,100,800,900,0,0,0,0,1,1,0,8,0,science,T_PASS
M-O0-b009-EN-F4,M,EN-F4,O0,b009,W0_shared_native,true,1,100,800,900,0,0,0,0,1,4,4,24,0,science,T_PASS
M-O0-b009-CA-EXACT,M,CA-EXACT,O0,b009,W0_shared_native,true,1,100,800,900,0,0,0,0,0,0,0,0,0,geometry_or_paired_random_diagnostic,T_PASS
M-O0-b009-RAND+,M,RAND+,O0,b009,W0_shared_native,true,1,100,800,900,0,0,0,0,0,0,0,0,0,geometry_or_paired_random_diagnostic,T_PASS
M-O0-b009-RAND-,M,RAND-,O0,b009,W0_shared_native,true,1,100,800,900,0,0,0,0,0,0,0,0,0,geometry_or_paired_random_diagnostic,T_PASS
M-O0-b010-N4,M,N4,O0,b010,W0_shared_native,true,1,100,900,1000,1,100,2400,0,0,0,0,0,0,science,T_PASS
M-O0-b010-SCALE,M,SCALE,O0,b010,W0_shared_native,true,1,100,900,1000,0,0,0,0,1,1,1,8,0,science,T_PASS
M-O0-b010-CA,M,CA,O0,b010,W0_shared_native,true,1,100,900,1000,0,0,0,0,1,1,1,8,0,science,T_PASS
M-O0-b010-KL-P,M,KL-P,O0,b010,W0_shared_native,true,1,100,900,1000,0,0,0,0,1,1,1,8,0,science,T_PASS
M-O0-b010-EN-S,M,EN-S,O0,b010,W0_shared_native,true,1,100,900,1000,0,0,0,0,1,1,1,8,0,science,T_PASS
M-O0-b010-EN-F,M,EN-F,O0,b010,W0_shared_native,true,1,100,900,1000,0,0,0,0,1,1,1,8,0,science,T_PASS
M-O0-b010-EN-COV,M,EN-COV,O0,b010,W0_shared_native,true,1,100,900,1000,0,0,0,0,1,1,0,8,0,science,T_PASS
M-O0-b010-EN-F4,M,EN-F4,O0,b010,W0_shared_native,true,1,100,900,1000,0,0,0,0,1,4,4,24,0,science,T_PASS
M-O0-b010-CA-EXACT,M,CA-EXACT,O0,b010,W0_shared_native,true,1,100,900,1000,0,0,0,0,0,0,0,0,0,geometry_or_paired_random_diagnostic,T_PASS
M-O0-b010-RAND+,M,RAND+,O0,b010,W0_shared_native,true,1,100,900,1000,0,0,0,0,0,0,0,0,0,geometry_or_paired_random_diagnostic,T_PASS
M-O0-b010-RAND-,M,RAND-,O0,b010,W0_shared_native,true,1,100,900,1000,0,0,0,0,0,0,0,0,0,geometry_or_paired_random_diagnostic,T_PASS
S-O0-seq1000-N4,S,N4,O0,seq1000,W0,false,10,100,0,1000,10,1000,24000,0,0,0,0,0,10,science,M_COMPLETE_AND_DEVELOPMENT_GATE
S-O0-seq1000-SCALE,S,SCALE,O0,seq1000,W0,false,10,100,0,1000,10,1000,24000,0,10,10,10,80,10,science,M_COMPLETE_AND_DEVELOPMENT_GATE
S-O0-seq1000-CA,S,CA,O0,seq1000,W0,false,10,100,0,1000,10,1000,24000,0,10,10,10,80,10,science,M_COMPLETE_AND_DEVELOPMENT_GATE
S-O0-seq1000-KL-P,S,KL-P,O0,seq1000,W0,false,10,100,0,1000,10,1000,24000,0,10,10,10,80,10,science,M_COMPLETE_AND_DEVELOPMENT_GATE
S-O0-seq1000-EN-F,S,EN-F,O0,seq1000,W0,false,10,100,0,1000,10,1000,24000,0,10,10,10,80,10,science,M_COMPLETE_AND_DEVELOPMENT_GATE
R-O1-seq1000-N4,R,N4,O1,seq1000,W0,false,10,100,0,1000,10,1000,24000,0,0,0,0,0,10,science,S_COMPLETE_AND_DEVELOPMENT_GATE
R-O1-seq1000-EN-F,R,EN-F,O1,seq1000,W0,false,10,100,0,1000,10,1000,24000,0,10,10,10,80,10,science,S_COMPLETE_AND_DEVELOPMENT_GATE
R-O2-seq1000-N4,R,N4,O2,seq1000,W0,false,10,100,0,1000,10,1000,24000,0,0,0,0,0,10,science,S_COMPLETE_AND_DEVELOPMENT_GATE
R-O2-seq1000-EN-F,R,EN-F,O2,seq1000,W0,false,10,100,0,1000,10,1000,24000,0,10,10,10,80,10,science,S_COMPLETE_AND_DEVELOPMENT_GATE
L-O0-seq10000-N4,L,N4,O0,seq10000,W0,false,100,100,0,10000,100,10000,240000,0,0,0,0,0,100,science,R_COMPLETE_POLICY_SEAL_REPORT_UNOPENED
L-O0-seq10000-EN-F,L,EN-F,O0,seq10000,W0,false,100,100,0,10000,100,10000,240000,0,100,100,100,800,100,science,R_COMPLETE_POLICY_SEAL_REPORT_UNOPENED
L-O1-seq10000-N4,L,N4,O1,seq10000,W0,false,100,100,0,10000,100,10000,240000,0,0,0,0,0,100,science,R_COMPLETE_POLICY_SEAL_REPORT_UNOPENED
L-O1-seq10000-EN-F,L,EN-F,O1,seq10000,W0,false,100,100,0,10000,100,10000,240000,0,100,100,100,800,100,science,R_COMPLETE_POLICY_SEAL_REPORT_UNOPENED
L-O2-seq10000-N4,L,N4,O2,seq10000,W0,false,100,100,0,10000,100,10000,240000,0,0,0,0,0,100,science,R_COMPLETE_POLICY_SEAL_REPORT_UNOPENED
L-O2-seq10000-EN-F,L,EN-F,O2,seq10000,W0,false,100,100,0,10000,100,10000,240000,0,100,100,100,800,100,science,R_COMPLETE_POLICY_SEAL_REPORT_UNOPENED
