batch,stage,state_group,native_passes,reference_gradient_sweeps,reference_candidate_sweeps_max,history_forward_pool,history_KL_fact_VJPs,history_NLL_fact_VJPs,history_candidate_fact_forwards_max,selection_exercised,extra_z
63,LIFELONG,REC,1,1,2,612,612,612,1024,1,0
64,LIFELONG,RES,1,1,2,512,512,0,1024,0,0
64,LIFELONG,GSS,1,1,2,612,612,612,1024,1,0
64,LIFELONG,REC,1,1,2,612,612,612,1024,1,0
65,LIFELONG,RES,1,1,2,512,512,0,1024,0,0
65,LIFELONG,GSS,1,1,2,612,612,612,1024,1,0
65,LIFELONG,REC,1,1,2,612,612,612,1024,1,0
66,LIFELONG,RES,1,1,2,512,512,0,1024,0,0
66,LIFELONG,GSS,1,1,2,612,612,612,1024,1,0
66,LIFELONG,REC,1,1,2,612,612,612,1024,1,0
67,LIFELONG,RES,1,1,2,512,512,0,1024,0,0
67,LIFELONG,GSS,1,1,2,612,612,612,1024,1,0
67,LIFELONG,REC,1,1,2,612,612,612,1024,1,0
68,LIFELONG,RES,1,1,2,512,512,0,1024,0,0
68,LIFELONG,GSS,1,1,2,612,612,612,1024,1,0
68,LIFELONG,REC,1,1,2,612,612,612,1024,1,0
69,LIFELONG,RES,1,1,2,512,512,0,1024,0,0
69,LIFELONG,GSS,1,1,2,612,612,612,1024,1,0
69,LIFELONG,REC,1,1,2,612,612,612,1024,1,0
70,LIFELONG,RES,1,1,2,512,512,0,1024,0,0
70,LIFELONG,GSS,1,1,2,612,612,612,1024,1,0
70,LIFELONG,REC,1,1,2,612,612,612,1024,1,0
71,LIFELONG,RES,1,1,2,512,512,0,1024,0,0
71,LIFELONG,GSS,1,1,2,612,612,612,1024,1,0
71,LIFELONG,REC,1,1,2,612,612,612,1024,1,0
72,LIFELONG,RES,1,1,2,512,512,0,1024,0,0
72,LIFELONG,GSS,1,1,2,612,612,612,1024,1,0
72,LIFELONG,REC,1,1,2,612,612,612,1024,1,0
73,LIFELONG,RES,1,1,2,512,512,0,1024,0,0
73,LIFELONG,GSS,1,1,2,612,612,612,1024,1,0
73,LIFELONG,REC,1,1,2,612,612,612,1024,1,0
74,LIFELONG,RES,1,1,2,512,512,0,1024,0,0
74,LIFELONG,GSS,1,1,2,612,612,612,1024,1,0
74,LIFELONG,REC,1,1,2,612,612,612,1024,1,0
75,LIFELONG,RES,1,1,2,512,512,0,1024,0,0
75,LIFELONG,GSS,1,1,2,612,612,612,1024,1,0
75,LIFELONG,REC,1,1,2,612,612,612,1024,1,0
76,LIFELONG,RES,1,1,2,512,512,0,1024,0,0
76,LIFELONG,GSS,1,1,2,612,612,612,1024,1,0
76,LIFELONG,REC,1,1,2,612,612,612,1024,1,0
77,LIFELONG,RES,1,1,2,512,512,0,1024,0,0
77,LIFELONG,GSS,1,1,2,612,612,612,1024,1,0
77,LIFELONG,REC,1,1,2,612,612,612,1024,1,0
78,LIFELONG,RES,1,1,2,512,512,0,1024,0,0
78,LIFELONG,GSS,1,1,2,612,612,612,1024,1,0
78,LIFELONG,REC,1,1,2,612,612,612,1024,1,0
79,LIFELONG,RES,1,1,2,512,512,0,1024,0,0
79,LIFELONG,GSS,1,1,2,612,612,612,1024,1,0
79,LIFELONG,REC,1,1,2,612,612,612,1024,1,0
80,LIFELONG,RES,1,1,2,512,512,0,1024,0,0
80,LIFELONG,GSS,1,1,2,612,612,612,1024,1,0
80,LIFELONG,REC,1,1,2,612,612,612,1024,1,0
81,LIFELONG,RES,1,1,2,512,512,0,1024,0,0
81,LIFELONG,GSS,1,1,2,612,612,612,1024,1,0
81,LIFELONG,REC,1,1,2,612,612,612,1024,1,0
82,LIFELONG,RES,1,1,2,512,512,0,1024,0,0
82,LIFELONG,GSS,1,1,2,612,612,612,1024,1,0
82,LIFELONG,REC,1,1,2,612,612,612,1024,1,0
83,LIFELONG,RES,1,1,2,512,512,0,1024,0,0
83,LIFELONG,GSS,1,1,2,612,612,612,1024,1,0
83,LIFELONG,REC,1,1,2,612,612,612,1024,1,0
84,LIFELONG,RES,1,1,2,512,512,0,1024,0,0
84,LIFELONG,GSS,1,1,2,612,612,612,1024,1,0
84,LIFELONG,REC,1,1,2,612,612,612,1024,1,0
85,LIFELONG,RES,1,1,2,512,512,0,1024,0,0
85,LIFELONG,GSS,1,1,2,612,612,612,1024,1,0
85,LIFELONG,REC,1,1,2,612,612,612,1024,1,0
86,LIFELONG,RES,1,1,2,512,512,0,1024,0,0
86,LIFELONG,GSS,1,1,2,612,612,612,1024,1,0
86,LIFELONG,REC,1,1,2,612,612,612,1024,1,0
87,LIFELONG,RES,1,1,2,512,512,0,1024,0,0
87,LIFELONG,GSS,1,1,2,612,612,612,1024,1,0
87,LIFELONG,REC,1,1,2,612,612,612,1024,1,0
88,LIFELONG,RES,1,1,2,512,512,0,1024,0,0
88,LIFELONG,GSS,1,1,2,612,612,612,1024,1,0
88,LIFELONG,REC,1,1,2,612,612,612,1024,1,0
89,LIFELONG,RES,1,1,2,512,512,0,1024,0,0
89,LIFELONG,GSS,1,1,2,612,612,612,1024,1,0
89,LIFELONG,REC,1,1,2,612,612,612,1024,1,0
90,LIFELONG,RES,1,1,2,512,512,0,1024,0,0
90,LIFELONG,GSS,1,1,2,612,612,612,1024,1,0
90,LIFELONG,REC,1,1,2,612,612,612,1024,1,0
91,LIFELONG,RES,1,1,2,512,512,0,1024,0,0
91,LIFELONG,GSS,1,1,2,612,612,612,1024,1,0
91,LIFELONG,REC,1,1,2,612,612,612,1024,1,0
92,LIFELONG,RES,1,1,2,512,512,0,1024,0,0
92,LIFELONG,GSS,1,1,2,612,612,612,1024,1,0
92,LIFELONG,REC,1,1,2,612,612,612,1024,1,0
93,LIFELONG,RES,1,1,2,512,512,0,1024,0,0
93,LIFELONG,GSS,1,1,2,612,612,612,1024,1,0
93,LIFELONG,REC,1,1,2,612,612,612,1024,1,0
94,LIFELONG,RES,1,1,2,512,512,0,1024,0,0
94,LIFELONG,GSS,1,1,2,612,612,612,1024,1,0
94,LIFELONG,REC,1,1,2,612,612,612,1024,1,0
95,LIFELONG,RES,1,1,2,512,512,0,1024,0,0
95,LIFELONG,GSS,1,1,2,612,612,612,1024,1,0
95,LIFELONG,REC,1,1,2,612,612,612,1024,1,0
96,LIFELONG,RES,1,1,2,512,512,0,1024,0,0
96,LIFELONG,GSS,1,1,2,612,612,612,1024,1,0
96,LIFELONG,REC,1,1,2,612,612,612,1024,1,0
97,LIFELONG,RES,1,1,2,512,512,0,1024,0,0
97,LIFELONG,GSS,1,1,2,612,612,612,1024,1,0
97,LIFELONG,REC,1,1,2,612,612,612,1024,1,0
98,LIFELONG,RES,1,1,2,512,512,0,1024,0,0
98,LIFELONG,GSS,1,1,2,612,612,612,1024,1,0
98,LIFELONG,REC,1,1,2,612,612,612,1024,1,0
99,LIFELONG,RES,1,1,2,512,512,0,1024,0,0
99,LIFELONG,GSS,1,1,2,612,612,612,1024,1,0
99,LIFELONG,REC,1,1,2,612,612,612,1024,1,0
100,LIFELONG,RES,1,1,2,512,512,0,1024,0,0
100,LIFELONG,GSS,1,1,2,612,612,612,1024,1,0
100,LIFELONG,REC,1,1,2,612,612,612,1024,1,0
