arm,scope,n,new_nll_delta_mean,true_nll_delta_mean,true_weakened,competing_new_strengthened,both,true_weakened_only,competing_new_only,neither
AlphaEdit_L8_ONLY,W0_correct,89212,-2.8834149840518766,3.2527243698734294,68120,65192,47449,20671,17743,3349
AlphaEdit_L8_ONLY,lost,37772,-4.8168814577916415,5.06370807999556,33417,32368,28013,5404,4355,0
AlphaEdit_L8_ONLY,gained,3263,2.1917718092117764,-1.6452064456734543,1074,948,0,1074,948,1241
MEMIT_L5_ONLY,all,100000,-4.890419247068756,0.660046605835711,56749,88848,48856,7893,39992,3259
MEMIT_L5_ONLY,W0_correct,89212,-5.210783786613419,1.0334244254903993,54002,80750,47464,6538,33286,1924
MEMIT_L5_ONLY,lost,38084,-6.809528323287064,2.619945066304219,28316,36787,27019,1297,9768,0
MEMIT_L5_ONLY,gained,3157,-0.8466355479007459,-4.407240211058586,322,1879,0,322,1879,956
AlphaEdit_L5_ONLY,all,100000,-2.805376473945861,1.751441657893396,65958,76615,47785,18173,28830,5212
AlphaEdit_L5_ONLY,W0_correct,89212,-3.04933421494886,2.0469192010325004,61594,69993,45933,15661,24060,3558
AlphaEdit_L5_ONLY,lost,29169,-4.9995529935185905,4.2442655086977705,25122,26005,21958,3164,4047,0
AlphaEdit_L5_ONLY,gained,2779,0.790273928889799,-2.540193584320868,538,1090,0,538,1090,1151
MEMIT_L6_ONLY,all,100000,-4.3493944463784455,1.5984362616312366,64579,83413,51420,13159,31993,3428
MEMIT_L6_ONLY,W0_correct,89212,-4.734088422254587,1.9652513753022267,60953,76568,50066,10887,26502,1757
MEMIT_L6_ONLY,lost,42004,-6.29422094599266,3.2493206442036238,32934,39067,29997,2937,9070,0
MEMIT_L6_ONLY,gained,3280,0.4659927596864092,-3.283100001522476,600,1517,0,600,1517,1163
AlphaEdit_L6_ONLY,all,100000,-2.6960037508483743,2.34693715647663,70370,73233,48931,21439,24302,5328
AlphaEdit_L6_ONLY,W0_correct,89212,-2.971158084211246,2.669557517332443,65395,67347,47104,18291,20243,3574
AlphaEdit_L6_ONLY,lost,33825,-4.9104868378175155,4.563400467229598,29351,29458,24984,4367,4474,0
AlphaEdit_L6_ONLY,gained,3009,1.2486603849862439,-2.2819767405843927,712,1038,0,712,1038,1259
MEMIT_L7_ONLY,all,100000,-4.460308553246692,1.623251177673177,66001,84150,53817,12184,30333,3666
MEMIT_L7_ONLY,W0_correct,89212,-4.858618469742451,1.9885052676914807,62205,77421,52310,9895,25111,1896
MEMIT_L7_ONLY,lost,43877,-6.375888298714584,3.1947322601043857,34912,41035,32070,2842,8965,0
MEMIT_L7_ONLY,gained,3212,0.6504359958763118,-3.2586603731814083,556,1389,0,556,1389,1267
AlphaEdit_L7_ONLY,all,100000,-2.2508281446373344,3.0437713778418036,74330,69078,48381,25949,20697,4973
AlphaEdit_L7_ONLY,W0_correct,89212,-2.54831392602438,3.3647495653474437,68539,63724,46450,22089,17274,3399
AlphaEdit_L7_ONLY,lost,35969,-4.4619677846152666,5.269311107283116,32031,30105,26167,5864,3938,0
AlphaEdit_L7_ONLY,gained,3034,2.3186644148560402,-1.5303166801706645,1006,826,0,1006,826,1202
BASE_ALPHAEDIT,all,100000,-2.396074045842889,2.9299264811515577,72224,68002,44023,28201,23979,3797
BASE_ALPHAEDIT,W0_correct,89212,-2.803713781518175,3.2485680116764226,66546,63242,42864,23682,20378,2288
BASE_ALPHAEDIT,lost,37874,-4.252971859237913,4.884424200463069,32042,30055,24223,7819,5832,0
BASE_ALPHAEDIT,gained,3947,2.8708471001149705,-1.126235294716086,1616,1129,0,1616,1129,1202
BASE_MEMIT,all,100000,0.04426350275345736,6.023268977678027,88535,46906,38042,50493,8864,2601
BASE_MEMIT,W0_correct,89212,-0.3552844323638402,6.467692879814577,80695,44554,37231,43464,7323,1194
BASE_MEMIT,lost,43747,-1.4096494251081744,7.948324090696614,41692,25487,23432,18260,2055,0
BASE_MEMIT,gained,4373,4.978425558548904,1.1453742823363748,2718,498,0,2718,498,1157
