comparison,cohort,future_batches,metric,denominator,before_num,after_num,delta_pp,retained,lost,gained,both_failed,conditional_loss_den,conditional_recovery_den,strict_lost,strict_gained,strict_before,strict_after,desired_NLL_harm_mean,desired_NLL_harm_median,desired_NLL_harm_p90,desired_NLL_harm_p95,desired_NLL_harm_p99,desired_NLL_harm_min,desired_NLL_harm_max,competing_NLL_change_mean,competing_NLL_change_median,competing_NLL_change_p90,competing_NLL_change_p95,competing_NLL_change_p99,competing_NLL_change_min,competing_NLL_change_max
ATWRITE_TO_W100,41,59,RS,100,100,100,0.0,100,0,0,0,100,0,7,1,99,93,0.15950126086419913,0.004674777155742049,0.4103455852717162,0.9528640143573284,4.456402535317466,-1.6015315651893616,4.533644214272499,-0.8560558485984803,-0.6267685890197754,1.246511173248291,1.8172257900238034,2.456023941040045,-7.679026126861572,3.6062440872192383
ATWRITE_TO_W100,42,58,RS,100,100,99,-1.0,99,1,0,0,100,0,5,0,99,94,0.27167125822641536,0.012770065572112799,0.34645431786775605,1.4296010632067906,6.404916707463564,-0.06373104080557823,6.8164050579071045,-0.9229004430770874,-0.7707362174987793,1.3213336944580094,1.8984082698822013,3.049294714927689,-7.8038740158081055,6.127868175506592
ATWRITE_TO_W100,43,57,RS,100,100,100,0.0,100,0,0,0,100,0,5,0,99,94,0.18545238933817018,0.010074636898934841,0.4277421093545861,0.819914203556254,2.8473797462228765,-0.4808639883995056,4.354034423828125,-1.2228917980194092,-1.1988542079925537,1.2694486618041996,2.1201808691024766,4.534774599075318,-6.041954755783081,4.622561454772949
ATWRITE_TO_W100,44,56,RS,100,100,100,0.0,100,0,0,0,100,0,6,0,100,94,0.2625725224678172,0.00745966867543757,0.36638580113649394,1.404496075771749,4.86288985114545,-0.10616647824645042,5.650092460215092,-0.8838851141929627,-0.5705196857452393,1.4414743423461915,1.8094571113586426,4.482379741668714,-6.399698734283447,6.875373840332031
ATWRITE_TO_W100,45,55,RS,100,100,97,-3.0,97,3,0,0,100,0,8,0,100,92,0.3259032050807582,0.0061138333403505385,0.6274265780579302,2.67915189564228,4.582838070988673,-0.07784576527774334,8.031679451465607,-0.6304194504022598,-0.38201904296875,1.9706933498382575,3.0296293497085567,3.872987794876104,-8.678913116455078,4.892755508422852
ATWRITE_TO_W100,46,54,RS,100,100,99,-1.0,99,1,0,0,100,0,9,0,100,91,0.37767127114904725,0.006898034393088892,0.5702229819260576,3.264438254572451,4.3184003507718725,-0.9769103154540062,9.76475801691413,-0.9474148440361023,-0.6269354820251465,1.60240707397461,2.429367542266845,4.241695938110355,-11.43422794342041,4.803699493408203
ATWRITE_TO_W100,47,53,RS,100,99,99,0.0,99,0,0,1,99,1,4,1,98,95,0.16376327907142696,0.005908895982429385,0.16624005474150202,0.4249594187829638,3.5771003714297045,-0.258531779050827,5.072321314364672,-0.5662193298339844,-0.3745427131652832,1.197256374359131,1.5655197143554682,2.277400422096272,-7.007503509521484,6.0027241706848145
ATWRITE_TO_W100,48,52,RS,100,100,98,-2.0,98,2,0,0,100,0,7,0,99,92,0.2616417911308963,0.006029713957104832,0.3656914096325649,1.9714357325807201,3.1954473674670156,-0.9552184343338013,8.894534382969141,-0.7573301267623901,-0.5202736854553223,1.484862518310547,2.0966377735137938,2.460805935859686,-6.028146266937256,3.552846908569336
ATWRITE_TO_W100,49,51,RS,100,100,100,0.0,100,0,0,0,100,0,3,0,100,97,0.14206101667456095,0.0028495523147284985,0.26474974080920255,0.5675857922062272,3.1789205714315196,-0.0871698260307312,3.555091232061386,-0.8885992121696472,-0.6750681400299072,1.3814605712890629,1.829213500022887,3.2457660245895408,-6.9435625076293945,3.6989855766296387
ATWRITE_TO_W100,50,50,RS,100,100,99,-1.0,99,1,0,0,100,0,5,0,100,95,0.15710635787629143,0.007918662624433637,0.24095920361578516,0.9354473943472834,2.0430534103699185,-0.09063097462058067,5.080916494131088,-0.6099110579490662,-0.5086326599121094,1.7643789291381842,2.167726516723633,2.8515970420837413,-7.629478931427002,3.078399658203125
ATWRITE_TO_W100,51,49,RS,100,99,99,0.0,99,0,0,1,99,1,3,0,98,95,0.12524752170676948,0.006830809987150133,0.16018917784094813,0.31333613991737286,3.0767466164287236,-0.10841649025678635,4.134634226560593,-0.6798113512992859,-0.4434957504272461,1.2353658676147465,2.2785168170928953,3.2218629360198996,-9.257805824279785,3.6183204650878906
ATWRITE_TO_W100,52,48,RS,100,100,98,-2.0,98,2,0,0,100,0,3,0,99,96,0.16955712282389868,0.0025553544983267784,0.16126183979213246,0.5869193529710172,4.030791748019422,-0.7427500486373901,8.127804178744555,-0.6936216807365417,-0.4109644889831543,1.3669069290161135,1.9601364374160761,3.7597665882110602,-8.325527906417847,3.9282960891723633
ATWRITE_TO_W100,53,47,RS,100,100,99,-1.0,99,1,0,0,100,0,8,0,97,89,0.24520783076513908,0.008342524291947484,0.5686958387959791,1.5620791979134079,2.787066929889864,-0.12190878391265869,6.920493841171265,-0.44617046415805817,-0.42037084698677063,2.160590839385987,2.505472159385679,4.0133890914917,-5.802000999450684,4.082167625427246
ATWRITE_TO_W100,54,46,RS,100,100,100,0.0,100,0,0,0,100,0,3,0,99,96,0.26628750691852476,0.007894130190834403,0.27972259018570184,0.5979043267667286,5.856802399083988,-0.389192670583725,8.984723798930645,-0.6151679062843323,-0.48281383514404297,2.170760631561282,2.816606521606443,4.805061388015749,-8.38875961303711,5.197732925415039
ATWRITE_TO_W100,55,45,RS,100,100,98,-2.0,98,2,0,0,100,0,6,1,99,94,0.19737055755278562,0.006938167207408696,0.4593065608292835,1.4283498386386781,3.5172105870395964,-1.0091665387153625,4.75126838684082,-1.0407002583146094,-0.6613266468048096,1.2015278816223145,1.3887062549591063,2.2499055862426776,-8.91002082824707,2.5785598754882812
ATWRITE_TO_W100,56,44,RS,100,99,100,1.0,99,0,1,0,99,1,4,1,99,96,0.15540641159110236,0.004822921007871628,0.17565595284104354,0.42339044110849466,4.232185763365124,-0.7234888076782227,4.415507597150281,-0.5951512432098389,-0.22768115997314453,1.3478456020355227,1.969563293457031,2.514501166343692,-7.554233551025391,3.091093063354492
ATWRITE_TO_W100,57,43,RS,100,100,100,0.0,100,0,0,0,100,0,6,0,100,94,0.3056115788238822,0.0066238269209861755,0.22815971281379496,1.2272757552564078,6.139440191425384,-0.038259707391262054,6.352194353938103,-0.6434847927093506,-0.48689889907836914,1.9264706611633307,2.530016255378722,3.5080324935913105,-7.636744499206543,3.866396903991699
ATWRITE_TO_W100,58,42,RS,100,100,100,0.0,100,0,0,0,100,0,1,0,97,96,0.13457547311525558,0.006477653747424483,0.17658094987273237,0.8290166295832018,2.891733117103579,-0.11281627416610718,3.4143552780151367,-0.5397380745410919,-0.43120765686035156,1.1001739501953132,1.4853811264038073,2.310208582878139,-6.141151785850525,7.322755336761475
ATWRITE_TO_W100,59,41,RS,100,100,100,0.0,100,0,0,0,100,0,5,0,100,95,0.11665484561406629,0.0024014036171138287,0.10132559277117294,0.8147734027355898,1.9357895995304097,-0.6376921534538269,4.038571648299694,-0.4934702467918396,-0.3669116497039795,1.2091530084609987,1.6511499881744385,2.202869472503686,-4.134061813354492,6.833775520324707
ATWRITE_TO_W100,60,40,RS,100,100,100,0.0,100,0,0,0,100,0,3,0,100,97,0.12116102185464114,0.004119714256376028,0.1462121176533401,0.36239781156182255,1.9707787980884497,-0.6072192192077637,5.5092011243104935,-0.6284417271614074,-0.3196375370025635,1.148494482040406,1.7778161525726317,2.1099158096313495,-6.735486030578613,2.4491047859191895
ATWRITE_TO_W100,61,39,RS,100,100,100,0.0,100,0,0,0,100,0,3,0,99,96,0.12721265628468245,0.0019480926275718957,0.053970254934393114,0.22796997893601562,3.396749712117022,-0.31915968656539917,4.475566256791353,-0.30020984411239626,-0.2648930549621582,1.4107048749923714,1.9943407297134392,2.723090982437136,-5.42989444732666,3.1933517456054688
ATWRITE_TO_W100,62,38,RS,100,100,99,-1.0,99,1,0,0,100,0,3,0,100,97,0.20878162378183332,0.0031496238079853356,0.14538229159079494,0.23428708352148514,7.35305711858906,-0.47994524240493774,7.609087312128395,-0.6446173572540284,-0.4211277961730957,1.106212615966797,1.5479029178619383,2.9272884416580336,-5.8287434577941895,5.566521644592285
ATWRITE_TO_W100,63,37,RS,100,99,98,-1.0,98,1,0,1,99,1,4,0,99,95,0.14060230668517762,0.006591068347916007,0.17177893491461924,0.7546870534308252,2.7297364154458146,-0.10781657695770264,4.646403342485428,-0.5865527641773224,-0.3520132303237915,1.4403732299804706,1.9660441637039183,2.7997998046875066,-6.354820013046265,4.027261734008789
ATWRITE_TO_W100,64,36,RS,100,100,100,0.0,100,0,0,0,100,0,2,1,99,98,0.040096896417380776,0.0004174888599663973,0.07747871689498426,0.17306189760565624,1.0891423164308076,-0.8425326943397522,1.1801270693540573,-0.23339426279067993,-0.17299175262451172,1.3855309963226323,1.6759423732757566,2.781804285049446,-3.6553518772125244,4.2738447189331055
ATWRITE_TO_W100,65,35,RS,100,98,99,1.0,98,0,1,1,98,2,5,0,98,93,0.18358762192510766,0.003096233122050762,0.2182148009538655,1.4509669857099643,3.813180897217247,-0.38106226176023483,4.481240272521973,-0.6077078944444656,-0.5176587104797363,1.0185009956359867,1.2913296937942498,1.6195198822021508,-4.36781120300293,2.0816450119018555
ATWRITE_TO_W100,66,34,RS,100,100,99,-1.0,99,1,0,0,100,0,3,0,99,96,0.14891451040282846,0.004086354922037572,0.16443320252001287,0.41679219263605766,2.7880166715383763,-0.3994900584220886,7.3274295926094055,-0.47940878868103026,-0.5220141410827637,1.5501472473144557,2.1164222717285144,3.398054885864262,-4.837069988250732,4.188562393188477
