arrival_batch,metric_tag,numerator,denominator,strict_numerator,token_correct,token_denominator,safety_margin_mean,safety_margin_q05,anchor
36,RP_JOINT,97,100,59,253,306,8.131358167598664,1.0661255836486816,ACTUAL_ARRIVAL_CURRENT_JSON
36,RS,100,100,98,100,102,14.916823727760784,8.81137802702724,ACTUAL_ARRIVAL_CURRENT_JSON
37,NS,747,1000,140,149,1010,2.988552815739298,-5.094762349128723,ACTUAL_ARRIVAL_CURRENT_JSON
37,PS,193,200,154,158,204,8.946161909428483,2.030385357141496,ACTUAL_ARRIVAL_CURRENT_JSON
37,RP_JOINT,94,100,66,259,306,7.478751086003613,-0.0278170108795165,ACTUAL_ARRIVAL_CURRENT_JSON
37,RS,99,100,99,101,102,14.007587590659025,8.595369391608983,ACTUAL_ARRIVAL_CURRENT_JSON
38,NS,761,1000,132,132,1000,3.0133822434078903,-4.924275275692343,ACTUAL_ARRIVAL_CURRENT_JSON
38,PS,192,200,132,132,200,8.063570994992988,0.4818392276763917,ACTUAL_ARRIVAL_CURRENT_JSON
38,RP_JOINT,94,100,51,231,300,6.288321824320592,-0.4507029056549071,ACTUAL_ARRIVAL_CURRENT_JSON
38,RS,100,100,99,99,100,14.11224368695046,8.375083177676425,ACTUAL_ARRIVAL_CURRENT_JSON
39,NS,759,1000,164,183,1020,3.032016852076631,-5.277745223045349,ACTUAL_ARRIVAL_CURRENT_JSON
39,PS,195,200,151,153,202,8.663769001788314,1.232154893875122,ACTUAL_ARRIVAL_CURRENT_JSON
39,RP_JOINT,95,100,61,254,303,6.91754492650507,0.2458081722259522,ACTUAL_ARRIVAL_CURRENT_JSON
39,RS,100,100,100,101,101,14.406492494933191,8.669421844021418,ACTUAL_ARRIVAL_CURRENT_JSON
40,NS,665,1000,98,108,1010,1.8343471977598964,-5.951624864339828,ACTUAL_ARRIVAL_CURRENT_JSON
40,PS,198,200,149,149,200,9.252168772757868,2.4838054269552234,ACTUAL_ARRIVAL_CURRENT_JSON
40,RP_JOINT,98,100,58,248,300,7.744772549667395,1.788216483592987,ACTUAL_ARRIVAL_CURRENT_JSON
40,RS,100,100,99,99,100,14.722192222388038,8.720157193206251,ACTUAL_ARRIVAL_CURRENT_JSON
41,NS,740,1000,153,153,1000,2.7315477822357788,-3.988722908496857,ACTUAL_ARRIVAL_CURRENT_JSON
41,PS,196,200,159,163,204,9.774455803892051,2.07733416557312,ACTUAL_ARRIVAL_CURRENT_JSON
41,RP_JOINT,97,100,66,264,306,8.325711766357417,1.7442624092102053,ACTUAL_ARRIVAL_CURRENT_JSON
41,RS,100,100,99,101,102,14.666746058303834,7.734006242093164,ACTUAL_ARRIVAL_CURRENT_JSON
42,NS,713,1000,109,119,1010,2.383505763711117,-5.745760783553124,ACTUAL_ARRIVAL_CURRENT_JSON
42,PS,198,200,141,143,202,8.81759518140032,2.158183526992798,ACTUAL_ARRIVAL_CURRENT_JSON
42,RP_JOINT,98,100,53,244,303,7.303748915176839,1.1399960696697236,ACTUAL_ARRIVAL_CURRENT_JSON
42,RS,100,100,100,101,101,14.474306520233949,9.102812091447412,ACTUAL_ARRIVAL_CURRENT_JSON
43,NS,746,1000,117,117,1000,2.7519115562099032,-4.794792354106903,ACTUAL_ARRIVAL_CURRENT_JSON
43,PS,197,200,147,151,204,8.819721243581444,1.5630292892456057,ACTUAL_ARRIVAL_CURRENT_JSON
43,RP_JOINT,97,100,62,252,306,7.287081036356977,1.2596560955047609,ACTUAL_ARRIVAL_CURRENT_JSON
43,RS,100,100,99,101,102,14.400105554139737,8.150146652944386,ACTUAL_ARRIVAL_CURRENT_JSON
44,NS,730,1000,153,171,1020,3.1052266519088296,-5.910311841964721,ACTUAL_ARRIVAL_CURRENT_JSON
44,PS,196,200,149,153,204,9.367584924368712,2.565125173330307,ACTUAL_ARRIVAL_CURRENT_JSON
44,RP_JOINT,96,100,62,254,306,8.029067296280992,1.694160979986191,ACTUAL_ARRIVAL_CURRENT_JSON
44,RS,100,100,99,101,102,13.782019196700931,8.200304807990324,ACTUAL_ARRIVAL_CURRENT_JSON
45,NS,683,1000,114,124,1010,1.989323467548471,-5.960166039690376,ACTUAL_ARRIVAL_CURRENT_JSON
45,PS,191,200,139,141,202,8.551926148607162,0.1491888046264649,ACTUAL_ARRIVAL_CURRENT_JSON
45,RP_JOINT,95,100,55,242,303,7.032396618507337,0.0209314346313479,ACTUAL_ARRIVAL_CURRENT_JSON
45,RS,100,100,100,101,101,14.024512701417043,7.591625992173794,ACTUAL_ARRIVAL_CURRENT_JSON
46,NS,729,1000,125,135,1010,2.3925018750398888,-5.205746257305146,ACTUAL_ARRIVAL_CURRENT_JSON
46,PS,197,200,147,149,202,8.545092321495176,1.8071834683418275,ACTUAL_ARRIVAL_CURRENT_JSON
46,RP_JOINT,97,100,59,250,303,6.979229250905337,1.145843529701233,ACTUAL_ARRIVAL_CURRENT_JSON
46,RS,100,100,100,101,101,14.043765438647531,8.048774737631902,ACTUAL_ARRIVAL_CURRENT_JSON
47,NS,750,1000,140,160,1020,2.955984032704495,-4.309221708774567,ACTUAL_ARRIVAL_CURRENT_JSON
47,PS,192,200,139,141,202,8.8937538991787,1.2854805469512942,ACTUAL_ARRIVAL_CURRENT_JSON
47,RP_JOINT,93,100,58,241,303,7.453237138629775,-0.5472593307495117,ACTUAL_ARRIVAL_CURRENT_JSON
47,RS,100,100,99,100,101,14.228479161603609,7.98828744548373,ACTUAL_ARRIVAL_CURRENT_JSON
48,NS,749,1000,109,119,1010,2.802019990249217,-4.868769919872284,ACTUAL_ARRIVAL_CURRENT_JSON
48,PS,193,200,130,134,204,8.778704197746848,1.373555612564087,ACTUAL_ARRIVAL_CURRENT_JSON
48,RP_JOINT,94,100,51,235,306,7.192656339360401,-0.2903658390045164,ACTUAL_ARRIVAL_CURRENT_JSON
48,RS,100,100,99,101,102,14.482217001651152,7.949345924565568,ACTUAL_ARRIVAL_CURRENT_JSON
49,NS,738,1000,136,136,1000,2.3785194371966645,-5.599837779998779,ACTUAL_ARRIVAL_CURRENT_JSON
49,PS,196,200,139,139,200,8.752542743635713,1.5193332195281983,ACTUAL_ARRIVAL_CURRENT_JSON
49,RP_JOINT,96,100,57,238,300,7.139328535093227,0.0651278018951416,ACTUAL_ARRIVAL_CURRENT_JSON
