model,arm,outer_step_index,lambda,oracle_residual_norm,waypoint_residual_norm,waypoint_injection_nll,alpha,W_nll_pre,W_nll_post,predicted_progress,actual_progress,negative_progress,target_objective_mean,target_objective_median,target_objective_p90,target_objective_max,final_vs_best_gap_mean,post_residual_norm,outer_update_energy,fallback_count,retry_count,native_storage_assignment_count,logical_outer_commit_count,current_key_q_refresh_count,oracle_target_sha256,waypoint_sha256,post_terminal_sha256
Llama3-8B-Instruct,C1-FH,2,0.16666666666666666,17461.02723879922,2910.1712056273823,14.16996129989624,0.0,14.16995906829834,14.16995906829834,0.0,0.0,False,14.291432556483125,14.290666490747032,16.29844461095145,18.724636448176813,0.0005709237204990992,,0.0,0,0,,,0,23d1ba56b137108c72cacf80ced61a7e726defecd43d4f4367eb572853f828f4,e211765826b75bef5a5028e2c4285cdd43244a19155fa0043b85d1ad0147361a,6213981a7f79f2eddd06081d7e43073d23fbc961a420808f9c1ee3c7cca16e15
Llama3-8B-Instruct,C1-FH,3,0.2,17461.145886234423,3492.229176721211,14.16994704246521,1.2025833129314378e-05,14.16995906829834,14.143826694488526,1.2025833129314378e-05,0.026132373809813814,False,14.276725146096323,14.257685100262236,16.273402200922103,18.724088068983143,0.013592273709335584,417407.30784471566,17920742871.431652,0,0,5,1,4,90a2705c658a3e40d736033a13868476c6bbfd1c5c075aa9047bd234866c4b06,7df68a09254e6208def247a62465821060860d98a08d22b8bb9834eba15f7a9a,09cd1375f9385443d38aafa540acda45b6a2c91bb7d405d60e61d596eebcd08d
Llama3-8B-Instruct,C1-FH,4,0.25,412382.3435141557,103095.58588061131,14.143826961517334,0.0,14.143826694488526,14.143826694488526,0.0,0.0,False,14.331935545383185,14.301584226445813,16.271234424563602,18.14153747526382,0.0019838263441078574,,0.0,0,0,,,0,dbf0bc925a5ea6b8e43421c0540d4166065e8b91bab3dfd06d373723343da394,40e5de8d6d86dae1b7fbf60d3391b41ac0a004e99a5c0edc69320e5a55553441,09cd1375f9385443d38aafa540acda45b6a2c91bb7d405d60e61d596eebcd08d
Llama3-8B-Instruct,C1-FH,5,0.3333333333333333,412382.5160271095,137460.8386434168,14.143826885223389,0.0,14.143826694488526,14.143826694488526,0.0,0.0,False,14.355627031127732,14.32510492607352,16.338382233490865,18.185683700088138,0.03352542605522993,,0.0,0,0,,,0,da85f49e767b968feb565792b7b1559518e7e2679f8aa71ec4cd2068b6f5a196,4e2c1301384bfb5045924e6f43235ae23470ddece1863bef8874064a3cca19eb,09cd1375f9385443d38aafa540acda45b6a2c91bb7d405d60e61d596eebcd08d
Llama3-8B-Instruct,C1-FH,6,0.5,412382.34781018697,206191.1738924983,14.143826599121093,9.536743306171047e-08,14.143826694488526,14.085515260696411,9.536743306171047e-08,0.0583114337921149,False,14.3488658162288,14.30950344000589,16.297391938510167,18.17899022514088,0.021774539477160407,7194593.069874941,5002306329497.134,0,0,5,1,4,295c839e8e844d16ec798f02d208eb896da19680df07dde95e232bcf34145544,af57fedbebb7f2b2ae8dad3a30972f6a4721971e28d80908be0d2eca657c9b15,d51d95be6cd6758a5ff0c8598b18b1eb1ecb365b4136f6cdc5c974fefec0a301
Llama3-8B-Instruct,C1-FH,7,1.0,7177729.599121692,7177729.599121692,14.08551462173462,6.389617919211332e-07,14.085515260696411,14.286704053878784,6.389617919211332e-07,-0.20118879318237326,True,14.276343778979394,14.337633201953086,15.792319180804482,17.346949776655354,0.010904569897731165,105999069.65500003,975740277882731.9,0,0,5,1,4,8f809f62eb4b0299bf4df96677d0be345f9c6153dd311a2d8f29d47c0859eb10,27d801b4826d15cda3946d99b05624a1253891cf0f1e3e9465a40ab238ce976d,a1e29a04f0534ec0fd8d869943c0c502c41d3aaf74025b1b602fefa29a899f0b
Llama3-8B-Instruct,C3-FH,0,0.125,45.39057713414039,5.67382214407511,8.547386077642441,1.8457105386257169,10.393096616268158,8.564866704940796,1.8457105386257169,1.8282299113273623,False,0.34254845776586224,0.16240957785091797,0.5672624957376924,6.019303895779813,0.013745827785675322,,,0,0,,,0,9143333332dd55dc4c8eaa39a1b469bb20965d4a047edcea64c19a74c9b75d04,308c1bd52544a2b076b08df5de5e69b96eb09831108a53f86611b37f69153969,8d24c19b8a2eeadf7f49c7bdb1eb6b5579dabe3665f1da73e86ea45260600c5e
Llama3-8B-Instruct,C3-FH,1,0.14285714285714285,43.66117320136839,6.2373104612665164,7.376965962648391,1.1879007422924044,8.564866704940796,7.424206188321113,1.1879007422924044,1.1406605166196826,False,0.17366580382878113,0.11340674301451467,0.2552237099488268,1.390287793755543,0.05475937421303124,,,0,0,,,0,adf9aa9fb9d31140fafb7f1ec55b03feba4b07ae99bb1a6bf443542512869677,4ed591d7795ab953068691c7db820b047e7d348eb8d091c6a95c877f5930a87b,72eb1a9c9c09aadb11241ca18c6f27d47150f66c47b3eba73298398ebc80f116
Llama3-8B-Instruct,C3-FH,2,0.16666666666666666,42.34052510591898,7.056754185356568,5.370290699899197,2.053915488421916,7.424206188321113,5.486832693368196,2.053915488421916,1.9373734949529169,False,0.18801685513124816,0.12407534745258111,0.29435926296692483,1.139195885768954,0.08143023813832402,,,0,0,,,0,47745cb08ace84007c588470462de57a9a6fc58f605bccfc9744b70f4aefbcc2,eef305d850834bb816ede59edd57e10f17ea9b6bd4c5fbb3fa9a5886936d4295,f3b1ef85c27f4f6b2876a18c4be1fb9779a6c69380ae75e897c49eec5d753747
Llama3-8B-Instruct,C3-FH,3,0.2,41.39528288242013,8.27905657794025,3.3619709649309515,2.124861728437245,5.486832693368196,3.4961219971626996,2.124861728437245,1.9907106962054968,False,0.27769507508307656,0.10980529285459394,0.4290660616051426,3.7093951630117727,0.16524931455994935,,,0,0,,,0,e613773070129be21d39f51b9d0c67b1dd5d51383b62c5909f2f165cc065bd29,ec1b1ac9dd7f7c7b0d37a1c839f272d88be1137aadcc587d9d3f809243c2951c,ee4962dadacacc259e4eca767ab67be98ad4e1eb7c8cc71e92857485a954351c
