model,arm,outer_step_index,pi,beta,minimax_t,selected_p,selected_c,selected_p_normalized,selected_c_normalized,stationarity_residual,primal_residual,complementarity_residual,kkt_active_set_tolerance,fallback_count,hard_budget_count
Llama3-8B-Instruct,C1-FH,6,"[0.16689454019069672,0.22335398197174072,0.19712017476558685,0.20767320692539215,0.20495811104774475]","[0.1668945377037743,0.26809808451848743,0.3232795279929755,0.5032899779529388,1.0]",0.9906342665629507,9382.610426704588,5349242.287230485,0.9906342665629594,0.9906342665629592,2.128329680570841e-15,,6.925376193406238e-10,NOT_RECORDED,0,0
Llama3-8B-Instruct,C1-FH,7,"[0.16470685601234436,0.2071273773908615,0.20077918469905853,0.2240685522556305,0.2033180147409439]","[0.1647068584666678,0.24796968893708393,0.31962771634252146,0.5242760759428043,1.0]",0.9896577395125217,11237074.028687786,6337426679.282172,0.9896577395125209,0.9781903200242682,1.5143157238890244e-15,,3.6147763015538807e-10,NOT_RECORDED,0,0
Llama3-8B-Instruct,C3-FH,0,,,,,,,,,,,NOT_RECORDED,0,0
Llama3-8B-Instruct,C3-FH,1,,,,,,,,,,,NOT_RECORDED,0,0
Llama3-8B-Instruct,C3-FH,2,,,,,,,,,,,NOT_RECORDED,0,0
Llama3-8B-Instruct,C3-FH,3,,,,,,,,,,,NOT_RECORDED,0,0
Llama3-8B-Instruct,C3-FH,4,,,,,,,,,,,NOT_RECORDED,0,0
Llama3-8B-Instruct,C3-FH,5,,,,,,,,,,,NOT_RECORDED,0,0
Llama3-8B-Instruct,C3-FH,6,,,,,,,,,,,NOT_RECORDED,0,0
Llama3-8B-Instruct,C3-FH,7,,,,,,,,,,,NOT_RECORDED,0,0
Qwen2.5-7B-Instruct,C0-FH,0,"[0.07029235861500022,0.0821442036181011,0.2995286210618404,0.2688593723403933,0.27917544436466496]","[0.07029235861500022,0.08835487626597283,0.35339964858679795,0.49058812350071584,1.0]",,0.10480692304342687,,,,,,,NOT_RECORDED,0,0
Qwen2.5-7B-Instruct,C0-FH,1,"[0.12770233912762413,0.0,0.27344690264087135,0.0,0.5988507582315045]","[0.12770233912762413,0.0,0.3134788901845729,0.0,1.0]",,2.1558165035411134,,,,,,,NOT_RECORDED,0,0
Qwen2.5-7B-Instruct,C0-FH,2,"[0.0,0.5902532398286006,0.0,0.40332504418966925,0.006421715981730138]","[0.0,0.5902532398286006,0.0,0.9843275979069513,1.0]",,0.02998486121152317,,,,,,,NOT_RECORDED,0,0
Qwen2.5-7B-Instruct,C0-FH,3,,,,,,,,,,,NOT_RECORDED,0,0
Qwen2.5-7B-Instruct,C0-FH,4,,,,,,,,,,,NOT_RECORDED,0,0
Qwen2.5-7B-Instruct,C0-FH,5,,,,,,,,,,,NOT_RECORDED,0,0
Qwen2.5-7B-Instruct,C0-FH,6,"[0.7769188568890933,0.0,0.2230811426960597,0.0,4.1484692296425425e-10]","[0.7769188568890933,0.0,0.9999999981403765,0.0,1.0]",,8.463038282965998e-11,,,,,,,NOT_RECORDED,0,0
Qwen2.5-7B-Instruct,C0-FH,7,"[0.0,0.0,9.574783912169562e-05,0.9999042521608783,0.0]","[0.0,0.0,9.574783912169562e-05,1.0,0.0]",,33.81476132995925,,,,,,,NOT_RECORDED,0,0
Qwen2.5-7B-Instruct,C1-FH,0,"[0.1374782919883728,0.1268204301595688,0.322733998298645,0.2233181893825531,0.1896490901708603]","[0.1374782919883728,0.14703447922711202,0.43867532654135655,0.5407648509684628,1.0]",0.8925900257381632,0.0016706523451934792,0.08103395350393693,0.892590025738165,0.8119456344889219,1.53168116272587e-07,,1.887379141862721e-15,1.4901161193847656e-08,0,0
Qwen2.5-7B-Instruct,C1-FH,1,"[0.09271957725286484,0.08555019646883011,0.23435577750205994,0.18811319768428802,0.3992612361907959]","[0.09271957863449422,0.09429300547990417,0.2851979570147498,0.3202611261835986,1.0]",0.7233410462703111,0.4551227859948862,22.145111106029105,0.7233410462709556,0.6229748442112062,1.4391950197905235e-07,,6.444844657948902e-13,1.4901161193847656e-08,0,0
Qwen2.5-7B-Instruct,C1-FH,2,"[0.05856173485517502,0.06182662397623062,0.30499014258384705,0.22276856005191803,0.3518529236316681]","[0.05856173572781288,0.06567252176149482,0.3467327323514926,0.3876787874756611,1.0]",0.5699939712054014,31.669292257428136,1584.1924165055243,0.5699939712071111,0.49616638981495514,6.936640668171545e-09,,1.7097434579227415e-12,1.4901161193847656e-08,0,0
Qwen2.5-7B-Instruct,C1-FH,3,,,,,,,,,,,NOT_RECORDED,0,0
Qwen2.5-7B-Instruct,C1-FH,4,,,,,,,,,,,NOT_RECORDED,0,0
Qwen2.5-7B-Instruct,C1-FH,5,,,,,,,,,,,NOT_RECORDED,0,0
Qwen2.5-7B-Instruct,C1-FH,6,,,,,,,,,,,NOT_RECORDED,0,0
Qwen2.5-7B-Instruct,C1-FH,7,"[0.06791452318429947,0.41295304894447327,0.2961837649345398,0.11314375698566437,0.10980487614870071]","[0.06791452520831004,0.4430420518501521,0.5705360829651535,0.5074880047256253,1.0]",0.6498969548314597,1275775.1437523998,75719406.029396,0.5840281431755261,0.6498969548314721,3.1661778521742557e-07,,1.2434497875800507e-14,1.4901161193847656e-08,0,0
Qwen2.5-7B-Instruct,C3-FH,0,,,,,,,,,,,NOT_RECORDED,0,0
Qwen2.5-7B-Instruct,C3-FH,1,,,,,,,,,,,NOT_RECORDED,0,0
Qwen2.5-7B-Instruct,C3-FH,2,,,,,,,,,,,NOT_RECORDED,0,0
Qwen2.5-7B-Instruct,C3-FH,3,,,,,,,,,,,NOT_RECORDED,0,0
Qwen2.5-7B-Instruct,C3-FH,4,,,,,,,,,,,NOT_RECORDED,0,0
Qwen2.5-7B-Instruct,C3-FH,5,,,,,,,,,,,NOT_RECORDED,0,0
Qwen2.5-7B-Instruct,C3-FH,6,,,,,,,,,,,NOT_RECORDED,0,0
Qwen2.5-7B-Instruct,C3-FH,7,,,,,,,,,,,NOT_RECORDED,0,0
