model,endpoint,weight,layer,actual_fp32_update_norm,actual_fp32_norm_share,actual_fp32_update_energy,actual_fp32_squared_energy_share,total_actual_fp32_update_energy,nonfinite_count
Qwen2.5-7B-Instruct,C0-FH,model.layers.6.mlp.down_proj.weight,6,296291.0003112822,0.004069720452840054,87788356865.4602,2.2762460325682347e-05,3856716524022259.5,0
Qwen2.5-7B-Instruct,C0-FH,model.layers.7.mlp.down_proj.weight,7,61041295.08446609,0.8384358850323047,3726039705588864.0,0.9661170797440125,3856716524022259.5,0
Qwen2.5-7B-Instruct,C0-FH,model.layers.8.mlp.down_proj.weight,8,11427496.50608089,0.15696297291073938,130587676396490.97,0.03385980680278208,3856716524022259.5,0
Qwen2.5-7B-Instruct,C1-FH,model.layers.4.mlp.down_proj.weight,4,25695.69700695783,0.00039495462031311157,660268844.6733816,2.441019269159598e-07,2704889932723477.0,0
Qwen2.5-7B-Instruct,C1-FH,model.layers.5.mlp.down_proj.weight,5,341872.7652894122,0.005254740829708246,116876987646.62949,4.32095170426951e-05,2704889932723477.0,0
Qwen2.5-7B-Instruct,C1-FH,model.layers.6.mlp.down_proj.weight,6,4330592.673160668,0.06656319089129122,18754032900832.863,0.006933381160522846,2704889932723477.0,0
Qwen2.5-7B-Instruct,C1-FH,model.layers.7.mlp.down_proj.weight,7,9393235.285664966,0.1443783243068662,88232869131861.4,0.03261976321639906,2704889932723477.0,0
Qwen2.5-7B-Instruct,C1-FH,model.layers.8.mlp.down_proj.weight,8,50968475.486660294,0.7834087893518212,2597785493434291.5,0.9604034020041086,2704889932723477.0,0
Qwen2.5-7B-Instruct,C3-FH,model.layers.4.mlp.down_proj.weight,4,34.25103825340344,0.20627423448841398,1173.1336214361058,0.20557442761378159,5706.612612538096,0
Qwen2.5-7B-Instruct,C3-FH,model.layers.5.mlp.down_proj.weight,5,38.35582312456536,0.2309949845799652,1471.169167562943,0.2578007773526824,5706.612612538096,0
Qwen2.5-7B-Instruct,C3-FH,model.layers.6.mlp.down_proj.weight,6,21.146760889397463,0.12735473541262796,447.18549611335015,0.07836268667174486,5706.612612538096,0
Qwen2.5-7B-Instruct,C3-FH,model.layers.7.mlp.down_proj.weight,7,35.14101084325242,0.2116340257253563,1234.8906430855839,0.21639643812029302,5706.612612538096,0
Qwen2.5-7B-Instruct,C3-FH,model.layers.8.mlp.down_proj.weight,8,37.15149639435958,0.22374201979363653,1380.233684340113,0.2418656702414981,5706.612612538096,0
Qwen2.5-7B-Instruct,Official-AlphaEdit,model.layers.4.mlp.down_proj.weight,4,23.990613352656812,0.22396533887775327,575.5495290366753,0.24220272793814135,2376.3131569008206,0
Qwen2.5-7B-Instruct,Official-AlphaEdit,model.layers.5.mlp.down_proj.weight,5,27.231161927603576,0.2542176108421713,741.5361799273664,0.312053223193224,2376.3131569008206,0
Qwen2.5-7B-Instruct,Official-AlphaEdit,model.layers.6.mlp.down_proj.weight,6,15.389974597913326,0.14367372878192625,236.85131812441745,0.09967176145812286,2376.3131569008206,0
Qwen2.5-7B-Instruct,Official-AlphaEdit,model.layers.7.mlp.down_proj.weight,7,21.257159278122412,0.19844706808114293,451.8668205754658,0.19015457590816395,2376.3131569008206,0
Qwen2.5-7B-Instruct,Official-AlphaEdit,model.layers.8.mlp.down_proj.weight,8,19.24861837215585,0.17969625341700626,370.5093092368957,0.1559177115023479,2376.3131569008206,0
Qwen2.5-7B-Instruct,Official-MEMIT,model.layers.4.mlp.down_proj.weight,4,56.252912820448316,0.3884802222192763,3164.3902007849583,0.6000530160544716,5273.517699472243,0
Qwen2.5-7B-Instruct,Official-MEMIT,model.layers.5.mlp.down_proj.weight,5,31.7480925533495,0.21925097620331674,1007.9413807760461,0.19113264394218638,5273.517699472243,0
Qwen2.5-7B-Instruct,Official-MEMIT,model.layers.6.mlp.down_proj.weight,6,15.063801272283552,0.10402997057952337,226.91810877085157,0.04302974251770517,5273.517699472243,0
Qwen2.5-7B-Instruct,Official-MEMIT,model.layers.7.mlp.down_proj.weight,7,19.594118189808515,0.13531614643429787,383.929467636185,0.07280329554494668,5273.517699472243,0
Qwen2.5-7B-Instruct,Official-MEMIT,model.layers.8.mlp.down_proj.weight,8,22.143589173939322,0.1529226845635858,490.3385415042027,0.09298130194069021,5273.517699472243,0
