model,arm,outer_step_index,layer,field_source,pi,beta,suffix_mass,key_norm,q_norm,residual_norm_before,residual_norm_after,residual_reduction,update_norm,update_energy,update_energy_share,numeric_storage_cast_count,bf16_path_call_count,key_sha256,q_sha256
Llama3-8B-Instruct,C0-FH,2,6,CURRENT_PREFIX_KEY_Q,0.08837561228741761,0.11639349582756052,0.7592830824357057,34.70217754306668,3.0156615329230183,641.8818464442377,594.2560482177629,47.625798226474785,162.8613479741271,26523.818663949714,0.038266596024031756,0,0,afeff0ce23b6f1f2ae42460b5cd414ce0dbf00092ae10ab17acc55fcc60f5f92,58835b305f8920813959876c4d24a8e8892f074372bff7333e0c89e8822da3e4
Llama3-8B-Instruct,C0-FH,2,7,CURRENT_PREFIX_KEY_Q,0.1434621199849169,0.2138329447326142,0.6709074701482881,38.447774344411684,2.847421079338161,594.2560482177629,439.4720455174426,154.7840027003203,237.73959696201482,56520.11596366124,0.08154302637246205,0,0,1e264dfadfb5745821df18642a9e9e9716d5743b91ea8e529c20f1932d7220e8,d21370d9c7a150379fda9f42847145aced86cb0d88606fca14ad8aaf75135b5a
Llama3-8B-Instruct,C0-FH,2,8,CURRENT_PREFIX_KEY_Q,0.5274453501633712,1.0,0.5274453501633712,56.06895906762006,2.690312740340588,439.4720455174426,2893.5564380842557,-2454.084392566813,780.6992743985969,609491.3570464958,0.8793288717486675,0,0,795cf9aae66f96605c174ec4e638ef748a8a90fa04875e32d85b339818e749cd,b2ad932ed0e1259160c6fb2a0aa62d4503067f3b28973d77432307d64c77607a
Llama3-8B-Instruct,C0-FH,3,4,ENTRY_FIELD_REUSE,0.0,0.0,1.0,28.4580977190703,3.298148222074917,562.0367282725164,562.0367282725164,0.0,0.0,0.0,0.0,0,0,7eed86ec93b4f938eca6b83cf1e6af70dc329b5165c53d53a921ece58ed85715,7a3aec87860e51559e01f681bdda930762388078520b930b6854721b6a46e653
Llama3-8B-Instruct,C0-FH,3,5,CURRENT_PREFIX_KEY_Q,0.9118540984624469,0.9118540984624469,1.0,34.38624173178206,2.8901729252576245,562.0367282725164,5712.270402242717,-5150.2336739702005,1128.3466003934313,1273166.0506194136,0.013165686329788203,0,0,068e2b374ab1ce837c2f2e60b30d7aa4349e994baf492fc9cd778213a5f5c8e1,58215faa4fe92c39d06ecd554056ebbc419a720da53c1667f7136d9923a0180f
Llama3-8B-Instruct,C0-FH,3,6,CURRENT_PREFIX_KEY_Q,0.0,0.0,0.08814590153755311,33.11711340753966,3.21385174919872,5712.270402242717,5712.270402242717,0.0,0.0,0.0,0.0,0,0,e703373b1e6064380b05f7f06893b1abbf05be0fc162ae7292056b20d0c4de6a,68744ccaa189f7968c32b640938c708b1872e1258b05f5e2ae97efe035f7b29f
Llama3-8B-Instruct,C0-FH,3,7,CURRENT_PREFIX_KEY_Q,0.0,0.0,0.08814590153755311,35.885369404741304,3.1553025369520293,5712.270402242717,5712.270402242717,0.0,0.0,0.0,0.0,0,0,4ea2893a31df0e8d6baefdf95fb699e50cae16f59bf6627d634e6a153dfad58a,8183f15bed7e08af3b94230aad67cc7c07e335e1527c8666970e42ed76903d39
Llama3-8B-Instruct,C0-FH,3,8,CURRENT_PREFIX_KEY_Q,0.08814590153755311,1.0,0.08814590153755311,45.7295092904868,2.9026516547078294,5712.270402242717,37659.23133894026,-31946.960936697546,9768.837691063976,95430189.83435215,0.9868343136702119,0,0,4732ad817052b0ee8c8762ed9e739ffef01488fd39f786a1ccb2b3ca13b6a377,6f6334fa21afd5c2d438cbc454e908aa10f567f59bc65d87751104b646515df1
Llama3-8B-Instruct,C0-FH,4,4,ENTRY_FIELD_REUSE,0.0,0.0,1.0,28.4580977190703,3.298148222074917,9936.222550664681,9936.222550664681,0.0,0.0,0.0,0.0,0,0,7eed86ec93b4f938eca6b83cf1e6af70dc329b5165c53d53a921ece58ed85715,7a3aec87860e51559e01f681bdda930762388078520b930b6854721b6a46e653
Llama3-8B-Instruct,C0-FH,4,5,CURRENT_PREFIX_KEY_Q,0.041524331539532854,0.041524331539532854,1.0,34.38624173178206,2.8901729252576245,9936.222550664681,11596.271499730017,-1660.0489490653363,912.5061851225979,832667.537886997,0.0018928673575798111,0,0,068e2b374ab1ce837c2f2e60b30d7aa4349e994baf492fc9cd778213a5f5c8e1,58215faa4fe92c39d06ecd554056ebbc419a720da53c1667f7136d9923a0180f
Llama3-8B-Instruct,C0-FH,4,6,CURRENT_PREFIX_KEY_Q,0.9584756684604672,1.0,0.9584756684604672,33.62872732781512,3.213696016846271,11596.271499730017,71547.9996881029,-59951.72818837287,20953.872909579564,439064789.9108124,0.9981071326424202,0,0,aa802e12c419bf3219b546233a2b4a5388b837d210eed1d08ad1d9cd5fcd8104,3b32d7c42e936f1cccc793daeb7453a9212d8eeb0a4408cd193645942eee33ff
Llama3-8B-Instruct,C0-FH,4,7,CURRENT_PREFIX_KEY_Q,0.0,0.0,0.0,39.2151670674245,3.3726180490123694,71547.9996881029,71547.9996881029,0.0,0.0,0.0,0.0,0,0,9aa8790a23e20be89a9bb6a31d33859e740f8d0a26ec2e7a222c6daa79d5abae,a78867d6877b0360c3eab415091c00969aa39776451f5257a0f7086e8690900c
Llama3-8B-Instruct,C0-FH,4,8,CURRENT_PREFIX_KEY_Q,0.0,0.0,0.0,52.121200458139015,3.2167317521593977,71547.9996881029,71547.9996881029,0.0,0.0,0.0,0.0,0,0,7b6bdf20d03410ff6e298c17083ec6baa1b080c88007a7a20cf2574132d43be9,d08870730b7ece38d1dd12d8298ac45cecd4d45c4797f0f736dcb5ac6dcd3db1
Llama3-8B-Instruct,C0-FH,7,4,ENTRY_FIELD_REUSE,0.9999925583960251,0.9999925583960251,1.0,28.4580977190703,3.298148222074917,52013.16579280345,58098.798970572345,-6085.633177768897,17129.2043776435,293409642.61108124,0.003201949965856308,0,0,7eed86ec93b4f938eca6b83cf1e6af70dc329b5165c53d53a921ece58ed85715,7a3aec87860e51559e01f681bdda930762388078520b930b6854721b6a46e653
Llama3-8B-Instruct,C0-FH,7,5,CURRENT_PREFIX_KEY_Q,0.0,0.0,7.4416039749568705e-06,31.382580593623143,3.4661723112489127,58098.798970572345,58098.798970572345,0.0,0.0,0.0,0.0,0,0,b5c4a0a65a532b450c641a5d9b787a9874f82dee339e9e50c0e4db80bdd9c664,3cac9edac6e87645992cd29424aa05dcc2d036eed2ea9c7d1597c90130b2f516
Llama3-8B-Instruct,C0-FH,7,6,CURRENT_PREFIX_KEY_Q,5.633542197707306e-07,0.07570333246254153,7.4416039749568705e-06,36.173005033299134,3.3228027530392894,58098.798970572345,38831.46190897331,19267.337061599035,10002.792583174634,100055859.46201348,0.0010918995467806688,0,0,9d7c89bade07d753a42847522342934efd7787d05afc2ac18fe83ce502c450d0,104f1f89ab6e5aa5b614902c1d8385773ab4a37de150d2157feaa880eaa55e51
Llama3-8B-Instruct,C0-FH,7,7,CURRENT_PREFIX_KEY_Q,6.180237122488513e-06,0.8985188590787457,6.87824975518614e-06,35.41187654424059,3.4078385071832837,38831.46190897331,167609.1032158307,-128777.64130685737,84457.56387188665,7133080095.173813,0.077842586780512,0,0,b4e1811fe4674eb285822a67e03212882a6680a081e4231d263e70fc37b8cf8b,724856275ec58517ab6647d1c090d37871a0c1454e4f1aad1942ede3ae03ccb7
Llama3-8B-Instruct,C0-FH,7,8,CURRENT_PREFIX_KEY_Q,6.980126326976271e-07,1.0,6.980126326976271e-07,42.38174769172729,3.0517752638990636,167609.1032158307,1241347.1453301695,-1073738.0421143388,290014.0148626065,84108128816.72812,0.9178635637068511,0,0,e981ef773e1ea7f9efdecdef399b86ffaa84cfb8bc2379e32ff341f9f3f22e00,68e3b37142c31beb4ec89c82a340fe30a7af36f73206a1cd4927a62c8aa8b791
