model,ordinal,case_id,arm,layer,normalized_coefficient,block_frobenius_energy,energy_share
Llama3-8B-Instruct,112,12021,NATIVE_ALPHAEDIT_N1_T1,5,0.3017124821469542,0.09103042188327615,0.09372766900606083
Llama3-8B-Instruct,112,12021,NATIVE_ALPHAEDIT_N1_T1,6,0.36444450536508993,0.13281979749080505,0.13675527103052215
Llama3-8B-Instruct,112,12021,NATIVE_ALPHAEDIT_N1_T1,7,0.49672458105478084,0.24673530942404753,0.2540461192573442
Llama3-8B-Instruct,112,12021,NATIVE_ALPHAEDIT_N1_T1,8,0.6395225876750812,0.4089891401466319,0.42110755900802305
Llama3-8B-Instruct,112,12021,STATIC_SPLIT_OFF_N4,4,0.3027339431897025,0.09164784035918601,0.09436338169804977
Llama3-8B-Instruct,112,12021,STATIC_SPLIT_OFF_N4,5,0.3017124821469542,0.09103042188327615,0.09372766900606083
Llama3-8B-Instruct,112,12021,STATIC_SPLIT_OFF_N4,6,0.36444450536508993,0.13281979749080505,0.13675527103052215
Llama3-8B-Instruct,112,12021,STATIC_SPLIT_OFF_N4,7,0.49672458105478084,0.24673530942404753,0.2540461192573442
Llama3-8B-Instruct,112,12021,STATIC_SPLIT_OFF_N4,8,0.6395225876750812,0.4089891401466319,0.42110755900802305
Llama3-8B-Instruct,112,12021,BARRIER_ODE_N2,4,0.11097578201592825,0.012315624194046824,0.030381933826725063
Llama3-8B-Instruct,112,12021,BARRIER_ODE_N2,5,0.07770015947702782,0.006037314782755557,0.014893706996146665
Llama3-8B-Instruct,112,12021,BARRIER_ODE_N2,6,0.12328355292702908,0.015198834422311581,0.037494646993632176
Llama3-8B-Instruct,112,12021,BARRIER_ODE_N2,7,0.3321625869516016,0.1103319841703803,0.2721826347751113
Llama3-8B-Instruct,112,12021,BARRIER_ODE_N2,8,0.5113475897725702,0.2614763575662168,0.6450470774083849
Llama3-8B-Instruct,112,12021,BARRIER_ODE_N4,4,-0.0521687934010545,0.0027215830049219076,0.010708582843676413
Llama3-8B-Instruct,112,12021,BARRIER_ODE_N4,5,-0.019158326831864997,0.0003670414869965583,0.0014441941191801365
Llama3-8B-Instruct,112,12021,BARRIER_ODE_N4,6,0.04760408114038743,0.0022661485412205904,0.008916589847103877
Llama3-8B-Instruct,112,12021,BARRIER_ODE_N4,7,0.2696937127416451,0.07273469869237299,0.2861884223808444
Llama3-8B-Instruct,112,12021,BARRIER_ODE_N4,8,0.41959530239828385,0.17606021779470726,0.6927422108091951
Llama3-8B-Instruct,178,11765,NATIVE_ALPHAEDIT_N1_T1,4,0.26383982156115304,0.06961145144142108,0.07873889606172806
Llama3-8B-Instruct,178,11765,NATIVE_ALPHAEDIT_N1_T1,5,0.2779771127889479,0.07727127523447945,0.08740307497200853
Llama3-8B-Instruct,178,11765,NATIVE_ALPHAEDIT_N1_T1,6,0.3312030285858743,0.10969544614445548,0.12407869902959232
Llama3-8B-Instruct,178,11765,NATIVE_ALPHAEDIT_N1_T1,7,0.4529341893917303,0.2051493799199438,0.23204854040771677
Llama3-8B-Instruct,178,11765,NATIVE_ALPHAEDIT_N1_T1,8,0.6498861773688321,0.42235204353507316,0.4777307895289544
Llama3-8B-Instruct,178,11765,STATIC_SPLIT_OFF_N4,4,0.26383982156115304,0.06961145144142108,0.07873889606172806
Llama3-8B-Instruct,178,11765,STATIC_SPLIT_OFF_N4,5,0.2779771127889479,0.07727127523447945,0.08740307497200853
Llama3-8B-Instruct,178,11765,STATIC_SPLIT_OFF_N4,6,0.3312030285858743,0.10969544614445548,0.12407869902959232
Llama3-8B-Instruct,178,11765,STATIC_SPLIT_OFF_N4,7,0.4529341893917303,0.2051493799199438,0.23204854040771677
Llama3-8B-Instruct,178,11765,STATIC_SPLIT_OFF_N4,8,0.6498861773688321,0.42235204353507316,0.4777307895289544
Llama3-8B-Instruct,178,11765,BARRIER_ODE_N2,4,0.06732915677558715,0.0045332153521115935,0.011473153621855097
Llama3-8B-Instruct,178,11765,BARRIER_ODE_N2,5,0.054901384368388845,0.003014162005565571,0.00762856847621506
Llama3-8B-Instruct,178,11765,BARRIER_ODE_N2,6,0.1365998817931994,0.01865952770591605,0.04722555873757797
Llama3-8B-Instruct,178,11765,BARRIER_ODE_N2,7,0.3097566455603392,0.09594917946879361,0.24283860139660865
Llama3-8B-Instruct,178,11765,BARRIER_ODE_N2,8,0.522454723421746,0.27295893802569315,0.6908341177677433
Llama3-8B-Instruct,178,11765,BARRIER_ODE_N4,4,-0.011722548403894362,0.00013741814108164625,0.0006552042154689983
Llama3-8B-Instruct,178,11765,BARRIER_ODE_N4,5,-0.02746010063692257,0.0007540571269899154,0.0035953143043514933
Llama3-8B-Instruct,178,11765,BARRIER_ODE_N4,6,0.007158950570027689,5.125057326409977e-05,0.0002443606890875476
Llama3-8B-Instruct,178,11765,BARRIER_ODE_N4,7,0.23367235979569623,0.054602771732489314,0.2603438376754228
Llama3-8B-Instruct,178,11765,BARRIER_ODE_N4,8,0.3926675446108968,0.15418780059075063,0.7351612831156693
Llama3-8B-Instruct,231,20237,NATIVE_ALPHAEDIT_N1_T1,4,0.316585718623211,0.10022651723617493,0.10311060204909804
Llama3-8B-Instruct,231,20237,NATIVE_ALPHAEDIT_N1_T1,5,0.3014719045480238,0.09088530923181277,0.09350059456050105
Llama3-8B-Instruct,231,20237,NATIVE_ALPHAEDIT_N1_T1,6,0.3827130044910237,0.14646924380654633,0.15068399388737946
Llama3-8B-Instruct,231,20237,NATIVE_ALPHAEDIT_N1_T1,7,0.4591507321156117,0.21081939480230222,0.21688586335359603
Llama3-8B-Instruct,231,20237,NATIVE_ALPHAEDIT_N1_T1,8,0.650867687556683,0.4236287467053839,0.43581894614942557
Llama3-8B-Instruct,231,20237,STATIC_SPLIT_OFF_N4,4,0.316585718623211,0.10022651723617493,0.10311060204909804
Llama3-8B-Instruct,231,20237,STATIC_SPLIT_OFF_N4,5,0.3014719045480238,0.09088530923181277,0.09350059456050105
Llama3-8B-Instruct,231,20237,STATIC_SPLIT_OFF_N4,6,0.3827130044910237,0.14646924380654633,0.15068399388737946
Llama3-8B-Instruct,231,20237,STATIC_SPLIT_OFF_N4,7,0.4591507321156117,0.21081939480230222,0.21688586335359603
Llama3-8B-Instruct,231,20237,STATIC_SPLIT_OFF_N4,8,0.650867687556683,0.4236287467053839,0.43581894614942557
Llama3-8B-Instruct,231,20237,BARRIER_ODE_N2,4,0.06103088222704389,0.003724768585411302,0.008254561478369343
Llama3-8B-Instruct,231,20237,BARRIER_ODE_N2,5,0.06759194289679163,0.004568670744563141,0.010124756121261035
Llama3-8B-Instruct,231,20237,BARRIER_ODE_N2,6,0.23971939637207845,0.05746538899699366,0.12735061936786438
Llama3-8B-Instruct,231,20237,BARRIER_ODE_N2,7,0.32258112860080923,0.10405858452937182,0.2306070736082906
Llama3-8B-Instruct,231,20237,BARRIER_ODE_N2,8,0.5304905241496032,0.28142019621252073,0.6236629894242146
Llama3-8B-Instruct,231,20237,BARRIER_ODE_N4,4,-0.03678901608236283,0.0013534317043083512,0.006263107975124341
Llama3-8B-Instruct,231,20237,BARRIER_ODE_N4,5,-0.04174315561661229,0.0017424910408327104,0.008063509595409676
Llama3-8B-Instruct,231,20237,BARRIER_ODE_N4,6,0.1465629650577336,0.021480702726514443,0.09940358285493257
Llama3-8B-Instruct,231,20237,BARRIER_ODE_N4,7,0.2027891118677163,0.04112342389209716,0.19030176648228778
Llama3-8B-Instruct,231,20237,BARRIER_ODE_N4,8,0.3878089873382984,0.15039581066035648,0.6959680330922458
Llama3-8B-Instruct,269,19939,NATIVE_ALPHAEDIT_N1_T1,4,0.27803968772055454,0.07730606794774349,0.08442265883718546
Llama3-8B-Instruct,269,19939,NATIVE_ALPHAEDIT_N1_T1,5,0.2943620243343328,0.08664900137020633,0.09462567784723641
Llama3-8B-Instruct,269,19939,NATIVE_ALPHAEDIT_N1_T1,6,0.37164176648249075,0.13811760259422617,0.15083234153241745
Llama3-8B-Instruct,269,19939,NATIVE_ALPHAEDIT_N1_T1,7,0.47426393421503144,0.22492627929711967,0.24563239399854245
Llama3-8B-Instruct,269,19939,NATIVE_ALPHAEDIT_N1_T1,8,0.6234612119064217,0.38870388275182405,0.42448692778461816
Llama3-8B-Instruct,269,19939,STATIC_SPLIT_OFF_N4,4,0.27803968772055454,0.07730606794774349,0.08442265883718546
Llama3-8B-Instruct,269,19939,STATIC_SPLIT_OFF_N4,5,0.2943620243343328,0.08664900137020633,0.09462567784723641
Llama3-8B-Instruct,269,19939,STATIC_SPLIT_OFF_N4,6,0.37164176648249075,0.13811760259422617,0.15083234153241745
Llama3-8B-Instruct,269,19939,STATIC_SPLIT_OFF_N4,7,0.47426393421503144,0.22492627929711967,0.24563239399854245
Llama3-8B-Instruct,269,19939,STATIC_SPLIT_OFF_N4,8,0.6234612119064217,0.38870388275182405,0.42448692778461816
Llama3-8B-Instruct,269,19939,BARRIER_ODE_N2,4,0.05505207595757494,0.003030731067238601,0.007073281417046647
Llama3-8B-Instruct,269,19939,BARRIER_ODE_N2,5,0.0685022352640618,0.004692556236172872,0.010951737414963067
Llama3-8B-Instruct,269,19939,BARRIER_ODE_N2,6,0.18847430129646509,0.0355225622491907,0.08290444578179469
Llama3-8B-Instruct,269,19939,BARRIER_ODE_N2,7,0.3462904275126425,0.1199170601868887,0.2798688153415122
Llama3-8B-Instruct,269,19939,BARRIER_ODE_N2,8,0.51508548157673,0.2653130533311318,0.6192017200446834
Llama3-8B-Instruct,269,19939,BARRIER_ODE_N4,4,-0.07466065171275678,0.005574212914173571,0.01578372303600136
Llama3-8B-Instruct,269,19939,BARRIER_ODE_N4,5,-0.04114970708656074,0.001693298393309747,0.004794677431382186
Llama3-8B-Instruct,269,19939,BARRIER_ODE_N4,6,0.15017703804459798,0.02255314275584863,0.06386059598559332
Llama3-8B-Instruct,269,19939,BARRIER_ODE_N4,7,0.3042294664662061,0.09255556826631241,0.26207672319810904
Llama3-8B-Instruct,269,19939,BARRIER_ODE_N4,8,0.4804017970419506,0.23078588660113547,0.6534842803489141
Llama3-8B-Instruct,273,18938,NATIVE_ALPHAEDIT_N1_T1,4,0.31969571138885666,0.10220534788042714,0.10622939187872507
Llama3-8B-Instruct,273,18938,NATIVE_ALPHAEDIT_N1_T1,5,0.3210415306411617,0.10306766439641997,0.1071256596474926
Llama3-8B-Instruct,273,18938,NATIVE_ALPHAEDIT_N1_T1,6,0.36671922625842224,0.13448299090757587,0.13977787501743585
Llama3-8B-Instruct,273,18938,NATIVE_ALPHAEDIT_N1_T1,7,0.451943642899357,0.20425305635714153,0.21229493775193464
Llama3-8B-Instruct,273,18938,NATIVE_ALPHAEDIT_N1_T1,8,0.6466144429914629,0.4181102378851598,0.4345721357044118
Llama3-8B-Instruct,273,18938,STATIC_SPLIT_OFF_N4,4,0.31969571138885666,0.10220534788042714,0.10622939187872507
Llama3-8B-Instruct,273,18938,STATIC_SPLIT_OFF_N4,5,0.3210415306411617,0.10306766439641997,0.1071256596474926
Llama3-8B-Instruct,273,18938,STATIC_SPLIT_OFF_N4,6,0.36671922625842224,0.13448299090757587,0.13977787501743585
Llama3-8B-Instruct,273,18938,STATIC_SPLIT_OFF_N4,7,0.451943642899357,0.20425305635714153,0.21229493775193464
Llama3-8B-Instruct,273,18938,STATIC_SPLIT_OFF_N4,8,0.6466144429914629,0.4181102378851598,0.4345721357044118
Llama3-8B-Instruct,273,18938,BARRIER_ODE_N2,4,0.07348976332090329,0.005400745312962383,0.014021739185385672
Llama3-8B-Instruct,273,18938,BARRIER_ODE_N2,5,0.07646539261646007,0.005846956267989386,0.015180218852633421
Llama3-8B-Instruct,273,18938,BARRIER_ODE_N2,6,0.21893690528123572,0.04793336849412478,0.12444748869909945
Llama3-8B-Instruct,273,18938,BARRIER_ODE_N2,7,0.29103549025119946,0.08470165658575601,0.2199075254233985
Llama3-8B-Instruct,273,18938,BARRIER_ODE_N2,8,0.49120943089705416,0.24128670500220784,0.6264430278394829
Llama3-8B-Instruct,273,18938,BARRIER_ODE_N4,4,-0.0035108115536803125,1.232579776545517e-05,5.7399464229919063e-05
Llama3-8B-Instruct,273,18938,BARRIER_ODE_N4,5,-0.04544272868537702,0.0020650415903727876,0.009616601144641676
Llama3-8B-Instruct,273,18938,BARRIER_ODE_N4,6,0.0825939803367667,0.0068217655878702035,0.031767979427933496
Llama3-8B-Instruct,273,18938,BARRIER_ODE_N4,7,0.17478913981688432,0.030551243397926336,0.14227273852517774
Llama3-8B-Instruct,273,18938,BARRIER_ODE_N4,8,0.4186726414339544,0.17528678068528453,0.8162852814380172
Qwen2.5-7B-Instruct,26,17454,NATIVE_ALPHAEDIT_N1_T1,4,1.7358210045317994,3.013074559773785,0.19607251538741333
Qwen2.5-7B-Instruct,26,17454,NATIVE_ALPHAEDIT_N1_T1,5,1.52666140606824,2.3306950487782556,0.15166741869449524
Qwen2.5-7B-Instruct,26,17454,NATIVE_ALPHAEDIT_N1_T1,6,1.4507461077343715,2.104664269106429,0.13695871413175098
Qwen2.5-7B-Instruct,26,17454,NATIVE_ALPHAEDIT_N1_T1,7,2.2100781323639453,4.884445351153305,0.31784991286272324
Qwen2.5-7B-Instruct,26,17454,NATIVE_ALPHAEDIT_N1_T1,8,1.7419140840433611,3.034264676188622,0.1974514389236172
Qwen2.5-7B-Instruct,26,17454,STATIC_SPLIT_OFF_N4,4,1.7358210045317994,3.013074559773785,0.19607251538741333
Qwen2.5-7B-Instruct,26,17454,STATIC_SPLIT_OFF_N4,5,1.52666140606824,2.3306950487782556,0.15166741869449524
Qwen2.5-7B-Instruct,26,17454,STATIC_SPLIT_OFF_N4,6,1.4507461077343715,2.104664269106429,0.13695871413175098
Qwen2.5-7B-Instruct,26,17454,STATIC_SPLIT_OFF_N4,7,2.2100781323639453,4.884445351153305,0.31784991286272324
Qwen2.5-7B-Instruct,26,17454,STATIC_SPLIT_OFF_N4,8,1.7419140840433611,3.034264676188622,0.1974514389236172
Qwen2.5-7B-Instruct,26,17454,BARRIER_ODE_N2,4,0.9814250657739441,0.9631951597293904,0.15498942887702752
Qwen2.5-7B-Instruct,26,17454,BARRIER_ODE_N2,5,0.4417915949635427,0.19517981338043097,0.0314067273891376
Qwen2.5-7B-Instruct,26,17454,BARRIER_ODE_N2,6,0.4950549715760221,0.24507942488213602,0.039436161725173564
Qwen2.5-7B-Instruct,26,17454,BARRIER_ODE_N2,7,1.6783616143787248,2.816897708619959,0.45327196950063026
Qwen2.5-7B-Instruct,26,17454,BARRIER_ODE_N2,8,1.4121735211826771,1.9942340539294812,0.3208957125080311
Qwen2.5-7B-Instruct,26,17454,BARRIER_ODE_N4,4,0.62149567479582,0.3862568737899117,0.052661668726624034
Qwen2.5-7B-Instruct,26,17454,BARRIER_ODE_N4,5,-0.009886528052467036,9.774343693221765e-05,1.3326190018111603e-05
Qwen2.5-7B-Instruct,26,17454,BARRIER_ODE_N4,6,0.9491468704770909,0.9008797817364556,0.12282456532831203
Qwen2.5-7B-Instruct,26,17454,BARRIER_ODE_N4,7,1.8840026578345312,3.5494660147275776,0.48392874304073064
Qwen2.5-7B-Instruct,26,17454,BARRIER_ODE_N4,8,1.580502105342859,2.4979869049932097,0.34057169671431503
Qwen2.5-7B-Instruct,61,9936,NATIVE_ALPHAEDIT_N1_T1,4,2.109828665991875,4.451376999841054,0.1636667709333363
Qwen2.5-7B-Instruct,61,9936,NATIVE_ALPHAEDIT_N1_T1,5,3.1759129553080023,10.08642309969321,0.3708542994792726
Qwen2.5-7B-Instruct,61,9936,NATIVE_ALPHAEDIT_N1_T1,6,1.7819958030793734,3.175509042192501,0.11675607593421453
Qwen2.5-7B-Instruct,61,9936,NATIVE_ALPHAEDIT_N1_T1,7,2.4110101898357157,5.812970135491653,0.21372938118739632
Qwen2.5-7B-Instruct,61,9936,NATIVE_ALPHAEDIT_N1_T1,8,1.9161227010738417,3.671526205570515,0.13499347246578025
Qwen2.5-7B-Instruct,61,9936,STATIC_SPLIT_OFF_N4,4,2.109828665991875,4.451376999841054,0.1636667709333363
Qwen2.5-7B-Instruct,61,9936,STATIC_SPLIT_OFF_N4,5,3.1759129553080023,10.08642309969321,0.3708542994792726
Qwen2.5-7B-Instruct,61,9936,STATIC_SPLIT_OFF_N4,6,1.7819958030793734,3.175509042192501,0.11675607593421453
Qwen2.5-7B-Instruct,61,9936,STATIC_SPLIT_OFF_N4,7,2.4110101898357157,5.812970135491653,0.21372938118739632
Qwen2.5-7B-Instruct,61,9936,STATIC_SPLIT_OFF_N4,8,1.9161227010738417,3.671526205570515,0.13499347246578025
Qwen2.5-7B-Instruct,61,9936,BARRIER_ODE_N2,4,0.9499007459658526,0.9023114271864833,0.08073278335078282
Qwen2.5-7B-Instruct,61,9936,BARRIER_ODE_N2,5,2.3835717681697535,5.681414374015885,0.5083349073984983
Qwen2.5-7B-Instruct,61,9936,BARRIER_ODE_N2,6,0.21432671863215225,0.04593594231962576,0.004110040466702355
Qwen2.5-7B-Instruct,61,9936,BARRIER_ODE_N2,7,1.7248010752898106,2.974938749320887,0.26617759489056575
Qwen2.5-7B-Instruct,61,9936,BARRIER_ODE_N2,8,1.2537614469040794,1.5719177657430108,0.14064467389345076
Qwen2.5-7B-Instruct,61,9936,BARRIER_ODE_N4,4,0.6994075879848702,0.489170974130814,0.039740747333784784
Qwen2.5-7B-Instruct,61,9936,BARRIER_ODE_N4,5,2.572423085107643,6.617360528794723,0.5376010979773829
Qwen2.5-7B-Instruct,61,9936,BARRIER_ODE_N4,6,-0.5851728941234421,0.34242731601680515,0.027819143337745943
Qwen2.5-7B-Instruct,61,9936,BARRIER_ODE_N4,7,1.5768613941834224,2.4864918564660865,0.2020051267165069
Qwen2.5-7B-Instruct,61,9936,BARRIER_ODE_N4,8,1.5406500412295936,2.3736025495407485,0.19283388463457948
Qwen2.5-7B-Instruct,110,6813,NATIVE_ALPHAEDIT_N1_T1,4,2.3866390195536256,5.6960458096558915,0.2295935159998817
Qwen2.5-7B-Instruct,110,6813,NATIVE_ALPHAEDIT_N1_T1,5,2.2281182860488644,4.964511096625329,0.2001071613508488
Qwen2.5-7B-Instruct,110,6813,NATIVE_ALPHAEDIT_N1_T1,6,1.4266280754651315,2.035267665705345,0.08203660486332912
Qwen2.5-7B-Instruct,110,6813,NATIVE_ALPHAEDIT_N1_T1,7,2.728646596739504,7.445512249898077,0.3001101804652726
Qwen2.5-7B-Instruct,110,6813,NATIVE_ALPHAEDIT_N1_T1,8,2.1605382872839543,4.6679256908198825,0.1881525373206678
Qwen2.5-7B-Instruct,110,6813,STATIC_SPLIT_OFF_N4,4,2.3866390195536256,5.6960458096558915,0.2295935159998817
Qwen2.5-7B-Instruct,110,6813,STATIC_SPLIT_OFF_N4,5,2.2281182860488644,4.964511096625329,0.2001071613508488
Qwen2.5-7B-Instruct,110,6813,STATIC_SPLIT_OFF_N4,6,1.4266280754651315,2.035267665705345,0.08203660486332912
Qwen2.5-7B-Instruct,110,6813,STATIC_SPLIT_OFF_N4,7,2.728646596739504,7.445512249898077,0.3001101804652726
Qwen2.5-7B-Instruct,110,6813,STATIC_SPLIT_OFF_N4,8,2.1605382872839543,4.6679256908198825,0.1881525373206678
Qwen2.5-7B-Instruct,110,6813,BARRIER_ODE_N2,4,0.9117652078386358,0.8313157942250308,0.10108019650447414
Qwen2.5-7B-Instruct,110,6813,BARRIER_ODE_N2,5,1.036441545406196,1.0742110770439837,0.1306139826876626
Qwen2.5-7B-Instruct,110,6813,BARRIER_ODE_N2,6,0.509003059797792,0.2590841148835146,0.031502196187703425
Qwen2.5-7B-Instruct,110,6813,BARRIER_ODE_N2,7,2.0440481403463515,4.178132800053378,0.5080217257809776
Qwen2.5-7B-Instruct,110,6813,BARRIER_ODE_N2,8,1.3717052701791834,1.8815753482373465,0.22878189883918212
Qwen2.5-7B-Instruct,110,6813,BARRIER_ODE_N4,4,0.9589965904256272,0.9196744604479783,0.11812240157160202
