model,comparison,left_arm,right_arm,metric,pairs,mean,median,p90,max
Llama3-8B-Instruct,BARRIER_N4_MINUS_N2,BARRIER_ODE_N4,BARRIER_ODE_N2,event_target_probability,8,-0.04432254071127234,-0.0016473970691990272,-3.12029147049834e-05,-2.0175222944599484e-05
Llama3-8B-Instruct,BARRIER_N4_MINUS_N2,BARRIER_ODE_N4,BARRIER_ODE_N2,event_source_probability,8,-0.011606494850420966,-0.0032117106944770453,0.0005796214593713383,0.0014837745464139317
Llama3-8B-Instruct,BARRIER_N4_MINUS_N2,BARRIER_ODE_N4,BARRIER_ODE_N2,coefficient_norm,8,-0.14150959935789367,-0.13841385989565508,-0.10746595725538302,-0.06030631459751057
Qwen2.5-7B-Instruct,STATIC_MINUS_NATIVE,STATIC_SPLIT_OFF_N4,NATIVE_ALPHAEDIT_N1_T1,rewrite_target_new_nll,8,0.0,0.0,0.0,0.0
Qwen2.5-7B-Instruct,STATIC_MINUS_NATIVE,STATIC_SPLIT_OFF_N4,NATIVE_ALPHAEDIT_N1_T1,rephrase_target_new_nll,8,0.0,0.0,0.0,0.0
Qwen2.5-7B-Instruct,STATIC_MINUS_NATIVE,STATIC_SPLIT_OFF_N4,NATIVE_ALPHAEDIT_N1_T1,rewrite_target_true_nll,8,0.0,0.0,0.0,0.0
Qwen2.5-7B-Instruct,STATIC_MINUS_NATIVE,STATIC_SPLIT_OFF_N4,NATIVE_ALPHAEDIT_N1_T1,rephrase_target_true_nll,8,0.0,0.0,0.0,0.0
Qwen2.5-7B-Instruct,STATIC_MINUS_NATIVE,STATIC_SPLIT_OFF_N4,NATIVE_ALPHAEDIT_N1_T1,locality_forward_kl,8,0.0,0.0,0.0,0.0
Qwen2.5-7B-Instruct,STATIC_MINUS_NATIVE,STATIC_SPLIT_OFF_N4,NATIVE_ALPHAEDIT_N1_T1,event_q_kl_from_w0,8,0.0,0.0,0.0,0.0
Qwen2.5-7B-Instruct,STATIC_MINUS_NATIVE,STATIC_SPLIT_OFF_N4,NATIVE_ALPHAEDIT_N1_T1,event_target_probability,8,0.0,0.0,0.0,0.0
Qwen2.5-7B-Instruct,STATIC_MINUS_NATIVE,STATIC_SPLIT_OFF_N4,NATIVE_ALPHAEDIT_N1_T1,event_source_probability,8,0.0,0.0,0.0,0.0
Qwen2.5-7B-Instruct,STATIC_MINUS_NATIVE,STATIC_SPLIT_OFF_N4,NATIVE_ALPHAEDIT_N1_T1,coefficient_norm,8,0.0,0.0,0.0,0.0
Qwen2.5-7B-Instruct,BARRIER_N2_MINUS_NATIVE,BARRIER_ODE_N2,NATIVE_ALPHAEDIT_N1_T1,rewrite_target_new_nll,8,0.3824416467687115,0.15896097756922245,1.0147445551585406,1.155321668367833
Qwen2.5-7B-Instruct,BARRIER_N2_MINUS_NATIVE,BARRIER_ODE_N2,NATIVE_ALPHAEDIT_N1_T1,rephrase_target_new_nll,8,0.42168109118938446,0.3032163381576538,1.492892861366272,1.667543888092041
Qwen2.5-7B-Instruct,BARRIER_N2_MINUS_NATIVE,BARRIER_ODE_N2,NATIVE_ALPHAEDIT_N1_T1,rewrite_target_true_nll,8,-3.3232051730155945,-2.754471778869629,0.2138997554779052,0.43392515182495117
Qwen2.5-7B-Instruct,BARRIER_N2_MINUS_NATIVE,BARRIER_ODE_N2,NATIVE_ALPHAEDIT_N1_T1,rephrase_target_true_nll,8,-1.1160693168640137,-0.8366317749023438,0.3737464427947998,0.49175548553466797
Qwen2.5-7B-Instruct,BARRIER_N2_MINUS_NATIVE,BARRIER_ODE_N2,NATIVE_ALPHAEDIT_N1_T1,locality_forward_kl,8,-0.14162624813616276,-0.10146468132734299,0.2214225709438323,0.589808464050293
Qwen2.5-7B-Instruct,BARRIER_N2_MINUS_NATIVE,BARRIER_ODE_N2,NATIVE_ALPHAEDIT_N1_T1,event_q_kl_from_w0,8,-0.9793662161077725,-1.2535857720626788,1.3295329994054903,2.038407808393247
Qwen2.5-7B-Instruct,BARRIER_N2_MINUS_NATIVE,BARRIER_ODE_N2,NATIVE_ALPHAEDIT_N1_T1,event_target_probability,8,-0.2818484083932434,-0.060110151930093225,-0.0004481967595101111,-0.0002465602238336251
Qwen2.5-7B-Instruct,BARRIER_N2_MINUS_NATIVE,BARRIER_ODE_N2,NATIVE_ALPHAEDIT_N1_T1,event_source_probability,8,3.311841523377164e-05,4.417822634298913e-07,8.361725888323239e-05,0.00026842271720639533
Qwen2.5-7B-Instruct,BARRIER_N2_MINUS_NATIVE,BARRIER_ODE_N2,NATIVE_ALPHAEDIT_N1_T1,coefficient_norm,8,-1.3938931929573508,-1.3356113024286818,-0.9581001274235688,-0.7918920445630127
Qwen2.5-7B-Instruct,BARRIER_N4_MINUS_NATIVE,BARRIER_ODE_N4,NATIVE_ALPHAEDIT_N1_T1,rewrite_target_new_nll,8,3.5828347984934226,1.8824103041552007,7.467361591383813,12.390005020890385
Qwen2.5-7B-Instruct,BARRIER_N4_MINUS_NATIVE,BARRIER_ODE_N4,NATIVE_ALPHAEDIT_N1_T1,rephrase_target_new_nll,8,3.7978668957948685,1.637757420539856,8.302643620967864,12.173841953277588
Qwen2.5-7B-Instruct,BARRIER_N4_MINUS_NATIVE,BARRIER_ODE_N4,NATIVE_ALPHAEDIT_N1_T1,rewrite_target_true_nll,8,-7.5769862830638885,-6.569401025772095,-3.205939698219299,-3.0989561080932617
Qwen2.5-7B-Instruct,BARRIER_N4_MINUS_NATIVE,BARRIER_ODE_N4,NATIVE_ALPHAEDIT_N1_T1,rephrase_target_true_nll,8,-3.8821426331996918,-2.525571584701538,-0.8056566953659059,-0.4289836883544922
Qwen2.5-7B-Instruct,BARRIER_N4_MINUS_NATIVE,BARRIER_ODE_N4,NATIVE_ALPHAEDIT_N1_T1,locality_forward_kl,8,-0.7958390779676847,-0.38459322415292263,0.012890780111774719,0.33983224630355835
Qwen2.5-7B-Instruct,BARRIER_N4_MINUS_NATIVE,BARRIER_ODE_N4,NATIVE_ALPHAEDIT_N1_T1,event_q_kl_from_w0,8,-2.824917399267832,-2.304776535346321,-0.9369621338822423,-0.765539229840024
Qwen2.5-7B-Instruct,BARRIER_N4_MINUS_NATIVE,BARRIER_ODE_N4,NATIVE_ALPHAEDIT_N1_T1,event_target_probability,8,-0.8178811548557692,-0.9143558399095684,-0.4605086301786126,-0.41609306394264545
Qwen2.5-7B-Instruct,BARRIER_N4_MINUS_NATIVE,BARRIER_ODE_N4,NATIVE_ALPHAEDIT_N1_T1,event_source_probability,8,0.0018804914800705842,0.000218391653254307,0.004444098983387724,0.013104527438156884
Qwen2.5-7B-Instruct,BARRIER_N4_MINUS_NATIVE,BARRIER_ODE_N4,NATIVE_ALPHAEDIT_N1_T1,coefficient_norm,8,-1.4619615857053323,-1.4690328953205611,-1.0297774758960947,-0.6049833563161058
Qwen2.5-7B-Instruct,BARRIER_N4_MINUS_N2,BARRIER_ODE_N4,BARRIER_ODE_N2,rewrite_target_new_nll,8,3.200393151724711,1.3882603412494063,6.690330013632773,12.14003199338913
Qwen2.5-7B-Instruct,BARRIER_N4_MINUS_N2,BARRIER_ODE_N4,BARRIER_ODE_N2,rephrase_target_new_nll,8,3.376185804605484,0.813813328742981,8.394294428825377,12.206250667572021
Qwen2.5-7B-Instruct,BARRIER_N4_MINUS_N2,BARRIER_ODE_N4,BARRIER_ODE_N2,rewrite_target_true_nll,8,-4.253781110048294,-2.965293526649475,-1.4107261180877686,-0.9915633201599121
Qwen2.5-7B-Instruct,BARRIER_N4_MINUS_N2,BARRIER_ODE_N4,BARRIER_ODE_N2,rephrase_target_true_nll,8,-2.766073316335678,-1.6889398097991943,-0.2890511989593509,0.7915239334106445
Qwen2.5-7B-Instruct,BARRIER_N4_MINUS_N2,BARRIER_ODE_N4,BARRIER_ODE_N2,locality_forward_kl,8,-0.654212829831522,-0.30167026072740555,-0.07183815673924983,-0.049379825592041016
Qwen2.5-7B-Instruct,BARRIER_N4_MINUS_N2,BARRIER_ODE_N4,BARRIER_ODE_N2,event_q_kl_from_w0,8,-1.8455511831600593,-1.508507015726984,-0.4555223280220979,-0.16408023085528992
Qwen2.5-7B-Instruct,BARRIER_N4_MINUS_N2,BARRIER_ODE_N4,BARRIER_ODE_N2,event_target_probability,8,-0.5360327464625257,-0.4892213438312904,-0.08278424462293989,-0.06477891173744545
Qwen2.5-7B-Instruct,BARRIER_N4_MINUS_N2,BARRIER_ODE_N4,BARRIER_ODE_N2,event_source_probability,8,0.0018473730648368126,0.00021807431990260095,0.0043935237872115614,0.013115933789263066
Qwen2.5-7B-Instruct,BARRIER_N4_MINUS_N2,BARRIER_ODE_N4,BARRIER_ODE_N2,coefficient_norm,8,-0.06806839274798143,-0.010643822890125776,0.19544276647029205,0.21535561565819084
