method,endpoint,prompt,prompt_denominator,target_new_mean,target_new_median,target_new_p10,target_new_p90,target_new_min,target_new_max,target_true_mean,target_true_median,target_true_p10,target_true_p90,target_true_min,target_true_max,margin_definition,margin_mean,margin_median,margin_p10,margin_p90,margin_min,margin_max,success_numerator,success_denominator,strict_success_numerator,strict_success_denominator,accuracy_numerator,accuracy_denominator,strict_accuracy_numerator,strict_accuracy_denominator,locality_numerator,locality_denominator,hard_tail_top10_count,hard_tail_top10_mean,hard_tail_gt1_count,hard_tail_gt5_count,hard_tail_gt10_count
Global P1R52 Z0-COARSE†,post_W,rewrite,100,0.07971616418624762,0.01796234678477049,0.0049467280972749,0.049609323590993896,8.284702198579907e-05,4.830842018127441,11.66718198299408,11.110612869262695,7.07392725944519,16.274005126953128,4.220135688781738,21.049985885620117,target_new_minus_target_true,-11.587465818807832,-11.102500236127526,-16.26932183406316,-7.0008315177634355,-21.048969785217196,-3.0142135620117188,100,100,100,100,99,100,99,100,889,1000,10,0.6417838763445616,1,0,0
Global P1R52 Z0-COARSE†,post_W,rephrase,200,2.138524373246473,0.784661054611206,0.03790285252034664,5.717817354202268,0.0015125750796869397,14.977410316467285,8.29707577329129,8.183979034423828,3.792744612693787,13.000979328155516,0.05269787460565567,20.078678131103516,target_new_minus_target_true,-6.158551400044817,-6.2614932637661695,-11.7604427264072,-0.7652336120605481,-20.069612592458725,13.574369549751282,185,200,87,100,116,200,39,100,889,1000,20,9.489759802818298,95,26,8
P1R53 LP-S†,accepted_z,rewrite,100,0.10225471468424076,0.0356720183044672,0.004627174930647016,0.2610288292169571,0.00021598390594590455,0.8969006538391113,10.897021837234497,9.919829368591309,6.687460136413574,16.232907485961913,2.89125394821167,21.7154598236084,target_new_minus_target_true,-10.794767122550256,-9.764109820127487,-16.224986378278118,-6.6655798614025095,-21.714822852867655,-2.6200371086597443,100,100,100,100,99,100,99,100,881,1000,10,0.5415301203727723,0,0,0
P1R53 LP-S†,accepted_z,rephrase,200,1.517653324090643,0.327990397810936,0.017422551475465297,4.628399991989134,0.0005078217945992947,11.463404655456543,9.47159054785967,8.936604976654053,4.680863094329834,15.053311252593994,0.5793808102607727,22.496959686279297,target_new_minus_target_true,-7.953937223769026,-7.702835423871875,-13.764830123633146,-2.9914861679077154,-22.33097715675831,10.88402384519577,195,200,96,100,130,200,49,100,881,1000,20,6.946181535720825,75,18,2
P1R53 LP-S†,post_W,rewrite,100,0.10193437273090239,0.035611286759376526,0.004501619655638934,0.2532296150922777,0.00024136967840604484,0.8844287395477295,10.884134294986724,9.862061500549316,6.704539775848389,16.267809677124024,2.814812421798706,21.791685104370117,target_new_minus_target_true,-10.782199922255822,-9.771060386672616,-16.25815192423761,-6.677848606184123,-21.791051469394006,-2.5446881353855133,100,100,100,100,99,100,99,100,881,1000,10,0.5570777207612991,0,0,0
P1R53 LP-S†,post_W,rephrase,200,2.3262213236297247,0.9806054830551147,0.04228696636855602,5.881142663955687,0.00043823651503771544,16.703304290771484,8.109066396206618,7.738687515258789,3.4192750215530396,13.013228416442871,0.3110218644142151,18.234182357788086,target_new_minus_target_true,-5.782845072576893,-5.708314083516598,-11.660632048547267,-0.10858306884765694,-18.189549807459116,13.124338269233704,181,200,84,100,107,200,37,100,881,1000,20,9.580191135406494,99,31,9
P1R53 LFD-E†,accepted_z,rewrite,100,1.1589802298825815,0.418229803442955,0.005204300954937935,3.4929590702056887,0.0004661188868340105,8.489590644836426,8.2102463388443,7.745973348617554,4.034839749336243,12.905159950256348,2.2070987224578857,19.930150985717773,target_new_minus_target_true,-7.051266108961718,-7.019265353679657,-12.488324870768702,-2.2025949478149314,-19.86502607166767,3.91947603225708,95,100,95,100,73,100,73,100,884,1000,10,5.880440807342529,31,7,0
P1R53 LFD-E†,accepted_z,rephrase,200,2.6486798649071717,1.6304534673690796,0.03684564195573331,6.59098844528198,0.0005357022164389491,12.353717803955078,7.788278184384108,7.421232223510742,3.5774556159973145,12.260013008117676,0.10553178191184998,18.220197677612305,target_new_minus_target_true,-5.139598319476936,-4.919408768415451,-10.709379732608795,-0.2760682106018084,-16.841167712700553,12.248186022043228,180,200,87,100,92,200,28,100,884,1000,20,9.07982358932495,125,35,8
P1R53 LFD-E†,post_W,rewrite,100,1.155583471416903,0.4198760837316513,0.005026257317513227,3.489253520965576,0.00047219570842571557,8.46455192565918,8.212749090194702,7.7668187618255615,4.008036661148071,12.888119983673095,2.2265894412994385,19.970590591430664,target_new_minus_target_true,-7.057165618777799,-7.026256084442139,-12.49772397301276,-2.2075596809387115,-19.90696159005165,3.8827104568481445,95,100,95,100,73,100,73,100,888,1000,10,5.870789504051208,31,7,0
P1R53 LFD-E†,post_W,rephrase,200,3.677507216730155,2.8137593269348145,0.11665835678577424,8.63551912307739,0.0028546794783324003,17.005483627319336,6.859108327701688,6.040303945541382,2.5880585908889775,11.853774070739746,0.19935251772403717,16.42388153076172,target_new_minus_target_true,-3.181601110971533,-3.154707908630371,-9.270517963171006,2.5815493106842,-15.910971010103822,13.011214956641197,153,200,66,100,72,200,20,100,888,1000,20,11.258544111251831,140,61,14
Native AlphaEdit†,accepted_z,rewrite,100,0.0013624582591364742,0.0006589506228920072,0.00015296955389203505,0.0024251237977296115,3.361645576660521e-05,0.028182290494441986,14.538538165092469,14.134625434875488,9.414368534088135,19.31292114257813,7.15911865234375,27.239469528198242,target_new_minus_target_true,-14.537175706833331,-14.132582467973407,-19.311252721241907,-9.413603101158515,-27.239073831646238,-7.157930365181528,100,100,100,100,100,100,100,100,872,1000,10,0.007071899948641658,0,0,0
Native AlphaEdit†,accepted_z,rephrase,200,1.1035635590716992,0.0643963236361742,0.0009501471533440055,3.287929606437681,0.00021824838768225163,13.755802154541016,11.192898531258106,11.08861255645752,6.140635347366333,17.132120895385743,0.932296633720398,23.367849349975586,target_new_minus_target_true,-10.089334972186407,-9.990750908851624,-16.906414128001778,-4.7326505640521646,-23.366365223308094,12.822722017765045,197,200,98,100,151,200,63,100,872,1000,20,7.022360801696777,50,16,4
Native AlphaEdit†,post_W,rewrite,100,0.0019152117858902784,0.0007277462282218039,0.00016654534701956438,0.002553286682814361,3.707340147229843e-05,0.07549384236335754,14.423645224571228,13.731590270996094,9.3194504737854,19.20513668060303,6.632318496704102,26.98345375061035,target_new_minus_target_true,-14.421730012785337,-13.730619675770868,-19.20340832787915,-9.317798270180356,-26.982986916817026,-6.556824654340744,100,100,100,100,100,100,100,100,872,1000,10,0.012204393348656594,0,0,0
Native AlphaEdit†,post_W,rephrase,200,1.9406126227145433,0.30986252427101135,0.0026952386368066074,5.383311748504638,0.0002681849291548133,16.056798934936523,9.413473923951388,9.618066787719727,3.4497309446334845,14.529201889038085,0.26486340165138245,21.611146926879883,target_new_minus_target_true,-7.472861301236844,-7.993120609316975,-14.08400609959499,-0.6981582641601581,-21.60852573439479,14.368122667074203,184,200,87,100,122,200,44,100,872,1000,20,9.590222883224488,85,23,8
Native MEMIT†,accepted_z,rewrite,100,0.0008853422875108663,0.0005956901586614549,0.00016370859957532958,0.001914830610621721,3.1709168979432434e-05,0.005451574455946684,14.762210626602172,14.310807704925537,9.721587467193602,19.610417556762695,7.331876277923584,27.466066360473633,target_new_minus_target_true,-14.761325284314662,-14.310196230217116,-19.609784481901443,-9.721118833821672,-27.46578125251108,-7.330089735449292,100,100,100,100,100,100,100,100,886,1000,10,0.003170219692401588,0,0,0
Native MEMIT†,accepted_z,rephrase,200,1.092572417203628,0.0656396634876728,0.0009936757793184371,3.515176725387572,0.00024005869636312127,13.546902656555176,11.24074260056019,11.383487224578857,6.169224882125855,17.051057624816895,1.0094950199127197,23.0797119140625,target_new_minus_target_true,-10.14817018335656,-10.106347560882568,-16.733724055555648,-4.967593862116337,-23.078097693272866,12.537407636642456,197,200,98,100,150,200,62,100,886,1000,20,6.951712536811828,51,16,4
Native MEMIT†,post_W,rewrite,100,0.3424574569654942,0.004158243536949158,0.0006879227643366903,0.07626650407910399,0.00021109737281221896,12.670905113220215,11.508458597138524,11.529478073120117,6.33436713218689,16.34877700805664,0.03590161353349686,22.259639739990234,target_new_minus_target_true,-11.16600114017303,-11.52569496590877,-16.346863378665876,-6.012851452594623,-22.255494139622897,12.635003499686718,98,100,98,100,96,100,96,100,886,1000,10,3.3517468586564063,3,3,2
Native MEMIT†,post_W,rephrase,200,2.974134802331973,1.1962938904762268,0.0070374489761889,8.534274673461914,0.000362807244528085,17.056203842163086,7.998486150950193,7.928367376327515,2.555077457427979,13.243745803833008,0.22417470812797546,19.075944900512695,target_new_minus_target_true,-5.02435134861822,-5.576373383402824,-11.865565641224384,2.9755830764770463,-19.071671925950795,13.936660170555115,164,200,76,100,100,200,36,100,886,1000,20,11.835607862472534,103,47,15
