reference,cell,prompt,statistic,cell_NLL,native_NLL,cell_minus_native
OFFICIAL-MEMIT,Z15,rewrite,mean,0.00602363068406703,0.0008853422875108663,0.005138288396556163
OFFICIAL-MEMIT,Z15,rewrite,median,0.004298787796869874,0.0005956901586614549,0.003703097638208419
OFFICIAL-MEMIT,Z15,rewrite,p90,0.01129101952537895,0.001914830610621721,0.009376188914757229
OFFICIAL-MEMIT,Z15,rewrite,max,0.034824125468730927,0.005451574455946684,0.029372551012784243
OFFICIAL-MEMIT,Z20,rewrite,mean,0.005007783950350131,0.0008853422875108663,0.0041224416628392645
OFFICIAL-MEMIT,Z20,rewrite,median,0.0037220503436401486,0.0005956901586614549,0.0031263601849786937
OFFICIAL-MEMIT,Z20,rewrite,p90,0.009429677668958901,0.001914830610621721,0.00751484705833718
OFFICIAL-MEMIT,Z20,rewrite,max,0.03291933611035347,0.005451574455946684,0.027467761654406786
OFFICIAL-MEMIT,Z30,rewrite,mean,0.002263748010445852,0.0008853422875108663,0.0013784057229349858
OFFICIAL-MEMIT,Z30,rewrite,median,0.0018950019148178399,0.0005956901586614549,0.001299311756156385
OFFICIAL-MEMIT,Z30,rewrite,p90,0.005073873838409781,0.001914830610621721,0.0031590432277880604
OFFICIAL-MEMIT,Z30,rewrite,max,0.007707854732871056,0.005451574455946684,0.0022562802769243717
OFFICIAL-MEMIT,Z1-REFINE,rephrase,mean,1.3846419972757575,1.092572417203628,0.2920695800721296
OFFICIAL-MEMIT,Z1-REFINE,rephrase,median,0.16618631035089493,0.0656396634876728,0.10054664686322212
OFFICIAL-MEMIT,Z1-REFINE,rephrase,p90,4.586139440536498,3.515176725387572,1.070962715148926
OFFICIAL-MEMIT,Z1-REFINE,rephrase,max,11.199920654296875,13.546902656555176,-2.346982002258301
OFFICIAL-MEMIT,Z15,rephrase,mean,1.2993071575605426,1.092572417203628,0.20673474035691464
OFFICIAL-MEMIT,Z15,rephrase,median,0.12485925480723381,0.0656396634876728,0.059219591319561005
OFFICIAL-MEMIT,Z15,rephrase,p90,4.337726259231566,3.515176725387572,0.8225495338439939
OFFICIAL-MEMIT,Z15,rephrase,max,11.223796844482422,13.546902656555176,-2.323105812072754
OFFICIAL-MEMIT,Z20,rephrase,mean,1.3197753610555083,1.092572417203628,0.22720294385188033
OFFICIAL-MEMIT,Z20,rephrase,median,0.11355981603264809,0.0656396634876728,0.04792015254497528
OFFICIAL-MEMIT,Z20,rephrase,p90,4.320386838912962,3.515176725387572,0.8052101135253902
OFFICIAL-MEMIT,Z20,rephrase,max,11.32551383972168,13.546902656555176,-2.221388816833496
OFFICIAL-MEMIT,Z30,rephrase,mean,1.2661305052036187,1.092572417203628,0.17355808799999073
OFFICIAL-MEMIT,Z30,rephrase,median,0.10752428323030472,0.0656396634876728,0.04188461974263191
OFFICIAL-MEMIT,Z30,rephrase,p90,4.439337587356566,3.515176725387572,0.924160861968994
OFFICIAL-MEMIT,Z30,rephrase,max,11.723058700561523,13.546902656555176,-1.8238439559936523
