method,endpoint,prompt,prompt_denominator,target_new_mean,target_new_median,target_new_p10,target_new_p90,target_new_min,target_new_max,target_true_mean,target_true_median,target_true_p10,target_true_p90,target_true_min,target_true_max,margin_definition,margin_mean,margin_median,margin_p10,margin_p90,margin_min,margin_max,success_numerator,success_denominator,strict_success_numerator,strict_success_denominator,accuracy_numerator,accuracy_denominator,strict_accuracy_numerator,strict_accuracy_denominator,locality_numerator,locality_denominator
Global P1R52 Z0-COARSE†,post_W,rewrite,100,0.07971616418624762,0.01796234678477049,0.0049467280972749,0.049609323590993896,8.284702198579907e-05,4.830842018127441,11.66718198299408,11.110612869262695,7.07392725944519,16.274005126953128,4.220135688781738,21.049985885620117,target_new_minus_target_true,-11.587465818807832,-11.102500236127526,-16.26932183406316,-7.0008315177634355,-21.048969785217196,-3.0142135620117188,100,100,100,100,99,100,99,100,889,1000
Global P1R52 Z0-COARSE†,post_W,rephrase,200,2.138524373246473,0.784661054611206,0.03790285252034664,5.717817354202268,0.0015125750796869397,14.977410316467285,8.29707577329129,8.183979034423828,3.792744612693787,13.000979328155516,0.05269787460565567,20.078678131103516,target_new_minus_target_true,-6.158551400044817,-6.2614932637661695,-11.7604427264072,-0.7652336120605481,-20.069612592458725,13.574369549751282,185,200,87,100,116,200,39,100,889,1000
Native AlphaEdit†,accepted_z,rewrite,100,0.0013624582591364742,0.0006589506228920072,0.00015296955389203505,0.0024251237977296115,3.361645576660521e-05,0.028182290494441986,14.538538165092469,14.134625434875488,9.414368534088135,19.31292114257813,7.15911865234375,27.239469528198242,target_new_minus_target_true,-14.537175706833331,-14.132582467973407,-19.311252721241907,-9.413603101158515,-27.239073831646238,-7.157930365181528,100,100,100,100,100,100,100,100,872,1000
Native AlphaEdit†,accepted_z,rephrase,200,1.1035635590716992,0.0643963236361742,0.0009501471533440055,3.287929606437681,0.00021824838768225163,13.755802154541016,11.192898531258106,11.08861255645752,6.140635347366333,17.132120895385743,0.932296633720398,23.367849349975586,target_new_minus_target_true,-10.089334972186407,-9.990750908851624,-16.906414128001778,-4.7326505640521646,-23.366365223308094,12.822722017765045,197,200,98,100,151,200,63,100,872,1000
Native AlphaEdit†,post_W,rewrite,100,0.0019152117858902784,0.0007277462282218039,0.00016654534701956438,0.002553286682814361,3.707340147229843e-05,0.07549384236335754,14.423645224571228,13.731590270996094,9.3194504737854,19.20513668060303,6.632318496704102,26.98345375061035,target_new_minus_target_true,-14.421730012785337,-13.730619675770868,-19.20340832787915,-9.317798270180356,-26.982986916817026,-6.556824654340744,100,100,100,100,100,100,100,100,872,1000
Native AlphaEdit†,post_W,rephrase,200,1.9406126227145433,0.30986252427101135,0.0026952386368066074,5.383311748504638,0.0002681849291548133,16.056798934936523,9.413473923951388,9.618066787719727,3.4497309446334845,14.529201889038085,0.26486340165138245,21.611146926879883,target_new_minus_target_true,-7.472861301236844,-7.993120609316975,-14.08400609959499,-0.6981582641601581,-21.60852573439479,14.368122667074203,184,200,87,100,122,200,44,100,872,1000
Native MEMIT†,accepted_z,rewrite,100,0.0008853422875108663,0.0005956901586614549,0.00016370859957532958,0.001914830610621721,3.1709168979432434e-05,0.005451574455946684,14.762210626602172,14.310807704925537,9.721587467193602,19.610417556762695,7.331876277923584,27.466066360473633,target_new_minus_target_true,-14.761325284314662,-14.310196230217116,-19.609784481901443,-9.721118833821672,-27.46578125251108,-7.330089735449292,100,100,100,100,100,100,100,100,886,1000
Native MEMIT†,accepted_z,rephrase,200,1.092572417203628,0.0656396634876728,0.0009936757793184371,3.515176725387572,0.00024005869636312127,13.546902656555176,11.24074260056019,11.383487224578857,6.169224882125855,17.051057624816895,1.0094950199127197,23.0797119140625,target_new_minus_target_true,-10.14817018335656,-10.106347560882568,-16.733724055555648,-4.967593862116337,-23.078097693272866,12.537407636642456,197,200,98,100,150,200,62,100,886,1000
Native MEMIT†,post_W,rewrite,100,0.3424574569654942,0.004158243536949158,0.0006879227643366903,0.07626650407910399,0.00021109737281221896,12.670905113220215,11.508458597138524,11.529478073120117,6.33436713218689,16.34877700805664,0.03590161353349686,22.259639739990234,target_new_minus_target_true,-11.16600114017303,-11.52569496590877,-16.346863378665876,-6.012851452594623,-22.255494139622897,12.635003499686718,98,100,98,100,96,100,96,100,886,1000
Native MEMIT†,post_W,rephrase,200,2.974134802331973,1.1962938904762268,0.0070374489761889,8.534274673461914,0.000362807244528085,17.056203842163086,7.998486150950193,7.928367376327515,2.555077457427979,13.243745803833008,0.22417470812797546,19.075944900512695,target_new_minus_target_true,-5.02435134861822,-5.576373383402824,-11.865565641224384,2.9755830764770463,-19.071671925950795,13.936660170555115,164,200,76,100,100,200,36,100,886,1000
