cell,arm,batch,seen_requests,cumulative_Wt_all_seen_evaluation,recoverable_W_checkpoint,stored_endpoint_cohort_requests,replay_or_imputation
QA,QCL,5,500,NOT_RECORDED,NOT_RECORDED,100,0
QA,QCL,6,600,NOT_RECORDED,NOT_RECORDED,100,0
QA,QCL,7,700,NOT_RECORDED,NOT_RECORDED,100,0
QA,QCL,8,800,NOT_RECORDED,NOT_RECORDED,100,0
QA,QCL,9,900,NOT_RECORDED,NOT_RECORDED,100,0
QA,QCL,10,1000,NOT_RECORDED,NOT_RECORDED,100,0
QA,NQFIX,1,100,NOT_RECORDED,NOT_RECORDED,100,0
QA,NQFIX,2,200,NOT_RECORDED,NOT_RECORDED,100,0
QA,NQFIX,3,300,NOT_RECORDED,NOT_RECORDED,100,0
QA,NQFIX,4,400,NOT_RECORDED,NOT_RECORDED,100,0
QA,NQFIX,5,500,NOT_RECORDED,NOT_RECORDED,100,0
QA,NQFIX,6,600,NOT_RECORDED,NOT_RECORDED,100,0
QA,NQFIX,7,700,NOT_RECORDED,NOT_RECORDED,100,0
QA,NQFIX,8,800,NOT_RECORDED,NOT_RECORDED,100,0
QA,NQFIX,9,900,NOT_RECORDED,NOT_RECORDED,100,0
QA,NQFIX,10,1000,NOT_RECORDED,NOT_RECORDED,100,0
QA,ORBFH,1,100,NOT_RECORDED,NOT_RECORDED,100,0
QA,ORBFH,2,200,NOT_RECORDED,NOT_RECORDED,100,0
QA,ORBFH,3,300,NOT_RECORDED,NOT_RECORDED,100,0
QA,ORBFH,4,400,NOT_RECORDED,NOT_RECORDED,100,0
QA,ORBFH,5,500,NOT_RECORDED,NOT_RECORDED,100,0
QA,ORBFH,6,600,NOT_RECORDED,NOT_RECORDED,100,0
QA,ORBFH,7,700,NOT_RECORDED,NOT_RECORDED,100,0
QA,ORBFH,8,800,NOT_RECORDED,NOT_RECORDED,100,0
QA,ORBFH,9,900,NOT_RECORDED,NOT_RECORDED,100,0
QA,ORBFH,10,1000,NOT_RECORDED,NOT_RECORDED,100,0
QA,JAC,1,100,NOT_RECORDED,NOT_RECORDED,100,0
QA,JAC,2,200,NOT_RECORDED,NOT_RECORDED,100,0
QA,JAC,3,300,NOT_RECORDED,NOT_RECORDED,100,0
QA,JAC,4,400,NOT_RECORDED,NOT_RECORDED,100,0
QA,JAC,5,500,NOT_RECORDED,NOT_RECORDED,100,0
QA,JAC,6,600,NOT_RECORDED,NOT_RECORDED,100,0
QA,JAC,7,700,NOT_RECORDED,NOT_RECORDED,100,0
QA,JAC,8,800,NOT_RECORDED,NOT_RECORDED,100,0
QA,JAC,9,900,NOT_RECORDED,NOT_RECORDED,100,0
QA,JAC,10,1000,NOT_RECORDED,NOT_RECORDED,100,0
