comparison,panel,metric,denominator,before_n,after_n,loss_n,recovery_n,delta_pp,quantity,mean,median,p90,max,positive_n,equal_n,negative_n
A0_to_A-OS,Past100,NS,1000,674,682,12,20,0.8,new_nll_delta,-0.1457298701623222,-0.06576979160308838,0.3649656295776368,6.0987653732299805,396,0,604
A0_to_A-OS,Past100,NS,1000,674,682,12,20,0.8,true_nll_delta,-0.10934977385494858,-0.05105113983154297,0.42187576293945317,4.420635223388672,428,0,572
A0_to_A-OS,Past100,NS,1000,674,682,12,20,0.8,desired_margin_delta,-0.036380096307373606,-0.029668569564819336,0.5349938511848452,3.5153476521372795,469,0,531
A0_to_A-OS,Past100,PS,200,195,194,1,0,-0.5,new_nll_delta,-0.03840982704350608,0.0030516593251377344,0.0969345167279243,0.5413177907466888,133,0,67
A0_to_A-OS,Past100,PS,200,195,194,1,0,-0.5,true_nll_delta,-0.2785644561052322,-0.18912029266357422,0.17364206314086905,1.1351261138916016,45,0,155
A0_to_A-OS,Past100,PS,200,195,194,1,0,-0.5,desired_margin_delta,-0.24015462906172616,-0.20420900330645964,0.22414210140705101,1.9032495021820068,50,0,150
A0_to_A-OS,Past100,RS,100,100,100,0,0,0.0,new_nll_delta,-0.004153987558966037,0.000726829151972197,0.009150362899526974,0.13754352927207947,88,0,12
A0_to_A-OS,Past100,RS,100,100,100,0,0,0.0,true_nll_delta,-0.6408912086486817,-0.6333713531494141,0.09487047195434599,1.679612159729004,15,0,85
A0_to_A-OS,Past100,RS,100,100,100,0,0,0.0,desired_margin_delta,-0.6367372210897156,-0.6352894969168119,0.0957147566514326,1.6801689923740923,15,0,85
We_to_A-OS_Current_only,Current100,PS,200,53,185,1,133,66.0,new_nll_delta,-6.576228686387185,-6.372980050742626,-1.749027998745442,4.41215181350708,7,0,193
We_to_A-OS_Current_only,Current100,PS,200,53,185,1,133,66.0,true_nll_delta,3.363673729004804,2.5914715379476547,9.251667165756224,14.660014867782593,167,0,33
We_to_A-OS_Current_only,Current100,PS,200,53,185,1,133,66.0,desired_margin_delta,9.93990241539199,9.442922566086054,17.738752695918084,29.298607166856527,192,0,8
We_to_A-OS_Current_only,Current100,RS,100,30,97,0,67,67.0,new_nll_delta,-8.493857719993684,-8.472696091223042,-3.6751962870592245,-0.3040583059191704,0,0,100
We_to_A-OS_Current_only,Current100,RS,100,30,97,0,67,67.0,true_nll_delta,5.297454602066427,5.734351396560669,10.91240854263306,19.988410472869873,88,0,12
We_to_A-OS_Current_only,Current100,RS,100,30,97,0,67,67.0,desired_margin_delta,13.791312322060111,12.568057253956795,20.740506854839623,35.93279434344731,100,0,0
