family,batch,reported_host,reported_archive_path,recorded_file_sha256,file_bytes,local_path_present_at_design,tensor_payload_rehashed_this_design,historical_validation,provenance
BASE_ALPHAEDIT,90,server2,/mnt/raid5/janghj/ODE-edit/local/checkpoint-archives/server4-migration-20260911-v1/new177-v1/payload/local/fixed10k-native-baselines/attempt-v1/output/main-cell-1/B090/W-method-state.pt,614a73fc3568f96aef9e050b0c1ee6c2e83837d09c1b341bbddae41b53ac4fa4,5284873141,False,False,NOT_PERFORMED,migration-manifest-2026-09-11
BASE_ALPHAEDIT,100,server2,/mnt/raid5/janghj/ODE-edit/local/checkpoint-archives/server4-migration-20260911-v1/new177-v1/payload/local/fixed10k-native-baselines/attempt-v1/output/main-cell-1/B100/W-method-state.pt,f24c0784342ee8e6c12f1661d3810780955edabea2f19c92795f7a37155df549,5284876149,False,False,NOT_PERFORMED,migration-manifest-2026-09-11
BASE_MEMIT,1,server2,/mnt/raid5/janghj/ODE-edit/local/checkpoint-archives/server4-migration-20260911-v1/new177-v1/payload/local/fixed10k-native-baselines/attempt-v1/output/main-cell-2/B001/W-method-state.pt,4bd2b7c0f99cabd64fadcfb93154b2c4f63051895da986b2084d61e4d55962eb,1174430101,False,False,NOT_PERFORMED,migration-manifest-2026-09-11
BASE_MEMIT,5,server2,/mnt/raid5/janghj/ODE-edit/local/checkpoint-archives/server4-migration-20260911-v1/new177-v1/payload/local/fixed10k-native-baselines/attempt-v1/output/main-cell-2/B005/W-method-state.pt,79350f76f6d2c94813e80ca7604ade7933c44b75ca16a460498c1c147e13be75,1174431253,False,False,NOT_PERFORMED,migration-manifest-2026-09-11
BASE_MEMIT,10,server2,/mnt/raid5/janghj/ODE-edit/local/checkpoint-archives/server4-migration-20260911-v1/new177-v1/payload/local/fixed10k-native-baselines/attempt-v1/output/main-cell-2/B010/W-method-state.pt,fbda8a72a06133728e3c54efb3a74d94d025762e331aafe530d1785286bd4aae,1174432789,False,False,NOT_PERFORMED,migration-manifest-2026-09-11
BASE_MEMIT,20,server2,/mnt/raid5/janghj/ODE-edit/local/checkpoint-archives/server4-migration-20260911-v1/new177-v1/payload/local/fixed10k-native-baselines/attempt-v1/output/main-cell-2/B020/W-method-state.pt,0119370f71753ee4101f5bafd179328370d1f348453edb5a4bb9122289e0365e,1174435733,False,False,NOT_PERFORMED,migration-manifest-2026-09-11
BASE_MEMIT,30,server2,/mnt/raid5/janghj/ODE-edit/local/checkpoint-archives/server4-migration-20260911-v1/new177-v1/payload/local/fixed10k-native-baselines/attempt-v1/output/main-cell-2/B030/W-method-state.pt,f9a6e52063531179035c534319a5569ad140d896c88237c5c1c155bcc73e31cf,1174438741,False,False,NOT_PERFORMED,migration-manifest-2026-09-11
BASE_MEMIT,40,server2,/mnt/raid5/janghj/ODE-edit/local/checkpoint-archives/server4-migration-20260911-v1/new177-v1/payload/local/fixed10k-native-baselines/attempt-v1/output/main-cell-2/B040/W-method-state.pt,772f70d895eac8e256952140e5cad0935fe5ddc740da1f2d645468688b82adc3,1174441749,False,False,NOT_PERFORMED,migration-manifest-2026-09-11
BASE_MEMIT,50,server2,/mnt/raid5/janghj/ODE-edit/local/checkpoint-archives/server4-migration-20260911-v1/new177-v1/payload/local/fixed10k-native-baselines/attempt-v1/output/main-cell-2/B050/W-method-state.pt,f15f51f9725ab4b70f4f5d359d928d4309c10e48789023590fee025730856835,1174444693,False,False,NOT_PERFORMED,migration-manifest-2026-09-11
BASE_MEMIT,60,server2,/mnt/raid5/janghj/ODE-edit/local/checkpoint-archives/server4-migration-20260911-v1/new177-v1/payload/local/fixed10k-native-baselines/attempt-v1/output/main-cell-2/B060/W-method-state.pt,275afc1582d0f751b5bf2fd7e8a7368af8494a5b0ded190b5fa0f949a0ad97ea,1174447701,False,False,NOT_PERFORMED,migration-manifest-2026-09-11
BASE_MEMIT,70,server2,/mnt/raid5/janghj/ODE-edit/local/checkpoint-archives/server4-migration-20260911-v1/new177-v1/payload/local/fixed10k-native-baselines/attempt-v1/output/main-cell-2/B070/W-method-state.pt,a345bba4ca9531c4b27c1d1011104b934661ccb2388f101d426675cbbc79fede,1174450709,False,False,NOT_PERFORMED,migration-manifest-2026-09-11
BASE_MEMIT,80,server2,/mnt/raid5/janghj/ODE-edit/local/checkpoint-archives/server4-migration-20260911-v1/new177-v1/payload/local/fixed10k-native-baselines/attempt-v1/output/main-cell-2/B080/W-method-state.pt,ccc3bdb005d110b9aab67e64a92563ddda96d56664dd2b404a6e580727b7a573,1174453717,False,False,NOT_PERFORMED,migration-manifest-2026-09-11
BASE_MEMIT,90,server2,/mnt/raid5/janghj/ODE-edit/local/checkpoint-archives/server4-migration-20260911-v1/new177-v1/payload/local/fixed10k-native-baselines/attempt-v1/output/main-cell-2/B090/W-method-state.pt,33be9fb6218eee0661822e60fb584a27793626c3bc6e816df09cbca36058d923,1174456661,False,False,NOT_PERFORMED,migration-manifest-2026-09-11
BASE_MEMIT,100,server2,/mnt/raid5/janghj/ODE-edit/local/checkpoint-archives/server4-migration-20260911-v1/new177-v1/payload/local/fixed10k-native-baselines/attempt-v1/output/main-cell-2/B100/W-method-state.pt,85e1a76f804f1f0f7ecc1b16f6a1c25beb12217f733d2cec1f4cf2a8b89ba049,1174459669,False,False,NOT_PERFORMED,migration-manifest-2026-09-11
