state_id,family,retained_interval_mask,kind,actual_checkpoint,construction_endpoint,removed_cohort_indices,used_in_main,used_in_pilot,used_in_pairs
BASE_MEMIT__bff,BASE_MEMIT,bff,COUNTERFACTUAL,,100,10,True,False,True
BASE_ALPHAEDIT__bf7,BASE_ALPHAEDIT,bf7,COUNTERFACTUAL,,100,3;10,False,False,True
BASE_ALPHAEDIT__ef7,BASE_ALPHAEDIT,ef7,COUNTERFACTUAL,,100,3;8,False,False,True
BASE_MEMIT__bf7,BASE_MEMIT,bf7,COUNTERFACTUAL,,100,3;10,False,False,True
BASE_MEMIT__ef7,BASE_MEMIT,ef7,COUNTERFACTUAL,,100,3;8,False,False,True
BASE_ALPHAEDIT__f6f,BASE_ALPHAEDIT,f6f,COUNTERFACTUAL,,100,4;7,False,False,True
BASE_ALPHAEDIT__def,BASE_ALPHAEDIT,def,COUNTERFACTUAL,,100,4;9,False,False,True
BASE_MEMIT__f6f,BASE_MEMIT,f6f,COUNTERFACTUAL,,100,4;7,False,False,True
BASE_MEMIT__def,BASE_MEMIT,def,COUNTERFACTUAL,,100,4;9,False,False,True
BASE_ALPHAEDIT__f5f,BASE_ALPHAEDIT,f5f,COUNTERFACTUAL,,100,5;7,False,False,True
BASE_ALPHAEDIT__ddf,BASE_ALPHAEDIT,ddf,COUNTERFACTUAL,,100,5;9,False,False,True
BASE_MEMIT__f5f,BASE_MEMIT,f5f,COUNTERFACTUAL,,100,5;7,False,False,True
BASE_MEMIT__ddf,BASE_MEMIT,ddf,COUNTERFACTUAL,,100,5;9,False,False,True
BASE_ALPHAEDIT__f3f,BASE_ALPHAEDIT,f3f,COUNTERFACTUAL,,100,6;7,False,False,True
BASE_ALPHAEDIT__dbf,BASE_ALPHAEDIT,dbf,COUNTERFACTUAL,,100,6;9,False,False,True
BASE_MEMIT__f3f,BASE_MEMIT,f3f,COUNTERFACTUAL,,100,6;7,False,False,True
BASE_MEMIT__dbf,BASE_MEMIT,dbf,COUNTERFACTUAL,,100,6;9,False,False,True
