case_id,ordinal,birth_batch,cohort_id,cohort_index,update_start,anchor_batch,age_at_anchor,subject_relation_group,subject_sha256,relation_id,target_new_id,target_true_id,target_new_sha256,target_true_sha256,request_sha256,raw_record_sha256,repeated_group,same_batch_conflict,first_later_conflict_batch,active_at_anchor,active_at_100,analysis_group_fold,pilot_selected,pilot_rank_sha256
5979,10,1,U000_001,0,0,1,0,51d47dfa34e0ec2425bda24ceb49f6c74e501da84c5cb5e13cd13de4ddf6f823,eba6e5ce51ccf452cdae0aad58e9c3ef2193274aab8f7d8cedc349c56e5d3730,P937,Q64,Q100,682032bfd3f2c4ffeb48c693770ae0e41c810f2cffa5eb19e49787b8c5bd9d2a,55960b1b5d8ca8bc5d5cdfcd40d3115c40b405e97b8169c8198557a0fa6dbcd8,c6be5e277027c678b6f1eb8cea5ccde42a57432cbacfe0fcee4d3d79d702c251,e9da6498f1a062753e00fb4bcaf0dcc60194a7e133fb9a01deaa68dcb5418d7c,False,False,,True,True,2,True,5c7ad9ab2e1965da356e97ed427781882e8ffc94d77506b2221816a3acf95828
3620,11,1,U000_001,0,0,1,0,005b8d102ee7c17978aef38d5c70e455ee87bd5623af7486861d61fff84278f3,4672a113b07422018f780d886666fdc1730aa0622cd7e0487ddc22816a6beb43,P413,Q193592,Q1142885,41812b462ca56110447c979fafe37eb07484aab6cf4ca5d97a1da795cbbc82ff,5557a4aac175dc43c4de21af5214d8e479db534a2abacb6c4639a74861eed937,4e5941874b0df936219dc5866f6b0889d510a584db699f5482ec9a28e9ba1137,6b25aa9d1728e823983d00fa980f4636592aa09d945fb812fa38187877bc0cef,False,False,,True,True,2,True,5ca6a63770d2eb6057761146995da828f97573975425edf12eb5faf247928c80
2115,12,1,U000_001,0,0,1,0,366bce45b7e0d29068dc31508f1be109210f4c4bf439987d91a95d6138773653,e5899e1e02fb8b9f63ff9221823d08592e028b12a2ac514581201a4aef38f1a7,P17,Q233,Q1045,fe0432b518fe2bbb6c1fe1a52bf388551dd2f07f834ad961c6ece6868d1f6af5,310017e11f1f4505aaeda8746fce0165ebfe05fb4426766bbdd1f9ff759331e2,4d321a0e092df398a00d376b4866272a9e905e1e6f955fab167fb50e3fcb2ba4,c53676bf07e2e6261e787bae840758de336bc7fd3b787ca02ccbe0bcce1260f9,False,False,,True,True,0,True,c1fbd6c2e675ce56f1a028b344210758ca5f5572117161703f01f144cf29a118
15503,13,1,U000_001,0,0,1,0,6640a521105ec730721b3382fefef2faf3527ff7338f4a8233949e176d0a711f,4280668d081b234b498ceedf5565a4c03b688c286f3d796fb01de59c37b3d4cd,P413,Q172964,Q1048902,4bcbf5fad127b90ed1e6fabc58579cab678c6fa59525f9e0594279954e1ebafb,dbdd4f257a013378d8da2bb803a8980f36da70d34212abf28056eb40a7f2f0aa,f05936f8370cf61c0026f1ee4fc471a2b6f44ecc6a5b69a0abe07e6eb1e09ede,bc91a5d7fc2c383361a8061e662ce39dda63379891e13790744bddd77db25a15,False,False,,True,True,3,True,a96d2b6ea66a3d1f56189eacc2e78921d89bd733221d52436c719bd26c46884e
403,14,1,U000_001,0,0,1,0,865a29cfcba5465dbdf319633e11140ef38ef1168c78f6e6683523dd36e30c15,0052f985d329671ba8842956997051173412a6e501686aa059dbe989bf03a876,P27,Q218,Q20,0db6eb772bed82c2c97b9260c7d49784a1dd7262f63f5b242a925d56c0929202,084fcc584604795dd3b4bb591dbc7968480a55a1200b35070a9d01273319dba6,62785fe2528b8e3898f7c99006ff2858da1c379cecec5d9484943f308cee5f07,ee7d88e45cee652647685d0893e1e435dee1da351984ee2f7650608181c14ec6,False,False,,True,True,3,True,29c1292f7375df04439d2a33131b4cc5c09c1ba48786f10978a1e6dc876fcc2e
2879,15,1,U000_001,0,0,1,0,6bb50cde73a5b5d0ad740d7230606e23ed97c8f82ee924e45231d26f2ef2e526,0455d049eb3114a9fd382b91793d6c935ce2e7c295504d2b13996c6defc1ae60,P364,Q9168,Q1860,0e58566eda3dba2d48b23fd5408381b3f746c3daf7676d97294749ba7e0f896b,df38b3534d35977f29cca1385b42364aedd3ddf2cd0907a108f19586bd239958,12aeaa7455815cc80c7bcf3134941746d68318fad2adc8d31f6ccb927ceb5857,c149a27b87d832bfc143efc47d185cead3929cae8c1e681444bbabc57471b2ee,False,False,,True,True,2,True,7cd7cc50402dbb4a0bb1c497437aa33d5769b15957030a2441680949a41b2c2c
4592,16,1,U000_001,0,0,1,0,ac08e7aa8c284698c4a68ec0f61ec3b7f6ad29dbbbbdbf00cc56c0c312bed710,fb86b519fae94b19860df8f4b7177596e313c401360fb0cf103c3d0d8577b62a,P136,Q8341,Q170238,4df03d19824d3d1d3f5adc19473962905c609222c2016d9457a04891a73bf4c4,a0a40405e911ea2d93100430a22d196c8853367176bb1fc8cb8466b7d7b772ac,6a929b92ee104c85a49470ffd144b3ad926c8e80988adf05d66ca6225b45b0e6,4675008cd364f3192165d0e1937e7213ef81307d86223ebc782ef79f11ade28d,False,False,,True,True,1,True,66dec0146381873845631e26029c198d3453ca4aa62167b2cd5e8cf3cb19c1ef
3098,17,1,U000_001,0,0,1,0,d252b25a7f3ea0caaaeee18bada05c3f08482486a51837bf9db77774c4e6896e,60fbbffdbcce677e601c76a786130bf904fb966f7b8a4705c126229df0fa4d7a,P106,Q82955,Q33231,197a6e2d66893e6595f99835851b4b3d21c83473705966407fc6e89435f7a3c2,b88189db2e1258bbd96ccc2194255874833d6e1559336af333b5f5d0d92fea9e,ec911898acac693fd256543ab43ecce37c55e939a8986bb3e46c9ec13da6755f,a8181b8db561511bc10e68692fe7b8e513b82ad84759f5f4cee54bf8323717e0,False,False,,True,True,1,True,e3b2c8c54d16fe7bad610336212679b6e52c834d25cd2380626e1e240a76eb9a
6827,18,1,U000_001,0,0,1,0,bc820675918797b61a388651ed9122ef9bb8c7f6d92516f20fd3976ca667e0e9,221d0e77453ddd2603ab4d7d86938acf3c601a125283de78ce72d10c4a45fd05,P740,Q34,Q5083,887a3301d86bde8267b936831a6d0b53036fbd86586c6f32a75cbe27f0a24f23,abd351a28e0537454f5c9a8992637a0c3021bc399d9539f937b36bc9b7f3f6f9,f8c411a2c24ad73c518068cabb597a43180336a6c8a1ed19c149f28337d26297,e4bf0bdca380eeca836569c596bb7d1086e0bd770a5303ca50ec4975ea211fc5,False,False,,True,True,1,True,faaf2ab890a0028679710ddd197f5f3f2c8ad04a6fd7da651978a74f4e2cbe06
3557,19,1,U000_001,0,0,1,0,4722213fb8efa65f7208ec68f6fa97dec0ebaa760ba033cd7959034aebe0dcc5,084253beca94ba19a6c884390d6dc1611d4d0e458488b4b51fa64054c83d9a87,P106,Q82955,Q133485,197a6e2d66893e6595f99835851b4b3d21c83473705966407fc6e89435f7a3c2,1e3dfe130f49279bad7c8e75f913dfd93afbeadd17983d655ec6a1cbf0e81336,fbd7fa79da904cf2c17a8ff7ad787faca7d879b1f21dd36322ce131e8bb4b82f,1d4ae9975b8fe042ad7d2f6046078a369e650813294146156016583e00d5a975,False,False,,True,True,4,True,5ee77a4f9d8f2cb62cf1242b4093ea25a83850f4a2521d1e936b4be0dfe48a08
983,20,1,U000_001,0,0,1,0,4e7f970fa96a09eb6cfae3ef8bf932aa381378dfbb4cef349b7105c66348accb,48d5bc2aed7164977d26a22d72977733ca224d9e7815e8a9658a96c8755478d6,P1303,Q8355,Q6607,3c468968533c46216e4975cc3e1e80405dda2be368393868e73c91c42b0cd41e,77658f25cfe90712edb9a001ff91aa358ce9e5e8a8a86b2f144a7fbe28621de9,5c82914062340266e79ea7b1eb909a176e3c9ccad21555559e0266d0be8b75a5,415ef4e6393eddd5987280d01c2cb1fbf52ebfdc9efc585861e2e9695da84801,False,False,,True,True,4,True,340661f373df9b315d798f9d5beeb160c55b6ead9c1c9f2de93bac2fd5247600
10695,21,1,U000_001,0,0,1,0,c582dde6c8e879241408fe4bf45dcc7f463c95bbde91db0e4b96fefeeff23f83,39240fc33f4ce070a06cfd343e159511129577ea2c24aec3fcabd70881e9db50,P190,Q3640,Q956,56376357721953827d2ac092c74528096a0f5aa4750450ab34c6f845e4967d22,92a4a36ea06698b965ab0782483f6aef6a8d36e2c778692c4f832a24433f2a42,2383ecf86db6bb5acd5b4b0c65817400373f0b89d7f867a41234787593952ebc,0a899ac03e9859bacb9308d3d15279399282a82e92a854192be97ea589dae364,True,False,68,True,False,1,True,f757031d7d657192233ae5c86b226a4299095ccd83baebe2f0dcb232fae1d71a
19830,22,1,U000_001,0,0,1,0,c9751a1465a1a85425eb57c44a22977041aa816ef5917f16cc8a67bbeafbdfb9,12c7e99ebf114dbdabc8e21827713bfcfeebfaa7ea28c77f26f758c24a53fe59,P1412,Q652,Q1860,0a5ea4f5f5b9219fa51de8629d1b3dd7a4caeb4e8a3a0967ae06135c55a021ca,df38b3534d35977f29cca1385b42364aedd3ddf2cd0907a108f19586bd239958,656bffc66c1dc5737c21d2b0e13b6d1c5ff8177cd9f7bcde4b04468f72984869,0c797fefc44cece2a0dc5d770869fe112a80db0c394cd61692049625af1377d2,False,False,,True,True,2,True,1ae4c279b7c3b43c00461097e154902327d3e1f68434c139142703367c1a68d6
9198,23,1,U000_001,0,0,1,0,98b963cb3b5a84cada86aeb1b2483ecf47b479d29b3904681e15dc18280c1d4d,2fd911ffb97eb2a4e9ec80586154be9fef735188db3409b18fd9e3ed7e9ba181,P106,Q1930187,Q33999,25aa53b23b7eb9989eff9824c8c18ae44e0369cab90c7d4bd9c22a601ba33ddf,a1d61d58aeed7adc6548ba3b093b169dbcff79fc3dc6488596b34f91a85b9609,b2a007a6053842f395d3d905164e8cec22695af91b568e4abd5bd48bb8363e9a,075a87b048a9a29e982a3b0ad5776d688781625ed2c275c756560e2cfaebb570,False,False,,True,True,3,True,db3b4bca87f5925fabf726e28f468564a5731032a79dbadb0040022a3549047e
19033,24,1,U000_001,0,0,1,0,6f04200d3da7d56cc374ede45b26f0e33d446b0105cabc8a3030d50deeb2d36e,027daa1e3775e33d0968adb3af556762aacef36f293527a221987453a1fbc6c1,P276,Q100,Q16869,55960b1b5d8ca8bc5d5cdfcd40d3115c40b405e97b8169c8198557a0fa6dbcd8,d323e93a55937826dca8433baa24fdc4ad1246d8519b51d1678b00c07cc92246,f2de006c7e2c5f76b51a321ea091d42e5aa6912dea3c7e5a84a2978cf199a632,8f3fecf6a10654b89b55ae350f61325a4fa2bbf5d52ca656305f79802c6b0aa3,False,False,,True,True,3,True,02fd07079a051f1e302bf66f9fa30a5ac04fae3a256f45009a1e9ba9733e6d8b
15315,25,1,U000_001,0,0,1,0,6b947955b07fb1437a5dce0b6870b0e7af13a0915da616895b09a53df7160222,8cb7c81f68229840e88ea602153da67240de1956e414391ce3bd3879a7bc203c,P138,Q36091,Q1055,7d0952c3520b14393055e99039163716935ffe5d8b255e54beb0f7056740ab0f,cd1baf364ec325c803f1988354dd7c08dcb6e2af20c54f33037ff16c53fa0812,8e5fee9a10ff22fe5cfaa797c95c01b606508d63ef700627a632db7182eea311,aec92ced193a3fddb5d6c9a390abca838a9b2f8109cc6ad63e5cdb7b82114200,False,False,,True,True,0,True,df1879150199027e707b188551332290ced32633869075cceb52eefc27be2ab8
3664,26,1,U000_001,0,0,1,0,4e2424fe12df648aedd959415d364439fb48d0ab8a63d26bcd1425a4aff8ebeb,1b1c4113f4e8d0d338a14b41256eb178512484b88d7874ba55fcd6f1ee7d23a4,P108,Q172030,Q35339,a33663b74f2f970eaec187c0ecdda7ce3d3dd74ef465f334255298b75228e692,904124161c2fe380980ab597673dfb6a9c3d6dd2ea565f67b82d3dc2a82b95bd,947f1d3c244b2ae51ecc39bed70dfff4d0cfa0fccb2f4888036af0bd6605474d,2f16b33d15b6b02f87d691a3eae3b6e07f3b86085c8dd1307a0fa2ee4bc90bb3,False,False,,True,True,3,True,dd0c6b52c07740bf77a28072618dfed2d9b445f4d49874b0dd280b3fbb655697
17078,27,1,U000_001,0,0,1,0,bddaadfb2849d484847bf862a64c3ea55971ff33ce12020e88c2b26c3efa0b5b,348eb0c45c390d415ee4ae795ff0e36ef2b79891897a447c11ebf3bc62e03eff,P17,Q27,Q29,75e6138cc558c797069a144bc008ad7624958780716f4282e19496417c688a28,74f85bf966f9048e0ecaa6d981cb32871925fdaf9eec0ad9646d5bece60a1db0,9a13575072b0311bdc89b3a650239be69f154edf118bccbce874b727c497c6da,09647bbe4a3e037fefe8250b28b49b5825bada56e03eb68876ced880ce292752,False,False,,True,True,4,True,1ab35132277c5d79b08c4b80aeee0eb34b17525348fcab6e5501c825b1b3e88c
14779,28,1,U000_001,0,0,1,0,d08edca7823365549a3131fe616491fba86a7a56f6bf1a1b78f224ad4ceb8cc0,7ab334a000b04a968e016d3e7c1db7e96187f4b72a6f8725cdfa45720421b37f,P264,Q1131870,Q1465812,334d2da118401126af4c6f367585fcbe5e21b3053ab6afdd2db79035cefdd8c7,4999eb3e850d20d7cf40d8ecc1a3597a0eac4fe2f23c0c4ef8dab9c2e1ff6745,ed57df4c94059658b44db1ab4b093745c7f9d778caf1b942c3ff44a80e466581,8c14777203864d4f8e5adae315f9cae3f741e5a3fea88b076378b21be4be2987,False,False,,True,True,1,True,0cda0ae1f6ef8e073ba66b42cbb74b66de1845e462f66a1b39ddc59c50d73cb6
17394,29,1,U000_001,0,0,1,0,76c647066840a6727a07cb0a2be93e7590985f5c8b91f98bae4d25127f278996,54dc1109df4d0d2698bd3d4d02477e4dc45b3d888bd85e1f15f0014fabe2ed6e,P937,Q16555,Q84,f79bc75afe16726743fddfaab2f74d8accefa9d2660df9eaf43940a52a79c07a,f8710fcf632e768e5fcbc95a44745e16332f61ef3a099091da8e7e7a6c745ad8,7807199eadec0cc5eeb3d53d333c361f26ef091db46ac81829313b24ec874f84,c253bbcd583611a496aaaea9772890a1ed4bba1ecb07588808dcc61088194f01,False,False,,True,True,3,True,f959a193dd3d86ce269e3982d33cd25554953b9a837413c1136b24746c1fed78
20878,30,1,U000_001,0,0,1,0,7fdc53a9f402b32a88d3df83ee9acbd3851cdf44ff8967c62facd30e05b23942,fb42d9dd31deeeb3811bd70ae9babd6d760d8d33aa3c5c554b65f477c7de76c1,P178,Q312,Q739552,6cd05aed0e7a3ab195691589f414383851bfa48e9c44cecebce99a6b3a94022b,8d8c679a732b29aed6926090240607087051fd67601f1ce3b0ec4a74ce79a358,73774c06115eef1e26956401c3a1cd21f27a7bddec56abe010f8db5a64310310,a552af5fe081e18eefbedd7ae8cb60df04c0fde8f066cb12037c50525e4a5ec7,False,False,,True,True,4,True,2819d3bdb93396070693b6477a4d2fbcbafb8835cc5fd4152199e138dcc906f2
9983,31,1,U000_001,0,0,1,0,634c087ea48bfb750d911fede8b4c79ca37d926a524dde9f812be31c6489b56d,5d459ce7204f7b6676459f30f6131727f5f596da09a175c613605551fc341c9e,P30,Q48,Q51,d4fc9282488abfd5d0bca154f262bede188037c9b81453958378bb73cbc51871,f9d05a7096ddb408bef2384945e42a1ac6299ebd21444936b0c0ad31fd2ca3f4,2407be167f6f80b10dfe64cbb58c3410c0694596b8781760f7438b882130d041,ca03338b3b5177bff086af7569d3691bb73eaff008696be58fbcd45a63ca0b20,False,False,,True,True,0,True,cf4e17641073df454baf2e11512da00bc1fbfc36575a7276a892bd364b1968d1
6907,32,1,U000_001,0,0,1,0,95958bcff6dccb6cc9d8e66d7293f70700b374af673eae6c0e306a5edeede4f8,d5f29031d9a371cb619ce40c06c88eff94daa8290a42a95c246573abf8f467bd,P937,Q84,Q70,f8710fcf632e768e5fcbc95a44745e16332f61ef3a099091da8e7e7a6c745ad8,864447a4a3f66db7d0aa6a6027f59cbace30bce7992808d95832e5855a9b3fce,f0b58aac1c20ed157debd93a96316402b77e00082fad95aada5482f9c884a327,6e4b55ea9f77d1880a6393d3dd9f45b3c7e01d58e06b99615d76eaba9b29bbfd,False,False,,True,True,2,True,9ac95a4c1bc6d710ebcb926c61ad616bca4a9b12a3176ebe49741f079c956026
6516,33,1,U000_001,0,0,1,0,99cfbad5c710d24b945c3b343925719308e6f85a24ca73c438e9727adf6a0d0f,3543060bc8f55b0a5568aecbf2d865b35009e00402f0875a1392330070e37061,P364,Q1860,Q1321,df38b3534d35977f29cca1385b42364aedd3ddf2cd0907a108f19586bd239958,651fc160460a60c81cfd59715f8a900203a3e34428177c06bc8d6b9fbde3ef95,6b9b9efe61dfe2bb50f1717a673ea035e866137d125bb73d5f6c6c8e0d9eb97a,ecd04717400bd14e76996877413525f4d4b042194bc2985afd241df8b3e3fc56,False,False,,True,True,3,True,65298dc7e0d33163c864eaae510172d8e58c795e648c397c1f390653b2303c9a
19189,34,1,U000_001,0,0,1,0,15022801e3c07ff628628eeb021091fc0bc0dd09ab9e2ae563a0af88c9506555,161ac2746dc1e0f27640dba7b62a9811adc98b93515b696b27013c74c76ed284,P103,Q7411,Q150,4d09eacc80dd918f4013492d041b70f1624bf251e02e6c8a3f6c5e105e8f9dbe,705d58ae558adc2314a171310c9e68231959a0a87edb62ed88c63a265b509973,6b2538d7d966dc23411e8032b92af8645d017ae45c448473cd8b5f79980c6cd7,5634be33242633d7e40709adc6fd6ce089b557055f412cd08ee6e429d2f7c71f,False,False,,True,True,4,True,88e4ada995854af56e112a1ca8a7196a88243588cb53605eaccd4dfaa46c76df
9724,35,1,U000_001,0,0,1,0,8ceaa47824afb18b96a36e0aa39a6a9cd9d512fdb5cfe777669bc1b33b96d3fe,fbb49351b2f985d3e7a0f0a3ae1a7b152d23f2e959c7b450eaaaa3229cdaaa2e,P27,Q889,Q142,1fe83e62b478285f3e850fd967be8bdb58ebdde82344835934fdbb749c003f3c,0dcaf658c205122c27cded9bb76312b71d4c1931be9c08e283661bbc21cd685d,3977c696ed8fd7ec6378ec75b14ed0eda0bb81d1f0eb8f2695e1f9462739fe6c,70b41afe20f82e7c74d89a3712c6aca30dc2a5f63eb4895d1a24c9bbd26126c0,False,False,,True,True,1,True,b56a1e1fa469457857499ea693365fce1e2865d2ddb734500ed1a98e43e58aca
18132,36,1,U000_001,0,0,1,0,ed1569d555e16d686200e9b85a35540c2cf10311d2d562496649ee73e4a03b3b,263269a06d86fe8a9571613f9165d63ad1e800275e84f449a40ba43f28794097,P138,Q37090,Q1345,b01b87241e01241e534ff24d9cbd9dd8659b035e2214a89d41ec29b79d44e0f4,86217bd7cbe395640e33b09acf8b23745a9b6ad1b3e94a07b5ffec4644f18208,6495470af715c860e03ebe4c81a14d1cfa739a98084482eefae47e0cd8eb15c6,d368fb5f624253a7c831f8ee8a57b721d651551cb383bd439b9f0be222de1f48,False,False,,True,True,2,True,50d96ef49bd3af498709c5abd13b08abc8007a3eddcfd9da9d6d02120c5caf0d
18300,37,1,U000_001,0,0,1,0,351f414d8f1574eb82b4081cf7b2280ef1dd82c1f2f53bf32a78bf3eb2f66192,79071115d5984bfa0ed72c32a7ddad2d45a7b883eb7ea4c9c65443dc9a61c922,P190,Q5776,Q365,c87844017434a0c02a8c3d1c789c76c37c8b51fe9fe9c479b4c656d7452dc1be,40814ef46df66009bcc09ee1a19a795f6c251f940db6fd7d0891b9fab7ac3f24,e9ebcffdaf9a4802061bfa21a14a9b31ad46005b3614a3668d0cee4c4a93f8ae,f7ed5de1512a5d4e1f9c59dde164ae9ed9a764c042265403dcbe42d14fdb9627,True,False,18,True,False,2,True,1474da249aa018420a3b7529f406a18bdf6e7893cf2a43ad94ed81af68a5b017
21629,38,1,U000_001,0,0,1,0,2014e0a985f089aa45e83d787b6abc4d88afb1ae0d9bb87b24a23a9d1d5699a5,43e9ae04aecc35819568a841cd6684fae498a6e3d08f01f436e5c1ef66f3a32d,P276,Q220,Q1646181,30731707cf8e4794ce1612eef2f4e0e3c0fa3f0c1c467433da03fc838edf424e,a3a837162e201795ee305064e4548942f5e16c188b2791fdf959bac4b347a709,f803f53a5d109a12eca49389b76e43515d2c3a2dc059c07a26b157362d5e4bf8,8e176a305a181e5882c9b31f55d2545ed10541e50ba5e1f612f917ed97c8e6d8,False,False,,True,True,3,True,a0c0f650276904c41c9462a9a84ece8a7188c1263bab04b95a661399f33aa26b
