Model,P_ratio,capacity_ratio,case,comparison,current_Eff_denominator,current_Gen_denominator,current_Loc_denominator,current_endpoint_denominator,delta_Eff,delta_Eff_NLL,delta_Gen,delta_Loc,delta_W_NLL,delta_gap,delta_z_NLL,energy_ratio,matched,reference_Eff_denominator,reference_Gen_denominator,reference_Loc_denominator,reference_endpoint_denominator
llama3-8b-inst,1.1593702099559449,6.670918713640831,7,P1R36-RS-Neutral,10,20,100,1,0.0,0.1627281188964844,0.0,0.0,0.07197114842711017,0.1025338181643747,-0.030562669737264514,6.656009298994607,True,10,20,100,1
llama3-8b-inst,NOT_RECORDED,NOT_RECORDED,7,Official-AlphaEdit,10,20,100,1,0.0,0.2837641716003418,-1.0,1.0,NOT_RECORDED,NOT_RECORDED,NOT_RECORDED,NOT_RECORDED,True,10,20,100,1
llama3-8b-inst,0.2734297383010406,0.3628137227783013,8,P1R38-Neutral,10,20,100,1,0.0,-0.05086383819580079,0.0,7.0,-0.07472132523544132,-0.03622980319923953,-0.03849152203620179,0.43142161315055355,True,10,20,100,1
llama3-8b-inst,1.0076439797662464,0.9278807315168819,8,P1R36-RS-Neutral,10,20,100,1,0.0,-0.020167732238769526,0.0,0.0,0.005230926466174429,-0.04623863039523711,0.051469556861411546,0.8910192092373539,True,10,20,100,1
llama3-8b-inst,NOT_RECORDED,NOT_RECORDED,8,Official-AlphaEdit,10,20,100,1,0.0,0.1636890411376953,0.0,3.0,NOT_RECORDED,NOT_RECORDED,NOT_RECORDED,NOT_RECORDED,True,10,20,100,1
llama3-8b-inst,0.34680088035062534,0.19685647693380998,9,P1R38-Neutral,10,20,100,1,0.0,-0.18725395202636716,0.0,9.0,-0.164206345367711,-0.08387108404422178,-0.08033526132348923,0.22128651526498402,True,10,20,100,1
llama3-8b-inst,1.0324231824802692,1.4305917696026138,9,P1R36-RS-Neutral,10,20,100,1,0.0,0.06182231903076173,0.0,0.0,0.11893982492620127,-0.0011084105062764138,0.12004823543247768,1.4299136749449899,True,10,20,100,1
llama3-8b-inst,NOT_RECORDED,NOT_RECORDED,9,Official-AlphaEdit,10,20,100,1,0.0,0.0816366195678711,0.0,5.0,NOT_RECORDED,NOT_RECORDED,NOT_RECORDED,NOT_RECORDED,True,10,20,100,1
llama3-8b-inst,0.47554967392949,0.4061815637053833,10,P1R38-Neutral,10,20,100,1,1.0,-0.5670436859130861,-1.0,1.0,-0.6371644776547327,-0.07542277585889667,-0.5617417017958359,0.4469148037027908,True,10,20,100,1
llama3-8b-inst,1.0652787730580435,0.9914584838508896,10,P1R36-RS-Neutral,10,20,100,1,0.0,-0.029021072387695357,-2.0,0.0,-0.01508859550813213,-0.06847039959684481,0.05338180408871268,0.9813064344133562,True,10,20,100,1
llama3-8b-inst,NOT_RECORDED,NOT_RECORDED,10,Official-AlphaEdit,10,20,100,1,0.0,0.5163041830062866,-2.0,1.0,NOT_RECORDED,NOT_RECORDED,NOT_RECORDED,NOT_RECORDED,True,10,20,100,1
qwen2.5-7b-inst,0.22660471322514705,0.012968189294729869,1,P1R38-Neutral,10,20,100,1,0.0,-0.16674194335937498,-2.0,0.0,-0.20513357892632483,-0.05855932673439382,-0.14657425219193101,0.0212045446670478,True,10,20,100,1
qwen2.5-7b-inst,0.9889916293456832,0.4634432779340163,1,P1R36-RS-Neutral,10,20,100,1,0.0,-0.004419708251953133,-1.0,0.0,0.006685418123379347,0.008902848290745169,-0.002217430167365822,0.4658182417881949,True,10,20,100,1
qwen2.5-7b-inst,NOT_RECORDED,NOT_RECORDED,1,Official-AlphaEdit,10,20,100,1,0.0,0.09765472412109374,-3.0,0.0,NOT_RECORDED,NOT_RECORDED,NOT_RECORDED,NOT_RECORDED,True,10,20,100,1
qwen2.5-7b-inst,0.3626486030442226,0.5629754062442827,2,P1R38-Neutral,10,20,100,1,0.0,0.030500793457031272,0.0,1.0,0.13971970854327076,-0.04361636373214428,0.18333607227541504,0.9072662812994801,True,10,20,100,1
qwen2.5-7b-inst,NOT_RECORDED,NOT_RECORDED,2,P1R36-RS-Neutral,10,20,100,1,NOT_RECORDED,NOT_RECORDED,NOT_RECORDED,NOT_RECORDED,NOT_RECORDED,NOT_RECORDED,NOT_RECORDED,NOT_RECORDED,False,NOT_RECORDED,NOT_RECORDED,NOT_RECORDED,0
qwen2.5-7b-inst,NOT_RECORDED,NOT_RECORDED,2,Official-AlphaEdit,10,20,100,1,-1.0,1.0046356201171875,-3.0,1.0,NOT_RECORDED,NOT_RECORDED,NOT_RECORDED,NOT_RECORDED,True,10,20,100,1
qwen2.5-7b-inst,0.2551231275513042,0.12956498120625343,3,P1R38-Neutral,10,20,100,1,0.0,-0.12961902618408205,-2.0,-1.0,0.027974689134862285,0.007241822418291133,0.020732866716571152,0.19928820913767567,True,10,20,100,1
qwen2.5-7b-inst,1.0012490507959237,1.0766136163973465,3,P1R36-RS-Neutral,10,20,100,1,0.0,-0.007067632675170965,0.0,0.0,-0.008895280270371564,0.0021028636489063834,-0.010998143919277947,1.0687920791032852,True,10,20,100,1
qwen2.5-7b-inst,NOT_RECORDED,NOT_RECORDED,3,Official-AlphaEdit,10,20,100,1,0.0,0.5753376960754394,-4.0,-1.0,NOT_RECORDED,NOT_RECORDED,NOT_RECORDED,NOT_RECORDED,True,10,20,100,1
qwen2.5-7b-inst,0.3504175601796976,0.30043707910957695,4,P1R38-Neutral,10,20,100,1,-1.0,0.305677032470703,-1.0,3.0,0.4332807095255702,0.008975959429517344,0.42430475009605284,0.5301012536083853,True,10,20,100,1
qwen2.5-7b-inst,1.0424378246660075,0.981378393610315,4,P1R36-RS-Neutral,10,20,100,1,0.0,0.24207458496093737,1.0,0.0,0.23857626789249475,-0.04639459245372568,0.28497086034622043,0.9629355598506425,True,10,20,100,1
qwen2.5-7b-inst,NOT_RECORDED,NOT_RECORDED,4,Official-AlphaEdit,10,20,100,1,-1.0,1.567742156982422,-3.0,8.0,NOT_RECORDED,NOT_RECORDED,NOT_RECORDED,NOT_RECORDED,True,10,20,100,1
qwen2.5-7b-inst,0.2557111716769902,0.06313880492326576,5,P1R38-Neutral,10,20,100,1,0.0,1.0470977783203126,-1.0,0.0,1.0004365393659098,-0.06551475019659861,1.0659512895625085,0.1338279425484735,True,10,20,100,1
qwen2.5-7b-inst,1.2540671703005721,10.864219725845741,5,P1R36-RS-Neutral,10,20,100,1,0.0,1.0145843505859375,1.0,0.0,0.957317548035644,-0.007064153393730677,0.9643817014293745,13.182210033213849,True,10,20,100,1
qwen2.5-7b-inst,NOT_RECORDED,NOT_RECORDED,5,Official-AlphaEdit,10,20,100,1,0.0,1.269009017944336,-1.0,5.0,NOT_RECORDED,NOT_RECORDED,NOT_RECORDED,NOT_RECORDED,True,10,20,100,1
qwen2.5-7b-inst,0.2868176135183721,0.08244381996971988,6,P1R38-Neutral,10,20,100,1,-1.0,0.38393707275390626,-2.0,0.0,0.28164856670191507,-0.03296822198899466,0.31461678869090975,0.12793806020985374,True,10,20,100,1
qwen2.5-7b-inst,1.162506134031195,0.8241574136020711,6,P1R36-RS-Neutral,10,20,100,1,0.0,0.32013664245605467,0.0,0.0,0.24647278481861573,-0.06687617549905556,0.3133489603176713,0.7955764011672628,True,10,20,100,1
qwen2.5-7b-inst,NOT_RECORDED,NOT_RECORDED,6,Official-AlphaEdit,10,20,100,1,-1.0,0.42894859313964845,-3.0,0.0,NOT_RECORDED,NOT_RECORDED,NOT_RECORDED,NOT_RECORDED,True,10,20,100,1
qwen2.5-7b-inst,0.39947844406063265,0.3291472207104732,7,P1R38-Neutral,10,20,100,1,-1.0,1.081121826171875,-4.0,0.0,0.9578704671002924,-0.07355523915030067,1.0314257062505932,0.636436826342791,True,10,20,100,1
qwen2.5-7b-inst,1.1246993304447832,1.224370741980813,7,P1R36-RS-Neutral,10,20,100,1,-1.0,0.7157218933105468,-2.0,0.0,0.6331817378289998,-0.13883227137848736,0.7720140092074872,1.5906320683787216,True,10,20,100,1
qwen2.5-7b-inst,NOT_RECORDED,NOT_RECORDED,7,Official-AlphaEdit,10,20,100,1,-1.0,1.2899391174316406,-3.0,0.0,NOT_RECORDED,NOT_RECORDED,NOT_RECORDED,NOT_RECORDED,True,10,20,100,1
qwen2.5-7b-inst,0.3083044658555446,0.1454331717099853,8,P1R38-Neutral,10,20,100,1,0.0,0.004433441162109364,-3.0,0.0,-0.00969701912254095,-0.03874077610671521,0.029043756984174253,0.24513643305877264,True,10,20,100,1
qwen2.5-7b-inst,0.9530794320228666,1.2167252899796914,8,P1R36-RS-Neutral,10,20,100,1,0.0,0.0074562072753906194,0.0,-1.0,0.007927348767407236,-0.0330679249484092,0.04099527371581644,1.282608590274355,True,10,20,100,1
qwen2.5-7b-inst,NOT_RECORDED,NOT_RECORDED,8,Official-AlphaEdit,10,20,100,1,0.0,0.10892066955566405,-5.0,1.0,NOT_RECORDED,NOT_RECORDED,NOT_RECORDED,NOT_RECORDED,True,10,20,100,1
qwen2.5-7b-inst,0.44497523262653177,1.3658915046201645,9,P1R38-Neutral,10,20,100,1,0.0,0.357110595703125,-4.0,0.0,0.37849822432035585,0.034223833808209744,0.3442743905121461,2.348196528722918,True,10,20,100,1
qwen2.5-7b-inst,NOT_RECORDED,NOT_RECORDED,9,P1R36-RS-Neutral,10,20,100,1,NOT_RECORDED,NOT_RECORDED,NOT_RECORDED,NOT_RECORDED,NOT_RECORDED,NOT_RECORDED,NOT_RECORDED,NOT_RECORDED,False,NOT_RECORDED,NOT_RECORDED,NOT_RECORDED,0
qwen2.5-7b-inst,NOT_RECORDED,NOT_RECORDED,9,Official-AlphaEdit,10,20,100,1,0.0,0.43434600830078124,-5.0,0.0,NOT_RECORDED,NOT_RECORDED,NOT_RECORDED,NOT_RECORDED,True,10,20,100,1
qwen2.5-7b-inst,0.27578234002684543,0.060719298887459056,10,P1R38-Neutral,10,20,100,1,1.0,0.22871322631835933,1.0,-1.0,0.2521898242004681,-0.06811992221628327,0.32030974641675136,0.10507226502382931,True,10,20,100,1
qwen2.5-7b-inst,1.0264371893367206,0.4911649138722711,10,P1R36-RS-Neutral,10,20,100,1,1.0,0.24014816284179674,0.0,0.0,0.24859787221648721,-0.04432001945679087,0.2929178916732781,0.46825921478797916,True,10,20,100,1
qwen2.5-7b-inst,NOT_RECORDED,NOT_RECORDED,10,Official-AlphaEdit,10,20,100,1,0.0,1.1890575408935546,-7.0,2.0,NOT_RECORDED,NOT_RECORDED,NOT_RECORDED,NOT_RECORDED,True,10,20,100,1
