entry,batch_raw,arm,bank,reference,denominator,reference_success,success,lost,gained,delta_pp
Middle,100,N,BaseAudit,N,1280,930,930,0,0,0.0
Middle,100,N,BaseAudit,OS,1280,931,930,27,26,-0.078125
Middle,100,W0,Base,ENTRY,1280,948,1147,31,230,15.546875
Middle,100,W0,Base,N,1280,941,1147,31,237,16.09375
Middle,100,W0,Base,OS,1280,926,1147,31,252,17.265625
Middle,100,W0,BaseAudit,ENTRY,1280,934,1163,36,265,17.890625
Middle,100,W0,BaseAudit,N,1280,930,1163,34,267,18.203125
Middle,100,W0,BaseAudit,OS,1280,931,1163,37,269,18.125
Late,100,BF8,Base,ENTRY,1280,882,871,23,12,-0.859375
Late,100,BF8,Base,N,1280,876,871,19,14,-0.390625
Late,100,BF8,Base,OS,1280,871,871,0,0,0.0
Late,100,BF8,BaseAudit,ENTRY,1280,913,898,22,7,-1.171875
Late,100,BF8,BaseAudit,N,1280,905,898,17,10,-0.546875
Late,100,BF8,BaseAudit,OS,1280,898,898,0,0,0.0
Late,100,OS,Base,ENTRY,1280,882,871,23,12,-0.859375
Late,100,OS,Base,N,1280,876,871,19,14,-0.390625
Late,100,OS,Base,OS,1280,871,871,0,0,0.0
Late,100,OS,BaseAudit,ENTRY,1280,913,898,22,7,-1.171875
Late,100,OS,BaseAudit,N,1280,905,898,17,10,-0.546875
Late,100,OS,BaseAudit,OS,1280,898,898,0,0,0.0
Late,100,BF1,Base,ENTRY,1280,882,871,23,12,-0.859375
Late,100,BF1,Base,N,1280,876,871,19,14,-0.390625
Late,100,BF1,Base,OS,1280,871,871,0,0,0.0
Late,100,BF1,BaseAudit,ENTRY,1280,913,898,22,7,-1.171875
Late,100,BF1,BaseAudit,N,1280,905,898,17,10,-0.546875
Late,100,BF1,BaseAudit,OS,1280,898,898,0,0,0.0
Late,100,ENTRY,Base,ENTRY,1280,882,882,0,0,0.0
Late,100,ENTRY,Base,N,1280,876,882,10,16,0.46875
Late,100,ENTRY,Base,OS,1280,871,882,12,23,0.859375
Late,100,ENTRY,BaseAudit,ENTRY,1280,913,913,0,0,0.0
Late,100,ENTRY,BaseAudit,N,1280,905,913,4,12,0.625
Late,100,ENTRY,BaseAudit,OS,1280,898,913,7,22,1.171875
Late,100,N,Base,ENTRY,1280,882,876,16,10,-0.46875
Late,100,N,Base,N,1280,876,876,0,0,0.0
Late,100,N,Base,OS,1280,871,876,14,19,0.390625
Late,100,N,BaseAudit,ENTRY,1280,913,905,12,4,-0.625
Late,100,N,BaseAudit,N,1280,905,905,0,0,0.0
Late,100,N,BaseAudit,OS,1280,898,905,10,17,0.546875
Late,100,W0,Base,ENTRY,1280,882,1150,40,308,20.9375
Late,100,W0,Base,N,1280,876,1150,39,313,21.40625
Late,100,W0,Base,OS,1280,871,1150,41,320,21.796875
Late,100,W0,BaseAudit,ENTRY,1280,913,1164,23,274,19.609375
Late,100,W0,BaseAudit,N,1280,905,1164,24,283,20.234375
Late,100,W0,BaseAudit,OS,1280,898,1164,24,290,20.78125
Middle,1,OS,Base,ENTRY,1280,933,933,3,3,0.0
Middle,1,OS,Base,N,1280,931,933,3,5,0.15625
Middle,1,OS,Base,OS,1280,933,933,0,0,0.0
Middle,1,OS,BaseAudit,ENTRY,1280,927,926,4,3,-0.078125
Middle,1,OS,BaseAudit,N,1280,927,926,3,2,-0.078125
Middle,1,OS,BaseAudit,OS,1280,926,926,0,0,0.0
Middle,1,BF1,Base,ENTRY,1280,933,933,3,3,0.0
Middle,1,BF1,Base,N,1280,931,933,3,5,0.15625
Middle,1,BF1,Base,OS,1280,933,933,0,0,0.0
Middle,1,BF1,BaseAudit,ENTRY,1280,927,926,4,3,-0.078125
Middle,1,BF1,BaseAudit,N,1280,927,926,3,2,-0.078125
Middle,1,BF1,BaseAudit,OS,1280,926,926,0,0,0.0
Middle,1,ENTRY,Base,ENTRY,1280,933,933,0,0,0.0
Middle,1,ENTRY,Base,N,1280,931,933,0,2,0.15625
Middle,1,ENTRY,Base,OS,1280,933,933,3,3,0.0
Middle,1,ENTRY,BaseAudit,ENTRY,1280,927,927,0,0,0.0
Middle,1,ENTRY,BaseAudit,N,1280,927,927,1,1,0.0
Middle,1,ENTRY,BaseAudit,OS,1280,926,927,3,4,0.078125
Middle,1,N,Base,ENTRY,1280,933,931,2,0,-0.15625
Middle,1,N,Base,N,1280,931,931,0,0,0.0
Middle,1,N,Base,OS,1280,933,931,5,3,-0.15625
Middle,1,N,BaseAudit,ENTRY,1280,927,927,1,1,0.0
Middle,1,N,BaseAudit,N,1280,927,927,0,0,0.0
Middle,1,N,BaseAudit,OS,1280,926,927,2,3,0.078125
Middle,1,W0,Base,ENTRY,1280,933,1138,31,236,16.015625
Middle,1,W0,Base,N,1280,931,1138,31,238,16.171875
Middle,1,W0,Base,OS,1280,933,1138,30,235,16.015625
Middle,1,W0,BaseAudit,ENTRY,1280,927,1164,36,273,18.515625
Middle,1,W0,BaseAudit,N,1280,927,1164,36,273,18.515625
Middle,1,W0,BaseAudit,OS,1280,926,1164,35,273,18.59375
Middle,7,OS,Base,ENTRY,1280,905,896,14,5,-0.703125
Middle,7,OS,Base,N,1280,904,896,12,4,-0.625
Middle,7,OS,Base,OS,1280,896,896,0,0,0.0
Middle,7,OS,BaseAudit,ENTRY,1280,932,927,12,7,-0.390625
Middle,7,OS,BaseAudit,N,1280,930,927,9,6,-0.234375
Middle,7,OS,BaseAudit,OS,1280,927,927,0,0,0.0
