cell_id,model,writer_family,stage,stage_status,rewrite_success_count,rewrite_success_denominator,rewrite_success_rate,rephrase_success_count,rephrase_success_denominator,rephrase_success_rate,strict_rephrase_success_count,strict_rephrase_success_denominator,strict_rephrase_success_rate,locality_prediction_preservation_numerator,locality_prediction_preservation_denominator,locality_prediction_preservation_rate,rewrite_target_new_accuracy_count,rewrite_target_new_accuracy_denominator,rewrite_target_new_accuracy_rate,rewrite_target_true_accuracy_count,rewrite_target_true_accuracy_denominator,rewrite_target_true_accuracy_rate,rephrase_target_new_accuracy_count,rephrase_target_new_accuracy_denominator,rephrase_target_new_accuracy_rate,rephrase_target_true_accuracy_count,rephrase_target_true_accuracy_denominator,rephrase_target_true_accuracy_rate,locality_target_true_accuracy_count,locality_target_true_accuracy_denominator,locality_target_true_accuracy_rate
1,llama3-8b-inst,AlphaEdit,ORBFH,HORIZON_SEMANTIC_MISS,100,100,1,168,200,0.83999999999999997,79,100,0.79000000000000004,890,1010,0.88118811881188119,99,100,0.98999999999999999,0,100,0,107,200,0.53500000000000003,7,200,0.035000000000000003,206,1000,0.20599999999999999
1,llama3-8b-inst,AlphaEdit,JAC,HORIZON_SEMANTIC_MISS,100,100,1,169,200,0.84499999999999997,79,100,0.79000000000000004,888,1010,0.87920792079207921,100,100,1,0,100,0,107,200,0.53500000000000003,7,200,0.035000000000000003,208,1000,0.20799999999999999
2,qwen2.5-7b-inst,MEMIT,PRE_EDIT,ENTRY_REFERENCE,11,100,0.11,39,200,0.19500000000000001,10,100,0.10000000000000001,,,,0,100,0,13,100,0.13,1,200,0.0050000000000000001,32,200,0.16,153,1000,0.153
2,qwen2.5-7b-inst,MEMIT,O,TERMINAL_VALID,100,100,1,192,200,0.95999999999999996,95,100,0.94999999999999996,898,1010,0.88910891089108912,100,100,1,0,100,0,130,200,0.65000000000000002,2,200,0.01,146,1000,0.14599999999999999
2,qwen2.5-7b-inst,MEMIT,QCL,HORIZON_SEMANTIC_MISS,100,100,1,189,200,0.94499999999999995,93,100,0.93000000000000005,905,1010,0.89603960396039606,99,100,0.98999999999999999,0,100,0,130,200,0.65000000000000002,2,200,0.01,150,1000,0.14999999999999999
2,qwen2.5-7b-inst,MEMIT,NQFIX,HORIZON_SEMANTIC_MISS,100,100,1,189,200,0.94499999999999995,93,100,0.93000000000000005,857,1010,0.84851485148514849,100,100,1,0,100,0,132,200,0.66000000000000003,2,200,0.01,127,1000,0.127
2,qwen2.5-7b-inst,MEMIT,ORBFH,HORIZON_SEMANTIC_MISS,100,100,1,190,200,0.94999999999999996,94,100,0.93999999999999995,889,1010,0.8801980198019802,100,100,1,0,100,0,133,200,0.66500000000000004,2,200,0.01,141,1000,0.14099999999999999
2,qwen2.5-7b-inst,MEMIT,JAC,HORIZON_SEMANTIC_MISS,99,100,0.98999999999999999,190,200,0.94999999999999996,94,100,0.93999999999999995,875,1010,0.86633663366336633,98,100,0.97999999999999998,0,100,0,131,200,0.65500000000000003,2,200,0.01,141,1000,0.14099999999999999
3,qwen2.5-7b-inst,AlphaEdit,PRE_EDIT,ENTRY_REFERENCE,11,100,0.11,39,200,0.19500000000000001,10,100,0.10000000000000001,,,,0,100,0,13,100,0.13,1,200,0.0050000000000000001,32,200,0.16,153,1000,0.153
3,qwen2.5-7b-inst,AlphaEdit,O,TERMINAL_VALID,100,100,1,191,200,0.95499999999999996,94,100,0.93999999999999995,866,1010,0.85742574257425741,99,100,0.98999999999999999,0,100,0,132,200,0.66000000000000003,2,200,0.01,136,1000,0.13600000000000001
3,qwen2.5-7b-inst,AlphaEdit,QCL,HORIZON_SEMANTIC_MISS,100,100,1,191,200,0.95499999999999996,94,100,0.93999999999999995,889,1010,0.8801980198019802,99,100,0.98999999999999999,0,100,0,130,200,0.65000000000000002,2,200,0.01,150,1000,0.14999999999999999
3,qwen2.5-7b-inst,AlphaEdit,NQFIX,HORIZON_SEMANTIC_MISS,100,100,1,190,200,0.94999999999999996,94,100,0.93999999999999995,838,1010,0.82970297029702966,99,100,0.98999999999999999,0,100,0,133,200,0.66500000000000004,2,200,0.01,124,1000,0.124
3,qwen2.5-7b-inst,AlphaEdit,ORBFH,HORIZON_SEMANTIC_MISS,100,100,1,191,200,0.95499999999999996,94,100,0.93999999999999995,881,1010,0.87227722772277227,99,100,0.98999999999999999,0,100,0,134,200,0.67000000000000004,2,200,0.01,142,1000,0.14199999999999999
3,qwen2.5-7b-inst,AlphaEdit,JAC,HORIZON_SEMANTIC_MISS,100,100,1,190,200,0.94999999999999996,94,100,0.93999999999999995,877,1010,0.86831683168316831,100,100,1,0,100,0,132,200,0.66000000000000003,2,200,0.01,144,1000,0.14399999999999999
