state,reference,metric,value,threshold,status,unit,denominator,comparator,enforcement
N4,mmlu32_warning_net_accuracy_loss_count_at_least,NOT_APPLICABLE,0,2,WITHIN,INTEGER_CORRECT_COUNT,32,N4,DESCRIPTIVE_ONLY_NO_REJECTION
S875,current_R_new_failures_among_native_success_max,NOT_APPLICABLE,0,0,WITHIN,PROMPT_COUNT,100,N4,DESCRIPTIVE_ONLY_NO_REJECTION
S875,current_P_net_loss_max_count,NOT_APPLICABLE,1,2,WITHIN,PROMPT_COUNT,200,N4,DESCRIPTIVE_ONLY_NO_REJECTION
S875,current_RP_mean_new_NLL_increase_max_nats,RS,0.03111791653027467,0.1,WITHIN,PROMPT_NLL_NATS,100,N4,DESCRIPTIVE_ONLY_NO_REJECTION
S875,current_RP_paired_NLL_harm_q95_max_nats,RS,0.014726691599935213,0.5,WITHIN,PROMPT_PAIRED_NEW_NLL_DELTA_NATS,100,N4,DESCRIPTIVE_ONLY_NO_REJECTION
S875,current_RP_mean_new_NLL_increase_max_nats,PS,0.12661627517314628,0.1,EXCEEDS,PROMPT_NLL_NATS,200,N4,DESCRIPTIVE_ONLY_NO_REJECTION
S875,current_RP_paired_NLL_harm_q95_max_nats,PS,0.608816611766815,0.5,EXCEEDS,PROMPT_PAIRED_NEW_NLL_DELTA_NATS,200,N4,DESCRIPTIVE_ONLY_NO_REJECTION
S875,current_R_strict_net_loss_max_count,NOT_APPLICABLE,0,1,WITHIN,PROMPT_ALL_TARGET_TOKEN_COUNT,100,N4,DESCRIPTIVE_ONLY_NO_REJECTION
S875,current_P_strict_net_loss_max_count,NOT_APPLICABLE,2,4,WITHIN,PROMPT_ALL_TARGET_TOKEN_COUNT,200,N4,DESCRIPTIVE_ONLY_NO_REJECTION
S875,active_historical_R_new_failures_max,NOT_APPLICABLE,0,0,WITHIN,ACTIVE_PROMPT_COUNT,124,N4,DESCRIPTIVE_ONLY_NO_REJECTION
S875,active_historical_P_net_loss_max_pp,NOT_APPLICABLE,-0.0,1.0,WITHIN,PP,248,N4,DESCRIPTIVE_ONLY_NO_REJECTION
S875,active_historical_P_mean_new_NLL_increase_max_nats,NOT_APPLICABLE,-0.0019718395233212505,0.1,WITHIN,PROMPT_NLL_NATS,248,N4,DESCRIPTIVE_ONLY_NO_REJECTION
S875,wiki128_mean_NLL_increase_max_nats,NOT_APPLICABLE,-0.0002665282227098942,0.05,WITHIN,NATS_PER_TOKEN_THEN_SEQUENCE_MEAN,128,N4,DESCRIPTIVE_ONLY_NO_REJECTION
S875,mmlu32_warning_net_accuracy_loss_count_at_least,NOT_APPLICABLE,0,2,WITHIN,INTEGER_CORRECT_COUNT,32,N4,DESCRIPTIVE_ONLY_NO_REJECTION
S75,current_R_new_failures_among_native_success_max,NOT_APPLICABLE,0,0,WITHIN,PROMPT_COUNT,100,N4,DESCRIPTIVE_ONLY_NO_REJECTION
S75,current_P_net_loss_max_count,NOT_APPLICABLE,2,2,WITHIN,PROMPT_COUNT,200,N4,DESCRIPTIVE_ONLY_NO_REJECTION
S75,current_RP_mean_new_NLL_increase_max_nats,RS,0.08841368138015242,0.1,WITHIN,PROMPT_NLL_NATS,100,N4,DESCRIPTIVE_ONLY_NO_REJECTION
S75,current_RP_paired_NLL_harm_q95_max_nats,RS,0.08096755612641544,0.5,WITHIN,PROMPT_PAIRED_NEW_NLL_DELTA_NATS,100,N4,DESCRIPTIVE_ONLY_NO_REJECTION
S75,current_RP_mean_new_NLL_increase_max_nats,PS,0.3272577236033976,0.1,EXCEEDS,PROMPT_NLL_NATS,200,N4,DESCRIPTIVE_ONLY_NO_REJECTION
S75,current_RP_paired_NLL_harm_q95_max_nats,PS,1.6481244474649417,0.5,EXCEEDS,PROMPT_PAIRED_NEW_NLL_DELTA_NATS,200,N4,DESCRIPTIVE_ONLY_NO_REJECTION
S75,current_R_strict_net_loss_max_count,NOT_APPLICABLE,2,1,EXCEEDS,PROMPT_ALL_TARGET_TOKEN_COUNT,100,N4,DESCRIPTIVE_ONLY_NO_REJECTION
S75,current_P_strict_net_loss_max_count,NOT_APPLICABLE,11,4,EXCEEDS,PROMPT_ALL_TARGET_TOKEN_COUNT,200,N4,DESCRIPTIVE_ONLY_NO_REJECTION
S75,active_historical_R_new_failures_max,NOT_APPLICABLE,0,0,WITHIN,ACTIVE_PROMPT_COUNT,124,N4,DESCRIPTIVE_ONLY_NO_REJECTION
S75,active_historical_P_net_loss_max_pp,NOT_APPLICABLE,-0.0,1.0,WITHIN,PP,248,N4,DESCRIPTIVE_ONLY_NO_REJECTION
S75,active_historical_P_mean_new_NLL_increase_max_nats,NOT_APPLICABLE,-0.0037960468154426873,0.1,WITHIN,PROMPT_NLL_NATS,248,N4,DESCRIPTIVE_ONLY_NO_REJECTION
S75,wiki128_mean_NLL_increase_max_nats,NOT_APPLICABLE,-0.00044119032099843025,0.05,WITHIN,NATS_PER_TOKEN_THEN_SEQUENCE_MEAN,128,N4,DESCRIPTIVE_ONLY_NO_REJECTION
S75,mmlu32_warning_net_accuracy_loss_count_at_least,NOT_APPLICABLE,1,2,WITHIN,INTEGER_CORRECT_COUNT,32,N4,DESCRIPTIVE_ONLY_NO_REJECTION
FULL8,current_R_new_failures_among_native_success_max,NOT_APPLICABLE,0,0,WITHIN,PROMPT_COUNT,100,N4,DESCRIPTIVE_ONLY_NO_REJECTION
FULL8,current_P_net_loss_max_count,NOT_APPLICABLE,-2,2,WITHIN,PROMPT_COUNT,200,N4,DESCRIPTIVE_ONLY_NO_REJECTION
FULL8,current_RP_mean_new_NLL_increase_max_nats,RS,-0.02420334222688325,0.1,WITHIN,PROMPT_NLL_NATS,100,N4,DESCRIPTIVE_ONLY_NO_REJECTION
FULL8,current_RP_paired_NLL_harm_q95_max_nats,RS,0.0003673707484267651,0.5,WITHIN,PROMPT_PAIRED_NEW_NLL_DELTA_NATS,100,N4,DESCRIPTIVE_ONLY_NO_REJECTION
FULL8,current_RP_mean_new_NLL_increase_max_nats,PS,-0.1192302317386202,0.1,WITHIN,PROMPT_NLL_NATS,200,N4,DESCRIPTIVE_ONLY_NO_REJECTION
FULL8,current_RP_paired_NLL_harm_q95_max_nats,PS,0.06362884044647195,0.5,WITHIN,PROMPT_PAIRED_NEW_NLL_DELTA_NATS,200,N4,DESCRIPTIVE_ONLY_NO_REJECTION
FULL8,current_R_strict_net_loss_max_count,NOT_APPLICABLE,-1,1,WITHIN,PROMPT_ALL_TARGET_TOKEN_COUNT,100,N4,DESCRIPTIVE_ONLY_NO_REJECTION
FULL8,current_P_strict_net_loss_max_count,NOT_APPLICABLE,-4,4,WITHIN,PROMPT_ALL_TARGET_TOKEN_COUNT,200,N4,DESCRIPTIVE_ONLY_NO_REJECTION
FULL8,active_historical_R_new_failures_max,NOT_APPLICABLE,0,0,WITHIN,ACTIVE_PROMPT_COUNT,124,N4,DESCRIPTIVE_ONLY_NO_REJECTION
FULL8,active_historical_P_net_loss_max_pp,NOT_APPLICABLE,-0.0,1.0,WITHIN,PP,248,N4,DESCRIPTIVE_ONLY_NO_REJECTION
FULL8,active_historical_P_mean_new_NLL_increase_max_nats,NOT_APPLICABLE,0.004545628449470256,0.1,WITHIN,PROMPT_NLL_NATS,248,N4,DESCRIPTIVE_ONLY_NO_REJECTION
FULL8,wiki128_mean_NLL_increase_max_nats,NOT_APPLICABLE,-0.00026653287932276726,0.05,WITHIN,NATS_PER_TOKEN_THEN_SEQUENCE_MEAN,128,N4,DESCRIPTIVE_ONLY_NO_REJECTION
FULL8,mmlu32_warning_net_accuracy_loss_count_at_least,NOT_APPLICABLE,0,2,WITHIN,INTEGER_CORRECT_COUNT,32,N4,DESCRIPTIVE_ONLY_NO_REJECTION
RES8,current_R_new_failures_among_native_success_max,NOT_APPLICABLE,0,0,WITHIN,PROMPT_COUNT,100,N4,DESCRIPTIVE_ONLY_NO_REJECTION
RES8,current_P_net_loss_max_count,NOT_APPLICABLE,0,2,WITHIN,PROMPT_COUNT,200,N4,DESCRIPTIVE_ONLY_NO_REJECTION
RES8,current_RP_mean_new_NLL_increase_max_nats,RS,-0.01508838180510793,0.1,WITHIN,PROMPT_NLL_NATS,100,N4,DESCRIPTIVE_ONLY_NO_REJECTION
RES8,current_RP_paired_NLL_harm_q95_max_nats,RS,0.0327009534696117,0.5,WITHIN,PROMPT_PAIRED_NEW_NLL_DELTA_NATS,100,N4,DESCRIPTIVE_ONLY_NO_REJECTION
RES8,current_RP_mean_new_NLL_increase_max_nats,PS,0.15705226543315803,0.1,EXCEEDS,PROMPT_NLL_NATS,200,N4,DESCRIPTIVE_ONLY_NO_REJECTION
RES8,current_RP_paired_NLL_harm_q95_max_nats,PS,1.3745530486106872,0.5,EXCEEDS,PROMPT_PAIRED_NEW_NLL_DELTA_NATS,200,N4,DESCRIPTIVE_ONLY_NO_REJECTION
RES8,current_R_strict_net_loss_max_count,NOT_APPLICABLE,-1,1,WITHIN,PROMPT_ALL_TARGET_TOKEN_COUNT,100,N4,DESCRIPTIVE_ONLY_NO_REJECTION
RES8,current_P_strict_net_loss_max_count,NOT_APPLICABLE,3,4,WITHIN,PROMPT_ALL_TARGET_TOKEN_COUNT,200,N4,DESCRIPTIVE_ONLY_NO_REJECTION
RES8,active_historical_R_new_failures_max,NOT_APPLICABLE,0,0,WITHIN,ACTIVE_PROMPT_COUNT,124,N4,DESCRIPTIVE_ONLY_NO_REJECTION
RES8,active_historical_P_net_loss_max_pp,NOT_APPLICABLE,0.4032258064516129,1.0,WITHIN,PP,248,N4,DESCRIPTIVE_ONLY_NO_REJECTION
RES8,active_historical_P_mean_new_NLL_increase_max_nats,NOT_APPLICABLE,-0.0007584474746357544,0.1,WITHIN,PROMPT_NLL_NATS,248,N4,DESCRIPTIVE_ONLY_NO_REJECTION
RES8,wiki128_mean_NLL_increase_max_nats,NOT_APPLICABLE,-0.0006047938950359821,0.05,WITHIN,NATS_PER_TOKEN_THEN_SEQUENCE_MEAN,128,N4,DESCRIPTIVE_ONLY_NO_REJECTION
RES8,mmlu32_warning_net_accuracy_loss_count_at_least,NOT_APPLICABLE,1,2,WITHIN,INTEGER_CORRECT_COUNT,32,N4,DESCRIPTIVE_ONLY_NO_REJECTION
REFIT4,current_R_new_failures_among_native_success_max,NOT_APPLICABLE,0,0,WITHIN,PROMPT_COUNT,100,N4,DESCRIPTIVE_ONLY_NO_REJECTION
REFIT4,current_P_net_loss_max_count,NOT_APPLICABLE,0,2,WITHIN,PROMPT_COUNT,200,N4,DESCRIPTIVE_ONLY_NO_REJECTION
REFIT4,current_RP_mean_new_NLL_increase_max_nats,RS,-0.012828032476372755,0.1,WITHIN,PROMPT_NLL_NATS,100,N4,DESCRIPTIVE_ONLY_NO_REJECTION
REFIT4,current_RP_paired_NLL_harm_q95_max_nats,RS,0.02757166835945099,0.5,WITHIN,PROMPT_PAIRED_NEW_NLL_DELTA_NATS,100,N4,DESCRIPTIVE_ONLY_NO_REJECTION
REFIT4,current_RP_mean_new_NLL_increase_max_nats,PS,0.13699153240711895,0.1,EXCEEDS,PROMPT_NLL_NATS,200,N4,DESCRIPTIVE_ONLY_NO_REJECTION
REFIT4,current_RP_paired_NLL_harm_q95_max_nats,PS,1.2241066217422476,0.5,EXCEEDS,PROMPT_PAIRED_NEW_NLL_DELTA_NATS,200,N4,DESCRIPTIVE_ONLY_NO_REJECTION
REFIT4,current_R_strict_net_loss_max_count,NOT_APPLICABLE,-1,1,WITHIN,PROMPT_ALL_TARGET_TOKEN_COUNT,100,N4,DESCRIPTIVE_ONLY_NO_REJECTION
REFIT4,current_P_strict_net_loss_max_count,NOT_APPLICABLE,3,4,WITHIN,PROMPT_ALL_TARGET_TOKEN_COUNT,200,N4,DESCRIPTIVE_ONLY_NO_REJECTION
REFIT4,active_historical_R_new_failures_max,NOT_APPLICABLE,0,0,WITHIN,ACTIVE_PROMPT_COUNT,124,N4,DESCRIPTIVE_ONLY_NO_REJECTION
REFIT4,active_historical_P_net_loss_max_pp,NOT_APPLICABLE,-0.0,1.0,WITHIN,PP,248,N4,DESCRIPTIVE_ONLY_NO_REJECTION
REFIT4,active_historical_P_mean_new_NLL_increase_max_nats,NOT_APPLICABLE,-0.005975772342700962,0.1,WITHIN,PROMPT_NLL_NATS,248,N4,DESCRIPTIVE_ONLY_NO_REJECTION
REFIT4,wiki128_mean_NLL_increase_max_nats,NOT_APPLICABLE,-4.888046532869339e-06,0.05,WITHIN,NATS_PER_TOKEN_THEN_SEQUENCE_MEAN,128,N4,DESCRIPTIVE_ONLY_NO_REJECTION
REFIT4,mmlu32_warning_net_accuracy_loss_count_at_least,NOT_APPLICABLE,0,2,WITHIN,INTEGER_CORRECT_COUNT,32,N4,DESCRIPTIVE_ONLY_NO_REJECTION
