state,panel,metric,population,field,extreme,identity,case_sha256,value,finite,identity_verified
ENTRY,current,RS,ALL,true_nll,max,599c4e6e258485c10668e47e836bcbf3e87ac6f2c8417187668188af612c1c32,caa43aab9927357204b62b1c076f712a3ba2749086feb6dca6b7f9faab2f01e0,17.022884368896484,True,True
ENTRY,current,RS,ALL,desired_margin,min,e5e39a218c4c5f347df77ffe32b229066f51e39abbafc05c20a1fc871ca88567,9b37aa12b48ebc641c548d738aa31c5cd233e2647a2b82a13eb4cc5f32a0f2be,-13.736421585083008,True,True
ENTRY,current,RS,ALL,desired_margin,max,04591e26578929d32bfc6e3f51cae69cafd50874acccbabeb06c920ea42404f9,4036fe3c5aaf918ea14002d3b101342e5ea67d4e637558b35ddf8125beb4a0d3,10.466093063354492,True,True
ENTRY,current,PS,ALL,new_nll,min,c1d0649234b24cb588507ece72b4da7da2d74d271543e0147ca0277ee402d1fe,86284fc674fc5d6b9ed3a2c725fcca2e6f40a123062ed0638c58aefefd20a008,0.24995553493499756,True,True
ENTRY,current,PS,ALL,new_nll,max,c9353786d7c99d603e83c1a8c78bb0b062e6d5b5efef2575e943e79f8530f684,79617f598c03cb2efa951a8857f2500e08af5e34b6f3e0f5167a0d69bdc8a60c,18.11484718322754,True,True
ENTRY,current,PS,ALL,true_nll,min,5762982b857d488cf8916b98f9487a266751b3ecd679ce7f9fd988aa50502f3c,32f25bd926af2edf0e24e4b28e5e1ca4553f01d7b9fcd044c1d5c7319aafc9f4,0.07348473370075226,True,True
ENTRY,current,PS,ALL,true_nll,max,d5234a820060015410b7210ccbba47245e31002b431a60c5ebac41a05ec7ec23,b50825e9459d23ad35f0d8ce3e31014353713b21e436577dad9910895cc14461,16.301836013793945,True,True
ENTRY,current,PS,ALL,desired_margin,min,c9353786d7c99d603e83c1a8c78bb0b062e6d5b5efef2575e943e79f8530f684,79617f598c03cb2efa951a8857f2500e08af5e34b6f3e0f5167a0d69bdc8a60c,-16.264317750930786,True,True
ENTRY,current,PS,ALL,desired_margin,max,af3eeb451040f625476528a62cbb2b6b8a8c80e7252145d043dfd23070fa0bb7,4036fe3c5aaf918ea14002d3b101342e5ea67d4e637558b35ddf8125beb4a0d3,9.036357879638672,True,True
ENTRY,current,NS,ALL,new_nll,min,434117e4a0e3d2242015efb1b01220f05e93c0711a14afe5d3ad7182e323e75e,c3d1232ee92be1fae591ba6e55b0007a6887d802f450e4ccbec7c323256597b2,0.017962170764803886,True,True
ENTRY,current,NS,ALL,new_nll,max,dc130738be41365f9c31e323568435c98959f60c21641985eb47a5f169c13235,41ac9f4b6edb4de8be1a0542d145603d7f2dc2aa8d878691d750860653647eeb,21.66168975830078,True,True
ENTRY,current,NS,ALL,true_nll,min,d7a22db049a60e0bc019d8169d9c7afbf0c59d4e4c705145d02ba8393e7e819e,41907372481ad56f63caae8f3c3d5f2eb5c53c0af56d1d0ac140ff0ddc5d5f26,0.012413030490279198,True,True
ENTRY,current,NS,ALL,true_nll,max,6429ff411fcd2e2992e1e013d8415b246aee1cf8f73ddc6f3d2393e0bd5adc38,37a6520c67a7d24eb82e95ae3044ce7496b1c6b6886849d89ca6d9992b652b27,21.42369842529297,True,True
ENTRY,current,NS,ALL,desired_margin,min,434117e4a0e3d2242015efb1b01220f05e93c0711a14afe5d3ad7182e323e75e,c3d1232ee92be1fae591ba6e55b0007a6887d802f450e4ccbec7c323256597b2,-13.705384539440274,True,True
ENTRY,current,NS,ALL,desired_margin,max,8d24e3a023b71fc62ecb211eeaaa046f9d327dc857f623458a51462369bb1c59,b37bb790714ec2506228a1fdb5acbcc4a1ae760226fef46d7dab2ab433a9d4b1,16.63895446062088,True,True
ENTRY,historical,RS,ALL,new_nll,min,ddd64ea55f7e402f34cd81172a4f9dfe1e4dd4de574649df2b1f8b69b5fb98be,b344cb621c5c3244aecbbaef54c64416744d5faf6e59cbad434bca9d100fe16b,0.00010692501382436603,True,True
ENTRY,historical,RS,ALL,new_nll,max,6307dd1fa0c01d7ebfef42fa0d06e87241109f8922d7220402888ce5f1f0ed88,c49eb5e7bb09a8e471441ed78fa006cbb96c24b221b12523d8ac63ecef1d81b0,13.89968490600586,True,True
ENTRY,historical,RS,ALL,true_nll,min,90d74a549b4ca255cc577e537a5edac3fdebd81424f0537d945f583f649630e1,681d12400213531e5fdef04c597ac192d359c2d0351df6f22f0240134d873350,4.308664321899414,True,True
ENTRY,historical,RS,ALL,true_nll,max,ac0a51bfaa7335262b67d782398ac652dfd3320eede257e45f182f4b5790c15c,a4238da765fb37b39f824237d4eddcbbac4b0eedaece539996a4a58144677a2c,23.476993560791016,True,True
ENTRY,historical,RS,ALL,desired_margin,min,90d74a549b4ca255cc577e537a5edac3fdebd81424f0537d945f583f649630e1,681d12400213531e5fdef04c597ac192d359c2d0351df6f22f0240134d873350,2.8833361864089966,True,True
ENTRY,historical,RS,ALL,desired_margin,max,ac0a51bfaa7335262b67d782398ac652dfd3320eede257e45f182f4b5790c15c,a4238da765fb37b39f824237d4eddcbbac4b0eedaece539996a4a58144677a2c,23.473798853578046,True,True
ENTRY,historical,PS,ALL,new_nll,min,885d810371f006b265fd45ed97971fa7ad1d42a36ff4743c9eee3676bbc37958,155d1cf609cedded2fbc27a4646de87ce7f7de2913b1e5a1bbf148a6df483e19,0.00037865620106458664,True,True
ENTRY,historical,PS,ALL,new_nll,max,469d4ea1685278cd39c25c113e0de3b00e89524618755fa0dd502fae23ed2fe9,c49eb5e7bb09a8e471441ed78fa006cbb96c24b221b12523d8ac63ecef1d81b0,15.597543716430664,True,True
ENTRY,historical,PS,ALL,true_nll,min,f5c8045f376b8d9fc9a0603da6d0247a0f4f01181945d2c7f61e8f9252eda156,e91907bcf8de57caa6228d0cc4db18c130cd08d7be1610a3a452b53a0072d1ee,2.6497936248779297,True,True
ENTRY,historical,PS,ALL,true_nll,max,29bea9bc700e99ddb618530a91acb3e936be5376db58ff1d9ff690087310465c,a4238da765fb37b39f824237d4eddcbbac4b0eedaece539996a4a58144677a2c,21.314359664916992,True,True
