state,panel,metric,value,denominator,unit
FULL8,wiki,sequence_nll_max,3.5044708251953125,128,NATS_PER_TOKEN_THEN_SEQUENCE
FULL8,wiki,token_weighted_nll_mean,2.2806979820959006,24999,TOKEN_WEIGHTED_SEQUENCE_MEANS
RES8,wiki,sequence_nll_n,128,128,NATS_PER_TOKEN_THEN_SEQUENCE
RES8,wiki,sequence_nll_mean,2.303268417250365,128,NATS_PER_TOKEN_THEN_SEQUENCE
RES8,wiki,sequence_nll_median,2.341012120246887,128,NATS_PER_TOKEN_THEN_SEQUENCE
RES8,wiki,sequence_nll_q25,1.9923667013645172,128,NATS_PER_TOKEN_THEN_SEQUENCE
RES8,wiki,sequence_nll_q75,2.586451470851898,128,NATS_PER_TOKEN_THEN_SEQUENCE
RES8,wiki,sequence_nll_iqr,0.594084769487381,128,NATS_PER_TOKEN_THEN_SEQUENCE
RES8,wiki,sequence_nll_p90,2.9048608541488647,128,NATS_PER_TOKEN_THEN_SEQUENCE
RES8,wiki,sequence_nll_p95,3.0739993333816527,128,NATS_PER_TOKEN_THEN_SEQUENCE
RES8,wiki,sequence_nll_p99,3.1910886049270633,128,NATS_PER_TOKEN_THEN_SEQUENCE
RES8,wiki,sequence_nll_min,0.7431008219718933,128,NATS_PER_TOKEN_THEN_SEQUENCE
RES8,wiki,sequence_nll_max,3.524879217147827,128,NATS_PER_TOKEN_THEN_SEQUENCE
RES8,wiki,token_weighted_nll_mean,2.280053355406845,24999,TOKEN_WEIGHTED_SEQUENCE_MEANS
REFIT4,wiki,sequence_nll_n,128,128,NATS_PER_TOKEN_THEN_SEQUENCE
REFIT4,wiki,sequence_nll_mean,2.303868323098868,128,NATS_PER_TOKEN_THEN_SEQUENCE
REFIT4,wiki,sequence_nll_median,2.3413389921188354,128,NATS_PER_TOKEN_THEN_SEQUENCE
REFIT4,wiki,sequence_nll_q25,1.9844841659069061,128,NATS_PER_TOKEN_THEN_SEQUENCE
REFIT4,wiki,sequence_nll_q75,2.593258798122406,128,NATS_PER_TOKEN_THEN_SEQUENCE
REFIT4,wiki,sequence_nll_iqr,0.6087746322154999,128,NATS_PER_TOKEN_THEN_SEQUENCE
REFIT4,wiki,sequence_nll_p90,2.8978628873825074,128,NATS_PER_TOKEN_THEN_SEQUENCE
REFIT4,wiki,sequence_nll_p95,3.0774544239044186,128,NATS_PER_TOKEN_THEN_SEQUENCE
REFIT4,wiki,sequence_nll_p99,3.1931727433204653,128,NATS_PER_TOKEN_THEN_SEQUENCE
REFIT4,wiki,sequence_nll_min,0.7464938759803772,128,NATS_PER_TOKEN_THEN_SEQUENCE
REFIT4,wiki,sequence_nll_max,3.525017023086548,128,NATS_PER_TOKEN_THEN_SEQUENCE
REFIT4,wiki,token_weighted_nll_mean,2.280209905820168,24999,TOKEN_WEIGHTED_SEQUENCE_MEANS
