state,panel,metric,population,field,aggregation_unit,n,mean,median,q25,q75,iqr,p90,p95,p99,min,max
W0,current,NS,ALL,desired_margin,PROMPT,1000,6.291807547872042,6.330618739128113,2.4178640842437744,9.950462341308594,7.532598257064819,13.025057841837405,15.06796108558774,17.764823392927646,-9.157251358032227,21.17821717262268
W0,current,NS,ALL,desired_margin,REQUEST_CLUSTER_MEAN,100,6.291807547872042,6.442543065547943,3.4173037081956865,8.856842248979955,5.439538540784269,11.1674141967285,13.12006169989705,14.036397043422651,-4.367015409469604,14.384181089777849
W0,historical,RS,ALL,new_nll,PROMPT,128,11.453532995656133,11.023032188415527,8.367786884307861,13.82417917251587,5.456392288208008,17.712614440917967,18.77217617034912,21.07104331970215,0.684359073638916,22.080007553100586
W0,historical,RS,ALL,new_nll,REQUEST_CLUSTER_MEAN,128,11.453532995656133,11.023032188415527,8.367786884307861,13.82417917251587,5.456392288208008,17.712614440917967,18.77217617034912,21.07104331970215,0.684359073638916,22.080007553100586
W0,historical,RS,ALL,true_nll,PROMPT,128,4.272893797730831,3.5482094287872314,1.4164971709251404,6.043344736099243,4.626847565174103,9.224645614624023,10.870604562759398,13.454799442291261,0.0010795724811032414,14.049670219421387
W0,historical,RS,ALL,true_nll,REQUEST_CLUSTER_MEAN,128,4.272893797730831,3.5482094287872314,1.4164971709251404,6.043344736099243,4.626847565174103,9.224645614624023,10.870604562759398,13.454799442291261,0.0010795724811032414,14.049670219421387
W0,historical,RS,ALL,desired_margin,PROMPT,128,-7.180639197925302,-6.836951822042465,-10.31807703198865,-3.625672221183777,6.692404810804874,-0.8269638061523448,1.1483217239379881,2.7384411525726335,-21.1201190816937,3.4847936630249023
W0,historical,RS,ALL,desired_margin,REQUEST_CLUSTER_MEAN,128,-7.180639197925302,-6.836951822042465,-10.31807703198865,-3.625672221183777,6.692404810804874,-0.8269638061523448,1.1483217239379881,2.7384411525726335,-21.1201190816937,3.4847936630249023
W0,historical,RS,ACTIVE_TARGET,new_nll,PROMPT,124,11.4297120667273,11.023032188415527,8.242249965667725,13.82417917251587,5.5819292068481445,17.588228034973145,18.835102653503416,21.078473739624023,0.684359073638916,22.080007553100586
W0,historical,RS,ACTIVE_TARGET,new_nll,REQUEST_CLUSTER_MEAN,124,11.4297120667273,11.023032188415527,8.242249965667725,13.82417917251587,5.5819292068481445,17.588228034973145,18.835102653503416,21.078473739624023,0.684359073638916,22.080007553100586
W0,historical,RS,ACTIVE_TARGET,true_nll,PROMPT,124,4.127928987754727,3.450158476829529,1.3582330644130707,5.873901009559631,4.515667945146561,8.950303936004639,10.570230102539062,13.461596698760985,0.0010795724811032414,14.049670219421387
W0,historical,RS,ACTIVE_TARGET,true_nll,REQUEST_CLUSTER_MEAN,124,4.127928987754727,3.450158476829529,1.3582330644130707,5.873901009559631,4.515667945146561,8.950303936004639,10.570230102539062,13.461596698760985,0.0010795724811032414,14.049670219421387
W0,historical,RS,ACTIVE_TARGET,desired_margin,PROMPT,124,-7.301783078972573,-7.087960958480835,-10.31807703198865,-4.0143091678619385,6.303767864126712,-1.1951668739318833,1.1062879085540755,2.534752426147455,-21.1201190816937,3.4847936630249023
W0,historical,RS,ACTIVE_TARGET,desired_margin,REQUEST_CLUSTER_MEAN,124,-7.301783078972573,-7.087960958480835,-10.31807703198865,-4.0143091678619385,6.303767864126712,-1.1951668739318833,1.1062879085540755,2.534752426147455,-21.1201190816937,3.4847936630249023
W0,historical,RS,SUPERSEDED,new_nll,PROMPT,4,12.191981792449951,11.031893730163574,10.126081466674805,13.09779405593872,2.971712589263916,15.89413471221924,16.826248264312742,17.571939105987546,8.945777893066406,17.75836181640625
W0,historical,RS,SUPERSEDED,new_nll,REQUEST_CLUSTER_MEAN,4,12.191981792449951,11.031893730163574,10.126081466674805,13.09779405593872,2.971712589263916,15.89413471221924,16.826248264312742,17.571939105987546,8.945777893066406,17.75836181640625
W0,historical,RS,SUPERSEDED,true_nll,PROMPT,4,8.766802906990051,9.781615734100342,7.1147767305374146,11.433641910552979,4.318865180015564,11.57292537689209,11.619353199005127,11.656495456695557,3.8381991386413574,11.665781021118164
W0,historical,RS,SUPERSEDED,true_nll,REQUEST_CLUSTER_MEAN,4,8.766802906990051,9.781615734100342,7.1147767305374146,11.433641910552979,4.318865180015564,11.57292537689209,11.619353199005127,11.656495456695557,3.8381991386413574,11.665781021118164
W0,historical,RS,SUPERSEDED,desired_margin,PROMPT,4,-3.4251788854599,-1.0955185890197754,-5.214450716972351,0.6937532424926758,5.908203959465027,1.723791885375977,2.0671380996704096,2.3418150711059567,-13.920162677764893,2.4104843139648438
W0,historical,RS,SUPERSEDED,desired_margin,REQUEST_CLUSTER_MEAN,4,-3.4251788854599,-1.0955185890197754,-5.214450716972351,0.6937532424926758,5.908203959465027,1.723791885375977,2.0671380996704096,2.3418150711059567,-13.920162677764893,2.4104843139648438
W0,historical,PS,ALL,new_nll,PROMPT,256,9.970785930054262,9.651021480560303,7.352511405944824,12.63112187385559,5.278610467910767,14.851738929748535,16.571145057678223,17.8559720993042,0.5275643467903137,18.483152389526367
W0,historical,PS,ALL,new_nll,REQUEST_CLUSTER_MEAN,128,9.970785930054262,9.469661116600037,7.899713307619095,12.31978166103363,4.4200683534145355,14.875782108306884,15.88596920967102,17.29130728721619,1.8865423202514648,17.53760814666748
W0,historical,PS,ALL,true_nll,PROMPT,256,4.271188481077843,3.668803572654724,1.5127469301223755,6.352547883987427,4.839800953865051,8.99672269821167,10.451818466186523,12.694046020507807,0.01350022666156292,17.066370010375977
