before,after,panel,denominator,worse,better,unchanged,n,mean,median,q25,q75,iqr,p90,p95,p99,min,max,lost,gained,retained,failed_both,prediction_changed,delta_correct
ENTRY,S75,wiki,128,68,60,0,128,-0.0007064361125230789,0.0003110170364379883,-0.005134522914886475,0.005185544490814209,0.010320067405700684,0.00957410335540771,0.01541416645050048,0.02311611890792847,-0.05128359794616699,0.023823261260986328,,,,,,
ENTRY,S75,mmlu,32,,,,,,,,,,,,,,,0,1,17,14,2,1
ENTRY,FULL8,wiki,128,70,58,0,128,-0.0005317786708474159,0.0010399818420410156,-0.0071381330490112305,0.00746464729309082,0.01460278034210205,0.015501713752746582,0.02428510785102842,0.038590192794799805,-0.07577800750732422,0.038898468017578125,,,,,,
ENTRY,FULL8,mmlu,32,,,,,,,,,,,,,,,0,2,17,13,3,2
ENTRY,RES8,wiki,128,66,62,0,128,-0.0008700396865606308,0.00020885467529296875,-0.0054492950439453125,0.007124483585357666,0.012573778629302979,0.012936866283416743,0.016955268383026124,0.03131425857543946,-0.05601191520690918,0.03736424446105957,,,,,,
ENTRY,RES8,mmlu,32,,,,,,,,,,,,,,,0,1,17,14,2,1
ENTRY,REFIT4,wiki,128,69,59,0,128,-0.000270133838057518,0.0009468197822570801,-0.006016552448272705,0.005408734083175659,0.011425286531448364,0.011436223983764647,0.018014216423034655,0.023112583160400397,-0.057439327239990234,0.031023263931274414,,,,,,
ENTRY,REFIT4,mmlu,32,,,,,,,,,,,,,,,0,2,17,13,2,2
N4,S875,wiki,128,49,79,0,128,-0.0002665282227098942,-0.00037288665771484375,-0.0011065900325775146,0.0005233287811279297,0.0016299188137054443,0.0017500400543212888,0.00261675119400024,0.004555127620697024,-0.0049021244049072266,0.00614166259765625,,,,,,
N4,S875,mmlu,32,,,,,,,,,,,,,,,0,0,19,13,0,0
N4,S75,wiki,128,49,79,0,128,-0.00044119032099843025,-0.0007125139236450195,-0.0021344423294067383,0.0010575950145721436,0.003192037343978882,0.0038920164108276352,0.0052669882774352954,0.009109237194061284,-0.010019302368164062,0.012943506240844727,,,,,,
N4,S75,mmlu,32,,,,,,,,,,,,,,,1,0,18,13,1,-1
N4,FULL8,wiki,128,63,65,0,128,-0.00026653287932276726,-4.845857620239258e-05,-0.0020526647567749023,0.0020202994346618652,0.004072964191436768,0.005154037475585937,0.008056092262268043,0.019079515933990505,-0.031736016273498535,0.02385091781616211,,,,,,
N4,FULL8,mmlu,32,,,,,,,,,,,,,,,0,0,19,13,0,0
N4,RES8,wiki,128,61,67,0,128,-0.0006047938950359821,-0.0003286600112915039,-0.004486739635467529,0.0026736855506896973,0.0071604251861572266,0.00674701929092407,0.009426844120025634,0.018006124496459983,-0.03060281276702881,0.032137274742126465,,,,,,
N4,RES8,mmlu,32,,,,,,,,,,,,,,,1,0,18,13,1,-1
N4,REFIT4,wiki,128,61,67,0,128,-4.888046532869339e-06,-0.00017702579498291016,-0.003530442714691162,0.00276339054107666,0.006293833255767822,0.005789113044738768,0.010744947195053091,0.0169996511936188,-0.019979000091552734,0.025279760360717773,,,,,,
N4,REFIT4,mmlu,32,,,,,,,,,,,,,,,0,0,19,13,1,0
