L2_work,W0_net_squared,actual_step_norm_sum,actual_step_squared_sum,alias,arm,batch,batch_net_magnitude_share,batch_net_norm,batch_net_squared,batch_net_squared_share,endpoint_native_raw,frobenius_work,history_work,layer,materialized_nonzero,normalized_native_work,parameter_elements,provenance,raw_native_work,signed_predicted_progress,velocity_status
NOT_RECORDED,NOT_RECORDED,NOT_RECORDED,NOT_RECORDED,llama3-8b-inst,O_NATIVE,5,0.2992745066446452,8.135717289254547,66.18989581067535,0.413958042560284,67.24955496410826,NOT_RECORDED,NOT_RECORDED,8,58720244,NOT_RECORDED,58720256,SH2_PUBLICATION_SH1_RECOMPUTED,NOT_RECORDED,NOT_RECORDED,NOT_RECORDED_OFFICIAL_ONE_PASS
NOT_RECORDED,NOT_RECORDED,NOT_RECORDED,NOT_RECORDED,llama3-8b-inst,O_NATIVE,6,0.14823011850755713,4.209013615956009,17.71579561930308,0.10198599430170023,17.962557656544227,NOT_RECORDED,NOT_RECORDED,4,58720215,NOT_RECORDED,58720256,SH2_PUBLICATION_SH1_RECOMPUTED,NOT_RECORDED,NOT_RECORDED,NOT_RECORDED_OFFICIAL_ONE_PASS
NOT_RECORDED,NOT_RECORDED,NOT_RECORDED,NOT_RECORDED,llama3-8b-inst,O_NATIVE,6,0.1523201887548727,4.3251516959528225,18.706937193003576,0.10769178144554478,18.949398151843393,NOT_RECORDED,NOT_RECORDED,5,58720217,NOT_RECORDED,58720256,SH2_PUBLICATION_SH1_RECOMPUTED,NOT_RECORDED,NOT_RECORDED,NOT_RECORDED_OFFICIAL_ONE_PASS
NOT_RECORDED,NOT_RECORDED,NOT_RECORDED,NOT_RECORDED,llama3-8b-inst,O_NATIVE,6,0.17711429290949918,5.029183528572142,25.292686964061346,0.14560451497763005,25.646218788558965,NOT_RECORDED,NOT_RECORDED,6,58720230,NOT_RECORDED,58720256,SH2_PUBLICATION_SH1_RECOMPUTED,NOT_RECORDED,NOT_RECORDED,NOT_RECORDED_OFFICIAL_ONE_PASS
NOT_RECORDED,NOT_RECORDED,NOT_RECORDED,NOT_RECORDED,llama3-8b-inst,O_NATIVE,6,0.22593434154285627,6.415435199273994,41.157808796083756,0.2369365815427595,41.86394518345504,NOT_RECORDED,NOT_RECORDED,7,58720221,NOT_RECORDED,58720256,SH2_PUBLICATION_SH1_RECOMPUTED,NOT_RECORDED,NOT_RECORDED,NOT_RECORDED_OFFICIAL_ONE_PASS
NOT_RECORDED,NOT_RECORDED,NOT_RECORDED,NOT_RECORDED,llama3-8b-inst,O_NATIVE,6,0.2964010582852148,8.416346844130981,70.83489420071353,0.40778112773236547,72.17740252160056,NOT_RECORDED,NOT_RECORDED,8,58720240,NOT_RECORDED,58720256,SH2_PUBLICATION_SH1_RECOMPUTED,NOT_RECORDED,NOT_RECORDED,NOT_RECORDED_OFFICIAL_ONE_PASS
NOT_RECORDED,NOT_RECORDED,NOT_RECORDED,NOT_RECORDED,llama3-8b-inst,O_NATIVE,7,0.14684375354302076,4.247918507767192,18.044811648631047,0.10007179985723771,18.543765342354483,NOT_RECORDED,NOT_RECORDED,4,58720222,NOT_RECORDED,58720256,SH2_PUBLICATION_SH1_RECOMPUTED,NOT_RECORDED,NOT_RECORDED,NOT_RECORDED_OFFICIAL_ONE_PASS
NOT_RECORDED,NOT_RECORDED,NOT_RECORDED,NOT_RECORDED,llama3-8b-inst,O_NATIVE,7,0.15296810495216115,4.425084679778287,19.58137442320851,0.10859317461247174,20.092088615964816,NOT_RECORDED,NOT_RECORDED,5,58720217,NOT_RECORDED,58720256,SH2_PUBLICATION_SH1_RECOMPUTED,NOT_RECORDED,NOT_RECORDED,NOT_RECORDED_OFFICIAL_ONE_PASS
NOT_RECORDED,NOT_RECORDED,NOT_RECORDED,NOT_RECORDED,llama3-8b-inst,O_NATIVE,7,0.1776925513286809,5.140317236989826,26.422861296894716,0.1465342691764255,27.04397787418035,NOT_RECORDED,NOT_RECORDED,6,58720237,NOT_RECORDED,58720256,SH2_PUBLICATION_SH1_RECOMPUTED,NOT_RECORDED,NOT_RECORDED,NOT_RECORDED_OFFICIAL_ONE_PASS
NOT_RECORDED,NOT_RECORDED,NOT_RECORDED,NOT_RECORDED,llama3-8b-inst,O_NATIVE,7,0.22633092807981367,6.547335620842016,42.86760373194671,0.23773250419868983,43.815128939330464,NOT_RECORDED,NOT_RECORDED,7,58720237,NOT_RECORDED,58720256,SH2_PUBLICATION_SH1_RECOMPUTED,NOT_RECORDED,NOT_RECORDED,NOT_RECORDED_OFFICIAL_ONE_PASS
