alias,arm,batch,checkpoint_backward,checkpoint_forward,checkpoint_forward_input_tokens,checkpoint_history_key_captures,checkpoint_linalg_solve,checkpoint_linalg_solve_seconds,checkpoint_native_keys,checkpoint_native_keys_seconds,checkpoint_wall,commit_backward,commit_forward,commit_forward_input_tokens,commit_history_key_captures,commit_linalg_solve,commit_linalg_solve_seconds,commit_native_keys,commit_native_keys_seconds,commit_wall,endpoint_seconds,full_batch_backward,full_batch_forward,full_batch_forward_input_tokens,full_batch_history_key_captures,full_batch_linalg_solve,full_batch_linalg_solve_seconds,full_batch_native_keys,full_batch_native_keys_seconds,full_batch_wall,history_seconds,inner_virtual_euler_nodes,main_JVP,native_direction_builds,native_factor_solves,peak_gpu_bytes,persistent_commit_count,provenance,seen_backward,seen_forward,seen_forward_input_tokens,seen_history_key_captures,seen_linalg_solve,seen_linalg_solve_seconds,seen_native_keys,seen_native_keys_seconds,seen_wall,source_endpoint_physical_write_count,target_backward,target_forward,target_forward_input_tokens,target_history_key_captures,target_linalg_solve,target_linalg_solve_seconds,target_native_keys,target_native_keys_seconds,target_wall,write_excluding_endpoint_seconds,write_including_endpoint_backward,write_including_endpoint_forward,write_including_endpoint_forward_input_tokens,write_including_endpoint_history_key_captures,write_including_endpoint_linalg_solve,write_including_endpoint_linalg_solve_seconds,write_including_endpoint_native_keys,write_including_endpoint_native_keys_seconds,write_including_endpoint_wall,edit_seconds,evaluation_seconds,target_seconds,key_seconds,compute_z,solve_calls,key_calls,history_append_passes
llama3-8b-inst,JVP_L8,1,0,0,0,0,0,0.0,0,0.0,28.417570897378027,0,0,0,0,0,0.0,0,0.0,59.201557386666536,60.48269125446677,2400,2843,888167,5,29,2.4533952344208956,30,131.08551979623735,904.439002148807,67.0699607199058,4,4,25,25,38191523328,1,LOCAL_COMPLETED_L8_RAW,0,0,0,0,0,0.0,0,0.0,0.02361779473721981,1,2400,2500,321475,0,0,0.0,0,0.0,419.0476644821465,248.5527290403843,0,317,485992,5,24,1.926616609096527,25,109.27385456766933,309.03542029485106,,,,,,,,
llama3-8b-inst,JVP_L8,2,0,0,0,0,0,0.0,0,0.0,1.8347054719924927e-05,0,0,0,0,0,0.0,0,0.0,58.240894296206534,51.060663264244795,2400,2857,821958,5,29,2.4460292300209403,30,112.29834326170385,821.0130634037778,60.9065093267709,4,4,25,25,38191523328,1,LOCAL_COMPLETED_L8_RAW,0,14,3072,0,0,0.0,0,0.0,1.687281928025186,1,2400,2500,330750,0,0,0.0,0,0.0,436.0241622114554,211.96192432474345,0,317,418376,5,24,1.9580088276416063,25,93.61935200635344,263.02258758898824,,,,,,,,
llama3-8b-inst,JVP_L8,3,0,0,0,0,0,0.0,0,0.0,1.584179699420929e-05,0,0,0,0,0,0.0,0,0.0,47.58004201576114,50.883402300067246,2400,2869,816196,5,29,2.4208700926974416,30,114.08232967276126,815.7215033248067,57.07546760048717,4,4,25,25,38191523328,1,LOCAL_COMPLETED_L8_RAW,0,26,5584,0,0,0.0,0,0.0,2.974571945145726,1,2400,2500,323400,0,0,0.0,0,0.0,427.40170944016427,219.11702096555382,0,317,417792,5,24,1.936651156283915,25,95.10587484389544,270.00042326562107,,,,,,,,
llama3-8b-inst,JVP_L8,4,0,0,0,0,0,0.0,0,0.0,1.1763535439968109e-05,0,0,0,0,0,0.0,0,0.0,51.026825269684196,49.68206741195172,2400,2881,828393,5,29,2.424381005577743,30,114.3285931488499,815.4747880371287,57.1197058390826,4,4,25,25,38191523328,1,LOCAL_COMPLETED_L8_RAW,0,38,8128,0,0,0.0,0,0.0,4.4726200718432665,1,2400,2500,325325,0,0,0.0,0,0.0,429.88003913033754,219.3378013940528,0,317,424440,5,24,1.9424226097762585,25,95.38222808018327,269.0198688060045,,,,,,,,
llama3-8b-inst,JVP_L8,5,0,0,0,0,0,0.0,0,0.0,30.43703443184495,0,0,0,0,0,0.0,0,0.0,51.646234340034425,49.043370893225074,2400,3493,983131,5,29,2.4593785041943192,30,116.59598776232451,938.240349705331,61.88654959574342,4,4,25,25,38191523328,1,LOCAL_COMPLETED_L8_RAW,0,650,166624,0,0,0.0,0,0.0,80.66945351473987,1,2400,2500,322175,0,0,0.0,0,0.0,433.9940363196656,228.67589908000082,0,317,423632,5,24,1.9611737122759223,25,97.19708661735058,277.7192699732259,,,,,,,,
llama3-8b-inst,JVP_L8,6,0,0,0,0,0,0.0,0,0.0,2.7293339371681213e-05,0,0,0,0,0,0.0,0,0.0,50.55177872721106,49.7861928967759,2400,2907,848479,5,29,2.4496650993824005,30,118.65148404426873,825.159058646299,55.40372542757541,4,4,25,25,38191523328,1,LOCAL_COMPLETED_L8_RAW,0,64,13424,0,0,0.0,0,0.0,7.235544957220554,1,2400,2500,328475,0,0,0.0,0,0.0,439.60214781947434,221.30330551043153,0,317,434200,5,24,1.9590752152726054,25,98.90196672454476,271.08949840720743,,,,,,,,
llama3-8b-inst,JVP_L8,7,0,0,0,0,0,0.0,0,0.0,1.877453178167343e-05,0,0,0,0,0,0.0,0,0.0,59.22058199159801,48.0286888666451,2400,2919,850733,5,29,2.460736340843141,30,117.98004078865051,839.8833681168035,60.42711472325027,4,4,25,25,38191523328,1,LOCAL_COMPLETED_L8_RAW,0,76,16128,0,0,0.0,0,0.0,8.664413169957697,1,2400,2500,330225,0,0,0.0,0,0.0,436.09155072644353,223.89933561719954,0,317,432400,5,24,1.970571894198656,25,98.43757178727537,271.92802448384464,,,,,,,,
llama3-8b-inst,JVP_L8,8,0,0,0,0,0,0.0,0,0.0,1.7049722373485565e-05,0,0,0,0,0,0.0,0,0.0,55.31920255534351,50.042990050278604,2400,2931,863264,5,29,2.4133904287591577,30,119.84678790252656,858.1822484629229,62.74321585055441,4,4,25,25,38191523328,1,LOCAL_COMPLETED_L8_RAW,0,88,18800,0,0,0.0,0,0.0,10.047309930436313,1,2400,2500,329000,0,0,0.0,0,0.0,441.7158722728491,225.89563806168735,0,317,442104,5,24,1.9232918256893754,25,99.86675360240042,275.93862811196595,,,,,,,,
llama3-8b-inst,JVP_L8,9,0,0,0,0,0,0.0,0,0.0,1.874379813671112e-05,0,0,0,0,0,0.0,0,0.0,55.922284588217735,48.87668744754046,2390,2933,808636,5,29,2.452879622578621,30,109.29616769216955,834.4080567499623,66.16640720702708,4,4,25,25,38191523328,1,LOCAL_COMPLETED_L8_RAW,0,100,21520,0,0,0.0,0,0.0,11.285465109162033,1,2390,2490,318780,0,0,0.0,0,0.0,426.1454435735941,220.96915475651622,0,317,401776,5,24,1.9675015406683087,25,91.09918479062617,269.8458422040567,,,,,,,,
llama3-8b-inst,JVP_L8,10,0,0,0,0,0,0.0,0,0.0,23.416750656440854,0,0,0,0,0,0.0,0,0.0,34.79767645522952,49.320695453323424,2360,4269,1202974,5,29,2.3994900984689593,30,117.35558861866593,993.3091034321114,50.991686722263694,4,4,25,25,38191523328,1,LOCAL_COMPLETED_L8_RAW,0,1466,375448,0,0,0.0,0,0.0,180.81000992562622,1,2360,2460,320530,0,0,0.0,0,0.0,425.8792732665315,212.71682595275342,0,317,435016,5,24,1.9102851850911975,25,97.76241388730705,262.03752140607685,,,,,,,,
,BLUE,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,38081126912,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,301.64189665950835,21.928122614510357,280.1355682462454,16.78466966189444,200,NOT_AVAILABLE,4,1
,BLUE,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,38081126912,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,317.96876189205796,29.009742056019604,300.1505294032395,14.29756588395685,200,NOT_AVAILABLE,4,1
,BLUE,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,38081126912,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,300.4538782341406,30.32400716561824,282.31153442990035,14.513665661215782,200,NOT_AVAILABLE,4,1
,BLUE,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,38081126912,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,316.6209133705124,30.268799057230353,298.0294715212658,14.570563218556345,200,NOT_AVAILABLE,4,1
,BLUE,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,38081126912,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,305.62851308844984,97.83859208133072,286.84850677195936,14.856314382515848,200,NOT_AVAILABLE,4,1
,BLUE,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,38081126912,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,307.96136005595326,29.210241426713765,288.73306584358215,15.110342040657997,200,NOT_AVAILABLE,4,1
,BLUE,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,38081126912,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,307.24550913553685,32.82601198554039,288.0402690432966,15.020553431473672,200,NOT_AVAILABLE,4,1
,BLUE,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,38081126912,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,307.9587071724236,34.739732990041375,288.31171856913716,15.346608477644622,200,NOT_AVAILABLE,4,1
,BLUE,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,38081126912,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,298.39346587471664,35.74997903872281,280.8026153622195,13.880688206292689,200,NOT_AVAILABLE,4,1
,BLUE,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,38081126912,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,308.88530956115574,183.81625321228057,289.6817840784788,15.011612233705819,200,NOT_AVAILABLE,4,1
,BLUE_L4_ONLY,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,37844805120,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,285.11701112333685,18.774562100879848,271.837031153962,8.390867377631366,100,1,2,1
,BLUE_L4_ONLY,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,37844805120,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,296.96220008376986,22.158745685592294,285.2439230084419,7.144387033767998,100,1,2,1
,BLUE_L4_ONLY,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,37844805120,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,287.2407230613753,23.670505185611546,275.7369758039713,7.2475547874346375,100,1,2,1
,BLUE_L4_ONLY,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,37844805120,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,294.3968930328265,24.60556125920266,283.0690447986126,7.263758732937276,100,1,2,1
,BLUE_L4_ONLY,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,37844805120,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,288.2568268654868,89.80679158587009,276.57898625172675,7.409117052331567,100,1,2,1
,BLUE_L4_ONLY,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,37844805120,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,294.5261190282181,26.858574205078185,282.4342262465507,7.542434458620846,100,1,2,1
,BLUE_L4_ONLY,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,37844805120,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,292.75129184965044,27.82888178806752,280.7621053373441,7.482509717345238,100,1,2,1
,BLUE_L4_ONLY,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,37844805120,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,294.6343819461763,28.568420886993408,282.47741050831974,7.642792318016291,100,1,2,1
,BLUE_L4_ONLY,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,37844805120,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,283.73727368284017,29.226312111131847,272.8973275888711,6.895194563083351,100,1,2,1
,BLUE_L4_ONLY,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,37844805120,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,290.5029275082052,173.49201771151274,278.52183951996267,7.4874196127057076,100,1,2,1
,BLUE_L8_ONLY,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,37844607488,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,270.6514995796606,19.165165074169636,257.2286956710741,8.401489223353565,100,1,2,1
,BLUE_L8_ONLY,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,37844607488,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,280.2581359129399,22.239036568440497,268.74357310682535,7.167276237159967,100,1,2,1
