alias,method,case,status,w0_restored,exception_class,exception_message_sha256,w0_e,w0_g,w0_l,post_e,post_g,post_l,post_e_new_nll,post_e_old_nll,post_e_margin,post_g_new_nll,post_g_old_nll,post_g_margin,post_l_new_nll,post_l_old_nll,post_l_margin,q,coverage,predicted_progress,actual_progress,realization_ratio,structural_p,functional_p,capacity,p_h_risk,energy_ratio,pi_entropy,pi_neff,pi_top1,v_above_one,v_max,edit_core_wall_seconds,evaluator_wall_seconds,model_forwards,backwards,processed_tokens,terminal_file_sha256
qwen2.5-7b-inst,BG-PROGRESS-SIMPLEX-NEUTRAL,1,COMPLETE,True,,,0,3,93,10,18,92,0.06653976440429688,13.990625,13.924085235595703,3.898096466064453,10.625,6.7269035339355465,12.5228125,5.4748046875,7.048007812500001,0.8973945304751396,0.33209037416561393,0.8973945304751396,0.20860644793137909,0.2324578998945945,0.009293248214386755,0.0016380372657225975,0.5108856686458763,1.0,1.0,1.579057215025479,4.8503807888167065,0.26376200737831157,0,1.0,134.08605066873133,2.2155113201588392,26,16,24160,86c55356cbc6fef81c6d0c9e85d1eccb78233030ef8f62a5aaf1f79cf93af84a
qwen2.5-7b-inst,BG-PROGRESS-SIMPLEX-NEUTRAL,2,COMPLETE,True,,,1,4,77,10,15,76,0.04919891357421875,14.021875,13.972676086425782,2.8828369140625,7.05703125,4.1741943359375,9.7647265625,5.3793750000000005,4.3853515625,0.7106903046369553,0.3528462172453501,0.7106903046369553,0.22658512135967612,0.3188239939126575,0.015216322634553208,0.014823072912652804,0.7434699214455058,1.0,1.0,1.5304931638137211,4.620454901680891,0.3288986310726389,0,1.0,135.65382525604218,2.2475498504936695,26,16,25226,a1f9907bdd6b223b830403b990196f8dcf72b93137b2c0f86fa7b34cae08b8eb
qwen2.5-7b-inst,BG-PROGRESS-SIMPLEX-NEUTRAL,3,FAIL,True,ODEBFContractError,0ff6c074578dac99f26c9081989865c825334cab8770899d06dc6ec34e749bdc,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
qwen2.5-7b-inst,BG-PROGRESS-SIMPLEX-NEUTRAL,4,COMPLETE,True,,,1,1,98,9,15,98,1.8027297973632812,9.990625,8.187895202636719,3.61246337890625,7.0224609375,3.40999755859375,10.70296875,4.67407958984375,6.0288891601562495,0.8251703158020973,0.3420945224376218,0.8251703158020973,0.5013689633924514,0.6075945217497237,0.01268205425595546,0.027095699280765738,0.711893153560027,1.0,1.0,1.458875740129074,4.30112123110299,0.3667379201468933,0,1.0,136.23762992210686,2.330540015362203,26,16,25018,aa9e4be3671e4543d3172fde691bf8c14c075c7e91f4b7f1041f7b63a103869a
qwen2.5-7b-inst,BG-PROGRESS-SIMPLEX-NEUTRAL,5,COMPLETE,True,,,2,5,82,10,17,82,0.6952880859375,8.790625,8.0953369140625,3.2658203125,6.883984375,3.6181640625,8.461796875000001,5.146689453125,3.3151074218750005,1.0706124752759933,0.33515232662582434,1.0706124752759933,0.4195059426128864,0.3918373382529005,0.00485062330382708,0.00109073634226426,0.2597343300625461,1.0,1.0,1.5904479848722806,4.905946225805241,0.2535039068187495,0,1.0,132.738360398449,2.3284255461767316,26,16,23432,5e14cf4c2cc330726b64912056ced7d70957d09a8cefaa218f4f7899c0285dc8
qwen2.5-7b-inst,BG-PROGRESS-SIMPLEX-NEUTRAL,6,COMPLETE,True,,,2,5,85,9,15,85,0.4373126983642578,11.639453125,11.202140426635742,4.096357631683349,7.611572265625,3.5152146339416506,10.265625,4.3665087890625,5.8991162109375,1.0270687490701675,0.12012949850323526,1.0270687490701675,0.07004133628215642,0.06819537284675295,0.010537029331528908,0.0011737362994277006,0.5588591181431806,1.0,1.0,1.5616153593856863,4.7665146638461255,0.2930330911164455,0,1.0,130.0721562113613,2.0200663171708584,26,16,24212,50fd5e9cefae842851645e717bca23846a5e41322fbfe62c07670fcbd57c03e6
qwen2.5-7b-inst,BG-PROGRESS-SIMPLEX-NEUTRAL,7,COMPLETE,True,,,0,3,96,9,16,96,1.25062255859375,9.8588134765625,8.60819091796875,4.11015625,7.8,3.68984375,11.07375,5.010584106445313,6.063165893554688,1.7031061053276062,0.2938096627097899,1.7031061053276062,0.8848222266882659,0.5195344106394026,0.014744363002631874,0.0012088941676996578,0.7602377031112166,1.0,1.0,1.529298069888615,4.6149363223638,0.3375679159262193,0,1.0,125.62932475470006,2.235033988021314,26,16,26266,be6aee4c914a521768aec79899e89c0f5c08ef1967dc505fd2a7cf45dec84144
qwen2.5-7b-inst,BG-PROGRESS-SIMPLEX-NEUTRAL,8,COMPLETE,True,,,1,3,74,10,17,75,0.13039703369140626,10.184375,10.053977966308594,4.3647705078125,9.393359375,5.0285888671875,9.7659375,5.099296875,4.666640625,1.0724374800920486,0.24814789476246837,1.0724374800920486,0.6064248702954501,0.5654640774423833,0.01875157345722138,0.0009814301575510928,0.9816433832132576,1.0,1.0,1.5195870296699572,4.570337391624542,0.3403788139070773,0,1.0,129.01244677882642,2.2757995519787073,26,16,24134,cd17f0bc7e6decb47dca3c966373745d89e3ce0c6a8f1b03f21e5cdb7f1d4dec
qwen2.5-7b-inst,BG-PROGRESS-SIMPLEX-NEUTRAL,9,FAIL,True,ODEBFContractError,760d0026c197906b45598de7290b1e16751b560fb1d158cfb575f95751890497,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
qwen2.5-7b-inst,BG-PROGRESS-SIMPLEX-NEUTRAL,10,COMPLETE,True,,,3,7,79,8,14,78,2.1510498046875,9.3609375,7.2098876953125,4.950048828125,7.9953125,3.045263671875,10.69328125,6.666586914062501,4.0266943359375,1.6919004023075104,0.2858155454373141,1.6919004023075104,0.8582974225282669,0.5072978417388899,0.0068041463939689135,0.0008615870959831617,0.37016058889164,1.0,1.0,1.5712861217671845,4.812834105709704,0.2869331828708925,0,1.0,138.12987547833472,2.5488671315833926,26,16,25356,b35dca397ac5f1b9c9eaacd7b38d24739acf4dd028227223574bbb3b0eae3548
