case_index,comparison,delta_actual_progress,delta_bf16_path_energy,delta_capacity,delta_full_six_w_minus_z_gap,delta_loc,delta_negative_actual_count,delta_predicted_progress,delta_realization_ratio,delta_rephrase_w_minus_z_gap,delta_rewrite_w_minus_z_gap,delta_structural_p,delta_w_eff,delta_w_full_six_nll,delta_w_gen,delta_w_rephrase_nll_mean,delta_w_rewrite_nll_mean,delta_z_eff,delta_z_full_six_nll,delta_z_gen,delta_z_rephrase_nll_mean,delta_z_rewrite_nll_mean,il3_terminal_sha256,new_terminal_sha256,pair_binding
1,IL10-FULL-IL3-FULL,0.005348962207790464,2.518622237230299,1.7520524933612922,-0.0004580932902172206,0,0,-0.23782879054778938,0.01943179857238586,-0.0014144897460936614,-0.00034503936767578115,0.0024647355377219547,0,-0.005348962207790464,1,-0.09442100524902353,-0.002097797393798828,0,-0.0048908689175732436,1,-0.0930065155029296,-0.001752758026123047,43d80b0c4e56ff2b015a9c3577a8f4e8a9aeb413d55af976dc0ee33db69974b4,dc88899793bcc5c4a29c5ae4d576b7816487a306b7c27e2961c3711456d86aab,same_stream_order_case_index
2,IL10-FULL-IL3-FULL,0.0037388201453740777,1.572726224130792,1.3771409242269188,6.269009318202656e-05,0,0,-0.9160145500907628,0.0735676101664301,-0.034350585937499824,-0.0002099990844726566,0.0023069058044870062,0,-0.0037388201453723018,1,-0.30181884765625,-0.0031633377075195317,0,-0.0038015102385543283,1,-0.26746826171875027,-0.002953338623046875,945059aeb5b707387ebaa2b52b87fc28af4bb1e995f920c09b66a4f2c6f66b14,c285ca937201bdd9aac194041c70d192aef5c50946d18027c26891a40ec53417,same_stream_order_case_index
3,IL10-FULL-IL3-FULL,0.0031241812976059435,1.6332964476005172,1.354612815915151,0.0012126300483942033,0,1,-0.6014912632643323,0.0582994080665552,0.20579395294189434,-0.0005455017089843747,0.002271267561291663,0,-0.00312418129760772,-1,0.0011886596679686612,-0.0034167289733886717,0,-0.004336811346001923,0,-0.20460529327392596,-0.002871227264404297,a9d42d05407b7ff796e5668b6bcdb4ac03cc348ec85caf4f595ad6296dd68643,066d5809ccbeb9a6a415e94fcd026d7db5dcbcf600b61fc343250dd126b990f7,same_stream_order_case_index
4,IL10-FULL-IL3-FULL,0.003401681297690473,2.6861887920992897,2.602187834623309,6.392697105184371e-06,0,2,-0.9348262464860504,0.08537049505398331,0.006362533569335849,-5.7220458984374485e-05,0.005188838683927027,0,-0.0034016812976915387,0,-0.04407653808593759,-0.0031333923339843745,0,-0.003408073994796723,0,-0.050439071655273615,-0.0030761718750000003,1404406fe788d775295007772a43e5e0c2cd8a9cf929d0d90e0c6d017f25335a,add487f88054f871abdfb2da70340e8b68cb74e9d06a5e1ad6b41012244d9fe7,same_stream_order_case_index
5,IL10-FULL-IL3-FULL,0.004163209570103632,1.5141329006877102,1.4839548139750907,-0.0014606397715397185,1,0,-1.3366452829097444,0.11220748459791119,-0.06659851074218777,-0.000323677062988281,0.0021515947929153286,0,-0.00416320957010612,0,-0.5857215881347657,-0.001114082336425781,0,-0.0027025697985664007,0,-0.5191230773925781,-0.0007904052734375002,15e6eb0250ae82d0f42a8d02f016b600b04cb5461643fb449296819c38344bb9,cb8467096c0a8372ab7e1f0ae0ba666ca183225a1138efe266a50078a1eacb1a,same_stream_order_case_index
6,IL10-FULL-IL3-FULL,0.004085046192628283,6.323604781686235,5.911830256279026,-0.0008725095540285108,1,0,-0.8063939780404326,0.07667960977196442,-0.07836227416992184,-0.00031251907348632795,0.009461090718832617,0,-0.004085046192631125,0,-0.31838912963867183,-0.0023265838623046874,0,-0.0032125366386026146,0,-0.2400268554687499,-0.0020140647888183595,7fede59b864fe7adf68b195aa690e1c8d2b677d9af27dafcc7059bea9b0aecb0,425e6ebb9291aed6be51d9bee751511f04b4d524bd7b9189b17b9a68d892d9d3,same_stream_order_case_index
7,IL10-FULL-IL3-FULL,-0.001164581190094438,5.2734002001695846,4.694357213562023,0.004640070215100422,-1,1,-0.8669753741647597,0.06947555730816879,0.06215858459472658,-0.000408649444580078,0.007637628409114737,0,0.0011645811900962144,0,-0.024074554443359375,-0.0030006408691406247,0,-0.0034754890250042083,0,-0.08623313903808594,-0.0025919914245605465,5cd8eabc65cf2c0227d29e6bb17029bec8ff7d494cca358087c952f9c73e403a,a1f8b2a6afec4be30c1a96fb5ce986464b3c25a296f750aa8d4dac9077fb8793,same_stream_order_case_index
8,IL10-FULL-IL3-FULL,0.022388217342086847,0.5907684556820847,0.7594317710722578,-0.01078074425458908,1,0,-0.7783257009461515,0.06937579190609477,-0.18431091308593733,-0.0093658447265625,0.0017459384734976827,0,-0.02238821734208614,0,-0.25243988037109366,-0.020446014404296876,0,-0.011607473087497057,0,-0.06812896728515616,-0.011080169677734376,e807b9970246ffd7454cc8c31c9bc983cc381db7eec49438e20de03b236eafce,79be54430d8773c01916c0df6c43809b0942307ceaedc16ce1958500adef489f,same_stream_order_case_index
9,IL10-FULL-IL3-FULL,0.005844145861919614,1.5025587836655139,1.1270208822880035,5.02665876410905e-05,0,0,-0.07261438361601691,0.007589130820173207,-0.007224655151367054,-9.880065917968777e-05,0.0020276226268516,0,-0.005844145861919969,0,-0.13157577514648433,-0.002281951904296875,0,-0.005894412449561059,0,-0.12435111999511728,-0.0021831512451171873,9780d198dbae8663b726e8581f260da0cf8407d754f94b5bd610e416d99773c5,1e559597c68fb37d2f10cacd623e78c5e659e1a104addc6b2b0cf70912414cdf,same_stream_order_case_index
10,IL10-FULL-IL3-FULL,0.0031872840656408385,5.634246179716627,4.81655105642234,-0.0008260534727014604,0,0,-0.8702251389855515,0.07404968312229754,-0.04857978820800786,-0.00029468536376953125,0.008150527412427543,0,-0.0031872840656433257,1,-0.40739498138427743,-0.0021373748779296878,0,-0.0023612305929418655,1,-0.35881519317626953,-0.0018426895141601565,9d3b3c4d323b3e2fc30b59e9d5702c753d6784f2cabf8eeb2f89b30a29dca4e4,4374c5c5dfd98d7f1192097751128424f9d2e3bd2dd70a41d0836c04e9079ef5,same_stream_order_case_index
1,IL15-FULL-IL3-FULL,0.005766767053865252,2.7112970072161406,1.7103901362350893,-0.00039470314513891905,0,0,-0.3000842966372126,0.024564024164727805,-0.008809661865234287,-0.00036334991455078114,0.002396217884794617,0,-0.005766767053864896,1,-0.12157745361328098,-0.002314186096191406,0,-0.005372063908725977,1,-0.11276779174804696,-0.001950836181640625,43d80b0c4e56ff2b015a9c3577a8f4e8a9aeb413d55af976dc0ee33db69974b4,dc1d5c1123f4f681d59b18dae661048ba5075334eda99836aaa25356a6aa92bd,same_stream_order_case_index
2,IL15-FULL-IL3-FULL,0.0042923847679059435,1.5988781676454313,1.4685841397176151,6.67644082568582e-05,0,0,-0.95399785944028,0.07690957522571829,0.008227539062500178,-0.00031394958496093787,0.002502959977080282,0,-0.004292384767904878,1,-0.2922485351562498,-0.0035999298095703127,0,-0.004359149176161736,1,-0.30047607421875,-0.003285980224609375,945059aeb5b707387ebaa2b52b87fc28af4bb1e995f920c09b66a4f2c6f66b14,15e6ad43acf622d5236255da7f8cbf5980ae2c44b96dd7365cd225f866371e2b,same_stream_order_case_index
3,IL15-FULL-IL3-FULL,0.005355891981162486,1.7403312590109872,1.6431688186460267,-0.0004052347154356534,0,0,-0.6383067723130846,0.062318306783518795,0.05259742736816389,-0.0008281707763671872,0.002837698307431226,0,-0.0053558919811621305,0,-0.26320934295654297,-0.004174709320068359,0,-0.004950657265726477,0,-0.31580677032470694,-0.0033465385437011722,a9d42d05407b7ff796e5668b6bcdb4ac03cc348ec85caf4f595ad6296dd68643,8223641dddceed6570fcfed74b9b35cbaac8d37ddf344344647117eff2f9ac75,same_stream_order_case_index
4,IL15-FULL-IL3-FULL,0.004475084965813281,2.7541171998509366,2.9166626530044457,-0.00026129428297281274,0,0,-0.938621126936054,0.08585539783201579,0.0029830932617186615,-0.00015201568603515574,0.005892320925298719,0,-0.0044750849658157675,0,-0.07766799926757839,-0.0034545898437499997,0,-0.004213790682842954,0,-0.08065109252929714,-0.0033025741577148438,1404406fe788d775295007772a43e5e0c2cd8a9cf929d0d90e0c6d017f25335a,8109208f355bb3da34eaa313eac205ac4375bac5c81dfed261fa9a3684935eb9,same_stream_order_case_index
5,IL15-FULL-IL3-FULL,0.004780783061869798,1.6081084685001592,1.5281717581968595,-0.0016840712400153285,1,0,-1.3735326795198493,0.1157676282937583,-0.06783599853515651,-0.0003499984741210935,0.002278697183319389,0,-0.004780783061869442,0,-0.5854743957519533,-0.0013765335083007811,0,-0.003096711821854114,0,-0.5176383972167968,-0.0010265350341796876,15e6eb0250ae82d0f42a8d02f016b600b04cb5461643fb449296819c38344bb9,30bb81380c506018d2138d7287adc1bea5b39bd88d51867f46410edf39a52aff,same_stream_order_case_index
6,IL15-FULL-IL3-FULL,0.004315299930750527,6.4494416137910715,6.000008184180067,-0.0008681662904564287,1,0,-0.8188977448851809,0.07798776847072308,-0.031033706665039018,-0.0002848625183105467,0.009604171067806765,0,-0.004315299930749461,0,-0.28782043457031237,-0.0024085044860839844,0,-0.003447133640293032,0,-0.25678672790527335,-0.0021236419677734377,7fede59b864fe7adf68b195aa690e1c8d2b677d9af27dafcc7059bea9b0aecb0,d5841521f76fbba7a4b2a092fc5ee68fa4317662d43fc57e36916a4550089392,same_stream_order_case_index
7,IL15-FULL-IL3-FULL,0.0013236825121580864,5.441921444163503,4.816777670889406,0.0031095551035832613,-1,1,-0.8843524503812681,0.07119420569387214,0.05522918701171877,-0.0005476951599121093,0.007930834553893496,0,-0.0013236825121566657,0,-0.03127593994140632,-0.0033074378967285155,0,-0.004433237615739927,0,-0.08650512695312507,-0.0027597427368164064,5cd8eabc65cf2c0227d29e6bb17029bec8ff7d494cca358087c952f9c73e403a,92a7e3d2612d7be0d1a83da90d708bdb8976435848711a3a2e8297c01e9d3486,same_stream_order_case_index
8,IL15-FULL-IL3-FULL,0.01880709505640077,0.5981190323061898,0.6345777064813491,-0.006133245158707723,1,1,-0.599778125982267,0.05270689006995022,0.00427322387695328,-0.007804107666015625,0.0014105748680261036,0,-0.018807095056399704,0,-0.09023284912109375,-0.019496536254882815,0,-0.01267384989769198,0,-0.0945060729980467,-0.011692428588867189,e807b9970246ffd7454cc8c31c9bc983cc381db7eec49438e20de03b236eafce,5305448827afadd369a837406d3104df427c044ceb807d24dd0d5a8f95a6179b,same_stream_order_case_index
9,IL15-FULL-IL3-FULL,0.006216665136161481,1.5904493729641822,1.0493990830693294,0.0002453154185786846,0,1,-0.045823748060501046,0.005023618595085266,-0.038358879089355334,3.0517578124997452e-06,0.0017017650503979628,0,-0.006216665136162191,0,-0.1583534240722656,-0.0024711608886718753,0,-0.006461980554740876,0,-0.11999454498291029,-0.0024742126464843747,9780d198dbae8663b726e8581f260da0cf8407d754f94b5bd610e416d99773c5,5dbe828cca9983c611ff11693d814dc5506495f3a10f303878ada9a088b36972,same_stream_order_case_index
10,IL15-FULL-IL3-FULL,0.003363464883292977,6.208736299167109,5.021888643365137,-0.0007447667827364061,0,0,-0.8270313506538489,0.0701211175475216,-0.02534446716308598,-0.00025243759155273436,0.008350119117693308,0,-0.0033634648832958193,1,-0.37702970504760747,-0.0022478103637695312,0,-0.0026186981005594133,1,-0.35168523788452144,-0.001995372772216797,9d3b3c4d323b3e2fc30b59e9d5702c753d6784f2cabf8eeb2f89b30a29dca4e4,d9b87e0f805baee840d6ddb6b2b2b94d005f1de0f9cd2c5e43804d2f1b0453f3,same_stream_order_case_index
