phase,unit,K,c0_accepted_z_sha256,c1_accepted_z_sha256,c3_accepted_z_sha256,accepted_z_all_arms_equal,c0_selected_target_sha256,c1_selected_target_sha256,c3_selected_target_sha256,selected_target_all_arms_equal
3,3,5,33052d8a4b543218ea6a3bcd508fc3572a0eb6b067ae731cec64a0279069e37b,48c9c54486e2ab192247cac1e5f0b1c7b7d955630ae6f869f51a71a179f67349,12f835fc5a096c4d836a2025ed7a149eafd7d47d215b00a862cb0e8d27214628,False,33052d8a4b543218ea6a3bcd508fc3572a0eb6b067ae731cec64a0279069e37b,48c9c54486e2ab192247cac1e5f0b1c7b7d955630ae6f869f51a71a179f67349,12f835fc5a096c4d836a2025ed7a149eafd7d47d215b00a862cb0e8d27214628,False
3,3,6,0026123ddf1076a3d84f79ea1790f8ef60b12dd1ac6b23cf09ac6f4e07957619,30bd431dbf657d2c633c622cec1c8a7c1bdfc7e53f7fc15033011e3b64b5945a,6b8e98def851052db4060b67aa70cf547365b0d5a775cdfd933e5a98d564c61a,False,0026123ddf1076a3d84f79ea1790f8ef60b12dd1ac6b23cf09ac6f4e07957619,30bd431dbf657d2c633c622cec1c8a7c1bdfc7e53f7fc15033011e3b64b5945a,6b8e98def851052db4060b67aa70cf547365b0d5a775cdfd933e5a98d564c61a,False
3,3,7,2971dc6ea987a2a1e38311c08c5c9e01a2a29ab9f4c73f7cace4fd605c1e3ce9,b59baf9244d1416306d66c3a960ffe9c3976d782c1e403bc09a08325b20717b0,6ad8f59380dbd51b60793e04e8b1dcd0aa79f30bd40ddc8bb5920156a3c95ff8,False,2971dc6ea987a2a1e38311c08c5c9e01a2a29ab9f4c73f7cace4fd605c1e3ce9,b59baf9244d1416306d66c3a960ffe9c3976d782c1e403bc09a08325b20717b0,6ad8f59380dbd51b60793e04e8b1dcd0aa79f30bd40ddc8bb5920156a3c95ff8,False
3,3,8,e1a4556043d9c4ae7c7c3b8ffa018e6a42af4de9f4bdf2144e280742410cf020,b2321da3ea1fd4defc914830a28290cef9de028141177ee5f30bec9296293ac8,01ae2054e75dc83efaf7af59604afc9b2a4b2a8b2725b0e8f14a983df2b01733,False,e1a4556043d9c4ae7c7c3b8ffa018e6a42af4de9f4bdf2144e280742410cf020,b2321da3ea1fd4defc914830a28290cef9de028141177ee5f30bec9296293ac8,01ae2054e75dc83efaf7af59604afc9b2a4b2a8b2725b0e8f14a983df2b01733,False
3,4,1,9516b83343d33f028338a582b9b536b96d77e431e116a003456c166aa8190e2a,8de0981786b04d4fdb8725514e6611740bf8b46d1dd126387883309ea6d01fc2,7549d353ba919e3cd653eeb28221b97dcc4d75732e71b0aa0f0ce06c759cb314,False,9516b83343d33f028338a582b9b536b96d77e431e116a003456c166aa8190e2a,8de0981786b04d4fdb8725514e6611740bf8b46d1dd126387883309ea6d01fc2,7549d353ba919e3cd653eeb28221b97dcc4d75732e71b0aa0f0ce06c759cb314,False
3,4,2,d14e644c13fe6c8fc458550b3e165053fcc1f87e6b60b173e9c1bbe152b55141,d87492d353632beb23e857cf72360a07e3b388f0ed4a5c3e9655393105236874,b1c6e0cc99e9de889cbdc9b99dc7de92b5ad1098578ceeea0f5de785b4e711fc,False,d14e644c13fe6c8fc458550b3e165053fcc1f87e6b60b173e9c1bbe152b55141,d87492d353632beb23e857cf72360a07e3b388f0ed4a5c3e9655393105236874,b1c6e0cc99e9de889cbdc9b99dc7de92b5ad1098578ceeea0f5de785b4e711fc,False
3,4,3,06daf6359a14416630a023d7b8cb531c93852cd9d413ec842efeced84ea33c01,b937f627614a9262dcb973300f65ea7974416031f73c531a51d534641528e2aa,16e663d28444f081272a4c64f68ed8ce525a2001aa0e9b0aac32537aebfd7edd,False,06daf6359a14416630a023d7b8cb531c93852cd9d413ec842efeced84ea33c01,b937f627614a9262dcb973300f65ea7974416031f73c531a51d534641528e2aa,16e663d28444f081272a4c64f68ed8ce525a2001aa0e9b0aac32537aebfd7edd,False
3,4,4,c6521d8fd2f040e6ef8e7426f778e8f1f9781c553eeaab03a8a24dd15647800f,5879c68c84496113fbb27857f4cc8fb64a21cdba809f0dcfa73d4548497d9a5e,2b07f3ed5af6f55007e8e5a596d5cc12f7c2d3a44c8812ce2347d51d9d30e6a7,False,c6521d8fd2f040e6ef8e7426f778e8f1f9781c553eeaab03a8a24dd15647800f,5879c68c84496113fbb27857f4cc8fb64a21cdba809f0dcfa73d4548497d9a5e,2b07f3ed5af6f55007e8e5a596d5cc12f7c2d3a44c8812ce2347d51d9d30e6a7,False
3,4,5,3d255d6630ac2a6981d1dd5ff8ff0d28ff276466b087d9961bd89daffbc25d5a,d19718d07c4aa84594ee725ed5e964dcc4de0ef8c59c2da9515bdc3308db633e,67c90d8bce7c1628f8462f97899d4ec313bbc25a21405159b9c13f81dbba69d2,False,3d255d6630ac2a6981d1dd5ff8ff0d28ff276466b087d9961bd89daffbc25d5a,d19718d07c4aa84594ee725ed5e964dcc4de0ef8c59c2da9515bdc3308db633e,67c90d8bce7c1628f8462f97899d4ec313bbc25a21405159b9c13f81dbba69d2,False
3,4,6,2fdf864a8bbabb9133cbc9e4b9e89724e726edd2a864167498bc9aa215c18f5f,722fbd1092fd1281776cef57932c1bc0ab3c68da472343f063fed320e90c62e7,de575f7551afc3fc18ec85b1afab7de40faad4ffafcea83892f4d466a57e87a9,False,2fdf864a8bbabb9133cbc9e4b9e89724e726edd2a864167498bc9aa215c18f5f,722fbd1092fd1281776cef57932c1bc0ab3c68da472343f063fed320e90c62e7,de575f7551afc3fc18ec85b1afab7de40faad4ffafcea83892f4d466a57e87a9,False
