phase,arm,unit,K,endpoint,locality_denominator,locality_numerator,rephrase_accuracy_denominator,rephrase_accuracy_numerator,rephrase_strict_accuracy_denominator,rephrase_strict_accuracy_numerator,rephrase_strict_success_denominator,rephrase_strict_success_numerator,rephrase_success_denominator,rephrase_success_numerator,rephrase_target_new_nll_mean,rephrase_target_true_nll_mean,rewrite_accuracy_denominator,rewrite_accuracy_numerator,rewrite_success_denominator,rewrite_success_numerator,rewrite_target_new_nll_mean,rewrite_target_true_nll_mean,endpoint_identity_sha256
3,c0,2,3,accepted_z,1000,910,200,94,100,33,100,87,200,183,2.4122635244950654,7.715068637132645,100,81,100,96,1.0313826411636546,7.669653753042221,f57e77b6310ad2872a6ed20c30703d849d03fc79179ab785f6fb9867ea01dbab
3,c0,2,3,post_writer_W,1000,909,200,67,100,19,100,70,200,158,3.2260760996770115,6.736433267220855,100,81,100,95,1.0810098593821749,7.64190853714943,1788daaccc2ca9d46e1445543d2d84c1ac297a443709596af6292a7e7c5038d6
3,c0,2,3,pre_writer_W,1000,910,200,33,100,10,100,44,200,115,4.991676654666662,5.761771157868207,100,32,100,85,2.8295232455432413,5.90308401286602,9c76bf11620c8cdc3213ef21141f4ce053753d3d1c68af49ad8c1d7ebd1e73fc
3,c0,2,4,accepted_z,1000,909,200,123,100,45,100,94,200,194,1.845911622615531,8.493966518640518,100,92,100,100,0.417088417597115,8.772469024658204,bcbc2917d901479015b29444e8c80a3fbe2e44bef599656e309c2e6149de939f
3,c0,2,4,post_writer_W,1000,911,200,91,100,27,100,77,200,174,2.59556419884786,7.3794664719700815,100,92,100,100,0.41658033689949664,8.748322806358338,5f9b8e3944015dbd556d301761e37ea07cabb8788ee3ed4e6c79eb89cd7b66ff
3,c0,2,4,pre_writer_W,1000,909,200,67,100,19,100,70,200,158,3.2260760996770115,6.736433267220855,100,81,100,95,1.0810098593821749,7.64190853714943,1788daaccc2ca9d46e1445543d2d84c1ac297a443709596af6292a7e7c5038d6
3,c0,2,5,accepted_z,1000,911,200,130,100,48,100,94,200,193,1.7187893457245083,8.660484684109688,100,97,100,99,0.25182525348849594,9.15344905614853,5f293f23bc15aa2aa2d7eb84bf01e7c71b918ceb8cd8598fad4549ca5a624766
3,c0,2,5,post_writer_W,1000,908,200,100,100,30,100,78,200,175,2.4806741189351307,7.511649951785802,100,97,100,99,0.24682276219595223,9.156290490627288,4984158ad9188fce017da9ccca5638dd84fb239e58350e0c6f34a5a0b495d412
3,c0,2,5,pre_writer_W,1000,911,200,91,100,27,100,77,200,174,2.59556419884786,7.3794664719700815,100,92,100,100,0.41658033689949664,8.748322806358338,5f9b8e3944015dbd556d301761e37ea07cabb8788ee3ed4e6c79eb89cd7b66ff
3,c0,2,6,accepted_z,1000,908,200,131,100,48,100,95,200,195,1.6520636115642264,8.774818652272224,100,99,100,100,0.17093277834123,9.407168016433715,5cea74cbcbaf97040c97a66e974a886e7a82ec5e38112e07cc30cb885e308f2b
