alias,batch,node,eigenvalues,condition,lambda_over_min_eigenvalue,regularized_support,g,c,response_cosine,nonnegative_predicted_response_sq,unconstrained_explainable_fraction,normalized_model_error,model_error_over_linear_step,coefficient_reproduction_relative_error
llama3-8b-inst,4,2,"[1.268716098611955, 2.0989367076391976, 3.4600414279494602, 7.337950604413052, 26.384057233203237]",20.795871717927156,0.07881984008038165,"[5, 6, 7, 8]","[0.23071515359579295, 0.3112957831614014, 0.37281074869994946, 0.4124060789940494, 0.5293553334928658]","[0.0, 0.00010676702613624661, 0.0002589071686246308, 0.003401311511113031, 0.12587686231069406]","[0.247729388293213, 0.3572073784352361, 0.500680889810203, 0.6676178629428376, 0.9976782598856159]",0.066580406289914,0.9953765556242237,0.00013280016409693206,0.0010293317925055823,1.377605235801625e-17
llama3-8b-inst,4,3,"[1.2625324470817243, 2.0699698202547805, 3.3675502123942103, 7.035668994622106, 25.117626418464674]",19.89463833307628,0.07920588514865072,"[5, 6, 7, 8]","[0.11269587007103946, 0.1531045151042052, 0.1817496953935465, 0.20183729531279837, 0.26718463666889136]","[0.0, 6.620010096309442e-05, 0.00015381061816623423, 0.0017760553436138929, 0.06618628944633435]","[0.2392717919954386, 0.3472028615015276, 0.485849925798925, 0.6520967878479818, 0.9975719195944701]",0.017642143740077887,0.9951681232630359,3.602157943298216e-05,0.0005423967378991671,4.4387153695062905e-16
llama3-8b-inst,5,0,"[1.3302963392125462, 2.107464774708808, 3.7072897675119085, 8.260946508602306, 29.9359150536828]",22.503192838524253,0.07517122091698296,"[4, 5, 6, 7, 8]","[1.033056942617959, 1.3786354768222746, 1.6507470484412003, 1.7526084686016072, 2.0638981335602904]","[0.00011615487390241597, 0.00020508246105888084, 0.0014917635644863536, 0.01131508132444961, 0.46089618571145263]","[0.2772354515837301, 0.40127994294313224, 0.547378680863579, 0.6992196953501966, 0.9980708404167122]",0.9526833770657069,0.9961484852409059,0.0017940169409288087,0.003676057041270506,4.914195836522167e-16
llama3-8b-inst,5,1,"[1.3402269632328487, 2.116320057638996, 3.673063452400544, 8.0766065360956, 28.11418780694817]",20.977184147326888,0.07461422784599371,"[4, 5, 6, 7, 8]","[0.47227223460393775, 0.6476868745251299, 0.7832751098236549, 0.8531458635519796, 1.043158118632831]","[6.571931439306594e-05, 6.990267286851454e-05, 0.0009010075850570676, 0.005751251100138147, 0.2411611415578725]","[0.25131591334966036, 0.37493221001683236, 0.5195322348810546, 0.6803565671653918, 0.9979933243135056]",0.25143864865682214,0.9959968479591982,0.0004690360907618645,0.0018707693251917524,2.5229514042998177e-16
llama3-8b-inst,5,2,"[1.3515483735230143, 2.1110030480764723, 3.629790344711151, 7.892639615799691, 26.807742075979643]",19.834837288214278,0.07398921263863827,"[4, 5, 6, 7, 8]","[0.2232245778409047, 0.31059813300962047, 0.37886219311042574, 0.41855989165970015, 0.5271247956482068]","[3.2834212787106326e-05, 2.9491917685996183e-05, 0.0005033152749003914, 0.0029591050547198294, 0.12635548556234408]","[0.23426937599800132, 0.3555909052636084, 0.49857089060248605, 0.6629616297581785, 0.9979020215195756]",0.06645337683307426,0.995817597620489,0.00012407823748061578,0.0009626470496561281,1.0603995371038118e-16
llama3-8b-inst,5,3,"[1.3437640644682833, 2.0788490878857995, 3.5519417008350564, 7.649365434727303, 25.56300183238675]",19.02343016033981,0.07441782575095815,"[4, 5, 6, 7, 8]","[0.10778625411238102, 0.150948422058355, 0.18538664610626834, 0.20623631611293203, 0.2662996705749375]","[1.7962073074410945e-05, 1.499029010144752e-05, 0.0002782491170956053, 0.0015556659499858239, 0.0663077912396948]","[0.22336732734120865, 0.34213329400311254, 0.4838304105750644, 0.6491666818727769, 0.9977934742799646]",0.017594438149564934,0.9956041849696187,3.3758639445387405e-05,0.0005090110722406276,5.258504543015557e-16
llama3-8b-inst,6,0,"[1.1885117925083668, 1.9827965226235666, 3.442131504251356, 7.957261305358239, 29.685633177430084]",24.977146515961984,0.08413883701477538,"[5, 6, 7, 8]","[0.9859370634173246, 1.344350771289482, 1.6261371775094318, 1.7282880669134786, 2.030178650324143]","[0.0, 0.00010256419009575801, 0.0011052737712796135, 0.013124418276103222, 0.46724065202630344]","[0.2645289997869885, 0.39881918787921505, 0.5449012398757284, 0.7080253240655167, 0.9980336691697911]",0.9513512498769118,0.9960759655526558,0.0017744546316565072,0.003638517341322557,4.676142019415192e-16
llama3-8b-inst,6,1,"[1.1936934837233093, 1.9873724003639757, 3.3951915659050123, 7.690082823871097, 28.485863238753584]",23.863633024033856,0.08377359964141295,"[5, 6, 7, 8]","[0.48789697768425677, 0.6561631639511399, 0.7868844975197774, 0.845143900714976, 1.0289815940907348]","[0.0, 9.419412783170933e-05, 0.0004373149790644071, 0.006907806488686941, 0.24412514276226077]","[0.2571098166696244, 0.38496433435739774, 0.5240669484789038, 0.6912927752056939, 0.9979923818673873]",0.25147979184926467,0.9959961428873965,0.0004710320229989381,0.001878576490730687,2.13482476700646e-16
llama3-8b-inst,6,2,"[1.2006770397250541, 1.9857504456176598, 3.3501396274034243, 7.480550718112083, 27.484720329785493]",22.891018500761273,0.08328634319758396,"[5, 6, 7, 8]","[0.2410597734062654, 0.32127076851283815, 0.38394487427225354, 0.41679562613592125, 0.5215508286170006]","[0.0, 5.483460017780689e-05, 0.0002006171620612951, 0.00360102979604697, 0.12767383661901885]","[0.24903733499134142, 0.37192930268457153, 0.5058049568031457, 0.6761140799168384, 0.9979528402393232]",0.06655256951247394,0.9959196217513379,0.00012535811391662765,0.0009718517725682599,3.261604123828884e-16
llama3-8b-inst,6,3,"[1.195424869295796, 1.9646387481675955, 3.2804571166673027, 7.253009509763024, 26.441140661232513]",22.118613507520994,0.08365226671159039,"[5, 6, 7, 8]","[0.11928120704617835, 0.15795040702876148, 0.18856150743973854, 0.20649398359858662, 0.26439044513226645]","[0.0, 2.7978216621055846e-05, 0.00010411149538781805, 0.0018933937609124235, 0.06683502399045568]","[0.24214553703204134, 0.3614492564640611, 0.49146597416446625, 0.6639996394346888, 0.9979169579728194]",0.017638515055316894,0.9958505365432154,3.401268878697264e-05,0.0005122004444095497,7.564162386154582e-17
llama3-8b-inst,7,0,"[1.3648597017572908, 2.2143941503660147, 3.7639481373066284, 8.628984053850402, 30.204025765338056]",22.129765957958625,0.07326760389455965,"[5, 6, 7, 8]","[0.9542684334368207, 1.272714718417393, 1.5979475437348432, 1.7090329468462042, 2.023690029269141]","[0.0, 0.0003853092881316994, 0.001158124080463091, 0.011077311519429034, 0.4693442030719855]","[0.2499602275256885, 0.37125394372740367, 0.5238646071341554, 0.6742283065288815, 0.9970329820950758]",0.9490388669828548,0.9940817518874934,0.0016618871124359873,0.003411846753727387,7.436077641534176e-17
llama3-8b-inst,7,1,"[1.3360976969647997, 2.145007626882409, 3.6364159897361388, 8.196706252940494, 28.110854048877826]",21.039519873986,0.07484482626320593,"[5, 6, 7, 8]","[0.4484037971134566, 0.5994153299727433, 0.7623649873843608, 0.8266041094109766, 1.0149043419499946]","[0.0, 0.00018026797811178386, 0.0005149412997461494, 0.005926373004338598, 0.24827412543933902]","[0.2335087147314352, 0.34941245237425744, 0.5019816339674975, 0.656307937528821, 0.9953731550476945]",0.25120633469650533,0.9907739355634454,0.0004413896740432754,0.001761314340922577,3.1872852652271456e-16
llama3-8b-inst,7,2,"[1.2668705168277534, 2.0050536156991106, 3.3902514492824056, 7.5347258517479885, 25.479678903357442]",20.112299216780745,0.07893466512299949,"[4, 5, 6, 7, 8]","[0.21205161926289062, 0.28171980880640163, 0.36068764308143497, 0.39646830944498934, 0.5028149124979566]","[1.6304916919455265e-05, 5.836529258811812e-05, 0.00026585742790382477, 0.0034426897517001454, 0.1336498217249953]","[0.22111430419200162, 0.33138180366214703, 0.4820984574605054, 0.6381725108912684, 0.9919038832755847]",0.06689441230275314,0.9838846265457327,0.0001269567254604792,0.0009817271159885239,1.4487848515694477e-16
llama3-8b-inst,7,3,"[1.1152463510227166, 1.7421897123054266, 2.937602465063522, 6.460375472755657, 21.60428797836398]",19.371762981831015,0.0896662875500976,"[4, 6, 7, 8]","[0.0994939717351215, 0.13013425385965455, 0.1669175043924248, 0.18645074373940485, 0.24370815232639115]","[3.4508892017951626e-05, 0.0, 0.00013582688691828743, 0.0023759719505865445, 0.07431589507294872]","[0.2120751012468697, 0.31679846880221213, 0.46497025961055555, 0.6221877709409176, 0.9849775868877185]",0.01802764481142092,0.9702233626878741,4.359477746962749e-05,0.0006493741020966342,1.3582062185001142e-16
llama3-8b-inst,8,0,"[1.434423370715338, 2.273521739878071, 3.9720272405192243, 8.680526302130191, 32.128961633429356]",22.398520750123335,0.06971442465422927,"[6, 7, 8]","[0.9845134875693232, 1.3161170251928345, 1.6156677336098928, 1.7226149439085048, 2.030297079338491]","[0.0, 0.0, 0.0009832696815732511, 0.010904520506137716, 0.46934374704108855]","[0.2508969460808993, 0.36777133006003465, 0.5210901823401529, 0.6738870020376827, 0.9981358499606081]",0.9512398230739596,0.9962780991043424,0.0016113853218477471,0.003304337409967752,5.912090395044137e-17
llama3-8b-inst,8,1,"[1.4338094386938829, 2.2938020077685697, 3.9737197245110396, 8.453625407388968, 30.71431395123112]",21.4214756315247,0.06974427514655936,"[6, 7, 8]","[0.48018593258928105, 0.6266670529654037, 0.7651953556899144, 0.852505186141343, 1.0291442182611255]","[0.0, 0.0, 0.00038913551062402796, 0.00564193325125209, 0.24498246759648937]","[0.24052586924038008, 0.34665496398226203, 0.4929032766574278, 0.6595470500547387, 0.9980683057051506]",0.2512249929175976,0.9961433673777081,0.00042180633371677627,0.0016831067861098434,5.663299775654174e-17
llama3-8b-inst,8,2,"[1.441274026739313, 2.294956534285382, 3.951203387683356, 8.262704566891891, 29.532719518733366]",20.490704037418297,0.06938305842244062,"[6, 7, 8]","[0.23409873464859923, 0.3019916727143289, 0.36847252420668475, 0.42174209711286703, 0.5215697482704764]","[0.0, 0.0, 0.00016722498555606785, 0.0029107602274989278, 0.1280762758047511]","[0.23010297736214147, 0.3296269743809949, 0.47109576182258905, 0.6444110760187418, 0.9979830109534162]",0.06644871557464929,0.9959734895469387,0.00011100404466935536,0.0008612426009883639,1.3540947871807106e-17
llama3-8b-inst,8,3,"[1.434560384190341, 2.2668995024244167, 3.8813305405967955, 8.028227614919794, 28.27652687654948]",19.710935271998757,0.06970776629694785,"[6, 7, 8]","[0.11437920811954685, 0.14677593777854564, 0.17924721308402417, 0.20858022613139113, 0.26426675112534365]","[0.0, 0.0, 8.18557481339112e-05, 0.0015189096162592647, 0.06707230472074993]","[0.2212235979058448, 0.3167567391473173, 0.45504289401811693, 0.6312243663624793, 0.9978756408613311]",0.017606366200268148,0.9957596666224984,2.985132648524481e-05,0.0004499443106461072,1.8111324330245964e-16
llama3-8b-inst,9,0,"[1.3773900674998898, 2.0788483791088455, 3.3137178075697977, 8.242238484432397, 30.911403708025396]",22.44201148054806,0.072601075294169,"[5, 6, 7, 8]","[1.0292519084126706, 1.3456468638117338, 1.6143766317154054, 1.7264269281216773, 2.0162583062266464]","[0.0, 0.0002766378767869032, 0.0013549801197343114, 0.010706523263904283, 0.4716123175509448]","[0.2701241167209981, 0.3940095840825407, 0.5347481512547004, 0.6749744801816248, 0.9975820693144289]",0.9496825157627233,0.9951738345112359,0.001570531109934386,0.0032232004721664408,1.829905279567916e-16
llama3-8b-inst,9,1,"[1.343279167728045, 2.048215027792677, 3.250305245890313, 7.83837946269972, 29.006663296795047]",21.59392030612331,0.07444468908807318,"[5, 6, 7, 8]","[0.4983460005793667, 0.6469760669975877, 0.7653908948035744, 0.8416212246774706, 1.0141970335530017]","[0.0, 0.00024133855153327805, 0.0006199802614825778, 0.005624112961033392, 0.24870316053593006]","[0.2594673917682407, 0.3772583678925251, 0.509761290491497, 0.659393889668124, 0.9971995186071994]",0.25140951447007015,0.9944111934463116,0.00041476060812356606,0.0016543852278296156,6.636064262018325e-17
llama3-8b-inst,9,2,"[1.3031193871680042, 1.9820669850352846, 3.1335693633020374, 7.389938534118055, 27.04136122073998]",20.751253865931226,0.07673893964337708,"[5, 6, 7, 8]","[0.24237733850870294, 0.31293728200483545, 0.36704521715050875, 0.41027086798134454, 0.5083946810907678]","[0.0, 0.00014674765932585696, 0.0003149528998969142, 0.003074175342333993, 0.13196006504658758]","[0.25117867487569834, 0.36445272669543105, 0.4911664663034545, 0.6444240306034489, 0.9966524759437136]",0.06676826153615396,0.9933227699216913,0.00011453544905850189,0.0008865125422149415,2.352786014193275e-16
llama3-8b-inst,9,3,"[1.2337586663894646, 1.8678259854653114, 2.942867911195724, 6.822272211101484, 24.705160596336086]",20.02430561937575,0.08105312872301453,"[4, 5, 6, 7, 8]","[0.11798681339334581, 0.15147601088990353, 0.17667845024961362, 0.19945169302768925, 0.25368168806226765]","[4.554349904714941e-06, 7.645901321815321e-05, 0.0001706403476841034, 0.0017774423459916006, 0.07060622899782805]","[0.24551164477908974, 0.3555234154528924, 0.47820092732467606, 0.6323489606044014, 0.995887351188145]",0.017809445390833456,0.9918039380193798,3.3788400773325695e-05,0.0005063752083666411,1.6073765522468346e-16
llama3-8b-inst,10,0,"[1661413.8536802724, 2640943.1042506495, 2950431.2400172637, 3421863.850387495, 5301647.205242103]",3.1910455022980497,6.018969913997377e-08,[7],"[-9.512228005007852, -6.504220647285539, -0.8615451327317479, 4.750022529092239, 0.48467567209265083]","[0.0, 0.0, 0.0, 1.2873506272294687e-06, 0.0]","[-0.005540074628136536, -0.003099961832025152, -0.00048614023477329263, 0.0024728410993422544, 0.0003617115060238453]",6.114944316453837e-06,4.460736204397026e-05,0.010280962256632373,8.315100585271582,1.6449150086585495e-16
llama3-8b-inst,10,1,"[1661421.1170912269, 2640941.7316585626, 2950432.7669002768, 3421854.4721767437, 5301633.287117395]",3.191023174425131,6.018943600228064e-08,"[7, 8]","[-9.27624335147612, -5.266921443256095, -1.5407397329597485, 3.3947252289528476, 0.5296089779509664]","[0.0, 0.0, 0.0, 9.146522945369534e-07, 3.966664924169077e-08]","[-0.005402435640779164, -0.0025101633216051615, -0.0008693530755739008, 0.0017672142466307855, 0.00039522947343236333]",3.1260009497316118e-06,3.712772689041708e-05,0.010604343568031947,11.995524242306267,0.0
llama3-8b-inst,10,2,"[1661420.2207863883, 2640945.2216100087, 2950431.9824339724, 3421845.7172710383, 5301630.011392136]",3.19102292428026,6.018946847334488e-08,[7],"[-10.28270884076641, -5.479582367764119, -1.617946328610034, 1.313618490242082, -0.18285074697479317]","[0.0, 0.0, 0.0, 3.560184539198102e-07, 0.0]","[-0.005988970026164213, -0.00261167333038433, -0.0009129721891009126, 0.0006838817522191419, -0.0001364638076297201]",4.676724112615473e-07,3.999723417142851e-05,0.008752296741039431,25.596533527274957,1.4869891889176595e-16
llama3-8b-inst,10,3,"[1661418.8651696488, 2640949.0260529006, 2950433.112171825, 3421851.6415967713, 5301649.02159135]",3.191036970108074,6.018951758429018e-08,[7],"[-10.581080801525502, -5.6596919328205715, -1.2826059569639445, 0.8643125677629534, -0.4866530003467133]","[0.0, 0.0, 0.0, 2.3424712305415134e-07, 0.0]","[-0.00616298265797581, -0.0026976177037450213, -0.0007237751486471931, 0.0004499868210534857, -0.00036320965204421997]",2.024627269308466e-07,4.1633006653900425e-05,0.008627449618348973,38.34774991886774,1.129993797002912e-16
qwen2.5-7b-inst,1,0,"[1.0590679916779462, 1.7828221053515403, 4.753473821112921, 8.235151959874472, 39.267128145309734]",37.07706063620752,0.09442264404720975,"[7, 8]","[1.0360080443222326, 0.9982695176876761, 2.3576917218382314, 2.3615802104336754, 2.6164421313402575]","[0.0, 0.0, 0.0, 0.007571169994559868, 0.3689016981466526]","[0.3344900982969318, 0.3656521944226368, 0.5127582352566213, 0.7451779880347223, 0.9985688360928104]",0.9694752920317928,0.9971403499805528,0.00291950485935713,0.005930220278005214,4.255230857154952e-16
qwen2.5-7b-inst,1,1,"[1.1236392110356959, 2.136863967371311, 5.334472877818132, 8.31378001286479, 37.45585219317557]",33.33441181591666,0.0889965382285179,"[5, 7, 8]","[0.4728315765812392, 0.4441877839966364, 0.9939186864336859, 1.036352286369327, 1.336968385615774]","[0.0, 9.14816819306552e-05, 0.0, 0.0035194547415774713, 0.18851822847941724]","[0.2962523120373495, 0.3139427436306522, 0.4266050953674128, 0.6731887320187787, 0.9986249318934174]",0.2521757898630929,0.9972637234211446,0.0006803282310723028,0.002709547654944152,2.264555145726548e-16
qwen2.5-7b-inst,1,2,"[1.2076301508708223, 2.4933251731158763, 5.892691204631526, 8.533480334384992, 38.509662001633046]",31.88862250074141,0.08280680962452784,"[5, 7, 8]","[0.22444943348527047, 0.21014435663822054, 0.4512092625435408, 0.48130343005901016, 0.6828383351133249]","[0.0, 9.896502508089863e-05, 0.0, 0.0015650104527155442, 0.09605338365605826]","[0.2696698802466622, 0.282299802378557, 0.3693433856698986, 0.6136109821685775, 0.9986780954148784]",0.06544010326184267,0.9973803705057671,0.00015455550022754958,0.0012083492386190757,1.424856485917748e-17
qwen2.5-7b-inst,1,3,"[1.2674526928425665, 2.7424767825173526, 6.246498914684332, 8.695303971509263, 39.56104394230198]",31.213033958353787,0.07889840825200824,"[5, 6, 7, 8]","[0.10938861772355007, 0.10325686340265393, 0.2158023876260774, 0.231916571766201, 0.3486659826138374]","[0.0, 6.533158527226779e-05, 1.107597255287085e-06, 0.0007322686777664449, 0.04882737709488441]","[0.25439859563078465, 0.266403845935012, 0.33923428332439054, 0.5768456280399353, 0.9987276307145557]",0.016962790287229645,0.9974864368336414,3.717850627179549e-05,0.0005709174091422543,1.6375595610122582e-16
qwen2.5-7b-inst,2,0,"[1.0739121736486243, 2.2079420717160256, 4.547949843198994, 8.575484702882589, 37.17515489641784]",34.61656903479824,0.09311748432858274,"[4, 7, 8]","[1.0381485814738562, 0.9588923448780592, 2.2239567904987068, 2.3723152087082284, 2.683619410243794]","[0.0008258351193106972, 0.0, 0.0, 0.005684156964209958, 0.35732413924188133]","[0.330692576843515, 0.363164617900962, 0.5212929337415121, 0.7072393827879427, 0.9931663005072136]",0.9604925941777936,0.9863903919559884,0.0023458637165334286,0.0047872462038570165,1.8168993325235372e-16
qwen2.5-7b-inst,2,1,"[1.0717141836152855, 2.1579867832610056, 4.303497644698895, 7.672236662446023, 30.709135885321672]",28.6542217643593,0.09330845996892874,"[4, 7, 8]","[0.48026772911804383, 0.44333144673474145, 0.9010912698037706, 0.9415839346800605, 1.2702253258865381]","[0.001655256542335684, 0.0, 0.0, 0.002616724893553135, 0.19608495683405375]","[0.3015253827225925, 0.32810273609654333, 0.4511662701440067, 0.628434683488603, 0.978825661449782]",0.24848502087592586,0.9582731051567458,0.0006591855041562049,0.0026447677296858956,1.6316646630610834e-16
qwen2.5-7b-inst,2,2,"[0.9419013631891692, 1.5014646952035087, 3.021162474952603, 5.544769646785878, 20.530914144535068]",21.797308027052605,0.10616822940080643,"[4, 7, 8]","[0.2062968641461573, 0.18894719620611264, 0.3183287339491106, 0.3285301552846889, 0.5244583254898187]","[0.003187226236582387, 0.0, 0.0, 0.0015317467258319645, 0.12215110017991583]","[0.26892957736122997, 0.2786135948923655, 0.37945962108282383, 0.5415875749851216, 0.9288003673248078]",0.06373056163129553,0.8647400709218674,0.0003740763524664202,0.0029635781052690215,1.212864810903171e-16
