group,lambda_value,node_denominator,baseline_lambda,analysis_type,gain_ratio_min,gain_ratio_median,gain_ratio_max,qN_ratio_min,qN_ratio_median,qN_ratio_max,response_norm_ratio_min,response_norm_ratio_median,response_norm_ratio_max,l8_native_velocity_share_min,l8_native_velocity_share_median,l8_native_velocity_share_max,l8_native_velocity_share_delta_pp_min,l8_native_velocity_share_delta_pp_median,l8_native_velocity_share_delta_pp_max,native_angle_degrees_min,native_angle_degrees_median,native_angle_degrees_max,native_turn_fraction_min,native_turn_fraction_median,native_turn_fraction_max,physical_native_relative_change_min,physical_native_relative_change_median,physical_native_relative_change_max,support_change_min,support_change_median,support_change_max,support_changed_count
Llama_B1_B9_36_diagnostic_stratum,0.1778279410038923,36,0.1,FROZEN_RECORDED_STATE_NO_ENDPOINT_PREDICTION,0.9776781822521668,0.9827578285103966,0.9854657021333846,0.9294338436750248,0.9386739877979884,0.941965907766613,0.9782507406396673,0.9832159127610074,0.985916990416828,0.9974573154086184,0.9980413551753651,0.9985851249608785,-0.16050842964967504,-0.12389566953709963,-0.09008153297531685,0.8572673578861656,0.9868026102254529,1.1362135608776884,0.00022384886771709134,0.00029660424772293137,0.0003932038319438558,0.03387916221025885,0.03535964599415618,0.03985560617494147,0,0.0,1,4
Llama_B1_B9_36_diagnostic_stratum,0.31622776601683794,36,0.1,FROZEN_RECORDED_STATE_NO_ENDPOINT_PREDICTION,0.9416467356425715,0.954591275978476,0.9616965881014362,0.824370697992759,0.845904101709718,0.8537718246474292,0.9437049014197452,0.9562580121584343,0.9633214695054713,0.9932247245794403,0.9947399068920768,0.9961339037656114,-0.583767512567479,-0.45092662066619216,-0.3352036525020252,2.2679542118823606,2.5905402712293855,2.969102594247395,0.0015660169747025998,0.0020428977939009885,0.0026829733648502385,0.08746185500905483,0.0907826473330328,0.10195372918694118,0,0.0,1,8
Llama_B1_B9_36_diagnostic_stratum,0.5623413251903491,36,0.1,FROZEN_RECORDED_STATE_NO_ENDPOINT_PREDICTION,0.886736361009532,0.910863189888871,0.9246592822855756,0.6833472070694661,0.7177064070840717,0.7315111420824449,0.8922358555889671,0.9154010237849838,0.9290157627916498,0.9829299055048822,0.9867019920697044,0.9898886760031694,-1.6132494200232883,-1.2547181029034293,-0.9597264287462215,4.477660321648466,5.072041695916596,5.760214296066766,0.006094985914561701,0.007816071918456291,0.010073220771248725,0.16591390476219073,0.17214494116582285,0.1915246523665442,0,0.5,1,18
Llama_B1_B9_36_diagnostic_stratum,1.0,36,0.1,FROZEN_RECORDED_STATE_NO_ENDPOINT_PREDICTION,0.8093641213488635,0.8475624751533988,0.8705408436548002,0.5186296733251353,0.5635465233308079,0.5817137236861613,0.8216673483253445,0.8579876835745934,0.8803675543163446,0.960740132031986,0.9689526038882906,0.9755455191267381,-3.8322267673129073,-3.03606047596342,-2.39404211638935,7.711337885988169,8.628350342946934,9.69438630557918,0.018004884791711473,0.022507462024977443,0.02835613577997842,0.27039277596510664,0.2801151470160134,0.3079958823902474,0,1.0,1,20
Llama_B10_4_diagnostic_stratum,0.001,4,0.1,FROZEN_RECORDED_STATE_NO_ENDPOINT_PREDICTION,1.0000000265444782,1.0000000268310347,1.0000000268311102,1.000000053661942,1.00000005366221,1.000000054539309,1.000000026544478,1.0000000268310347,1.0000000268311102,0.0,0.0,0.0018772529631532401,-5.611220784892956e-08,0.0,0.0,0.0,0.0,8.537736462515939e-07,0.0,0.0,2.220446049250313e-16,2.6830970795353112e-08,2.6831104618445123e-08,2.8029334286654395e-08,0,0.0,0,0
Llama_B10_4_diagnostic_stratum,0.0017782794100389228,4,0.1,FROZEN_RECORDED_STATE_NO_ENDPOINT_PREDICTION,1.0000000263358013,1.0000000266201052,1.00000002662018,1.0000000532400837,1.0000000532403495,1.0000000541105536,1.000000026335801,1.0000000266201052,1.0000000266201798,0.0,0.0,0.0018772529675644457,-5.567108729304798e-08,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.6620041698877818e-08,2.6620174392415064e-08,2.780898437709594e-08,0,0.0,0,0
Llama_B10_4_diagnostic_stratum,0.0031622776601683794,4,0.1,FROZEN_RECORDED_STATE_NO_ENDPOINT_PREDICTION,1.0000000259647153,1.0000000262450133,1.000000026245087,1.0000000524899015,1.0000000524901635,1.0000000533481057,1.000000025964715,1.0000000262450133,1.0000000262450868,0.0,0.0,0.0018772529754088113,-5.488665073653809e-08,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.6244950578012906e-08,2.6245081415831778e-08,2.7417140272787915e-08,0,0.0,0,0
Llama_B10_4_diagnostic_stratum,0.005623413251903491,4,0.1,FROZEN_RECORDED_STATE_NO_ENDPOINT_PREDICTION,1.0000000253048207,1.0000000255779948,1.0000000255780668,1.0000000511558678,1.0000000511561233,1.000000051992261,1.0000000253048207,1.0000000255779948,1.0000000255780668,0.0,0.0,0.0018772529893582796,-5.349170390488156e-08,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.557793375869734e-08,2.5578061352572735e-08,2.672033233846809e-08,0,0.0,0,0
Llama_B10_4_diagnostic_stratum,0.01,4,0.1,FROZEN_RECORDED_STATE_NO_ENDPOINT_PREDICTION,1.000000024131344,1.0000000243918499,1.0000000243919185,1.0000000487835838,1.0000000487838272,1.00000004958119,1.0000000241313438,1.0000000243918499,1.0000000243919185,0.0,0.0,0.0018772530141643337,-5.1011098491961226e-08,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.4391791796630696e-08,2.439191332491348e-08,2.5481213069718435e-08,0,0.0,0,0
Llama_B10_4_diagnostic_stratum,0.01778279410038923,4,0.1,FROZEN_RECORDED_STATE_NO_ENDPOINT_PREDICTION,1.000000022044574,1.0000000222825527,1.0000000222826153,1.0000000445649992,1.0000000445652217,1.000000045293632,1.0000000220445737,1.0000000222825527,1.000000022282615,0.0,0.0,0.0018772530582764342,-4.659988844454843e-08,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.2282499515945742e-08,2.2282610523366547e-08,2.3277712407639145e-08,0,0.0,0,0
