arm,batch,comparison,metric,n,before,after,lost,gained,retained,both_failure,strict_lost,strict_gained,delta_pp,delta_new_nll_mean,delta_new_nll_p00,delta_new_nll_p50,delta_new_nll_p95,delta_new_nll_p99,delta_new_nll_p100,delta_true_nll_mean,delta_true_nll_p00,delta_true_nll_p50,delta_true_nll_p95,delta_true_nll_p99,delta_true_nll_p100,delta_desired_nll_mean,delta_desired_nll_p00,delta_desired_nll_p50,delta_desired_nll_p95,delta_desired_nll_p99,delta_desired_nll_p100,desired_nll_worse_count
F48,5,OWN_N4_TO_SELECTED_SAME_ENTRY,PS,200,195,187,8,0,187,5,18,2,-4.0,0.2761557247665769,-4.516459099948406,0.1163021232932806,1.5903982818126676,2.684791051149368,3.8348512649536133,-0.9533816938102245,-6.896161198616028,-0.9727311134338379,1.577640151977539,5.406263399124142,9.750375747680664,0.2761557247665769,-4.516459099948406,0.1163021232932806,1.5903982818126676,2.684791051149368,3.8348512649536133,174
F48,5,OWN_N4_TO_SELECTED_SAME_ENTRY,NS,1000,854,865,1,12,853,134,6,15,1.1,0.10145842096582056,-3.7431249618530273,0.05204486846923828,0.5562342166900635,1.7929326248168926,6.433548927307129,-0.02207885725190863,-5.030765056610107,-0.0020523574203252792,0.1707478642463684,0.291121253967285,7.680545806884766,-0.02207885725190863,-5.030765056610107,-0.0020523574203252792,0.1707478642463684,0.291121253967285,7.680545806884766,472
F48,10,OWN_N4_TO_SELECTED_SAME_ENTRY,RS,100,100,100,0,0,100,0,0,0,0.0,0.0034165407933323877,-0.28505586879327893,0.002178774229832925,0.026169672622927454,0.03911761874915118,0.07302750274538994,-1.6334990406036376,-6.2309417724609375,-1.8215084075927734,1.621829795837396,4.71224965095521,6.488539695739746,0.0034165407933323877,-0.28505586879327893,0.002178774229832925,0.026169672622927454,0.03911761874915118,0.07302750274538994,92
F48,10,OWN_N4_TO_SELECTED_SAME_ENTRY,PS,200,198,196,2,0,196,2,10,3,-1.0,0.12102468439690711,-6.740281343460083,0.0369405928067863,1.4914213277399528,2.5892806959152215,3.796659469604492,-0.8739908254146576,-5.948579788208008,-0.7721624374389648,1.0020571231842041,4.69398833751675,11.449653625488281,0.12102468439690711,-6.740281343460083,0.0369405928067863,1.4914213277399528,2.5892806959152215,3.796659469604492,158
F48,10,OWN_N4_TO_SELECTED_SAME_ENTRY,NS,1000,826,833,1,8,825,166,2,5,0.7,0.038688042499125004,-9.229698657989502,0.03349113464355469,0.4014221429824829,1.1777552771568296,2.4395265579223633,-0.027852570364717395,-3.595478057861328,0.0009730570018291473,0.1617730617523193,0.34908657550811745,1.9736807346343994,-0.027852570364717395,-3.595478057861328,0.0009730570018291473,0.1617730617523193,0.34908657550811745,1.9736807346343994,513
G48,1,OWN_N4_TO_SELECTED_SAME_ENTRY,RS,100,100,100,0,0,100,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
G48,1,OWN_N4_TO_SELECTED_SAME_ENTRY,PS,200,194,194,0,0,194,6,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
G48,1,OWN_N4_TO_SELECTED_SAME_ENTRY,NS,1000,865,865,0,0,865,135,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
G48,5,OWN_N4_TO_SELECTED_SAME_ENTRY,RS,100,100,100,0,0,100,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
G48,5,OWN_N4_TO_SELECTED_SAME_ENTRY,PS,200,196,196,0,0,196,4,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
G48,5,OWN_N4_TO_SELECTED_SAME_ENTRY,NS,1000,855,855,0,0,855,145,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
G48,10,OWN_N4_TO_SELECTED_SAME_ENTRY,RS,100,100,100,0,0,100,0,0,0,0.0,0.004726355435832374,-0.048149412497878075,0.0027760655793827027,0.01808179600629955,0.03969154015998364,0.055411025416105986,-1.4902290296554566,-5.141948699951172,-1.7128615379333496,1.6419362068176215,9.033910741806034,9.595010757446289,0.004726355435832374,-0.048149412497878075,0.0027760655793827027,0.01808179600629955,0.03969154015998364,0.055411025416105986,91
G48,10,OWN_N4_TO_SELECTED_SAME_ENTRY,PS,200,192,192,2,2,190,6,5,2,0.0,0.13524298278513014,-4.259764552116394,0.043065915117040277,1.3116670966148363,2.8211617326736422,4.7931482791900635,-0.6407470414042473,-4.819800853729248,-0.5673856735229492,1.7286064624786306,5.695382285118103,6.106598854064941,0.13524298278513014,-4.259764552116394,0.043065915117040277,1.3116670966148363,2.8211617326736422,4.7931482791900635,155
G48,10,OWN_N4_TO_SELECTED_SAME_ENTRY,NS,1000,812,813,5,6,807,182,2,2,0.1,0.05559581009671092,-1.634343147277832,0.037700533866882324,0.33247308731079095,0.7749048423767089,2.5609853267669678,-0.013942461726721376,-1.5521550178527832,-0.0012025237083435059,0.18533430099487305,0.45383265018463137,5.087568283081055,-0.013942461726721376,-1.5521550178527832,-0.0012025237083435059,0.18533430099487305,0.45383265018463137,5.087568283081055,483
C4,1,OWN_N4_TO_SELECTED_SAME_ENTRY,RS,100,100,100,0,0,100,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
C4,1,OWN_N4_TO_SELECTED_SAME_ENTRY,PS,200,194,194,0,0,194,6,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
C4,1,OWN_N4_TO_SELECTED_SAME_ENTRY,NS,1000,865,865,0,0,865,135,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
C4,5,OWN_N4_TO_SELECTED_SAME_ENTRY,RS,100,100,100,0,0,100,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
C4,5,OWN_N4_TO_SELECTED_SAME_ENTRY,PS,200,193,193,0,0,193,7,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
C4,5,OWN_N4_TO_SELECTED_SAME_ENTRY,NS,1000,859,859,0,0,859,141,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
C4,10,OWN_N4_TO_SELECTED_SAME_ENTRY,RS,100,99,99,0,0,99,1,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
C4,10,OWN_N4_TO_SELECTED_SAME_ENTRY,PS,200,193,193,0,0,193,7,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
C4,10,OWN_N4_TO_SELECTED_SAME_ENTRY,NS,1000,814,814,0,0,814,186,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
C48,1,OWN_N4_TO_SELECTED_SAME_ENTRY,RS,100,100,100,0,0,100,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
C48,1,OWN_N4_TO_SELECTED_SAME_ENTRY,PS,200,194,194,0,0,194,6,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
C48,1,OWN_N4_TO_SELECTED_SAME_ENTRY,NS,1000,865,865,0,0,865,135,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
C48,5,OWN_N4_TO_SELECTED_SAME_ENTRY,RS,100,100,100,0,0,100,0,0,0,0.0,0.004398392676484945,-0.008299853536300361,0.001747096364852041,0.015010157681535928,0.045215350342914726,0.09563674544915557,-1.2886528730392457,-4.324260711669922,-1.4431037902832031,0.1532164096832269,6.77276838302613,8.087421417236328,0.004398392676484945,-0.008299853536300361,0.001747096364852041,0.015010157681535928,0.045215350342914726,0.09563674544915557,95
C48,5,OWN_N4_TO_SELECTED_SAME_ENTRY,PS,200,192,190,3,1,189,7,8,0,-1.0,0.1973247646910022,-2.9175238609313965,0.08883636817336082,1.0576239347457879,1.6037562668323482,2.319706030189991,-0.6366260122321546,-4.337960720062256,-0.5924391746520996,0.8224043369293212,3.7445727062225274,7.058555603027344,0.1973247646910022,-2.9175238609313965,0.08883636817336082,1.0576239347457879,1.6037562668323482,2.319706030189991,172
C48,5,OWN_N4_TO_SELECTED_SAME_ENTRY,NS,1000,861,853,9,1,852,138,3,4,-0.8,-0.013491220325231552,-6.512119770050049,0.02857518196105957,0.28432028293609607,0.7968101811408984,3.2602531909942627,0.034647560844605324,-3.663031578063965,-6.92903995513916e-05,0.14805634021759023,1.5971262627840022,7.635750770568848,0.034647560844605324,-3.663031578063965,-6.92903995513916e-05,0.14805634021759023,1.5971262627840022,7.635750770568848,497
C48,10,OWN_N4_TO_SELECTED_SAME_ENTRY,RS,100,99,99,0,0,99,1,0,0,0.0,-0.012362122411232121,-2.4113179445266724,0.0039740928914397955,0.05076484498858916,0.10396352981915719,0.14550633332692087,-1.913221389055252,-7.293143272399902,-2.1295318603515625,4.030271244049071,6.919282588958742,7.227983474731445,-0.012362122411232121,-2.4113179445266724,0.0039740928914397955,0.05076484498858916,0.10396352981915719,0.14550633332692087,86
C48,10,OWN_N4_TO_SELECTED_SAME_ENTRY,PS,200,191,183,10,2,181,7,18,6,-4.0,0.40801585138397056,-3.0392110347747803,0.09723624493926764,2.167435906082391,4.673317496776573,6.003945350646973,-0.9863566446304322,-6.484884738922119,-0.8047375679016113,1.3062108039855886,5.333963022232041,8.527896165847778,0.40801585138397056,-3.0392110347747803,0.09723624493926764,2.167435906082391,4.673317496776573,6.003945350646973,158
C48,10,OWN_N4_TO_SELECTED_SAME_ENTRY,NS,1000,810,821,2,13,808,177,6,5,1.1,0.10761922768503428,-2.8290582299232483,0.05089378356933594,0.5216355562210083,1.6955904912948594,4.906692862510681,-0.03426031163684092,-5.439375877380371,-7.816508878022432e-05,0.22977002859115586,0.6727997303009033,1.6545305252075195,-0.03426031163684092,-5.439375877380371,-7.816508878022432e-05,0.22977002859115586,0.6727997303009033,1.6545305252075195,499
C45678,1,OWN_N4_TO_SELECTED_SAME_ENTRY,RS,100,100,100,0,0,100,0,0,0,0.0,1.6415617501479574e-05,-2.382439561188221e-07,7.3857372626662254e-06,5.6998047512024614e-05,8.793723303824705e-05,0.00016791094094514847,-0.015120968818664551,-0.04184913635253906,-0.013556480407714844,-0.003714847564697267,-0.000683307647705052,0.004367828369140625,1.6415617501479574e-05,-2.382439561188221e-07,7.3857372626662254e-06,5.6998047512024614e-05,8.793723303824705e-05,0.00016791094094514847,99
C45678,1,OWN_N4_TO_SELECTED_SAME_ENTRY,PS,200,194,194,0,0,194,6,0,0,0.0,0.003580072976183146,-0.008193016052246094,0.001064293086528778,0.015946227312088012,0.0434155213832855,0.046927452087402344,-0.007677088975906372,-0.0328822135925293,-0.006788015365600586,0.0040529727935790984,0.00753986358642573,0.021170616149902344,0.003580072976183146,-0.008193016052246094,0.001064293086528778,0.015946227312088012,0.0434155213832855,0.046927452087402344,180
C45678,1,OWN_N4_TO_SELECTED_SAME_ENTRY,NS,1000,865,865,0,0,865,135,0,1,0.0,0.0011538178094197065,-0.01864910125732422,0.0005617141723632812,0.00494117736816406,0.013675704002380365,0.06085681915283203,-0.00022330498055089264,-0.04453754425048828,7.75754451751709e-05,0.0017853498458862281,0.0041007089614868136,0.015325546264648438,-0.00022330498055089264,-0.04453754425048828,7.75754451751709e-05,0.0017853498458862281,0.0041007089614868136,0.015325546264648438,575
C45678,5,OWN_N4_TO_SELECTED_SAME_ENTRY,RS,100,100,100,0,0,100,0,0,0,0.0,0.008205958857215591,-0.014762816135771573,0.0032404900484834798,0.038361507497029365,0.0681555179925636,0.0793302902020514,-1.6402589082717896,-9.857303619384766,-2.129380702972412,4.775377893447875,6.248607368469245,7.581231117248535,0.008205958857215591,-0.014762816135771573,0.0032404900484834798,0.038361507497029365,0.0681555179925636,0.0793302902020514,84
C45678,5,OWN_N4_TO_SELECTED_SAME_ENTRY,PS,200,195,192,7,4,188,1,18,8,-1.5,0.1982956418567119,-6.736220359802246,0.07241220772266388,1.6599832326173756,3.814580955505356,5.82856822013855,-0.7294240459799767,-9.49392318725586,-0.7544839382171631,3.5209371328353822,6.399069932699196,8.67967414855957,0.1982956418567119,-6.736220359802246,0.07241220772266388,1.6599832326173756,3.814580955505356,5.82856822013855,146
C45678,5,OWN_N4_TO_SELECTED_SAME_ENTRY,NS,1000,852,851,11,10,841,138,6,18,-0.1,0.07500279188342393,-7.399839401245117,0.05337858200073242,0.6632031202316283,2.0709009170532227,4.4031325578689575,0.021662259160890245,-2.1874494552612305,-0.007607936859130859,0.228209090232849,1.902466046810138,11.32027268409729,0.021662259160890245,-2.1874494552612305,-0.007607936859130859,0.228209090232849,1.902466046810138,11.32027268409729,441
C45678,10,OWN_N4_TO_SELECTED_SAME_ENTRY,RS,100,99,100,0,1,99,0,0,1,1.0,-0.007980576235022454,-1.6609168779104948,0.003170403273543343,0.03543172229547052,0.07237667825778805,0.13675840385985794,-1.9363795414566993,-8.82266616821289,-2.2448320388793945,1.9693223953246983,7.1023996591568,7.298763751983643,-0.007980576235022454,-1.6609168779104948,0.003170403273543343,0.03543172229547052,0.07237667825778805,0.13675840385985794,91
C45678,10,OWN_N4_TO_SELECTED_SAME_ENTRY,PS,200,192,191,5,4,187,4,13,11,-0.5,0.13548573225169094,-5.542826443910599,0.06228230893611908,1.7647627264261243,3.075659925937649,5.234067916870117,-0.7616895264387131,-4.771140098571777,-0.8139054775238037,2.5053247928619378,4.727699390649779,10.400907397270203,0.13548573225169094,-5.542826443910599,0.06228230893611908,1.7647627264261243,3.075659925937649,5.234067916870117,154
C45678,10,OWN_N4_TO_SELECTED_SAME_ENTRY,NS,1000,812,815,4,7,808,181,1,5,0.3,0.04547888257354498,-4.76131796836853,0.03489947319030762,0.4085292816162104,1.1614711189270006,3.0213732719421387,-0.022567871577572077,-2.812443733215332,-0.002182222902774811,0.2038955926895141,0.45179294109344453,2.9803388118743896,-0.022567871577572077,-2.812443733215332,-0.002182222902774811,0.2038955926895141,0.45179294109344453,2.9803388118743896,477
