comparison,after_arm,before_arm,metric,n,before,after,lost,gained,retained,both_failure,strict_lost,strict_gained,delta_pp,delta_new_nll_mean,delta_new_nll_p00,delta_new_nll_p50,delta_new_nll_p95,delta_new_nll_p99,delta_new_nll_p100,delta_true_nll_mean,delta_true_nll_p00,delta_true_nll_p50,delta_true_nll_p95,delta_true_nll_p99,delta_true_nll_p100,delta_desired_nll_mean,delta_desired_nll_p00,delta_desired_nll_p50,delta_desired_nll_p95,delta_desired_nll_p99,delta_desired_nll_p100,desired_nll_worse_count,ci95_low,ci95_high,bootstrap_repetitions,bootstrap_seed,cluster_unit,cases
C45678-C48,C45678,C48,RS,1000,999,1000,0,1,999,0,1,2,0.1,0.00656552872528664,-1.5031807671766728,-5.7413679314777255e-05,0.009810930374078451,0.04755813145078715,4.360998272895813,0.26015816342830655,-10.97901439666748,0.08641242980957031,4.636715030670165,7.5519804191589355,12.383671760559082,0.00656552872528664,-1.5031807671766728,-5.7413679314777255e-05,0.009810930374078451,0.04755813145078715,4.360998272895813,442,0.0,0.3,2000,20260918,CASE_NOT_PROMPT,1000
C45678-C48,C45678,C48,PS,2000,1916,1936,17,37,1899,47,99,104,1.0,-0.08869380390574952,-15.378784388303757,-0.0013608436565846205,1.4465587377548217,3.4747480022907253,10.944738388061523,0.17815544555103408,-11.188177108764648,0.06585574150085449,3.871571695804596,6.3705206894874555,16.547924160957336,-0.08869380390574952,-15.378784388303757,-0.0013608436565846205,1.4465587377548217,3.4747480022907253,10.944738388061523,944,0.25,1.8499999999999999,2000,20260918,CASE_NOT_PROMPT,1000
C45678-C48,C45678,C48,NS,10000,8170,8112,203,145,7967,1685,182,138,-0.58,-0.10463686831445083,-10.098324298858643,-0.07999825477600098,1.0309034407138808,2.0248175096511876,8.519554138183594,0.00947124909631093,-11.314085006713867,0.00045260973274707794,1.1489402770996084,2.5210360574722293,11.959115266799927,0.00947124909631093,-11.314085006713867,0.00045260973274707794,1.1489402770996084,2.5210360574722293,11.959115266799927,5026,-0.9600000000000001,-0.19,2000,20260918,CASE_NOT_PROMPT,1000
F48-N4,F48,N4,RS,1000,999,1000,0,1,999,0,0,5,0.1,0.009306540931697782,-3.7720401287078857,0.0017609347269171849,0.025051464058924465,0.0783885814156383,10.079355239868164,-1.1445709250867366,-14.619215965270996,-1.4661550521850586,5.583049106597898,9.549789991378784,14.355424404144287,0.009306540931697782,-3.7720401287078857,0.0017609347269171849,0.025051464058924465,0.0783885814156383,10.079355239868164,821,0.0,0.3,2000,20260918,CASE_NOT_PROMPT,1000
F48-N4,F48,N4,PS,2000,1934,1909,50,25,1884,41,149,75,-1.25,0.20048042022743176,-8.87968385219574,0.03214009397197515,2.2841587632894513,4.632597336173057,10.939518332481384,-0.4937537316940725,-11.659099102020264,-0.5062220096588135,4.594749343395233,8.700318002700804,12.94228982925415,0.20048042022743176,-8.87968385219574,0.03214009397197515,2.2841587632894513,4.632597336173057,10.939518332481384,1333,-2.1999999999999997,-0.3,2000,20260918,CASE_NOT_PROMPT,1000
F48-N4,F48,N4,NS,10000,8026,8324,126,424,7900,1550,178,389,2.98,0.520288835656418,-8.179164409637451,0.3646512031555176,2.614513635635376,4.513267507553106,13.064489364624023,-0.14509611407648773,-12.333475112915039,-0.01651453971862793,1.345637249946593,2.7972889518737825,10.233853340148926,-0.14509611407648773,-12.333475112915039,-0.01651453971862793,1.345637249946593,2.7972889518737825,10.233853340148926,4763,2.43,3.5202499999999985,2000,20260918,CASE_NOT_PROMPT,1000
G48-N4,G48,N4,RS,1000,999,1000,0,1,999,0,0,5,0.1,-0.011618677220752034,-3.9070078134536743,3.7049452657811344e-05,0.009288079975522104,0.039402988527435796,0.570985242491588,-0.2272167018353939,-13.432988166809082,-0.15658140182495117,3.7888103485107414,5.919886796474455,11.637447506189346,-0.011618677220752034,-3.9070078134536743,3.7049452657811344e-05,0.009288079975522104,0.039402988527435796,0.570985242491588,542,0.0,0.3,2000,20260918,CASE_NOT_PROMPT,1000
G48-N4,G48,N4,PS,2000,1934,1938,22,26,1912,40,94,77,0.2,0.06612626863667175,-13.214329242706299,0.0009251644223695621,1.557189548015594,4.569658815860747,9.960560321807861,-0.04905344419926405,-10.830611228942871,0.013072490692138672,3.3309687137603743,5.647137908935546,10.110716819763184,0.06612626863667175,-13.214329242706299,0.0009251644223695621,1.557189548015594,4.569658815860747,9.960560321807861,1047,-0.5499999999999999,0.95,2000,20260918,CASE_NOT_PROMPT,1000
G48-N4,G48,N4,NS,10000,8026,8088,140,202,7886,1772,129,191,0.62,0.08755278647350678,-6.985514163970947,0.05389881134033203,1.1855862617492672,2.2438196754455575,5.546730041503906,-0.020124587370676454,-10.94497537612915,-8.292403072118759e-05,0.973048138618468,2.2137176036834747,12.396828174591064,-0.020124587370676454,-10.94497537612915,-8.292403072118759e-05,0.973048138618468,2.2137176036834747,12.396828174591064,4992,0.23000000000000004,1.02,2000,20260918,CASE_NOT_PROMPT,1000
C48-N4,C48,N4,RS,1000,999,999,0,0,999,1,1,4,0.0,0.004144904268876416,-4.832178711891174,0.0004013849393231794,0.015605640789726745,0.06478947332827371,13.098958015441895,-0.7287351555526257,-12.452265739440918,-0.5555629730224609,3.831105995178222,8.206321039199826,16.693076133728027,0.004144904268876416,-4.832178711891174,0.0004013849393231794,0.015605640789726745,0.06478947332827371,13.098958015441895,689,0.0,0.0,2000,20260918,CASE_NOT_PROMPT,1000
C48-N4,C48,N4,PS,2000,1934,1916,40,22,1894,44,116,75,-0.9,0.16330332516114504,-9.719683468341827,0.011152023682370782,2.0638324320316306,3.9924351948499672,8.312147557735443,-0.36978033549152317,-12.413100242614746,-0.22739028930664062,3.139708387851714,6.2657129144668575,12.020045280456543,0.16330332516114504,-9.719683468341827,0.011152023682370782,2.0638324320316306,3.9924351948499672,8.312147557735443,1257,-1.7999999999999998,0.05,2000,20260918,CASE_NOT_PROMPT,1000
C48-N4,C48,N4,NS,10000,8026,8170,123,267,7903,1707,118,274,1.44,0.20306350594459,-8.856659650802612,0.14513063430786133,1.5340344071388232,2.962443819046025,7.184081077575684,-0.0745925613593834,-12.556021451950073,-0.011968404054641724,1.017354905605316,2.3596835136413596,14.899562358856201,-0.0745925613593834,-12.556021451950073,-0.011968404054641724,1.017354905605316,2.3596835136413596,14.899562358856201,4777,0.96,1.9300000000000002,2000,20260918,CASE_NOT_PROMPT,1000
C45678-N4,C45678,N4,RS,1000,999,1000,0,1,999,0,0,4,0.1,0.010710432994163056,-2.8577782337670214,0.00020096980733796954,0.016630755015648896,0.05466570921125821,15.729708671569824,-0.4685769921243191,-13.739764213562012,-0.3455677032470703,4.007726526260376,7.133272056579582,15.729714393615723,0.010710432994163056,-2.8577782337670214,0.00020096980733796954,0.016630755015648896,0.05466570921125821,15.729708671569824,634,0.0,0.3,2000,20260918,CASE_NOT_PROMPT,1000
C45678-N4,C45678,N4,PS,2000,1934,1936,30,32,1904,34,120,84,0.1,0.07460952125539552,-14.915437906980515,0.007637395523488522,1.7767326697707173,4.152845175266265,9.18301311135292,-0.1916248899404891,-9.858672499656677,-0.1601734161376953,3.7377819061279283,6.692067004442214,14.541399478912354,0.07460952125539552,-14.915437906980515,0.007637395523488522,1.7767326697707173,4.152845175266265,9.18301311135292,1172,-0.75,0.95,2000,20260918,CASE_NOT_PROMPT,1000
C45678-N4,C45678,N4,NS,10000,8026,8112,173,259,7853,1715,119,231,0.86,0.09842663763013916,-8.388864517211914,0.07422852516174316,1.4432419300079307,2.690949797630314,9.864768981933594,-0.06512131226307247,-8.919505596160889,-0.015116076916456223,1.0629633426666245,2.293132119178772,14.876954555511475,-0.06512131226307247,-8.919505596160889,-0.015116076916456223,1.0629633426666245,2.293132119178772,14.876954555511475,4725,0.37,1.3699999999999999,2000,20260918,CASE_NOT_PROMPT,1000
