endpoint,panel,metric,denominator,baseline_success_denominator,lost,gained,unchanged_success,unchanged_failure,loss_rate_among_baseline_success,paired_identity_root
Middle-B060,cohort_B011,PS,200,193,0,0,193,7,0.0,69350125316ef3371e7c5b6caa1ebeaa84473dfd6266524c0633af26dee93181
Middle-B060,cohort_B011,NS,1000,676,13,6,663,318,0.019230769230769232,2a1e8235712417fe6adebfc452ca34ae46cc6ae98b381ec54faf4ae1e8334519
Middle-B060,cohort_B012,RS,100,99,0,0,99,1,0.0,8a4508a439931acf66d9b34db7ed4b1253747b2f8fd4a18b9ee86d6025660239
Middle-B060,cohort_B012,PS,200,195,0,1,195,4,0.0,8120804312ab51fa1bcb657ed11a2755903f9c07d6411009d4b428a3631e442e
Middle-B060,cohort_B012,NS,1000,734,4,6,730,260,0.005449591280653951,51f2281f5f50645165d49ea14d16be1d311f3b0a3834efabf411ef7888f718fe
Middle-B060,cohort_B013,RS,100,100,0,0,100,0,0.0,b2c5a815ab7636c16cb4f31ba8235baf270f9668cc2b89a47437b71959542d61
Middle-B060,cohort_B013,PS,200,188,0,1,188,11,0.0,4023172df970706ace1d259336b1e43fb6ff86ed13a50e1fb857b24b0e6ba890
Middle-B060,cohort_B013,NS,1000,707,8,5,699,288,0.011315417256011316,e27f05c9c91f6aec80237bc0ddf57996328d10852d1e681ba1dd3041726b20b2
Middle-B060,cohort_B014,RS,100,99,0,0,99,1,0.0,a5336d47006f816a8337f25d9cfc13c4ca3bc575015164f34d39d2f466041e6f
Middle-B060,cohort_B014,PS,200,187,1,0,186,13,0.0053475935828877,972e2f3abb0860fbf6fcd7a5f9f2b0425e438af4de3a1fc0799e562c43a0bbfb
Middle-B060,cohort_B014,NS,1000,692,9,7,683,301,0.01300578034682081,8de118edb2a7ca3932bd75720f5ec6f7af5b9d58bbb3b99c08f4cbf1b847a970
Middle-B060,cohort_B015,RS,100,100,0,0,100,0,0.0,2334412f6ba151219fb4f69dbd3af61d1bf4cd51724d6129466ecd3a439d3b20
Middle-B060,cohort_B015,PS,200,198,0,0,198,2,0.0,8a4178416c9877d14d1e501d8a942d1b7150b38475e69abb0a9265aac556a09a
Middle-B060,cohort_B015,NS,1000,657,13,8,644,335,0.0197869101978691,ddf8c88cf4d77db081ef6c3a23f55afa70e9d2fdf94b9d028841688fda02c7ba
Middle-B060,cohort_B016,RS,100,100,0,0,100,0,0.0,eb3f1aa457fb2ed749a0e09ce6152e804145a7e0d86421d4721bc4bb1ad5d68b
Middle-B060,cohort_B016,PS,200,198,0,0,198,2,0.0,6471ddc30c57a673a45063a83e5143e831718f094e615cbb366fbaaf88f94280
Middle-B060,cohort_B016,NS,1000,619,7,9,612,372,0.011308562197092083,174545a93a3ff663be2983cb9c86247760a2290506846adfceb3df3b407b9602
Middle-B060,cohort_B017,RS,100,99,0,0,99,1,0.0,43829a921be0a255ea1b0029d8791cefc96f9b51755dad17a01def56781152cb
Middle-B060,cohort_B017,PS,200,192,0,2,192,6,0.0,b72a61b26e45a6de1a4feedd90dfa34d5390958c60a78dd510f88a8dfdd3c8d5
Middle-B060,cohort_B017,NS,1000,699,6,9,693,292,0.008583690987124463,52ac0c9619880f8db7a4f3c6e3d6fba6c5e338e0a696c6272981cc00f06a4ea2
Middle-B060,cohort_B018,RS,100,100,0,0,100,0,0.0,af590a06e0638ecc6b65612ace474fec8a591315c1c670748e22799d27a5686d
