endpoint,panel,metric,requests,denominator,baseline_numerator,replay_numerator,baseline_rate,replay_rate,delta_pp,baseline_ties,replay_ties,comparison,status,baseline_new_strict_numerator,baseline_new_strict_denominator,baseline_new_token_correct,baseline_new_token_denominator,replay_new_strict_numerator,replay_new_strict_denominator,replay_new_token_correct,replay_new_token_denominator,baseline_true_strict_numerator,baseline_true_strict_denominator,baseline_true_token_correct,baseline_true_token_denominator,replay_true_strict_numerator,replay_true_strict_denominator,replay_true_token_correct,replay_true_token_denominator
Middle-B060,cohort_B026,RS,100,100,100,100,1.0,1.0,0.0,0,0,SAME_ENDPOINT_BASELINE_TO_REPLAY,OBSERVED,98,100,101,103,98,100,101,103,0,100,0,100,0,100,0,100
Middle-B060,cohort_B026,PS,100,200,193,193,0.965,0.965,0.0,0,0,SAME_ENDPOINT_BASELINE_TO_REPLAY,OBSERVED,135,200,141,206,137,200,143,206,3,200,3,200,2,200,2,200
Middle-B060,cohort_B026,NS,100,1000,691,694,0.691,0.694,0.3,0,0,SAME_ENDPOINT_BASELINE_TO_REPLAY,OBSERVED,36,1000,65,1030,33,1000,63,1030,77,1000,77,1000,81,1000,81,1000
Middle-B060,cohort_B027,RS,100,100,100,100,1.0,1.0,0.0,0,0,SAME_ENDPOINT_BASELINE_TO_REPLAY,OBSERVED,97,100,98,101,97,100,98,101,0,100,0,100,0,100,0,100
Middle-B060,cohort_B027,PS,100,200,190,191,0.95,0.955,0.5,0,0,SAME_ENDPOINT_BASELINE_TO_REPLAY,OBSERVED,147,200,148,202,146,200,147,202,3,200,3,200,3,200,3,200
Middle-B060,cohort_B027,NS,100,1000,731,738,0.731,0.738,0.7,0,0,SAME_ENDPOINT_BASELINE_TO_REPLAY,OBSERVED,30,1000,40,1010,29,1000,39,1010,140,1000,140,1000,136,1000,136,1000
Middle-B060,cohort_B028,RS,100,100,99,99,0.99,0.99,0.0,0,0,SAME_ENDPOINT_BASELINE_TO_REPLAY,OBSERVED,96,100,99,103,96,100,99,103,1,100,1,100,1,100,1,100
Middle-B060,cohort_B028,PS,100,200,192,192,0.96,0.96,0.0,0,0,SAME_ENDPOINT_BASELINE_TO_REPLAY,OBSERVED,140,200,146,206,139,200,145,206,2,200,2,200,2,200,2,200
Middle-B060,cohort_B028,NS,100,1000,670,667,0.67,0.667,-0.3,0,0,SAME_ENDPOINT_BASELINE_TO_REPLAY,OBSERVED,52,1000,82,1030,52,1000,82,1030,131,1000,131,1000,136,1000,136,1000
Middle-B060,cohort_B029,RS,100,100,100,100,1.0,1.0,0.0,0,0,SAME_ENDPOINT_BASELINE_TO_REPLAY,OBSERVED,100,100,101,101,100,100,101,101,0,100,1,102,0,100,1,102
Middle-B060,cohort_B029,PS,100,200,191,192,0.955,0.96,0.5,0,0,SAME_ENDPOINT_BASELINE_TO_REPLAY,OBSERVED,130,200,132,202,131,200,133,202,0,200,2,204,0,200,2,204
Middle-B060,cohort_B029,NS,100,1000,651,648,0.651,0.648,-0.3,0,0,SAME_ENDPOINT_BASELINE_TO_REPLAY,OBSERVED,51,1000,61,1010,49,1000,59,1010,77,1000,93,1020,75,1000,91,1020
Middle-B060,cohort_B030,RS,100,100,100,100,1.0,1.0,0.0,0,0,SAME_ENDPOINT_BASELINE_TO_REPLAY,OBSERVED,97,100,98,101,97,100,98,101,0,100,1,102,0,100,1,102
Middle-B060,cohort_B030,PS,100,200,187,188,0.935,0.94,0.5,0,0,SAME_ENDPOINT_BASELINE_TO_REPLAY,OBSERVED,138,200,140,202,138,200,140,202,3,200,7,204,2,200,5,204
Middle-B060,cohort_B030,NS,100,1000,663,667,0.663,0.667,0.4,0,0,SAME_ENDPOINT_BASELINE_TO_REPLAY,OBSERVED,54,1000,64,1010,52,1000,62,1010,75,1000,94,1020,78,1000,97,1020
Middle-B060,cohort_B031,RS,100,100,100,100,1.0,1.0,0.0,0,0,SAME_ENDPOINT_BASELINE_TO_REPLAY,OBSERVED,99,100,100,101,99,100,100,101,0,100,0,100,0,100,0,100
Middle-B060,cohort_B031,PS,100,200,194,194,0.97,0.97,0.0,0,0,SAME_ENDPOINT_BASELINE_TO_REPLAY,OBSERVED,135,200,137,202,132,200,134,202,1,200,1,200,1,200,1,200
Middle-B060,cohort_B031,NS,100,1000,688,686,0.688,0.686,-0.2,0,0,SAME_ENDPOINT_BASELINE_TO_REPLAY,OBSERVED,41,1000,41,1010,39,1000,39,1010,125,1000,125,1000,125,1000,125,1000
Middle-B060,cohort_B032,RS,100,100,100,100,1.0,1.0,0.0,0,0,SAME_ENDPOINT_BASELINE_TO_REPLAY,OBSERVED,96,100,97,101,96,100,97,101,0,100,0,100,0,100,0,100
Middle-B060,cohort_B032,PS,100,200,199,199,0.995,0.995,0.0,0,0,SAME_ENDPOINT_BASELINE_TO_REPLAY,OBSERVED,151,200,153,202,153,200,155,202,0,200,0,200,0,200,0,200
Middle-B060,cohort_B032,NS,100,1000,727,728,0.727,0.728,0.1,0,0,SAME_ENDPOINT_BASELINE_TO_REPLAY,OBSERVED,36,1000,46,1010,32,1000,42,1010,101,1000,101,1000,104,1000,104,1000
Middle-B060,cohort_B033,RS,100,100,100,100,1.0,1.0,0.0,0,0,SAME_ENDPOINT_BASELINE_TO_REPLAY,OBSERVED,96,100,98,102,96,100,98,102,0,100,1,101,0,100,1,101
Middle-B060,cohort_B033,PS,100,200,193,193,0.965,0.965,0.0,0,0,SAME_ENDPOINT_BASELINE_TO_REPLAY,OBSERVED,140,200,144,204,144,200,148,204,2,200,4,202,2,200,4,202
Middle-B060,cohort_B033,NS,100,1000,645,644,0.645,0.644,-0.1,0,0,SAME_ENDPOINT_BASELINE_TO_REPLAY,OBSERVED,52,1000,69,1020,52,1000,69,1020,72,1000,81,1010,75,1000,84,1010
Middle-B060,cohort_B034,RS,100,100,100,100,1.0,1.0,0.0,0,0,SAME_ENDPOINT_BASELINE_TO_REPLAY,OBSERVED,99,100,101,102,99,100,101,102,0,100,1,101,0,100,1,101
Middle-B060,cohort_B034,PS,100,200,196,196,0.98,0.98,0.0,0,0,SAME_ENDPOINT_BASELINE_TO_REPLAY,OBSERVED,141,200,144,204,142,200,145,204,0,200,2,202,0,200,2,202
Middle-B060,cohort_B034,NS,100,1000,703,703,0.703,0.703,0.0,0,0,SAME_ENDPOINT_BASELINE_TO_REPLAY,OBSERVED,49,1000,59,1020,47,1000,57,1020,131,1000,141,1010,136,1000,146,1010
Middle-B060,cohort_B035,RS,100,100,100,100,1.0,1.0,0.0,0,0,SAME_ENDPOINT_BASELINE_TO_REPLAY,OBSERVED,99,100,101,102,99,100,101,102,0,100,1,101,0,100,1,101
Middle-B060,cohort_B035,PS,100,200,193,193,0.965,0.965,0.0,0,0,SAME_ENDPOINT_BASELINE_TO_REPLAY,OBSERVED,137,200,141,204,137,200,141,204,1,200,3,202,0,200,2,202
Middle-B060,cohort_B035,NS,100,1000,691,695,0.691,0.695,0.4,0,0,SAME_ENDPOINT_BASELINE_TO_REPLAY,OBSERVED,42,1000,62,1020,42,1000,62,1020,86,1000,95,1010,87,1000,96,1010
Middle-B060,cohort_B036,RS,100,100,100,100,1.0,1.0,0.0,0,0,SAME_ENDPOINT_BASELINE_TO_REPLAY,OBSERVED,98,100,100,102,98,100,100,102,0,100,1,101,0,100,1,101
Middle-B060,cohort_B036,PS,100,200,196,197,0.98,0.985,0.5,0,0,SAME_ENDPOINT_BASELINE_TO_REPLAY,OBSERVED,146,200,150,204,147,200,151,204,0,200,2,202,0,200,2,202
Middle-B060,cohort_B036,NS,100,1000,673,682,0.673,0.682,0.9,0,0,SAME_ENDPOINT_BASELINE_TO_REPLAY,OBSERVED,25,1000,43,1020,23,1000,41,1020,78,1000,88,1010,78,1000,88,1010
Middle-B060,cohort_B037,RS,100,100,99,99,0.99,0.99,0.0,0,0,SAME_ENDPOINT_BASELINE_TO_REPLAY,OBSERVED,97,100,99,102,97,100,99,102,0,100,1,101,0,100,1,101
Middle-B060,cohort_B037,PS,100,200,193,194,0.965,0.97,0.5,0,0,SAME_ENDPOINT_BASELINE_TO_REPLAY,OBSERVED,148,200,152,204,148,200,152,204,1,200,3,202,1,200,3,202
Middle-B060,cohort_B037,NS,100,1000,712,713,0.712,0.713,0.1,0,0,SAME_ENDPOINT_BASELINE_TO_REPLAY,OBSERVED,47,1000,67,1020,48,1000,68,1020,106,1000,115,1010,111,1000,120,1010
Middle-B060,cohort_B038,RS,100,100,100,100,1.0,1.0,0.0,0,0,SAME_ENDPOINT_BASELINE_TO_REPLAY,OBSERVED,97,100,97,100,96,100,96,100,0,100,0,100,0,100,0,100
Middle-B060,cohort_B038,PS,100,200,193,194,0.965,0.97,0.5,0,0,SAME_ENDPOINT_BASELINE_TO_REPLAY,OBSERVED,130,200,130,200,132,200,132,200,2,200,2,200,0,200,0,200
Middle-B060,cohort_B038,NS,100,1000,724,727,0.724,0.727,0.3,0,0,SAME_ENDPOINT_BASELINE_TO_REPLAY,OBSERVED,58,1000,58,1000,59,1000,59,1000,99,1000,99,1000,103,1000,103,1000
Middle-B060,cohort_B039,RS,100,100,100,100,1.0,1.0,0.0,0,0,SAME_ENDPOINT_BASELINE_TO_REPLAY,OBSERVED,99,100,100,101,99,100,100,101,0,100,2,102,0,100,2,102
Middle-B060,cohort_B039,PS,100,200,195,196,0.975,0.98,0.5,0,0,SAME_ENDPOINT_BASELINE_TO_REPLAY,OBSERVED,147,200,149,202,147,200,149,202,0,200,4,204,0,200,4,204
Middle-B060,cohort_B039,NS,100,1000,731,733,0.731,0.733,0.2,0,0,SAME_ENDPOINT_BASELINE_TO_REPLAY,OBSERVED,53,1000,63,1010,51,1000,61,1010,113,1000,131,1020,106,1000,124,1020
Middle-B060,cohort_B040,RS,100,100,100,100,1.0,1.0,0.0,0,0,SAME_ENDPOINT_BASELINE_TO_REPLAY,OBSERVED,99,100,99,100,99,100,99,100,0,100,1,101,0,100,1,101
Middle-B060,cohort_B040,PS,100,200,198,198,0.99,0.99,0.0,0,0,SAME_ENDPOINT_BASELINE_TO_REPLAY,OBSERVED,138,200,138,200,142,200,142,200,0,200,2,202,0,200,2,202
