cohort,view,start_batch,end_batch,age_batches,metric_tag,anchor_is_arrival_current,joint_margin_definition,rows,requests,n11,n10,n01,n00,start_success,end_success,loss_numerator,loss_denominator,gain_numerator,gain_denominator,net_success_delta,margin_delta_mean,strict_start,strict_end,strict_lost,strict_gained,token_correct_start,token_correct_end,token_denominator_start,token_denominator_end
adjacent_checkpoint_matched,original_all_case,1,5,,NS,False,paired_target_mean_NLL,1000,100,837,30,9,124,867,846,30,867,9,133,-21,-0.6338992755183135,153,155,18,20,182,185,1030,1030
adjacent_checkpoint_matched,original_all_case,1,5,,RP_JOINT,False,minimum RS/PS safety margin,100,100,92,0,3,5,92,95,0,92,3,8,3,0.2090997955756029,46,49,1,4,232,234,303,303
adjacent_checkpoint_matched,interval_target_conflict_free,1,5,,RS,False,paired_target_mean_NLL,100,100,100,0,0,0,100,100,0,100,0,0,0,-0.3868894567384995,100,100,0,0,101,101,101,101
adjacent_checkpoint_matched,interval_target_conflict_free,1,5,,PS,False,paired_target_mean_NLL,200,100,190,0,3,7,190,193,0,190,3,10,3,0.1309608072640549,129,131,3,5,131,133,202,202
adjacent_checkpoint_matched,interval_target_conflict_free,1,5,,NS,False,paired_target_mean_NLL,1000,100,837,30,9,124,867,846,30,867,9,133,-21,-0.6338992755183135,153,155,18,20,182,185,1030,1030
adjacent_checkpoint_matched,interval_target_conflict_free,1,5,,RP_JOINT,False,minimum RS/PS safety margin,100,100,92,0,3,5,92,95,0,92,3,8,3,0.2090997955756029,46,49,1,4,232,234,303,303
adjacent_checkpoint_matched,separate_active_version,1,5,,RS,False,paired_target_mean_NLL,100,100,100,0,0,0,100,100,0,100,0,0,0,-0.3868894567384995,100,100,0,0,101,101,101,101
adjacent_checkpoint_matched,separate_active_version,1,5,,PS,False,paired_target_mean_NLL,200,100,190,0,3,7,190,193,0,190,3,10,3,0.1309608072640549,129,131,3,5,131,133,202,202
adjacent_checkpoint_matched,separate_active_version,1,5,,NS,False,paired_target_mean_NLL,1000,100,837,30,9,124,867,846,30,867,9,133,-21,-0.6338992755183135,153,155,18,20,182,185,1030,1030
adjacent_checkpoint_matched,separate_active_version,1,5,,RP_JOINT,False,minimum RS/PS safety margin,100,100,92,0,3,5,92,95,0,92,3,8,3,0.2090997955756029,46,49,1,4,232,234,303,303
age,original_all_case,1,5,4.0,RS,True,paired_target_mean_NLL,100,100,100,0,0,0,100,100,0,100,0,0,0,-0.3868894567384995,100,100,0,0,101,101,101,101
age,original_all_case,1,5,4.0,PS,True,paired_target_mean_NLL,200,100,190,0,3,7,190,193,0,190,3,10,3,0.1309608072640549,129,131,3,5,131,133,202,202
age,original_all_case,1,5,4.0,NS,True,paired_target_mean_NLL,1000,100,837,30,9,124,867,846,30,867,9,133,-21,-0.6338992755183135,153,155,18,20,182,185,1030,1030
age,original_all_case,1,5,4.0,RP_JOINT,True,minimum RS/PS safety margin,100,100,92,0,3,5,92,95,0,92,3,8,3,0.2090997955756029,46,49,1,4,232,234,303,303
age,interval_target_conflict_free,1,5,4.0,RS,True,paired_target_mean_NLL,100,100,100,0,0,0,100,100,0,100,0,0,0,-0.3868894567384995,100,100,0,0,101,101,101,101
age,interval_target_conflict_free,1,5,4.0,PS,True,paired_target_mean_NLL,200,100,190,0,3,7,190,193,0,190,3,10,3,0.1309608072640549,129,131,3,5,131,133,202,202
age,interval_target_conflict_free,1,5,4.0,NS,True,paired_target_mean_NLL,1000,100,837,30,9,124,867,846,30,867,9,133,-21,-0.6338992755183135,153,155,18,20,182,185,1030,1030
age,interval_target_conflict_free,1,5,4.0,RP_JOINT,True,minimum RS/PS safety margin,100,100,92,0,3,5,92,95,0,92,3,8,3,0.2090997955756029,46,49,1,4,232,234,303,303
age,separate_active_version,1,5,4.0,RS,True,paired_target_mean_NLL,100,100,100,0,0,0,100,100,0,100,0,0,0,-0.3868894567384995,100,100,0,0,101,101,101,101
age,separate_active_version,1,5,4.0,PS,True,paired_target_mean_NLL,200,100,190,0,3,7,190,193,0,190,3,10,3,0.1309608072640549,129,131,3,5,131,133,202,202
age,separate_active_version,1,5,4.0,NS,True,paired_target_mean_NLL,1000,100,837,30,9,124,867,846,30,867,9,133,-21,-0.6338992755183135,153,155,18,20,182,185,1030,1030
age,separate_active_version,1,5,4.0,RP_JOINT,True,minimum RS/PS safety margin,100,100,92,0,3,5,92,95,0,92,3,8,3,0.2090997955756029,46,49,1,4,232,234,303,303
age,original_all_case,2,5,3.0,RS,True,paired_target_mean_NLL,100,100,100,0,0,0,100,100,0,100,0,0,0,0.0434084976499434,100,99,1,0,102,101,102,102
age,original_all_case,2,5,3.0,PS,True,paired_target_mean_NLL,200,100,188,0,1,11,188,189,0,188,1,12,1,0.1225825950540456,129,130,2,3,133,134,204,204
age,original_all_case,2,5,3.0,NS,True,paired_target_mean_NLL,1000,100,834,29,11,126,863,845,29,863,11,137,-18,-0.615454790377582,188,181,27,20,198,191,1010,1010
age,original_all_case,2,5,3.0,RP_JOINT,True,minimum RS/PS safety margin,100,100,91,0,0,9,91,91,0,91,0,9,0,0.1523507872555637,49,48,1,0,235,235,306,306
age,interval_target_conflict_free,2,5,3.0,RS,True,paired_target_mean_NLL,100,100,100,0,0,0,100,100,0,100,0,0,0,0.0434084976499434,100,99,1,0,102,101,102,102
age,interval_target_conflict_free,2,5,3.0,PS,True,paired_target_mean_NLL,200,100,188,0,1,11,188,189,0,188,1,12,1,0.1225825950540456,129,130,2,3,133,134,204,204
age,interval_target_conflict_free,2,5,3.0,NS,True,paired_target_mean_NLL,1000,100,834,29,11,126,863,845,29,863,11,137,-18,-0.615454790377582,188,181,27,20,198,191,1010,1010
age,interval_target_conflict_free,2,5,3.0,RP_JOINT,True,minimum RS/PS safety margin,100,100,91,0,0,9,91,91,0,91,0,9,0,0.1523507872555637,49,48,1,0,235,235,306,306
age,separate_active_version,2,5,3.0,RS,True,paired_target_mean_NLL,100,100,100,0,0,0,100,100,0,100,0,0,0,0.0434084976499434,100,99,1,0,102,101,102,102
age,separate_active_version,2,5,3.0,PS,True,paired_target_mean_NLL,200,100,188,0,1,11,188,189,0,188,1,12,1,0.1225825950540456,129,130,2,3,133,134,204,204
age,separate_active_version,2,5,3.0,NS,True,paired_target_mean_NLL,1000,100,834,29,11,126,863,845,29,863,11,137,-18,-0.615454790377582,188,181,27,20,198,191,1010,1010
age,separate_active_version,2,5,3.0,RP_JOINT,True,minimum RS/PS safety margin,100,100,91,0,0,9,91,91,0,91,0,9,0,0.1523507872555637,49,48,1,0,235,235,306,306
age,original_all_case,3,5,2.0,RS,True,paired_target_mean_NLL,100,100,100,0,0,0,100,100,0,100,0,0,0,-0.0290144575312297,100,100,0,0,102,102,102,102
age,original_all_case,3,5,2.0,PS,True,paired_target_mean_NLL,200,100,191,0,1,8,191,192,0,191,1,9,1,-0.0269439684619101,122,123,2,3,126,127,204,204
age,original_all_case,3,5,2.0,NS,True,paired_target_mean_NLL,1000,100,849,17,5,129,866,854,17,866,5,134,-12,-0.3116304390885052,170,172,13,15,200,202,1030,1030
age,original_all_case,3,5,2.0,RP_JOINT,True,minimum RS/PS safety margin,100,100,92,0,0,8,92,92,0,92,0,8,0,-0.0251268670283025,44,46,1,3,228,229,306,306
age,interval_target_conflict_free,3,5,2.0,RS,True,paired_target_mean_NLL,100,100,100,0,0,0,100,100,0,100,0,0,0,-0.0290144575312297,100,100,0,0,102,102,102,102
age,interval_target_conflict_free,3,5,2.0,PS,True,paired_target_mean_NLL,200,100,191,0,1,8,191,192,0,191,1,9,1,-0.0269439684619101,122,123,2,3,126,127,204,204
age,interval_target_conflict_free,3,5,2.0,NS,True,paired_target_mean_NLL,1000,100,849,17,5,129,866,854,17,866,5,134,-12,-0.3116304390885052,170,172,13,15,200,202,1030,1030
age,interval_target_conflict_free,3,5,2.0,RP_JOINT,True,minimum RS/PS safety margin,100,100,92,0,0,8,92,92,0,92,0,8,0,-0.0251268670283025,44,46,1,3,228,229,306,306
age,separate_active_version,3,5,2.0,RS,True,paired_target_mean_NLL,100,100,100,0,0,0,100,100,0,100,0,0,0,-0.0290144575312297,100,100,0,0,102,102,102,102
age,separate_active_version,3,5,2.0,PS,True,paired_target_mean_NLL,200,100,191,0,1,8,191,192,0,191,1,9,1,-0.0269439684619101,122,123,2,3,126,127,204,204
age,separate_active_version,3,5,2.0,NS,True,paired_target_mean_NLL,1000,100,849,17,5,129,866,854,17,866,5,134,-12,-0.3116304390885052,170,172,13,15,200,202,1030,1030
age,separate_active_version,3,5,2.0,RP_JOINT,True,minimum RS/PS safety margin,100,100,92,0,0,8,92,92,0,92,0,8,0,-0.0251268670283025,44,46,1,3,228,229,306,306
age,original_all_case,4,5,1.0,RS,True,paired_target_mean_NLL,100,100,100,0,0,0,100,100,0,100,0,0,0,-0.0294301159773931,100,100,0,0,101,101,101,101
age,original_all_case,4,5,1.0,PS,True,paired_target_mean_NLL,200,100,197,0,0,3,197,197,0,197,0,3,0,-0.0074777347452618,149,149,0,0,151,151,202,202
age,original_all_case,4,5,1.0,NS,True,paired_target_mean_NLL,1000,100,795,12,9,184,807,804,12,807,9,193,-3,-0.105749881839507,188,175,19,6,188,175,1000,1000
age,original_all_case,4,5,1.0,RP_JOINT,True,minimum RS/PS safety margin,100,100,97,0,0,3,97,97,0,97,0,3,0,-0.0368098800611915,56,56,0,0,252,252,303,303
age,interval_target_conflict_free,4,5,1.0,RS,True,paired_target_mean_NLL,100,100,100,0,0,0,100,100,0,100,0,0,0,-0.0294301159773931,100,100,0,0,101,101,101,101
age,interval_target_conflict_free,4,5,1.0,PS,True,paired_target_mean_NLL,200,100,197,0,0,3,197,197,0,197,0,3,0,-0.0074777347452618,149,149,0,0,151,151,202,202
age,interval_target_conflict_free,4,5,1.0,NS,True,paired_target_mean_NLL,1000,100,795,12,9,184,807,804,12,807,9,193,-3,-0.105749881839507,188,175,19,6,188,175,1000,1000
age,interval_target_conflict_free,4,5,1.0,RP_JOINT,True,minimum RS/PS safety margin,100,100,97,0,0,3,97,97,0,97,0,3,0,-0.0368098800611915,56,56,0,0,252,252,303,303
age,separate_active_version,4,5,1.0,RS,True,paired_target_mean_NLL,100,100,100,0,0,0,100,100,0,100,0,0,0,-0.0294301159773931,100,100,0,0,101,101,101,101
age,separate_active_version,4,5,1.0,PS,True,paired_target_mean_NLL,200,100,197,0,0,3,197,197,0,197,0,3,0,-0.0074777347452618,149,149,0,0,151,151,202,202
age,separate_active_version,4,5,1.0,NS,True,paired_target_mean_NLL,1000,100,795,12,9,184,807,804,12,807,9,193,-3,-0.105749881839507,188,175,19,6,188,175,1000,1000
age,separate_active_version,4,5,1.0,RP_JOINT,True,minimum RS/PS safety margin,100,100,97,0,0,3,97,97,0,97,0,3,0,-0.0368098800611915,56,56,0,0,252,252,303,303
age,original_all_case,5,5,0.0,RS,True,paired_target_mean_NLL,100,100,100,0,0,0,100,100,0,100,0,0,0,0.0,100,100,0,0,101,101,101,101
age,original_all_case,5,5,0.0,PS,True,paired_target_mean_NLL,200,100,194,0,0,6,194,194,0,194,0,6,0,0.0,125,125,0,0,127,127,202,202
age,original_all_case,5,5,0.0,NS,True,paired_target_mean_NLL,1000,100,856,0,0,144,856,856,0,856,0,144,0,0.0,243,243,0,0,243,243,1000,1000
age,original_all_case,5,5,0.0,RP_JOINT,True,minimum RS/PS safety margin,100,100,95,0,0,5,95,95,0,95,0,5,0,0.0,47,47,0,0,228,228,303,303
age,interval_target_conflict_free,5,5,0.0,RS,True,paired_target_mean_NLL,100,100,100,0,0,0,100,100,0,100,0,0,0,0.0,100,100,0,0,101,101,101,101
age,interval_target_conflict_free,5,5,0.0,PS,True,paired_target_mean_NLL,200,100,194,0,0,6,194,194,0,194,0,6,0,0.0,125,125,0,0,127,127,202,202
age,interval_target_conflict_free,5,5,0.0,NS,True,paired_target_mean_NLL,1000,100,856,0,0,144,856,856,0,856,0,144,0,0.0,243,243,0,0,243,243,1000,1000
age,interval_target_conflict_free,5,5,0.0,RP_JOINT,True,minimum RS/PS safety margin,100,100,95,0,0,5,95,95,0,95,0,5,0,0.0,47,47,0,0,228,228,303,303
age,separate_active_version,5,5,0.0,RS,True,paired_target_mean_NLL,100,100,100,0,0,0,100,100,0,100,0,0,0,0.0,100,100,0,0,101,101,101,101
age,separate_active_version,5,5,0.0,PS,True,paired_target_mean_NLL,200,100,194,0,0,6,194,194,0,194,0,6,0,0.0,125,125,0,0,127,127,202,202
age,separate_active_version,5,5,0.0,NS,True,paired_target_mean_NLL,1000,100,856,0,0,144,856,856,0,856,0,144,0,0.0,243,243,0,0,243,243,1000,1000
age,separate_active_version,5,5,0.0,RP_JOINT,True,minimum RS/PS safety margin,100,100,95,0,0,5,95,95,0,95,0,5,0,0.0,47,47,0,0,228,228,303,303
at_write,original_all_case,0,10,,RS,True,paired_target_mean_NLL,1000,1000,998,1,0,1,999,998,1,999,0,1,-1,-0.1641436321773089,999,995,4,0,1014,1010,1015,1015
at_write,original_all_case,0,10,,PS,True,paired_target_mean_NLL,2000,1000,1930,5,13,52,1935,1943,5,1935,13,65,8,0.0031638035036012,1327,1347,20,40,1356,1376,2030,2030
at_write,original_all_case,0,10,,NS,True,paired_target_mean_NLL,10000,1000,7948,418,124,1510,8366,8072,418,8366,124,1634,-294,-0.6742450738238557,1948,1813,323,188,2057,1923,10110,10110
at_write,original_all_case,0,10,,RP_JOINT,True,minimum RS/PS safety margin,1000,1000,946,2,8,44,948,954,2,948,8,52,6,0.0289488513627438,495,513,7,25,2370,2386,3045,3045
at_write,interval_target_conflict_free,0,10,,RS,True,paired_target_mean_NLL,999,999,997,1,0,1,998,997,1,998,0,1,-1,-0.1546135904261825,998,995,3,0,1013,1010,1014,1014
at_write,interval_target_conflict_free,0,10,,PS,True,paired_target_mean_NLL,1998,999,1930,4,13,51,1934,1943,4,1934,13,64,9,0.0054918383669849,1326,1347,19,40,1355,1376,2028,2028
at_write,interval_target_conflict_free,0,10,,NS,True,paired_target_mean_NLL,9990,999,7941,417,124,1508,8358,8065,417,8358,124,1632,-293,-0.6741079230971267,1948,1812,323,187,2057,1922,10100,10100
at_write,interval_target_conflict_free,0,10,,RP_JOINT,True,minimum RS/PS safety margin,999,999,946,2,8,43,948,954,2,948,8,51,6,0.0292093567819953,495,513,7,25,2368,2386,3042,3042
at_write,separate_active_version,0,10,,RS,True,paired_target_mean_NLL,999,999,997,1,0,1,998,997,1,998,0,1,-1,-0.1546135904261825,998,995,3,0,1013,1010,1014,1014
at_write,separate_active_version,0,10,,PS,True,paired_target_mean_NLL,1998,999,1930,4,13,51,1934,1943,4,1934,13,64,9,0.0054918383669849,1326,1347,19,40,1355,1376,2028,2028
at_write,separate_active_version,0,10,,NS,True,paired_target_mean_NLL,9990,999,7941,417,124,1508,8358,8065,417,8358,124,1632,-293,-0.6741079230971267,1948,1812,323,187,2057,1922,10100,10100
at_write,separate_active_version,0,10,,RP_JOINT,True,minimum RS/PS safety margin,999,999,946,2,8,43,948,954,2,948,8,51,6,0.0292093567819953,495,513,7,25,2368,2386,3042,3042
first100,original_all_case,1,10,,RS,False,paired_target_mean_NLL,100,100,100,0,0,0,100,100,0,100,0,0,0,-0.6376016403250105,100,99,1,0,101,100,101,101
first100,original_all_case,1,10,,PS,False,paired_target_mean_NLL,200,100,189,1,4,6,190,193,1,190,4,10,3,0.0832974413759075,129,133,6,10,131,135,202,202
first100,original_all_case,1,10,,NS,False,paired_target_mean_NLL,1000,100,810,57,18,115,867,828,57,867,18,133,-39,-1.2915795617454569,153,139,39,25,182,169,1030,1030
first100,original_all_case,1,10,,RP_JOINT,False,minimum RS/PS safety margin,100,100,92,0,3,5,92,95,0,92,3,8,3,0.2777179469721159,46,52,2,8,232,235,303,303
first100,interval_target_conflict_free,1,10,,RS,False,paired_target_mean_NLL,99,99,99,0,0,0,99,99,0,99,0,0,0,-0.5462172595045302,99,99,0,0,100,100,100,100
first100,interval_target_conflict_free,1,10,,PS,False,paired_target_mean_NLL,198,99,189,0,4,5,189,193,0,189,4,9,4,0.1075988602283589,128,133,5,10,130,135,200,200
first100,interval_target_conflict_free,1,10,,NS,False,paired_target_mean_NLL,990,99,803,56,18,113,859,821,56,859,18,131,-38,-1.2964312881284812,153,138,39,24,182,168,1020,1020
first100,interval_target_conflict_free,1,10,,RP_JOINT,False,minimum RS/PS safety margin,99,99,92,0,3,4,92,95,0,92,3,7,3,0.2828595026230411,46,52,2,8,230,235,300,300
first100,separate_active_version,1,10,,RS,False,paired_target_mean_NLL,99,99,99,0,0,0,99,99,0,99,0,0,0,-0.5462172595045302,99,99,0,0,100,100,100,100
first100,separate_active_version,1,10,,PS,False,paired_target_mean_NLL,198,99,189,0,4,5,189,193,0,189,4,9,4,0.1075988602283589,128,133,5,10,130,135,200,200
first100,separate_active_version,1,10,,NS,False,paired_target_mean_NLL,990,99,803,56,18,113,859,821,56,859,18,131,-38,-1.2964312881284812,153,138,39,24,182,168,1020,1020
