arm,panel,metric,numerator,denominator,rate,strict_new_numerator,strict_true_numerator,ties,new_token_correct,new_token_count,true_token_correct,true_token_count,reference_success,loss,recovery,delta_pp,paired_ci_low,paired_ci_high,paired_requests,new_nll_mean,new_nll_median,new_nll_p90,new_nll_max,true_nll_mean,true_nll_median,true_nll_p90,true_nll_max,paired_new_nll_delta_mean,paired_new_nll_delta_median,paired_new_nll_delta_p90,paired_new_nll_delta_max,margin_mean,margin_median,margin_p90,margin_max
OS,Current100,PS,197,200,98.5,152,0,0,153,202,6,206,197,0,0,0.0,0.0,0.0,100,1.089747434007586,0.14968740195035934,3.878957843780515,8.937131881713867,10.521554385423661,10.376604080200195,15.059124755859376,22.742446899414062,-0.10467291455104714,0.001388623844832182,0.09120115339756005,0.9297205209732056,9.431806951416075,9.182140088640153,14.945166884176432,22.732873515225947
OS,Current100,NS,701,1000,70.1,67,90,0,77,1010,120,1030,711,19,9,-1.0,-2.0,0.0,100,8.259065202436876,8.226560592651367,13.666731262207032,20.392004013061523,6.030581869921647,5.592430353164673,10.982758331298829,19.07870101928711,-0.21991217844979838,-0.1371293067932129,0.33656816482543944,7.188525676727295,-2.2284833325152285,-2.5772767066955566,4.649621868133545,19.069136254489422
OS,Fixed100,RS,99,100,99.0,96,0,0,97,101,3,103,100,1,0,-1.0,-3.0,0.0,100,0.258365539969891,0.0066995383240282536,0.21039406210184153,6.858388900756836,12.589224967956543,12.436047554016113,17.494909667968752,27.25693130493164,0.03100764112714387,4.189493847661652e-05,0.018319126218557587,1.081460177898407,12.330859427986653,12.116335135418922,17.490137936727844,27.25661580770975
OS,Fixed100,PS,194,200,97.0,138,1,0,140,202,7,206,194,1,1,0.0,-1.5,1.5,100,1.4084071423561546,0.3940652757883072,4.273219156265258,11.726170539855957,9.628119414150715,9.216106414794922,14.409655952453614,20.83997917175293,-0.09366955673496705,-0.002929877955466509,0.17902833223342887,0.8839513063430786,8.21971227179456,8.031480371952057,13.80733650624752,20.83806471619755
OS,Fixed100,NS,682,1000,68.2,53,75,0,54,1010,105,1030,696,20,6,-1.3999999999999915,-2.5000000000000004,-0.4,100,8.605338336640969,8.759051322937012,14.025452423095706,23.279239654541016,6.572051851254189,6.369413375854492,11.263461112976074,20.252304077148438,-0.0674685652460903,-0.0467534065246582,0.4622585296630861,1.9200124740600586,-2.0332864853867796,-2.1982502937316895,4.250047162175179,12.763025343418121
OS,Past100,RS,100,100,100.0,100,0,0,101,101,3,103,100,0,0,0.0,0.0,0.0,100,0.024498025897191838,0.0025415875716134906,0.02564262542873625,0.5907604098320007,13.568367772102356,13.221603870391846,19.119456100463868,23.313465118408203,-0.0032446116791106762,-1.4468678273260593e-05,0.003115445910952989,0.18491701036691666,13.543869746205164,13.220091555369436,19.060150024504402,23.308368579484522
OS,Past100,PS,192,200,96.0,135,3,0,137,202,9,206,193,1,0,-0.5,-1.5,0.0,100,1.3043964208218677,0.2265072464942932,4.115794229507445,11.68288803100586,10.069124755859375,9.726102352142334,14.336044406890869,21.36885643005371,-0.01535398808962782,-0.004143873695284128,0.10087081789970384,2.5956893265247345,8.764728335037507,8.787657521665096,14.171308004460297,21.368300949863624
OS,Past100,NS,676,1000,67.60000000000001,67,107,0,77,1010,137,1030,686,24,14,-1.0,-2.4000000000000004,0.4,100,7.673221457385575,7.752165079116821,12.401355743408203,20.78075408935547,5.972193599756807,5.630962133407593,10.797560214996338,19.62323760986328,-0.07002261499734595,-0.06122496724128723,0.46766381263732926,1.8032169342041016,-1.7010278576287674,-1.8140134811401367,3.8056163311004645,14.111847400665283
BF1,Current100,RS,100,100,100.0,100,0,0,101,101,3,103,100,0,0,0.0,0.0,0.0,100,0.005076583370537264,0.0015614948351867497,0.006211930792778736,0.2024688869714737,14.269427332878113,14.069140434265137,19.828724288940432,23.46622085571289,-0.021592488475216668,3.812664363067597e-05,0.0008692383882589651,0.007174326106905937,14.264350749507576,14.067858424852602,19.827286838623696,23.465214401483536
BF1,Current100,PS,197,200,98.5,152,0,0,153,202,6,206,197,0,0,0.0,0.0,0.0,100,1.089831813016499,0.1496967300772667,3.8787801742553683,8.937112808227539,10.521210808753967,10.376630306243896,15.05902976989746,22.74176597595215,-0.1045885355421342,0.0013959337957203388,0.09120705425739281,0.9300280809402466,9.431378995737468,9.18241460621357,14.945049385074526,22.732192591764033
BF1,Current100,NS,701,1000,70.1,67,90,0,77,1010,120,1030,711,19,9,-1.0,-2.0,0.0,100,8.259308447069488,8.2256178855896,13.666597175598145,20.39354133605957,6.030390405647457,5.595519542694092,10.982382011413575,19.07939338684082,-0.21966893381718547,-0.1371607780456543,0.3352550506591797,7.184703350067139,-2.2289180414220318,-2.576371192932129,4.649670219421386,19.06987065821886
BF1,Fixed100,RS,99,100,99.0,96,0,0,97,101,3,103,100,1,0,-1.0,-3.0,0.0,100,0.25836000294722905,0.006704452680423856,0.2097008213400846,6.858129978179932,12.587575409412384,12.436728477478027,17.497021675109863,27.257783889770508,0.031002104104481988,4.189493847661652e-05,0.018284965679049716,1.0810722708702087,12.329215406465154,12.115804169559851,17.492255552724238,27.257468511728803
BF1,Fixed100,PS,194,200,97.0,138,1,0,140,202,7,206,194,1,1,0.0,-1.5,1.5,100,1.4085042412852635,0.3942236006259918,4.273803615570067,11.726092338562012,9.628047856986523,9.21604299545288,14.408996677398681,20.83926773071289,-0.09357245780585799,-0.002924748230725527,0.17896993160247796,0.879718542098999,8.219543615701259,8.03039962053299,13.805447636544704,20.837351490394212
BF1,Fixed100,NS,682,1000,68.2,53,75,0,54,1010,105,1030,696,20,6,-1.3999999999999915,-2.5000000000000004,-0.4,100,8.604997450788506,8.759861946105957,14.02541780471802,23.278745651245117,6.571817007464589,6.369054555892944,11.260789394378662,20.25379753112793,-0.06780945109855384,-0.045238494873046875,0.4606520652770998,1.9130420684814453,-2.033180443323916,-2.198207348585129,4.249290490150453,12.760418474674225
BF1,Past100,RS,100,100,100.0,100,0,0,101,101,3,103,100,0,0,0.0,0.0,0.0,100,0.02449866131748422,0.0025436090072616935,0.0256393121555448,0.5904513597488403,13.56796992778778,13.222001552581787,19.118519210815432,23.313533782958984,-0.003243976258818293,-1.3694691006094217e-05,0.003113786526955668,0.18480093032121658,13.543471266470297,13.220488762221066,19.06039790532668,23.308438430074602
BF1,Past100,PS,192,200,96.0,135,3,0,137,202,9,206,193,1,0,-0.5,-1.5,0.0,100,1.3044234523843625,0.22644329071044922,4.114159870147704,11.682364463806152,10.068529107272624,9.725990772247314,14.33613748550415,21.365812301635742,-0.015326956527133007,-0.004129935055971146,0.10114002227783189,2.5933182537555695,8.764105654888262,8.787340017035604,14.171021304675378,21.36525551090017
BF1,Past100,NS,676,1000,67.60000000000001,68,107,0,78,1010,137,1030,686,24,14,-1.0,-2.4000000000000004,0.4,100,7.673090752862278,7.751436710357666,12.40108003616333,20.779741287231445,5.971832195494324,5.6312267780303955,10.797245025634766,19.622114181518555,-0.07015331952064298,-0.06146383285522461,0.46736693382263195,1.7971582412719727,-1.7012585573679535,-1.813995361328125,3.8056738615036014,14.11244249343872
BF8,Current100,RS,100,100,100.0,100,0,0,101,101,3,103,100,0,0,0.0,0.0,0.0,100,0.0050795445738185665,0.0015616733580827713,0.006213518651202327,0.2024436593055725,14.268627519607543,14.068341255187988,19.828777503967288,23.46585464477539,-0.021589527271935367,3.812664363067597e-05,0.0008675073622725917,0.0071847327053546906,14.263547975033726,14.06705870985752,19.827340065746103,23.46484807145316
BF8,Current100,PS,197,200,98.5,152,0,0,153,202,6,206,197,0,0,0.0,0.0,0.0,100,1.089847898199514,0.14973142743110657,3.8788252353668184,8.937150001525879,10.521066821813584,10.376720428466797,15.059100914001466,22.74139976501465,-0.1045724503591191,0.001399151049554348,0.09126100540161126,0.9303866624832153,9.43121892361407,9.182503191754222,14.945108834467828,22.73182626347989
BF8,Current100,NS,701,1000,70.1,67,90,0,77,1010,120,1030,711,19,9,-1.0,-2.0,0.0,100,8.259333036353347,8.22555160522461,13.666688537597656,20.390583038330078,6.030351512640714,5.595448970794678,10.982096290588379,19.08090591430664,-0.21964434453332796,-0.13718557357788086,0.3355614662170411,7.1840643882751465,-2.228981523712631,-2.576322555541992,4.6497838497161865,19.071434315294027
BF8,Fixed100,RS,99,100,99.0,96,0,0,97,101,3,103,100,1,0,-1.0,-3.0,0.0,100,0.25832556166635184,0.006706524640321732,0.2098265647888189,6.858086109161377,12.586847751140594,12.436261177062988,17.49738712310791,27.257783889770508,0.030967662823604768,4.1835348383756354e-05,0.01827469356358074,1.0812974572181702,12.328522189474242,12.11561309651006,17.492620988804266,27.257468511728803
BF8,Fixed100,PS,194,200,97.0,138,1,0,140,202,7,206,194,1,1,0.0,-1.5,1.5,100,1.408532202412025,0.3942265510559082,4.274236774444579,11.726318359375,9.62804174900055,9.215913772583008,14.409743881225586,20.83948516845703,-0.09354449667909648,-0.002924923785030842,0.17916927337646477,0.879109263420105,8.219509546588524,8.03086930513382,13.805130246281623,20.83756940404419
BF8,Fixed100,NS,682,1000,68.2,53,75,0,54,1010,105,1030,696,20,6,-1.3999999999999915,-2.5000000000000004,-0.4,100,8.604788808643818,8.759305000305176,14.025482273101808,23.278566360473633,6.571751818325604,6.368619918823242,11.260594749450684,20.25373649597168,-0.0680180932432413,-0.045046329498291016,0.46042308807373056,1.9081354141235352,-2.0330369903182146,-2.198454886674881,4.249543491005898,12.760130167007446
BF8,Past100,RS,100,100,100.0,100,0,0,101,101,3,103,100,0,0,0.0,0.0,0.0,100,0.024501651573809794,0.002544025075621903,0.02564148548990492,0.5906002521514893,13.567745356559753,13.221900939941406,19.11819763183594,23.312801361083984,-0.0032409860024927182,-1.3754266547039151e-05,0.003113418375141922,0.18472284823656082,13.543243704985944,13.220387674024096,19.060503643969422,23.307704703416675
BF8,Past100,PS,192,200,96.0,135,3,0,137,202,9,206,193,1,0,-0.5,-1.5,0.0,100,1.3044354336471589,0.22640038281679153,4.115223693847655,11.681791305541992,10.068365216851234,9.725959777832031,14.336102390289307,21.363956451416016,-0.01531497526433668,-0.004129170905798674,0.101132297515869,2.5944516956806183,8.763929783204075,8.787258246913552,14.171777838398702,21.36339894577395
BF8,Past100,NS,676,1000,67.60000000000001,68,107,0,78,1010,137,1030,686,24,14,-1.0,-2.4000000000000004,0.4,100,7.673066090016742,7.750992298126221,12.400965213775635,20.77948760986328,5.971729514893144,5.631431341171265,10.797247219085694,19.621631622314453,-0.07017798236617818,-0.061359405517578125,0.4674956321716309,1.7968816757202148,-1.7013365751235978,-1.8140097856521606,3.8057463645935066,14.112402439117432
