arm,component,quantity,value
LEGACY_SCHEDULE_R512_G256,optimizer,duplicate_trials,0
LEGACY_SCHEDULE_R512_G256,optimizer,gradient_rounds,1
LEGACY_SCHEDULE_R512_G256,optimizer,gradient_sweeps,1
LEGACY_SCHEDULE_R512_G256,optimizer,guard_calls,1
LEGACY_SCHEDULE_R512_G256,optimizer,guard_seconds,130.27646697312593
LEGACY_SCHEDULE_R512_G256,optimizer,invariant_calls,1
LEGACY_SCHEDULE_R512_G256,optimizer,invariant_seconds,356.16548164375126
LEGACY_SCHEDULE_R512_G256,optimizer,nonfinite_objective_trials,0
LEGACY_SCHEDULE_R512_G256,optimizer,nonfinite_weight_trials,0
LEGACY_SCHEDULE_R512_G256,optimizer,objective_seconds,2300.196139033884
LEGACY_SCHEDULE_R512_G256,optimizer,objective_trial_sweeps,4
LEGACY_SCHEDULE_R512_G256,optimizer,projection_seconds,14.2363046631217
LEGACY_SCHEDULE_R512_G256,optimizer,proposal_check_seconds,22.31294732913375
LEGACY_SCHEDULE_R512_G256,optimizer,proposal_checks,4
LEGACY_SCHEDULE_R512_G256,optimizer,rejected_trials,3
LEGACY_SCHEDULE_R512_G256,optimizer,shared_initial_gradient_reuses,0
LEGACY_SCHEDULE_R512_G256,reference,autograd_calls,512
LEGACY_SCHEDULE_R512_G256,reference,backward_seconds,223.72096409555525
LEGACY_SCHEDULE_R512_G256,reference,cache_transfer_seconds,0.0
LEGACY_SCHEDULE_R512_G256,reference,cached_backward_documents,512
LEGACY_SCHEDULE_R512_G256,reference,cached_input_tokens,978855
LEGACY_SCHEDULE_R512_G256,reference,cached_suffix_forwards,2560
LEGACY_SCHEDULE_R512_G256,reference,cached_suffix_seconds,267.9461745619774
LEGACY_SCHEDULE_R512_G256,reference,comparison_logit_elements,0
LEGACY_SCHEDULE_R512_G256,reference,finite_trial_model_overflows,0
LEGACY_SCHEDULE_R512_G256,reference,gradient_d2h_bytes,240518168576
LEGACY_SCHEDULE_R512_G256,reference,gradient_d2h_calls,512
LEGACY_SCHEDULE_R512_G256,reference,gradient_sweeps,1
LEGACY_SCHEDULE_R512_G256,reference,head_calls,2560
LEGACY_SCHEDULE_R512_G256,reference,head_loss_seconds,22.04148753825575
LEGACY_SCHEDULE_R512_G256,reference,head_positions,651175
LEGACY_SCHEDULE_R512_G256,reference,kl_documents,2560
LEGACY_SCHEDULE_R512_G256,reference,kl_input_tokens,978855
LEGACY_SCHEDULE_R512_G256,reference,kl_scored_positions,651175
LEGACY_SCHEDULE_R512_G256,reference,kl_sweeps,5
LEGACY_SCHEDULE_R512_G256,reference,live_document_graphs,0
LEGACY_SCHEDULE_R512_G256,reference,peak_live_document_graphs,1
LEGACY_SCHEDULE_R512_G256,reference,physical_backward_documents,0
LEGACY_SCHEDULE_R512_G256,reference,physical_copy_restore_seconds,0.0
LEGACY_SCHEDULE_R512_G256,reference,physical_exact_restores,0
LEGACY_SCHEDULE_R512_G256,reference,physical_full_forwards,0
LEGACY_SCHEDULE_R512_G256,reference,physical_full_seconds,0.0
LEGACY_SCHEDULE_R512_G256,reference,physical_input_tokens,0
LEGACY_SCHEDULE_R512_G256,reference,physical_weight_installs,0
LEGACY_SCHEDULE_R512_G256,reference,prefix_byte_checks,10
LEGACY_SCHEDULE_R512_G256,reference,prefix_forwards,0
LEGACY_SCHEDULE_R512_G256,reference,prefix_hash_bytes,180418042560
LEGACY_SCHEDULE_R512_G256,reference,prefix_hash_seconds,205.2543786065653
LEGACY_SCHEDULE_R512_G256,reference,prefix_input_tokens,0
LEGACY_SCHEDULE_R512_G256,reference,prefix_seconds,0.0
LEGACY_SCHEDULE_R512_G256,reference,prefix_valid_tokens,0
LEGACY_SCHEDULE_R512_G256,reference,retained_prefix_documents_loaded,0
LEGACY_SCHEDULE_R512_G256,reference,retained_prefix_load_seconds,0.0
LEGACY_SCHEDULE_R512_G256,reference,teacher_bytes_read,334068403200
LEGACY_SCHEDULE_R512_G256,reference,teacher_documents_read,2560
LEGACY_SCHEDULE_R512_G256,reference,teacher_h2d_bytes,334068403200
LEGACY_SCHEDULE_R512_G256,reference,teacher_h2d_calls,2560
LEGACY_SCHEDULE_R512_G256,reference,teacher_read_seconds,1449.8338865423575
LEGACY_SCHEDULE_R512_G256,reference,teacher_transfer_seconds,31.52201569546014
LEGACY_SCHEDULE_R512_G256,reference,technical_checks,0
LEGACY_SCHEDULE_R512_G256,reference,technical_documents,0
LEGACY_SCHEDULE_R512_G256,reference,weight_h2d_bytes,1174405120
LEGACY_SCHEDULE_R512_G256,reference,weight_h2d_calls,5
LEGACY_SCHEDULE_R512_G256,reference,weight_prepare_host_seconds,3.258334591984749
LEGACY_SCHEDULE_R512_G256,reference,weight_to_device_calls,2565
LEGACY_SCHEDULE_R512_G256,reference,weight_validation_calls,2565
LEGACY_SCHEDULE_R512_G256,schedule,schedule_entry_pre_timing_seconds,26.959044485352933
LEGACY_SCHEDULE_R512_G256,schedule,wall_seconds,3313.261738304049
REUSE_SCHEDULE_R512_G256,current,backward_seconds,0.0
REUSE_SCHEDULE_R512_G256,current,cache_transfer_seconds,0.0
REUSE_SCHEDULE_R512_G256,current,cached_backward_documents,0
REUSE_SCHEDULE_R512_G256,current,cached_input_tokens,20832
REUSE_SCHEDULE_R512_G256,current,cached_suffix_forwards,1248
REUSE_SCHEDULE_R512_G256,current,cached_suffix_seconds,32.4528938094154
REUSE_SCHEDULE_R512_G256,current,comparison_logit_elements,1335914496
REUSE_SCHEDULE_R512_G256,current,gradient_sweeps,0
REUSE_SCHEDULE_R512_G256,current,head_positions,22128
REUSE_SCHEDULE_R512_G256,current,kl_documents,0
REUSE_SCHEDULE_R512_G256,current,kl_input_tokens,0
REUSE_SCHEDULE_R512_G256,current,kl_scored_positions,0
REUSE_SCHEDULE_R512_G256,current,kl_sweeps,0
REUSE_SCHEDULE_R512_G256,current,physical_backward_documents,0
REUSE_SCHEDULE_R512_G256,current,physical_copy_restore_seconds,0.0
REUSE_SCHEDULE_R512_G256,current,physical_exact_restores,0
REUSE_SCHEDULE_R512_G256,current,physical_full_forwards,0
REUSE_SCHEDULE_R512_G256,current,physical_full_seconds,0.0
REUSE_SCHEDULE_R512_G256,current,physical_input_tokens,0
REUSE_SCHEDULE_R512_G256,current,physical_weight_installs,0
REUSE_SCHEDULE_R512_G256,current,prefix_forwards,0
REUSE_SCHEDULE_R512_G256,current,prefix_input_tokens,0
REUSE_SCHEDULE_R512_G256,current,prefix_seconds,0.0
REUSE_SCHEDULE_R512_G256,current,prefix_valid_tokens,0
REUSE_SCHEDULE_R512_G256,current,teacher_bytes_read,0
REUSE_SCHEDULE_R512_G256,current,teacher_documents_read,0
REUSE_SCHEDULE_R512_G256,current,teacher_read_seconds,0.0
REUSE_SCHEDULE_R512_G256,schedule,excludes_shared_native_geometry_teacher_commit_observer,True
REUSE_SCHEDULE_R512_G256,external_current_weight,H2D_bytes,0
REUSE_SCHEDULE_R512_G256,external_current_weight,H2D_calls,0
REUSE_SCHEDULE_R512_G256,external_current_weight,calls,0
REUSE_SCHEDULE_R512_G256,external_current_weight,cuda_validation_upload_ms,0.0
REUSE_SCHEDULE_R512_G256,external_current_weight,finite_scanned_bytes,0
REUSE_SCHEDULE_R512_G256,external_current_weight,wall_seconds,0.0
REUSE_SCHEDULE_R512_G256,schedule,includes_controller_evidence_IO,True
REUSE_SCHEDULE_R512_G256,schedule,method_gradient_shared,False
REUSE_SCHEDULE_R512_G256,schedule,no_nested_timer_sum,True
REUSE_SCHEDULE_R512_G256,observation,candidate_observations,1
REUSE_SCHEDULE_R512_G256,observation,comparison_head_calls,2050
REUSE_SCHEDULE_R512_G256,observation,current_suffix_forwards,1248
REUSE_SCHEDULE_R512_G256,observation,guard_calls,1
REUSE_SCHEDULE_R512_G256,observation,guard_reuses,0
REUSE_SCHEDULE_R512_G256,observation,hidden_staging_bytes,341311488
REUSE_SCHEDULE_R512_G256,observation,hidden_staging_calls,1248
REUSE_SCHEDULE_R512_G256,observation,input_byte_check_calls,10
REUSE_SCHEDULE_R512_G256,observation,input_hash_bytes,7682008320
REUSE_SCHEDULE_R512_G256,observation,invariant_calls,1
REUSE_SCHEDULE_R512_G256,observation,native_observations,1
REUSE_SCHEDULE_R512_G256,observation,score_rows_calls,2
REUSE_SCHEDULE_R512_G256,optimizer,accepted_rounds,1
REUSE_SCHEDULE_R512_G256,optimizer,attempted_trial_slots,4
REUSE_SCHEDULE_R512_G256,optimizer,duplicate_trials,0
REUSE_SCHEDULE_R512_G256,optimizer,gradient_rounds,1
REUSE_SCHEDULE_R512_G256,optimizer,gradient_sweeps,1
REUSE_SCHEDULE_R512_G256,optimizer,guard_calls,1
REUSE_SCHEDULE_R512_G256,optimizer,guard_seconds,81.42389507591724
REUSE_SCHEDULE_R512_G256,optimizer,invariant_calls,1
REUSE_SCHEDULE_R512_G256,optimizer,invariant_seconds,64.57190455961972
REUSE_SCHEDULE_R512_G256,optimizer,nonfinite_objective_trials,0
REUSE_SCHEDULE_R512_G256,optimizer,nonfinite_weight_trials,0
REUSE_SCHEDULE_R512_G256,optimizer,objective_seconds,2156.493946859613
REUSE_SCHEDULE_R512_G256,optimizer,objective_trial_sweeps,4
REUSE_SCHEDULE_R512_G256,optimizer,projection_seconds,14.812372980639338
REUSE_SCHEDULE_R512_G256,optimizer,proposal_check_seconds,23.637389419600368
REUSE_SCHEDULE_R512_G256,optimizer,proposal_checks,4
REUSE_SCHEDULE_R512_G256,optimizer,rejected_trials,3
REUSE_SCHEDULE_R512_G256,optimizer,shared_initial_gradient_reuses,0
REUSE_SCHEDULE_R512_G256,reference,autograd_calls,512
REUSE_SCHEDULE_R512_G256,reference,backward_seconds,225.89928073063493
REUSE_SCHEDULE_R512_G256,reference,cache_transfer_seconds,0.0
REUSE_SCHEDULE_R512_G256,reference,cached_backward_documents,512
REUSE_SCHEDULE_R512_G256,reference,cached_input_tokens,978855
REUSE_SCHEDULE_R512_G256,reference,cached_suffix_forwards,2560
REUSE_SCHEDULE_R512_G256,reference,cached_suffix_seconds,270.31602969858795
REUSE_SCHEDULE_R512_G256,reference,comparison_logit_elements,0
REUSE_SCHEDULE_R512_G256,reference,finite_trial_model_overflows,0
REUSE_SCHEDULE_R512_G256,reference,gradient_d2h_bytes,240518168576
REUSE_SCHEDULE_R512_G256,reference,gradient_d2h_calls,512
REUSE_SCHEDULE_R512_G256,reference,gradient_sweeps,1
REUSE_SCHEDULE_R512_G256,reference,head_calls,2560
REUSE_SCHEDULE_R512_G256,reference,head_loss_seconds,22.367015899159014
REUSE_SCHEDULE_R512_G256,reference,head_positions,651175
REUSE_SCHEDULE_R512_G256,reference,kl_documents,2560
REUSE_SCHEDULE_R512_G256,reference,kl_input_tokens,978855
REUSE_SCHEDULE_R512_G256,reference,kl_scored_positions,651175
REUSE_SCHEDULE_R512_G256,reference,kl_sweeps,5
REUSE_SCHEDULE_R512_G256,reference,live_document_graphs,0
REUSE_SCHEDULE_R512_G256,reference,peak_live_document_graphs,1
REUSE_SCHEDULE_R512_G256,reference,physical_backward_documents,0
REUSE_SCHEDULE_R512_G256,reference,physical_copy_restore_seconds,0.0
REUSE_SCHEDULE_R512_G256,reference,physical_exact_restores,0
REUSE_SCHEDULE_R512_G256,reference,physical_full_forwards,0
REUSE_SCHEDULE_R512_G256,reference,physical_full_seconds,0.0
REUSE_SCHEDULE_R512_G256,reference,physical_input_tokens,0
REUSE_SCHEDULE_R512_G256,reference,physical_weight_installs,0
REUSE_SCHEDULE_R512_G256,reference,prefix_byte_checks,10
REUSE_SCHEDULE_R512_G256,reference,prefix_forwards,0
REUSE_SCHEDULE_R512_G256,reference,prefix_hash_bytes,180418042560
REUSE_SCHEDULE_R512_G256,reference,prefix_hash_seconds,218.83638032432646
REUSE_SCHEDULE_R512_G256,reference,prefix_input_tokens,0
REUSE_SCHEDULE_R512_G256,reference,prefix_seconds,0.0
REUSE_SCHEDULE_R512_G256,reference,prefix_valid_tokens,0
REUSE_SCHEDULE_R512_G256,reference,retained_prefix_documents_loaded,0
REUSE_SCHEDULE_R512_G256,reference,retained_prefix_load_seconds,0.0
REUSE_SCHEDULE_R512_G256,reference,teacher_bytes_read,334068403200
REUSE_SCHEDULE_R512_G256,reference,teacher_documents_read,2560
REUSE_SCHEDULE_R512_G256,reference,teacher_h2d_bytes,334068403200
REUSE_SCHEDULE_R512_G256,reference,teacher_h2d_calls,2560
REUSE_SCHEDULE_R512_G256,reference,teacher_read_seconds,1213.9757133843377
REUSE_SCHEDULE_R512_G256,reference,teacher_transfer_seconds,31.91102794278413
REUSE_SCHEDULE_R512_G256,reference,technical_checks,0
REUSE_SCHEDULE_R512_G256,reference,technical_documents,0
REUSE_SCHEDULE_R512_G256,reference,weight_h2d_bytes,0
REUSE_SCHEDULE_R512_G256,reference,weight_h2d_calls,0
REUSE_SCHEDULE_R512_G256,reference,weight_prepare_host_seconds,0.0
REUSE_SCHEDULE_R512_G256,reference,weight_to_device_calls,0
REUSE_SCHEDULE_R512_G256,reference,weight_validation_calls,0
REUSE_SCHEDULE_R512_G256,schedule,schedule_entry_pre_timing_seconds,37.0734572596848
REUSE_SCHEDULE_R512_G256,session,bind_seconds,27.592127815820277
REUSE_SCHEDULE_R512_G256,session,candidate_releases,3
REUSE_SCHEDULE_R512_G256,session,device_owner_clones,5
REUSE_SCHEDULE_R512_G256,session,endpoint_binds,5
REUSE_SCHEDULE_R512_G256,session,evaluate_calls,2508
REUSE_SCHEDULE_R512_G256,session,fast_validations,7575
REUSE_SCHEDULE_R512_G256,session,finite_validations,5
REUSE_SCHEDULE_R512_G256,session,full_validations,34
REUSE_SCHEDULE_R512_G256,session,gradient_leaf_bytes,234881024
REUSE_SCHEDULE_R512_G256,session,gradient_leaf_clones,1
REUSE_SCHEDULE_R512_G256,session,hash_bytes,27481079808
REUSE_SCHEDULE_R512_G256,session,hash_calls,117
REUSE_SCHEDULE_R512_G256,session,hash_d2h_bytes,9160359936
REUSE_SCHEDULE_R512_G256,session,hash_d2h_calls,39
REUSE_SCHEDULE_R512_G256,session,hash_seconds,106.4839880457148
REUSE_SCHEDULE_R512_G256,session,inference_h2d_bytes,1174405120
REUSE_SCHEDULE_R512_G256,session,inference_h2d_calls,5
REUSE_SCHEDULE_R512_G256,session,inference_transfer_bytes,1174405120
REUSE_SCHEDULE_R512_G256,session,inference_transfer_calls,5
REUSE_SCHEDULE_R512_G256,session,invalidations,5
REUSE_SCHEDULE_R512_G256,session,readonly_scopes,12
REUSE_SCHEDULE_R512_G256,schedule,wall_seconds,2798.4508321313187
