amplitude,central_curvature_max,central_curvature_mean,central_curvature_median,central_curvature_p90,denominator,derivative_along_GFminus_max,derivative_along_GFminus_mean,derivative_along_GFminus_median,derivative_along_GFminus_p90,entry,metric,panel,quantity,resolution
0.1,0.03691511826003414,0.0013096844710941006,0.00031156083465380793,0.003903047367205204,200,0.20020900501387476,0.008637281000069285,0.0015674986183462822,0.04606545254409336,Late,PS,Current100,new_nll,full
0.1,0.014900566559522474,-0.002293504347472774,-0.0017911723473965366,0.004311434163755614,200,0.3120576680845684,-0.04620085434853936,-0.041469988069331776,0.04628554509513969,Late,PS,Current100,true_nll,full
0.1,0.0018742081334785822,-0.005324536847679322,-0.004066993258803168,-0.000548509303736094,100,0.06278869799697183,-0.06852782694058121,-0.05562959061304779,0.0029654962847653907,Late,RS,Current100,margin,full
0.1,0.0031152853534480007,0.00011574310816454043,2.3888251969855187e-05,0.00010614399380220107,100,0.025353969494250284,0.0008844000567810891,0.00011847474331285839,0.0007110984151605375,Late,RS,Current100,new_nll,full
0.1,0.001911937763813432,-0.005208793739514781,-0.004028959140190691,-0.0005116391876304984,100,0.06276180206734486,-0.06764342688380012,-0.05563063915363366,0.0030517393450483214,Late,RS,Current100,true_nll,full
0.1,0.04354989498625493,-0.0005352811740589158,-0.00035740035399054197,0.005084641088895682,1000,0.19850070299040182,-0.03861753830074249,-0.029694223086445988,0.03931454589231959,Late,NS,Fixed100,margin,full
0.1,0.03264691757136741,0.0003452777787946042,0.0002834179367261375,0.004866991345164151,1000,0.46136255799514875,0.009794640788786092,0.00866688817483232,0.07779793714629561,Late,NS,Fixed100,new_nll,full
0.1,0.04120784375736511,-0.00019000339526431165,-8.395553723877268e-05,0.004437131741323472,1000,0.3669333358838654,-0.028822897511956398,-0.021409498874508416,0.041046675984425685,Late,NS,Fixed100,true_nll,full
0.1,0.028326018010108846,-0.0032957377980604723,-0.0036315529753938765,0.003888714407169313,200,0.3082095701507905,-0.005398903920518286,-0.01380780437862593,0.11374550130846452,Late,PS,Fixed100,margin,full
0.1,0.027506544874760414,0.0014148207439418604,0.0007172996545201161,0.006145595191478031,200,0.1523333002041396,-0.007764715458105567,-3.998502789375884e-05,0.04011143988486011,Late,PS,Fixed100,new_nll,full
0.1,0.025154021869897507,-0.0018809170541186125,-0.0017806552390599302,0.004859955762345868,200,0.1909435041898727,-0.013163619378623852,-0.009872430425574296,0.0817382804784077,Late,PS,Fixed100,true_nll,full
0.1,0.020082599698204213,-0.002092271392699548,-0.0023766040079174966,0.004924617845670601,100,0.23458795946483738,0.019682743718605657,0.012744850144696777,0.1483151049994449,Late,RS,Fixed100,margin,full
0.1,0.02699261186953581,0.0003615891912130007,4.067428608864549e-05,0.0011488852881018144,100,0.11164905621303374,-0.016914450010005886,-0.00012549922791066826,0.002057780525866347,Late,RS,Fixed100,new_nll,full
0.1,0.016017193337743558,-0.0017306822014865467,-0.0020323405213221687,0.004034870480393685,100,0.22221898785184346,0.0027682937085997694,-0.002120822862636798,0.10880923281520108,Late,RS,Fixed100,true_nll,full
0.1,0.04060356335164543,-0.0006810595725166766,-0.0004061779771379067,0.003933761176798996,1000,0.32346384849506826,-0.03054483554545032,-0.024422808701361945,0.04285160020243462,Late,NS,Past100,margin,full
0.1,0.032574748448643796,0.0003310072975132266,0.000448790398846571,0.004820172080120844,1000,0.2645847116949242,0.006469565459365375,0.005163436951470999,0.07299529218909258,Late,NS,Past100,new_nll,full
0.1,0.05057858728528151,-0.00035005227500345,1.3237050147797853e-05,0.003938276280205572,1000,0.2737508249377164,-0.02407527008608494,-0.015671035631071636,0.037992431157466124,Late,NS,Past100,true_nll,full
0.1,0.016526366444798577,-0.0023028447733003305,-0.0018396779763627824,0.0039582043872088985,200,0.2882336799561863,-0.03294384382686805,-0.030048674704030852,0.05871394393209705,Late,PS,Past100,margin,full
0.1,0.026019099362946913,0.0011485563207905853,0.0004239978459102899,0.004163890920207542,200,0.17210524313154882,0.00269324911279032,0.0021508280552740497,0.04206597827944709,Late,PS,Past100,new_nll,full
0.1,0.01782831192508883,-0.0011542884525097454,-0.0008856130537239,0.004928534561878706,200,0.21298883407555202,-0.03025059471407774,-0.026462463306645617,0.057968326550165546,Late,PS,Past100,true_nll,full
0.1,0.008576339189594452,-0.004455793594114203,-0.004084626751354439,0.0004532562033078218,100,0.14576586138013276,-0.026559010880595316,-0.030941722037129242,0.05239737261658241,Late,RS,Past100,margin,full
