cell,arm,status,RS_n,RS_d,RS_rate,rewrite_new_nll_n,rewrite_new_nll_mean,rewrite_new_nll_median,rewrite_new_nll_p90,rewrite_new_nll_max,rewrite_true_nll_n,rewrite_true_nll_mean,rewrite_true_nll_median,rewrite_true_nll_p90,rewrite_true_nll_max,rewrite_strict_n,rewrite_strict_d,rewrite_advantage_n,rewrite_advantage_mean,rewrite_advantage_median,rewrite_advantage_p90,rewrite_advantage_max,PS_n,PS_d,PS_rate,rephrase_new_nll_n,rephrase_new_nll_mean,rephrase_new_nll_median,rephrase_new_nll_p90,rephrase_new_nll_max,rephrase_true_nll_n,rephrase_true_nll_mean,rephrase_true_nll_median,rephrase_true_nll_p90,rephrase_true_nll_max,rephrase_strict_n,rephrase_strict_d,rephrase_advantage_n,rephrase_advantage_mean,rephrase_advantage_median,rephrase_advantage_p90,rephrase_advantage_max,NS_n,NS_d,NS_rate,locality_new_nll_n,locality_new_nll_mean,locality_new_nll_median,locality_new_nll_p90,locality_new_nll_max,locality_true_nll_n,locality_true_nll_mean,locality_true_nll_median,locality_true_nll_p90,locality_true_nll_max,locality_strict_n,locality_strict_d,locality_advantage_n,locality_advantage_mean,locality_advantage_median,locality_advantage_p90,locality_advantage_max,old_before_RS_n,old_before_RS_d,old_after_RS_n,old_after_RS_d,new_failure_n,entry_success_d,initially_failed_n,V_ratio,native_net_normalized,total_seconds,evaluation_seconds,forward_count
2,JV_NATIVE,TERMINAL_VALID,10,10,1.0,10,0.01559880498680286,0.004010964999906719,0.03842075169086454,0.09650948643684387,10,14.441114139556884,14.370484352111816,17.688454246520998,18.374177932739258,10,10,10,14.425515334570083,14.351004458032548,17.601400658104104,18.372227426501922,18,20,0.9,20,1.5450980692960001,0.3593885153532028,4.108497285842898,11.882826805114746,20,11.365313440561295,11.359550476074219,16.219491291046147,21.654870986938477,14,20,20,9.820215371265295,8.959233023226261,16.050328547717076,21.654784087142616,81,100,0.81,100,9.502648146364372,8.938166618347168,14.685813236236573,17.311918258666992,100,4.973623418137431,4.035233736038208,10.735995197296146,16.62092399597168,25,100,100,-4.529024728226941,-4.880727171897888,1.1547429084777834,16.61740862042643,10,10,10,10,0,10,0,0.007311639207017217,0.4455490180892958,406.8550368864089,56.9621917065233,93
2,ORB_RAY_N,TERMINAL_VALID,10,10,1.0,10,0.021986563387326897,0.006262608803808689,0.05685181021690368,0.08651233464479446,10,14.044960308074952,14.45557689666748,17.917630195617676,19.600675582885742,10,10,10,14.022973744687624,14.451116105890833,17.839579195645637,19.598776594968513,19,20,0.95,20,1.5718788336627767,0.3129965364933014,5.102476358413698,11.840150833129883,20,11.638117843866349,10.719321250915527,18.132444000244142,20.706750869750977,16,20,20,10.06623901020357,8.757603660225868,18.1185525414272,20.67330302670598,77,100,0.77,100,9.421112727348227,9.304954051971436,14.934275245666505,17.219388961791992,100,4.9987937644869085,4.045889377593994,10.670947647094732,17.24897003173828,24,100,100,-4.422318962861318,-4.827993869781494,1.3020171165466334,17.24626882444136,10,10,10,10,0,10,0,0.022138367670868415,0.1669652668954475,513.2454741727561,92.52721971459687,93
3,O_NATIVE,TERMINAL_VALID,10,10,1.0,10,0.02724714744836092,0.016877697315067053,0.06118630021810532,0.0626756101846695,10,14.47767152786255,14.874135494232178,19.144633483886718,19.754779815673828,10,10,10,14.450424380414187,14.866778234718367,19.131229360960425,19.69210420548916,18,20,0.9,20,1.7006197534501553,0.2011701986193657,4.4087167263031075,12.302838325500488,20,12.224281066656113,12.717080116271973,18.329409980773928,20.87413787841797,15,20,20,10.523661313205958,10.213253930211067,18.228937350586058,20.86840796098113,78,100,0.78,100,9.777031787115266,9.583089828491211,15.171754360198975,17.335235595703125,100,5.228502614051104,4.047062635421753,11.297812747955323,18.47056770324707,23,100,100,-4.548529173064162,-5.2848961353302,1.174774169921875,18.4644231419079,10,10,10,10,0,10,0,4.293599483073757e-05,0.03282191517944837,96.23825210146606,52.54921909235418,58
3,ORBFH_HIST,TERMINAL_VALID,10,10,1.0,10,0.024863871023990215,0.017769078724086285,0.0538233432918787,0.06271804124116898,10,14.465992546081543,14.731480598449707,19.244600868225096,20.661378860473633,10,10,10,14.441128675057552,14.7237941455096,19.23313235542737,20.608543816953897,18,20,0.9,20,1.6956301222497132,0.17666497826576233,4.67198824882508,12.433624267578125,20,11.996899735927581,11.968963623046875,18.825233459472656,21.652437210083008,15,20,20,10.301269613677869,9.448663061484694,18.67301099076867,21.648941316641867,78,100,0.78,100,9.725765449396858,9.60608720779419,15.148023509979248,17.40069580078125,100,5.157531160712242,4.121087551116943,11.218612861633302,17.846881866455078,22,100,100,-4.568234288684616,-5.068222284317017,1.0811685562133793,17.841203629039228,10,10,10,10,0,10,0,0.005885316245324523,0.027246704744019978,389.3821608647704,109.0598626639694,191
3,JV_NATIVE,TERMINAL_VALID,10,10,1.0,10,0.017188375408295542,0.007050311425700784,0.04359544739127159,0.04730798676609993,10,15.01562204360962,15.246750354766846,20.84405517578125,21.243202209472656,10,10,10,14.998433668201324,15.24157511163503,20.837493811687455,21.200019266456366,18,20,0.9,20,1.670667600489105,0.20691603422164917,3.913116002082833,12.084038734436035,20,11.104467117786408,9.738347053527832,17.43184108734131,22.044008255004883,15,20,20,9.433799517297302,8.726336592808366,17.411597254878146,22.039417686872184,80,100,0.8,100,9.581942146195216,9.284824848175049,14.721914482116699,17.34089469909668,100,5.029267357252539,3.9895436763763428,10.74235458374024,16.653959274291992,24,100,100,-4.552674788942677,-4.917796492576599,1.219156074523926,16.424230590462685,10,10,10,10,0,10,0,0.004364825359911869,0.1025150662104936,254.2375767249614,54.01845573820174,98
3,ORB_RAY_N,TERMINAL_VALID,10,10,1.0,10,0.023764851107262074,0.017026544082909822,0.04874322898685931,0.08509091287851334,10,14.631313562393188,14.40347146987915,20.17452869415283,21.208415985107422,10,10,10,14.607548711285926,14.396016748272814,20.165470281941815,21.16371138766408,18,20,0.9,20,1.6500308173504892,0.20193546265363693,4.479094266891487,12.36439037322998,20,11.829039615392684,11.212675094604492,18.810997200012206,21.50716781616211,15,20,20,10.179008798042195,9.829383000731468,18.784751134034014,21.503489829134196,80,100,0.8,100,9.590807054509641,9.502998352050781,14.993795871734621,17.367673873901367,100,5.088946398571133,3.981711506843567,11.136554718017578,16.73729705810547,24,100,100,-4.501860655938508,-4.851089119911194,1.1371546745300305,16.730487694963813,10,10,10,10,0,10,0,0.016160670172187093,0.03769594242997441,250.98560366779566,52.13067579641938,98
