pair_id,family,panel,subset,past_anchor,future_end,selection,competitor_exposure_sum,target_exposure_sum,n,D_M_mean,D_M_q05,D_M_q50,D_M_q95,D_B_mean,D_B_q05,D_B_q50,D_B_q95,interaction_mean,interaction_q05,interaction_q50,interaction_q95,interaction_negative,interaction_positive,interaction_zero,actual_success,withoutV_success,removeV_gained,removeV_lost
BASE_ALPHAEDIT__U030__V060__T100,BASE_ALPHAEDIT,rewrite,all_fixed,30,60,low_competitor_exposure,3596,3342,1000,-0.1480009167669341,-3.8034861385822296,-0.10152524709701538,3.346774199604988,0.21612832790659742,-2.8448842644691466,0.12327945977449417,3.439469742774962,-0.3641292446735315,-3.4863505199551583,-0.23043644428253174,2.4906032323837275,595,405,0,581,601,84,64
BASE_ALPHAEDIT__U030__V060__T100,BASE_ALPHAEDIT,rewrite,active_t100,30,60,low_competitor_exposure,3596,3342,970,-0.14671320176596955,-3.8187941372394563,-0.10152524709701538,3.344678810238838,0.22035948326955213,-2.8610715746879576,0.12495697289705276,3.4335810422897333,-0.3670726850355217,-3.491955667734146,-0.22718781232833862,2.496799969673156,575,395,0,563,583,80,60
BASE_ALPHAEDIT__U030__V080__T100,BASE_ALPHAEDIT,paraphrase_0,all_fixed,30,80,high_competitor_exposure,3991,3485,1000,-0.7671787725947797,-7.049808055907488,-0.6820154786109924,4.781224465370178,0.5372022082712501,-4.64112120643258,0.4021930694580078,6.176892328262318,-1.3043809808660298,-6.477843701839447,-0.8491616249084473,2.23072805404663,683,317,0,519,587,179,111
BASE_ALPHAEDIT__U030__V080__T100,BASE_ALPHAEDIT,paraphrase_0,active_t100,30,80,high_competitor_exposure,3991,3485,970,-0.7821648408726012,-7.1555680163204665,-0.7307878136634827,4.791395449638366,0.560913891143636,-4.678212707489728,0.4153761863708496,6.2940898418426405,-1.3430787320162372,-6.580026233196258,-0.8735717535018921,2.242853069305419,671,299,0,503,572,177,108
BASE_ALPHAEDIT__U030__V080__T100,BASE_ALPHAEDIT,paraphrase_1,all_fixed,30,80,high_competitor_exposure,3991,3485,1000,-0.7296933387219906,-7.118793535232544,-0.5804634094238281,4.543119677156209,0.6528965626328718,-4.735329522192478,0.670944333076477,6.132441872358321,-1.3825899013548624,-6.607103610038757,-0.9466044902801514,2.037947738170621,675,325,0,518,578,171,111
BASE_ALPHAEDIT__U030__V080__T100,BASE_ALPHAEDIT,paraphrase_1,active_t100,30,80,high_competitor_exposure,3991,3485,970,-0.74954140453609,-7.134176778793335,-0.5856382846832275,4.558730813115835,0.6463838098558703,-4.7456257626414295,0.6553080081939697,6.149058395624159,-1.3959252143919603,-6.755557560920715,-0.9440600872039795,2.034114325046539,654,316,0,501,560,167,108
BASE_ALPHAEDIT__U030__V080__T100,BASE_ALPHAEDIT,rewrite,all_fixed,30,80,high_competitor_exposure,3991,3485,1000,-1.6514401683148463,-8.393181477673352,-1.4888694286346436,4.24567505717277,0.7814841093351134,-4.4623359680175785,0.7803039029240608,6.306219220161433,-2.4329242776499593,-8.853047662973404,-1.8573329150676727,2.468259358406066,767,233,0,581,708,205,78
BASE_ALPHAEDIT__U030__V080__T100,BASE_ALPHAEDIT,rewrite,active_t100,30,80,high_competitor_exposure,3991,3485,970,-1.6794007223841168,-8.468916880525649,-1.5192846953868866,4.232466238737105,0.8015244865468367,-4.471011157333851,0.7939467430114746,6.3642610311508125,-2.4809252089309535,-8.999121162295342,-1.8876800313591957,2.4775007009506216,747,223,0,563,687,201,77
BASE_ALPHAEDIT__U040__V060__T100,BASE_ALPHAEDIT,paraphrase_0,all_fixed,40,60,low_competitor_exposure,3459,3198,1000,-0.03173419527895749,-2.9512367367744448,0.06637310981750488,2.7217474937438957,0.07386549692973494,-2.5249971270561216,0.05728757381439209,2.7564440488815176,-0.10559969220869243,-2.210824227333069,-0.06297683715820312,1.86837985664606,528,472,0,535,550,82,67
BASE_ALPHAEDIT__U040__V060__T100,BASE_ALPHAEDIT,paraphrase_0,active_t100,40,60,low_competitor_exposure,3459,3198,976,-0.03428051069752908,-2.9559101834893227,0.07077980041503906,2.744493007659912,0.06496643189142351,-2.5329636931419373,0.05684006214141846,2.7226448953151703,-0.0992469425889526,-2.2119027376174927,-0.06297683715820312,1.885538637638092,516,460,0,521,537,81,65
BASE_ALPHAEDIT__U040__V060__T100,BASE_ALPHAEDIT,paraphrase_1,all_fixed,40,60,low_competitor_exposure,3459,3198,1000,-0.05903448763862252,-2.93050380051136,0.020892620086669922,2.6895015597343437,-0.0436651345808059,-2.8600214958190917,-0.032923340797424316,2.6747946262359616,-0.015369353057816625,-1.8920187711715697,0.032862067222595215,1.8285844326019283,482,518,0,519,514,68,73
BASE_ALPHAEDIT__U040__V060__T100,BASE_ALPHAEDIT,paraphrase_1,active_t100,40,60,low_competitor_exposure,3459,3198,976,-0.06324692599124229,-2.935241475701332,0.024150371551513672,2.6326192021369934,-0.04568390930109642,-2.868882656097412,-0.032923340797424316,2.649264931678772,-0.017563016690145872,-1.9034977853298187,0.030136823654174805,1.8393470346927643,472,504,0,508,506,66,68
BASE_ALPHAEDIT__U040__V060__T100,BASE_ALPHAEDIT,rewrite,all_fixed,40,60,low_competitor_exposure,3459,3198,1000,-0.14767059659789084,-3.753447633981705,-0.14177896454930305,3.419627261161803,-0.11811439271410927,-3.356282079219818,-0.08094334602355957,3.2556591622531412,-0.029556203883781565,-3.1103801518678664,-0.03448373079299927,3.100890511274334,513,487,0,600,623,94,71
BASE_ALPHAEDIT__U040__V060__T100,BASE_ALPHAEDIT,rewrite,active_t100,40,60,low_competitor_exposure,3459,3198,976,-0.13543784496064068,-3.7597612142562866,-0.12585335969924927,3.4244683980941772,-0.10937334641529874,-3.3254886865615845,-0.07661294937133789,3.255709644407034,-0.026064498545341937,-3.1472162790596485,-0.03448373079299927,3.178240567445755,501,475,0,586,607,91,70
BASE_ALPHAEDIT__U040__V080__T100,BASE_ALPHAEDIT,paraphrase_0,all_fixed,40,80,high_competitor_exposure,3782,3495,1000,-1.012649278837076,-7.197416052594781,-0.8375309705734253,4.210201476514339,0.6395930438479409,-4.8153883934021,0.5736010074615479,6.380375146865843,-1.652242322685017,-7.839518368244171,-1.004626750946045,2.412841820716858,686,314,0,535,610,167,92
BASE_ALPHAEDIT__U040__V080__T100,BASE_ALPHAEDIT,paraphrase_0,active_t100,40,80,high_competitor_exposure,3782,3495,976,-1.0145946129969552,-7.185586994513869,-0.8431057929992676,4.231172621250153,0.6560055888782744,-4.796728238463402,0.5810527801513672,6.438480734825134,-1.6706002018752297,-7.841274082660675,-1.0172173976898193,2.4081743508577347,671,305,0,521,596,164,89
BASE_ALPHAEDIT__U040__V080__T100,BASE_ALPHAEDIT,paraphrase_1,all_fixed,40,80,high_competitor_exposure,3782,3495,1000,-1.2414746092408895,-7.545539218187332,-1.0582742393016815,4.163545048236847,0.4577934110588394,-4.996115446090698,0.30183088779449463,6.244435542821877,-1.699268020299729,-7.454376074671745,-1.1464911103248596,2.2446584224700925,695,305,0,519,625,199,93
BASE_ALPHAEDIT__U040__V080__T100,BASE_ALPHAEDIT,paraphrase_1,active_t100,40,80,high_competitor_exposure,3782,3495,976,-1.2737401360951242,-7.618088662624359,-1.093864917755127,4.16376405954361,0.4436953525019802,-5.003898859024048,0.26636743545532227,6.273440092802048,-1.7174354885971044,-7.51304204761982,-1.1617918610572815,2.2563834190368652,678,298,0,508,615,194,87
BASE_ALPHAEDIT__U040__V080__T100,BASE_ALPHAEDIT,rewrite,all_fixed,40,80,high_competitor_exposure,3782,3495,1000,-2.0614079798068996,-8.949508801475167,-1.8944792449474335,3.625621179118746,0.48055535880522804,-5.250594997406006,0.45707178115844727,6.564013612270354,-2.5419633386121276,-9.491969796852208,-2.084840231575072,2.78488454222679,758,242,0,600,748,207,59
BASE_ALPHAEDIT__U040__V080__T100,BASE_ALPHAEDIT,rewrite,active_t100,40,80,high_competitor_exposure,3782,3495,976,-2.072880495956076,-9.004080515354872,-1.9082223903387785,3.782821288332343,0.4992779773420494,-5.255599498748779,0.472678542137146,6.63802182674408,-2.572158473298125,-9.543200535117649,-2.150033950805664,2.8264447366818786,741,235,0,586,731,203,58
BASE_ALPHAEDIT__U050__V060__T100,BASE_ALPHAEDIT,paraphrase_0,all_fixed,50,60,low_competitor_exposure,3526,3372,1000,-0.05672014466533437,-3.1588260650634763,-0.01907181739807129,2.9254914335906506,0.05169119542650878,-2.784353733062744,0.09009599685668945,2.8791680574417113,-0.10841134009184315,-2.6237432956695557,-0.042415738105773926,2.354420185089111,521,479,0,585,581,67,71
BASE_ALPHAEDIT__U050__V060__T100,BASE_ALPHAEDIT,paraphrase_0,active_t100,50,60,low_competitor_exposure,3526,3372,980,-0.05949902355680432,-3.193173277378082,-0.009330034255981445,2.9219355106353757,0.0635812374383059,-2.7583658933639525,0.09753179550170898,2.885435509681701,-0.12308026099511023,-2.639577054977417,-0.048002004623413086,2.3492863953113554,515,465,0,578,573,66,71
BASE_ALPHAEDIT__U050__V060__T100,BASE_ALPHAEDIT,paraphrase_1,all_fixed,50,60,low_competitor_exposure,3526,3372,1000,-0.05972845745366067,-3.0476824402809144,-0.020427703857421875,2.957137870788573,0.023169754205271603,-2.820688033103943,0.09408485889434814,2.6176815509796127,-0.08289821165893227,-2.816512320935726,-0.02123880386352539,2.4317660808563213,509,491,0,561,548,64,77
BASE_ALPHAEDIT__U050__V060__T100,BASE_ALPHAEDIT,paraphrase_1,active_t100,50,60,low_competitor_exposure,3526,3372,980,-0.05517761427814103,-3.049265372753143,-0.018117427825927734,2.9819022417068473,0.033238959979570035,-2.8194774389266968,0.09545230865478516,2.6470817565917963,-0.08841657425771106,-2.816512320935726,-0.01807999610900879,2.3637889146804776,497,483,0,552,536,61,77
BASE_ALPHAEDIT__U050__V060__T100,BASE_ALPHAEDIT,rewrite,all_fixed,50,60,low_competitor_exposure,3526,3372,1000,-0.12396430378497461,-3.7099779888987543,-0.0479009672999382,3.149074792861937,0.009175288304686547,-3.0451936185359956,0.025763988494873047,2.9876905441284176,-0.13313959208966117,-3.8625166445970534,-0.03738492727279663,3.0450262576341625,508,492,0,682,695,69,56
BASE_ALPHAEDIT__U050__V060__T100,BASE_ALPHAEDIT,rewrite,active_t100,50,60,low_competitor_exposure,3526,3372,980,-0.12803898247773166,-3.7099779888987543,-0.0479009672999382,3.179061035811901,-0.0042971969715186525,-3.050766181945801,0.01630687713623047,2.9876905441284176,-0.123741785506213,-3.9031762927770615,-0.030209720134735107,3.0450262576341625,496,484,0,670,683,68,55
BASE_ALPHAEDIT__U050__V080__T100,BASE_ALPHAEDIT,paraphrase_0,all_fixed,50,80,high_competitor_exposure,3841,3557,1000,-1.3744336831101682,-8.141226816177369,-1.0239408016204834,4.915950345993041,0.8066091770005878,-4.668996465206146,0.670268177986145,6.725776422023771,-2.181042860110756,-9.462122274935245,-1.5858004689216614,2.8343999862670888,715,285,0,585,675,184,94
BASE_ALPHAEDIT__U050__V080__T100,BASE_ALPHAEDIT,paraphrase_0,active_t100,50,80,high_competitor_exposure,3841,3557,980,-1.3847292787697147,-8.147710527479648,-1.033768653869629,4.936481282114981,0.8353225334640118,-4.612789785861969,0.7047615051269531,6.774752902984613,-2.2200518122337263,-9.62225407101214,-1.592729091644287,2.830152916908264,705,275,0,578,663,178,93
BASE_ALPHAEDIT__U050__V080__T100,BASE_ALPHAEDIT,paraphrase_1,all_fixed,50,80,high_competitor_exposure,3841,3557,1000,-1.6236655081012286,-7.6975123062729836,-1.443802833557129,3.8967896237969395,0.4231478899978101,-5.010673415660857,0.36289262771606445,5.712671518325801,-2.046813398099039,-8.352725980058311,-1.7027394771575928,2.8347512722015376,725,275,0,561,671,199,89
BASE_ALPHAEDIT__U050__V080__T100,BASE_ALPHAEDIT,paraphrase_1,active_t100,50,80,high_competitor_exposure,3841,3557,980,-1.6445330687423179,-7.711878910660744,-1.4516083896160126,3.89812016636133,0.4254331485615397,-5.125736653804779,0.36289262771606445,5.809471988677976,-2.0699662173038575,-8.436621806398033,-1.728525161743164,2.8347512722015376,709,271,0,552,661,194,85
BASE_ALPHAEDIT__U050__V080__T100,BASE_ALPHAEDIT,rewrite,all_fixed,50,80,high_competitor_exposure,3841,3557,1000,-2.277745039458918,-9.193247153051198,-2.004841446876526,3.9078939259052263,0.5203985735655297,-5.262525057792663,0.32305049896240234,6.718456494808196,-2.7981436130244473,-10.417979468405246,-2.337378978729248,3.189526204764842,747,253,0,682,806,172,48
BASE_ALPHAEDIT__U050__V080__T100,BASE_ALPHAEDIT,rewrite,active_t100,50,80,high_competitor_exposure,3841,3557,980,-2.309669543996197,-9.21080968985334,-2.124196596443653,3.939180457592009,0.5093368979924054,-5.262525057792663,0.31695055961608887,6.706626391410827,-2.8190064419886025,-10.417979468405246,-2.386553205549717,3.189526204764842,733,247,0,670,792,169,47
BASE_MEMIT__U020__V070__T100,BASE_MEMIT,paraphrase_0,all_fixed,20,70,high_competitor_exposure,3677,3191,1000,0.04271194564178586,-4.016442990303039,0.04095888137817383,3.89323153570294,-0.012827497512102127,-3.950806474685669,0.05399131774902344,3.4633185386657694,0.055539443153887987,-2.5405762672424315,0.02134561538696289,2.6090318202972407,491,509,0,519,508,99,110
BASE_MEMIT__U020__V070__T100,BASE_MEMIT,paraphrase_0,active_t100,20,70,high_competitor_exposure,3677,3191,963,0.007216978284335954,-4.045896577835083,0.015027999877929688,3.875863361358642,-0.03652267469052585,-3.959818172454834,0.039577484130859375,3.4274550437927243,0.043739652974861806,-2.5846790313720702,0.018075942993164062,2.6007768630981443,476,487,0,499,495,97,101
BASE_MEMIT__U020__V070__T100,BASE_MEMIT,paraphrase_1,all_fixed,20,70,high_competitor_exposure,3677,3191,1000,0.12996763252466917,-3.530277919769287,0.10396957397460938,4.017270326614376,0.018853096693754196,-3.2137040615081784,0.06025409698486328,3.4873824119567844,0.11111453583091498,-2.353440189361572,0.0788722038269043,2.736566257476806,460,540,0,534,509,95,120
BASE_MEMIT__U020__V070__T100,BASE_MEMIT,paraphrase_1,active_t100,20,70,high_competitor_exposure,3677,3191,963,0.11094102581434903,-3.561822509765625,0.09287738800048828,3.969829034805297,0.017304089674697116,-3.210242748260498,0.0568084716796875,3.459360122680663,0.09363693613965192,-2.3772141456604006,0.05669403076171875,2.7328498840332025,450,513,0,514,496,94,112
BASE_MEMIT__U020__V070__T100,BASE_MEMIT,rewrite,all_fixed,20,70,high_competitor_exposure,3677,3191,1000,0.25134525130679686,-4.215618586540222,0.14385318756103516,4.927991032600401,-0.05485618594940752,-4.225445938110352,0.0024995803833007812,3.6121454715728745,0.30620143725620436,-2.376571202278137,0.1275852918624878,3.2746743679046597,445,555,0,576,541,87,122
BASE_MEMIT__U020__V070__T100,BASE_MEMIT,rewrite,active_t100,20,70,high_competitor_exposure,3677,3191,963,0.2460818738672724,-4.2372456073760985,0.14526748657226562,4.9615042209625235,-0.06272522315116036,-4.2312370300292965,0.001682281494140625,3.6097953796386717,0.3088070970184328,-2.4101314067840574,0.12126970291137695,3.381686496734618,429,534,0,557,526,85,116
BASE_MEMIT__U020__V090__T100,BASE_MEMIT,paraphrase_0,all_fixed,20,90,low_competitor_exposure,3519,3261,1000,0.07667799805477261,-2.9764211177825928,0.003391742706298828,3.3172771930694562,-0.01873042607307434,-2.777903032302856,-0.07871198654174805,2.9293165683746327,0.09540842412784696,-1.7259530544281005,0.036458492279052734,2.013112854957578,477,523,0,519,523,88,84
BASE_MEMIT__U020__V090__T100,BASE_MEMIT,paraphrase_0,active_t100,20,90,low_competitor_exposure,3519,3261,963,0.04801371039461,-2.984020709991455,-0.011984825134277344,3.292273998260498,-0.03125617263968241,-2.822916126251221,-0.08053779602050781,2.918606221675872,0.07926988303429242,-1.7582474708557128,0.033618927001953125,1.9877498626708983,463,500,0,499,508,86,77
BASE_MEMIT__U020__V090__T100,BASE_MEMIT,paraphrase_1,all_fixed,20,90,low_competitor_exposure,3519,3261,1000,0.06994473624229432,-2.968572735786438,-0.006951570510864258,3.260607004165649,-0.024587906628847123,-2.8415537118911742,-0.08347702026367188,2.637081098556517,0.09453264287114144,-1.5062699794769288,0.03592681884765625,1.8440766572952265,480,520,0,534,509,61,86
BASE_MEMIT__U020__V090__T100,BASE_MEMIT,paraphrase_1,active_t100,20,90,low_competitor_exposure,3519,3261,963,0.05574914549988997,-2.935643768310547,-0.0054931640625,3.189420175552368,-0.029094676517128076,-2.823720932006836,-0.07732200622558594,2.620250797271728,0.08484382201701805,-1.516854429244995,0.02654743194580078,1.8399952888488762,467,496,0,514,496,60,78
BASE_MEMIT__U020__V090__T100,BASE_MEMIT,rewrite,all_fixed,20,90,low_competitor_exposure,3519,3261,1000,0.2992317635350846,-2.792799735069275,0.09069538116455078,4.031451026350258,0.00721308555547148,-2.777526086568832,-0.021257400512695312,3.0178396224975557,0.2920186779796131,-1.5296749591827392,0.13156986236572266,2.614313066005706,418,582,0,576,556,74,94
BASE_MEMIT__U020__V090__T100,BASE_MEMIT,rewrite,active_t100,20,90,low_competitor_exposure,3519,3261,963,0.29943620761786655,-2.787080669403076,0.10176467895507812,3.858571100234984,0.003945333093041138,-2.7740439414978026,-0.009543418884277344,2.921924114227295,0.2954908745248254,-1.5374832153320312,0.13083744049072266,2.634119629859924,402,561,0,557,541,70,86
BASE_MEMIT__U030__V060__T100,BASE_MEMIT,paraphrase_0,all_fixed,30,60,low_competitor_exposure,3596,3342,1000,0.05773200272489339,-3.3640191555023193,-0.022726058959960938,3.600200939178466,0.03364443528652191,-2.3275008678436278,-0.014386177062988281,2.4011411428451535,0.02408756743837148,-2.729179263114929,0.003969347570091486,2.5893979549407935,499,501,0,522,527,104,99
BASE_MEMIT__U030__V060__T100,BASE_MEMIT,paraphrase_0,active_t100,30,60,low_competitor_exposure,3596,3342,970,0.05655674890317407,-3.3911211490631104,-0.005194187164306641,3.6066601753234857,0.03529129753407744,-2.3462365865707397,-0.003615140914916992,2.400242495536804,0.02126545136909663,-2.7215521812438963,-0.0022764205932617188,2.4973941326141356,486,484,0,507,511,102,98
BASE_MEMIT__U030__V060__T100,BASE_MEMIT,paraphrase_1,all_fixed,30,60,low_competitor_exposure,3596,3342,1000,0.09426558044366538,-3.3659758090972898,0.11470365524291992,3.597927594184874,0.022035628616809844,-2.3608421802520754,-0.019836902618408203,2.625015449523924,0.07222995182685554,-2.4220640182495115,0.01341104507446289,2.6098084449768053,493,507,0,521,522,104,103
BASE_MEMIT__U030__V060__T100,BASE_MEMIT,paraphrase_1,active_t100,30,60,low_competitor_exposure,3596,3342,970,0.09679656781294604,-3.3552828550338742,0.11649370193481445,3.614979529380797,0.0326901795323362,-2.358738899230957,-0.0009202957153320312,2.641477775573729,0.06410638828060983,-2.4472378730773925,0.01656055450439453,2.560320043563842,476,494,0,503,504,101,100
BASE_MEMIT__U030__V060__T100,BASE_MEMIT,rewrite,all_fixed,30,60,low_competitor_exposure,3596,3342,1000,0.20298200318752788,-3.0015902757644652,0.0891878604888916,4.002671909332274,-0.02121419858932495,-2.6344790935516356,0.015828609466552734,2.50518991947174,0.22419620177685284,-2.3138952255249023,0.07675695419311523,3.132331052422521,472,528,0,563,552,90,101
BASE_MEMIT__U030__V060__T100,BASE_MEMIT,rewrite,active_t100,30,60,low_competitor_exposure,3596,3342,970,0.20974338469983644,-3.003197455406189,0.0891878604888916,4.017555904388426,-0.01891728381520694,-2.6554473400115968,0.043370723724365234,2.479340362548827,0.22866066851504338,-2.3257493019104003,0.07902193069458008,3.1846380859613412,456,514,0,547,535,88,100
BASE_MEMIT__U030__V080__T100,BASE_MEMIT,paraphrase_0,all_fixed,30,80,high_competitor_exposure,3991,3485,1000,0.08594305149558931,-3.546040081977844,0.009008407592773438,4.100013399124145,0.1348460586667061,-3.3109756231307985,0.06419634819030762,3.8896169662475577,-0.04890300717111677,-2.7593624591827393,-0.0604250431060791,2.537470102310178,522,478,0,522,525,103,100
BASE_MEMIT__U030__V080__T100,BASE_MEMIT,paraphrase_0,active_t100,30,80,high_competitor_exposure,3991,3485,970,0.08834820418263373,-3.523501920700073,0.009008407592773438,3.9724379062652573,0.13785712331840672,-3.295159697532654,0.04844784736633301,3.8523153781890853,-0.049508919135772995,-2.764800786972046,-0.06765127182006836,2.567365407943723,508,462,0,507,509,98,96
BASE_MEMIT__U030__V080__T100,BASE_MEMIT,paraphrase_1,all_fixed,30,80,high_competitor_exposure,3991,3485,1000,0.01239535721950233,-3.8201754570007322,-0.0009188652038574219,4.0658854007720935,0.022296782195568084,-3.841356086730957,-0.00750422477722168,3.568898940086361,-0.009901424976065755,-2.744855213165283,-0.05759716033935547,2.8570584058761592,520,480,0,521,545,116,92
BASE_MEMIT__U030__V080__T100,BASE_MEMIT,paraphrase_1,active_t100,30,80,high_competitor_exposure,3991,3485,970,0.003922213688876825,-3.7991359710693358,-0.002132892608642578,4.021633136272429,0.022520234351305617,-3.8301669478416445,-0.006456613540649414,3.5508540153503403,-0.018598020662428792,-2.750210237503052,-0.06155538558959961,2.8488964080810537,507,463,0,503,529,113,87
