family,eval_t,panel_name,n,recovered,newly_lost,dM,dB,dC
BASE_MEMIT,10,rewrite,999,1,39,-4.787108107524116,1.272191425669036,-6.059299533193152
BASE_MEMIT,20,paraphrase_0,1984,38,422,-6.401981345696989,4.666072334856439,-11.068053680553428
BASE_MEMIT,20,paraphrase_1,1984,43,424,-6.554002307019088,4.600759521426437,-11.154761828445524
BASE_MEMIT,20,rewrite,1984,14,449,-9.17330133104706,5.307201407185904,-14.480502738232964
BASE_MEMIT,30,paraphrase_0,2970,242,417,-1.3155275297962288,1.4775061630414759,-2.7930336928377044
BASE_MEMIT,30,paraphrase_1,2970,248,391,-1.2736269758175323,1.5114854704942025,-2.7851124463117345
BASE_MEMIT,30,rewrite,2970,217,353,-1.6221957742064215,1.6254764152754428,-3.2476721894818645
BASE_MEMIT,40,paraphrase_0,3950,211,371,-0.4771791430348843,0.10949431820982317,-0.5866734612447074
BASE_MEMIT,40,paraphrase_1,3950,210,378,-0.4784189809140233,0.12010288897547285,-0.5985218698894962
BASE_MEMIT,40,rewrite,3950,162,490,-1.1336280402246892,0.22671826608993725,-1.3603463063146264
BASE_MEMIT,50,paraphrase_0,4932,343,431,-0.17250590426997706,-0.03049848837734875,-0.1420074158926283
BASE_MEMIT,50,paraphrase_1,4932,340,435,-0.17326469425568553,-0.0027660995896099604,-0.1704985946660756
BASE_MEMIT,50,rewrite,4932,313,374,-0.2082956180546789,-0.004482300051774743,-0.20381331800290414
BASE_MEMIT,60,paraphrase_0,5902,348,545,-0.2591856105349524,-0.005473649469624471,-0.25371196106532795
BASE_MEMIT,60,paraphrase_1,5902,347,515,-0.2413257456289361,-0.0021061314891034997,-0.23921961413983261
BASE_MEMIT,60,rewrite,5902,324,540,-0.32816088954623623,-0.00941745464398434,-0.3187434349022519
BASE_MEMIT,70,paraphrase_0,6881,426,591,-0.3181997184493958,-0.10159298485788018,-0.21660673359151567
BASE_MEMIT,70,paraphrase_1,6881,420,600,-0.2846484081458713,-0.08428519036378328,-0.200363217782088
BASE_MEMIT,70,rewrite,6881,407,520,-0.17593430176244476,-0.10169771876323544,-0.07423658299920934
BASE_MEMIT,80,paraphrase_0,7852,530,677,-0.2432228339878668,-0.024976316936746748,-0.21824651705112003
BASE_MEMIT,80,paraphrase_1,7852,550,632,-0.25310680253790874,-0.047750246173397536,-0.20535655636451122
BASE_MEMIT,80,rewrite,7852,477,594,-0.25589676219215174,-0.08104313838629632,-0.17485362380585542
BASE_MEMIT,90,paraphrase_0,8826,567,778,-0.24362904129271903,0.04603987687517358,-0.28966891816789264
BASE_MEMIT,90,paraphrase_1,8826,572,798,-0.2559086630080477,0.025013977105279386,-0.28092264011332707
BASE_MEMIT,90,rewrite,8826,461,705,-0.3178599396285269,-0.019021553596587817,-0.2988383860319391
BASE_MEMIT,100,paraphrase_0,9784,540,644,-0.08995534897007784,0.025286065431072754,-0.11524141440115059
BASE_MEMIT,100,paraphrase_1,9784,552,708,-0.09996188649338025,0.024961071799954552,-0.1249229582933348
BASE_MEMIT,100,rewrite,9784,436,541,-0.13670438756341186,0.005506854168288969,-0.14221124173170083
