method,surface,prompt,target,count,mean,median,p90_nearest_rank,max
OFFICIAL-MEMIT,accepted_z,rewrite,new,1000,0.0010984351011029503,0.0006447739724535495,0.0023079682141542435,0.02549242600798607
OFFICIAL-MEMIT,accepted_z,rewrite,true,1000,14.820166948795318,14.542142391204834,19.804351806640625,27.45424461364746
OFFICIAL-MEMIT,accepted_z,rephrase,new,2000,1.1047603197513154,0.05395769327878952,4.29409646987915,15.612509727478027
OFFICIAL-MEMIT,accepted_z,rephrase,true,2000,11.066664205111097,11.003041744232178,16.42639923095703,26.519575119018555
OFFICIAL-MEMIT,accepted_z,rate,Eff,1000,1.0,,,
OFFICIAL-MEMIT,accepted_z,rate,Gen,2000,0.986,,,
OFFICIAL-MEMIT,accepted_z,rate,Gen_strict,1000,0.974,,,
OFFICIAL-MEMIT,accepted_z,rate,Loc,10000,0.8789,,,
OFFICIAL-MEMIT,accepted_z,rate,Rephrase_accuracy,2000,0.7605,,,
OFFICIAL-MEMIT,accepted_z,rate,Rephrase_strict_accuracy,1000,0.624,,,
OFFICIAL-MEMIT,accepted_z,rate,Rewrite_accuracy,1000,1.0,,,
OFFICIAL-MEMIT,final_W,rewrite,new,1000,0.19672490518997074,0.0042555255349725485,0.10974674671888351,12.664019584655762
OFFICIAL-MEMIT,final_W,rewrite,true,1000,11.534597757350653,11.359379768371582,17.133033752441406,25.43890380859375
OFFICIAL-MEMIT,final_W,rephrase,new,2000,2.8756256010443613,1.1551117300987244,8.353468894958496,20.605066299438477
OFFICIAL-MEMIT,final_W,rephrase,true,2000,7.794277056097053,7.66874623298645,13.102352142333984,23.182947158813477
OFFICIAL-MEMIT,final_W,rate,Eff,1000,0.983,,,
OFFICIAL-MEMIT,final_W,rate,Gen,2000,0.8255,,,
OFFICIAL-MEMIT,final_W,rate,Gen_strict,1000,0.745,,,
OFFICIAL-MEMIT,final_W,rate,Loc,10000,0.8789,,,
OFFICIAL-MEMIT,final_W,rate,Rephrase_accuracy,2000,0.5105,,,
OFFICIAL-MEMIT,final_W,rate,Rephrase_strict_accuracy,1000,0.347,,,
OFFICIAL-MEMIT,final_W,rate,Rewrite_accuracy,1000,0.963,,,
P1R54-FZ-INDEPENDENT,accepted_z,rewrite,new,1000,0.036367405616695575,0.0012281740782782435,0.02037406526505947,3.3732686042785645
P1R54-FZ-INDEPENDENT,accepted_z,rewrite,true,1000,14.056988926291465,13.88035249710083,19.0660457611084,26.886266708374023
P1R54-FZ-INDEPENDENT,accepted_z,rephrase,new,2000,1.2905917834521534,0.0970492921769619,4.662908554077148,16.32414436340332
P1R54-FZ-INDEPENDENT,accepted_z,rephrase,true,2000,10.833720112904441,10.720064163208008,16.00335693359375,24.784622192382812
P1R54-FZ-INDEPENDENT,accepted_z,rate,Eff,1000,0.999,,,
P1R54-FZ-INDEPENDENT,accepted_z,rate,Gen,2000,0.9775,,,
P1R54-FZ-INDEPENDENT,accepted_z,rate,Gen_strict,1000,0.965,,,
P1R54-FZ-INDEPENDENT,accepted_z,rate,Loc,10000,0.8746,,,
P1R54-FZ-INDEPENDENT,accepted_z,rate,Rephrase_accuracy,2000,0.7255,,,
P1R54-FZ-INDEPENDENT,accepted_z,rate,Rephrase_strict_accuracy,1000,0.586,,,
P1R54-FZ-INDEPENDENT,accepted_z,rate,Rewrite_accuracy,1000,0.99,,,
P1R54-FZ-INDEPENDENT,final_W,rewrite,new,1000,0.03783224252229502,0.001213299110531807,0.02045547589659691,3.7465896606445312
P1R54-FZ-INDEPENDENT,final_W,rewrite,true,1000,14.042333333790303,13.905948162078857,19.069656372070312,26.8712158203125
P1R54-FZ-INDEPENDENT,final_W,rephrase,new,2000,1.9659541943251897,0.47565025091171265,6.100472450256348,17.943241119384766
P1R54-FZ-INDEPENDENT,final_W,rephrase,true,2000,9.027938764191699,8.917210102081299,14.186676979064941,25.48607063293457
P1R54-FZ-INDEPENDENT,final_W,rate,Eff,1000,0.998,,,
P1R54-FZ-INDEPENDENT,final_W,rate,Gen,2000,0.921,,,
P1R54-FZ-INDEPENDENT,final_W,rate,Gen_strict,1000,0.867,,,
P1R54-FZ-INDEPENDENT,final_W,rate,Loc,10000,0.8747,,,
P1R54-FZ-INDEPENDENT,final_W,rate,Rephrase_accuracy,2000,0.6175,,,
P1R54-FZ-INDEPENDENT,final_W,rate,Rephrase_strict_accuracy,1000,0.455,,,
P1R54-FZ-INDEPENDENT,final_W,rate,Rewrite_accuracy,1000,0.99,,,
